Date,Open,High,Low,Close,Volume,OpenInt
2007-08-23,208908,208908,208908,208908,0,0
2007-08-24,209395,209395,209395,209395,0,0
2007-08-27,208026,208026,208026,208026,0,0
2007-08-28,205459,205459,205459,205459,0,0
2007-08-29,207328,207328,207328,207328,0,0
2007-08-30,204818,204818,204818,204818,0,0
2007-08-31,211949,211949,211949,211949,0,0
2007-09-03,211219,211219,211219,211219,0,0
2007-09-04,212451,212451,212451,212451,0,0
2007-09-05,209292,209292,209292,209292,0,0
2007-09-06,206963,206963,206963,206963,0,0
2007-09-07,205351,205351,205351,205351,0,0
2007-09-10,200578,200578,200578,200578,0,0
2007-09-11,202874,202874,202874,202874,0,0
2007-09-12,207274,207274,207274,207274,0,0
2007-09-13,209801,209801,209801,209801,0,0
2007-09-14,208798,208798,208798,208798,0,0
2007-09-17,209533,209533,209533,209533,0,0
2007-09-18,211685,211685,211685,211685,0,0
2007-09-19,221054,221054,221054,221054,0,0
2007-09-20,221630,221630,221630,221630,0,0
2007-09-21,220048,220048,220048,220048,0,0
2007-09-24,215957,215957,215957,215957,0,0
2007-09-25,212619,212619,212619,212619,0,0
2007-09-26,213755,213755,213755,213755,0,0
2007-09-27,214229,214229,214229,214229,0,0
2007-09-28,212622,212622,212622,212622,0,0
2007-10-01,213383,213383,213383,213383,0,0
2007-10-02,217612,217612,217612,217612,0,0
2007-10-03,216928,216928,216928,216928,0,0
2007-10-04,217353,217353,217353,217353,0,0
2007-10-05,219500,219500,219500,219500,0,0
2007-10-08,221113,221113,221113,221113,0,0
2007-10-09,226281,226281,226281,226281,0,0
2007-10-10,226543,226543,226543,226543,0,0
2007-10-11,229807,229807,229807,229807,0,0
2007-10-12,228094,228094,228094,228094,0,0
2007-10-15,229718,229718,229718,229718,0,0
2007-10-16,224032,224032,224032,224032,0,0
2007-10-17,224381,224381,224381,224381,0,0
2007-10-18,219800,219800,219800,219800,0,0
2007-10-19,221859,221859,221859,221859,0,0
2007-10-22,219917,219917,219917,219917,0,0
2007-10-23,225851,225851,225851,225851,0,0
2007-10-24,224566,224566,224566,224566,0,0
2007-10-25,226309,226309,226309,226309,0,0
2007-10-26,224201,224201,224201,224201,0,0
2007-10-29,226414,226414,226414,226414,0,0
2007-10-30,226662,226662,226662,226662,0,0
2007-10-31,225199,225199,225199,225199,0,0
2007-11-02,221828,221828,221828,221828,0,0
2007-11-05,221650,221650,221650,221650,0,0
2007-11-06,222819,222819,222819,222819,0,0
2007-11-07,219358,219358,219358,219358,0,0
2007-11-08,215884,215884,215884,215884,0,0
2007-11-09,217434,217434,210595,214146,0,0
2007-11-12,212107,214146,208577,208764,0,0
2007-11-13,209141,212445,208569,212287,0,0
2007-11-14,214991,214991,208174,208195,0,0
2007-11-15,208826,209504,201829,203706,0,0
2007-11-16,202200,205005,199818,204754,0,0
2007-11-19,206864,206864,204000,204998,0,0
2007-11-20,205263,206694,203338,206694,0,0
2007-11-21,204146,204736,202684,203915,0,0
2007-11-22,204197,207752,202391,207752,0,0
2007-11-23,208667,209321,207152,207841,0,0
2007-11-26,209002,209002,204581,205827,0,0
2007-11-27,204539,204539,201568,201974,0,0
2007-11-28,202602,206808,201107,206808,0,0
2007-11-29,209480,210049,207928,207928,0,0
2007-11-30,208713,210971,205805,205805,0,0
2007-12-03,208519,208519,205233,206068,0,0
2007-12-04,205937,208423,204628,207241,0,0
2007-12-05,207005,213824,207005,211202,0,0
2007-12-06,213721,215162,211461,211461,0,0
2007-12-07,214043,214215,212380,213949,0,0
2007-12-10,214253,217231,214116,215088,0,0
2007-12-11,215305,215308,212497,213000,0,0
2007-12-12,209532,214158,209532,213423,0,0
2007-12-13,212126,212126,208590,210029,0,0
2007-12-14,210437,210437,203971,205988,0,0
2007-12-17,204280,205316,202801,203511,0,0
2007-12-18,205176,205176,198728,200760,0,0
2007-12-19,202264,202264,198050,200902,0,0
2007-12-20,199259,201774,199114,201054,0,0
2007-12-21,205190,205434,201926,203354,0,0
