Date,Open,High,Low,Close,Volume,OpenInt
2017-12-18,3,3,3,3,10,10
2017-12-28,3.45,3.45,3.45,3.45,10,20
2018-01-16,3.5,6.24,3.5,5.4,9,42
2018-01-17,5.6,5.6,5.6,5.6,1,43
2018-01-19,5.4,5.4,5.4,5.4,1,44
2018-01-23,6,6,6,6,1,45
2018-01-24,5,5,5,5,1,45
2018-01-25,5.65,5.65,4.2,4.25,6,45
2018-01-26,3.25,3.7,3.2,3.6,5,46
2018-01-29,3.5,3.5,2.4,2.4,4,46
2018-01-30,2.75,2.75,2.5,2.5,2,47
2018-01-31,2.95,2.95,2.95,2.95,10,57
2018-02-01,2.01,2.01,2,2,35,58
2018-02-02,0.71,2.15,0.71,1.01,12,60
2018-02-09,1.55,1.55,1.55,1.55,1,60
2018-02-19,0.66,0.66,0.66,0.66,1,60
