Date,Open,High,Low,Close,Volume,OpenInt
2017-10-11,457.6,457.6,457.6,457.6,1,0
2017-10-19,408.15,408.15,403.9,403.9,9,0
2017-11-30,366.8,366.8,366.8,366.8,1,0
2018-02-06,350,350,348.35,348.35,6,15
2018-02-07,354.8,354.8,354.8,354.8,5,10
2018-03-02,250.25,250.25,250.25,250.25,1,10
2018-03-13,293.95,293.95,293.95,293.95,1,10
2018-03-15,287,287,287,287,5,5
2018-03-16,249.15,249.15,243.55,243.55,2,6
2018-03-21,229.9,229.9,229.9,229.9,5,4
2018-03-22,205.9,205.9,205.9,205.9,1,4
2018-03-28,157.25,169,157.25,169,2,5
