Date,Open,High,Low,Close,Volume,OpenInt
2017-03-20,355.45,355.45,355.45,355.45,1,0
2017-03-22,406,406,404,404,2,0
2017-03-23,415.3,415.3,415.3,415.3,2,0
2017-03-24,396,396,396,396,1,0
2017-06-21,334,334,334,334,1,0
2017-07-10,324.5,324.5,324.5,324.5,2,9
2017-07-20,287.45,287.45,287.45,287.45,2,9
2017-07-31,252.85,252.85,252.85,252.85,3,9
2017-08-01,254.1,254.1,254.1,254.1,5,9
2017-08-02,253.25,253.25,253.25,253.25,4,9
2017-08-09,232.35,232.35,232.35,232.35,5,9
2017-08-10,240.45,240.45,240.45,240.45,3,28
2017-08-14,256,256,256,256,3,28
2017-08-16,238.65,238.65,238.65,238.65,5,33
2017-08-24,230,230,230,230,2,33
2017-08-25,181.5,181.5,181.5,181.5,5,38
2017-08-28,173.2,173.2,156.85,156.85,7,45
2017-09-05,149.7,149.7,149.7,149.7,1,45
2017-09-13,172,172,172,172,1,45
2017-09-21,185,185,185,185,1,45
2017-09-25,181.55,181.55,181.55,181.55,1,45
2017-09-26,200,200,200,200,1,45
2017-09-27,208,208,199.75,199.75,2,45
2017-10-02,162,162,162,162,2,45
2017-11-07,111,111.15,110.85,111.15,30,37
2017-11-14,153.25,153.25,153.25,153.25,1,37
2017-11-15,166.75,187.45,166.75,187.45,4,20
2017-11-17,183.9,183.9,183.9,183.9,1,20
2017-12-05,224.15,224.15,224.15,224.15,1,20
2017-12-08,202.6,202.6,202.6,202.6,1,20
2017-12-12,212.6,214.3,212.6,214.3,2,20
2017-12-15,188.8,188.8,188.8,188.8,1,17
2017-12-18,166.5,166.5,166.5,166.5,1,18
2018-01-03,164.5,164.5,164.5,164.5,5,15
2018-01-04,115.4,115.4,115.4,115.4,5,25
2018-01-05,115.4,115.4,111.9,111.9,5,25
2018-01-08,101.5,107.45,101.5,107.45,7,18
2018-01-16,74.3,74.3,64,69.9,8,27
2018-01-17,61.6,65,60.4,65,3,29
2018-01-18,59.85,63.85,59.85,60,7,34
2018-01-22,60.95,60.95,50,51.05,11,37
2018-01-23,38.96,48.22,38.96,46.96,18,52
2018-01-24,49.43,51.1,49.43,50,5,56
2018-01-25,52.9,52.9,52.9,52.9,4,56
2018-01-26,59,62,59,62,5,61
2018-01-29,59.95,59.95,59.95,59.95,1,62
2018-01-30,76.1,76.1,76.1,76.1,1,62
2018-01-31,69,69.2,69,69.2,14,72
2018-02-01,71.4,106,71.4,102.5,6,66
2018-02-02,106.35,108,101,101,16,78
2018-02-05,116,122,108,108,20,76
2018-02-06,147.05,166.75,147.05,166.75,6,76
2018-02-13,182.6,182.6,182.6,182.6,1,76
2018-02-16,173.2,192.25,173.2,192.25,10,69
2018-02-21,202.8,202.8,202.8,202.8,5,64
2018-02-22,226.95,226.95,203.5,203.5,6,59
2018-02-23,181.7,181.7,181.7,181.7,1,60
2018-02-27,184.5,184.5,184.5,184.5,1,60
2018-03-01,284.5,284.5,284.5,284.5,3,59
2018-03-02,281.85,288.9,281.85,288.9,4,56
2018-03-13,230.3,249,230.3,249,3,53
2018-03-14,253.55,253.55,253.55,253.55,1,52
2018-03-15,255,263.65,255,262,3,49
2018-03-16,282.3,2285,282.3,2285,6,43
