Date,Open,High,Low,Close,Volume,OpenInt
2018-02-20,5.42,5.42,5.42,5.42,5,5
2018-02-23,3.31,3.31,3.31,3.31,1,5
2018-02-27,3.2,3.2,3.2,3.2,1,6
2018-03-01,7.97,7.97,7.97,7.97,9,15
2018-03-02,9.06,11.52,9.06,9.06,6,12
2018-03-05,9.35,9.35,8.42,8.42,14,21
2018-03-07,3.78,3.78,3.78,3.78,10,31
2018-03-08,5.23,5.23,5.23,5.23,10,41
2018-03-09,5.75,5.92,5.75,5.92,18,51
2018-03-12,2.99,3.21,2.99,3.21,6,57
2018-03-13,3.5,3.5,3.5,3.5,10,67
2018-03-14,3.7,3.9,3.7,3.9,20,87
2018-03-15,4,4.1,4,4.1,20,107
2018-03-16,4.1,4.3,4.1,4.3,9,116
2018-03-19,6,6.5,5.4,6.5,33,148
2018-03-20,7.38,8.31,4.87,5.23,28,155
2018-03-21,4.8,4.8,3.03,3.03,11,166
2018-03-22,3.99,5,3.99,5,9,172
2018-03-23,7,8.4,6.17,6.99,87,209
2018-03-26,5.57,6.49,5.57,6.49,48,244
2018-03-27,3.68,3.68,3.21,3.21,10,237
2018-03-28,6.84,12.02,6.84,9.56,72,206
2018-03-29,6.39,7.44,5.78,6.94,47,201
