Date,Open,High,Low,Close,Volume,OpenInt
2012-05-28,2.1699,2.1699,2.1699,2.1699,0,0
2012-05-29,2.1699,2.2507,1.9932,2.0007,0,0
2012-05-30,1.9051,1.9418,1.8535,1.9418,0,0
2012-05-31,1.8643,1.8873,1.6023,1.7486,0,0
2012-06-01,1.7948,1.7948,1.6255,1.6255,0,0
2012-06-04,1.6108,1.6108,1.4636,1.5813,0,0
2012-06-05,1.5253,1.6177,1.4251,1.4482,0,0
2012-06-06,1.4174,1.5099,1.4174,1.479,0,0
2012-06-08,1.4417,1.4417,1.3313,1.3313,0,0
2012-06-11,1.3459,1.3459,1.3167,1.3313,0,0
2012-06-12,1.3313,1.3534,1.2872,1.3313,0,0
2012-06-13,1.3534,1.3534,1.2946,1.3239,0,0
2012-06-14,1.3313,1.3313,1.2946,1.2946,0,0
2012-06-15,1.3326,1.3558,1.3019,1.3558,0,0
2012-06-18,1.3828,1.4122,1.3608,1.3682,0,0
2012-06-19,1.3975,1.3975,1.3901,1.3901,0,0
2012-06-20,1.427,1.4784,1.427,1.427,0,0
2012-06-21,1.4784,1.5152,1.4784,1.4932,0,0
2012-06-22,1.5253,1.5253,1.4251,1.5176,0,0
2012-06-25,1.5594,1.5594,1.4417,1.4417,0,0
2012-06-26,1.4197,1.53,1.4197,1.427,0,0
2012-06-27,1.4097,1.4251,1.3712,1.3712,0,0
2012-06-28,1.4251,1.4636,1.3866,1.4636,0,0
2012-06-29,1.5099,1.5099,1.5099,1.5099,0,0
2012-07-03,1.4174,1.5176,1.4174,1.4251,0,0
2012-07-04,1.4251,1.479,1.4251,1.479,0,0
2012-07-05,1.4328,1.5253,1.4097,1.4945,0,0
2012-07-06,1.4867,1.4945,1.479,1.479,0,0
2012-07-09,1.4945,1.4945,1.4867,1.4945,0,0
2012-07-10,1.4867,1.4945,1.3942,1.3942,0,0
2012-07-11,1.4097,1.4482,1.3942,1.4328,0,0
2012-07-12,1.4328,1.4328,1.4097,1.4097,0,0
2012-07-13,1.4097,1.4097,1.4097,1.4097,0,0
2012-07-16,1.4097,1.4097,1.4097,1.4097,0,0
2012-07-17,1.4097,1.4097,1.3326,1.3326,0,0
2012-07-18,1.3558,1.3558,1.3558,1.3558,0,0
2012-07-19,1.3172,1.3172,1.3172,1.3172,0,0
2012-07-20,1.348,1.348,1.3249,1.3249,0,0
2012-07-23,1.3172,1.3172,1.3172,1.3172,0,0
2012-07-24,1.2941,1.3634,1.2941,1.3634,0,0
2012-07-25,1.3172,1.348,1.3172,1.348,0,0
2012-07-26,1.3789,1.3789,1.2941,1.348,0,0
2012-07-27,1.3558,1.3789,1.3558,1.3789,0,0
