Date,Open,High,Low,Close,Volume,OpenInt
2007-12-28,51.9,51.9,51.9,51.9,0,0
2008-01-02,54.2,54.2,53.9,53.9,0,0
2008-01-03,52.4,52.7,52,52.1,0,0
2008-01-04,52.2,53.6,52.2,52.3,0,0
2008-01-07,52.5,52.5,52,52,0,0
2008-01-08,53.1,53.1,51,52.8,0,0
2008-01-09,52.2,52.2,50.3,50.3,0,0
2008-01-10,51.4,51.6,50.3,50.3,0,0
2008-01-11,49.1,49.1,49.1,49.1,0,0
2008-01-14,50.5,50.5,50.5,50.5,0,0
2008-01-15,51,51,50.2,50.2,0,0
2008-01-16,50.8,50.8,47.6,47.6,0,0
2008-01-17,49,49,49,49,0,0
2008-01-18,49.6,49.6,48,48,0,0
2008-01-21,47.6,47.6,45.6,45.6,0,0
2008-01-22,47,47,47,47,0,0
2008-01-23,47,49.9,45.2,49.9,0,0
2008-01-24,49.9,51.2,49.6,51.2,0,0
2008-01-25,52.2,52.2,52.2,52.2,0,0
2008-01-28,51.6,51.6,51.6,51.6,0,0
2008-01-29,53.6,53.6,53.1,53.1,0,0
2008-01-30,54.8,54.8,53.7,54.8,0,0
2008-01-31,54.8,54.8,52.7,52.7,0,0
2008-02-01,54.7,54.7,52.3,53.6,0,0
2008-02-04,54.6,54.8,49.8,54.7,0,0
2008-02-05,54.6,54.6,53.6,53.6,0,0
2008-02-06,53.6,53.6,53.6,53.6,0,0
2008-02-07,54.6,55.2,54.6,55.2,0,0
2008-02-08,54.9,57.1,54.9,57,0,0
2008-02-11,55,57,55,57,0,0
2008-02-12,56.5,56.5,55.3,56,0,0
2008-02-13,55.9,55.9,53.6,53.6,0,0
2008-02-14,55,55,55,55,0,0
2008-02-15,54.8,54.8,54.8,54.8,0,0
2008-02-18,54.8,55,35.3,35.3,0,0
2008-02-19,35.3,35.3,35.3,35.3,0,0
2008-02-20,34.7,34.7,33.8,34.7,0,0
2008-02-21,34.7,34.7,34.7,34.7,0,0
2008-02-22,34.7,34.7,34.6,34.7,0,0
2008-02-25,32.5,34.8,32.5,34.7,0,0
2008-02-26,34.7,34.7,34.7,34.7,0,0
2008-02-27,34.7,34.7,34.7,34.7,0,0
2008-02-28,34.7,34.7,34.7,34.7,0,0
2008-02-29,34.7,34.7,33,34.6,0,0
2008-03-03,34.2,34.2,32.6,33.4,0,0
2008-03-04,33.4,33.4,32.5,32.5,0,0
2008-03-05,32.7,34.3,32.7,34.3,0,0
2008-03-06,34.3,34.3,33.4,33.4,0,0
2008-03-07,32.3,33.3,30.5,33.3,0,0
2008-03-10,33.3,33.3,33.2,33.2,0,0
2008-03-11,33.2,34.2,31.6,34.2,0,0
2008-03-12,34.3,34.3,33.9,34.2,0,0
2008-03-13,33.5,34.2,33.5,34.2,0,0
2008-03-14,34.2,34.2,34.2,34.2,0,0
