Date,Open,High,Low,Close,Volume,OpenInt
2008-01-24,1.9294,1.9294,1.9294,1.9294,0,0
2008-01-25,1.9537,1.9537,1.7873,1.7873,0,0
2008-01-28,1.7873,1.7873,1.7508,1.7508,0,0
2008-01-29,1.8225,1.8225,1.7994,1.7994,0,0
2008-01-30,1.8589,1.8942,1.8103,1.8103,0,0
2008-01-31,1.882,1.882,1.8225,1.8225,0,0
2008-02-01,1.7399,1.7399,1.7399,1.7399,0,0
2008-02-04,1.8225,1.8225,1.8225,1.8225,0,0
2008-02-05,1.8225,1.8225,1.8225,1.8225,0,0
2008-02-06,1.8225,1.8225,1.7399,1.7399,0,0
2008-02-07,1.7277,1.7277,1.7156,1.7156,0,0
2008-02-08,1.656,1.6682,1.656,1.6682,0,0
2008-02-11,1.6682,1.6682,1.6682,1.6682,0,0
2008-02-12,1.5965,1.5965,1.5843,1.5843,0,0
2008-02-13,1.6438,1.6438,1.5843,1.5843,0,0
2008-02-14,1.5843,1.5843,1.5843,1.5843,0,0
2008-02-15,1.5965,1.5965,1.4896,1.4896,0,0
2008-02-18,1.5369,1.5369,1.5369,1.5369,0,0
2008-02-20,1.5369,1.5369,1.5369,1.5369,0,0
2008-02-22,1.5369,1.5369,1.5369,1.5369,0,0
2008-02-25,1.5369,1.5369,1.5369,1.5369,0,0
2008-02-26,1.4774,1.5369,1.4774,1.5369,0,0
2008-02-27,1.5369,1.5369,1.5369,1.5369,0,0
2008-02-28,1.4774,1.5369,1.4774,1.5369,0,0
2008-02-29,1.4774,1.4774,1.4653,1.4653,0,0
2008-03-03,1.4653,1.4653,1.4653,1.4653,0,0
2008-03-04,1.4653,1.4653,1.4653,1.4653,0,0
2008-03-05,1.4653,1.4653,1.4653,1.4653,0,0
2008-03-06,1.4653,1.4653,1.4653,1.4653,0,0
2008-03-07,1.4653,1.4653,1.4653,1.4653,0,0
2008-03-10,1.4653,1.4653,1.4653,1.4653,0,0
2008-03-11,1.4653,1.4653,1.4653,1.4653,0,0
2008-03-12,1.43,1.4653,1.43,1.4653,0,0
2008-03-13,1.4653,1.4653,1.43,1.441,0,0
2008-03-14,1.4774,1.4774,1.4057,1.4774,0,0
2008-03-17,1.4057,1.4774,1.4057,1.4774,0,0
2008-03-18,1.4057,1.4774,1.4057,1.4774,0,0
2008-03-19,1.4774,1.4774,1.4774,1.4774,0,0
2008-03-20,1.4179,1.4896,1.4179,1.4896,0,0
2008-03-25,1.4896,1.4896,1.4896,1.4896,0,0
2008-03-26,1.4896,1.4896,1.4179,1.4896,0,0
2008-03-27,1.4179,1.4896,1.4179,1.4896,0,0
2008-03-28,1.4179,1.4179,1.4179,1.4179,0,0
2008-03-31,1.4179,1.4179,1.4179,1.4179,0,0
2008-04-01,1.4179,1.4179,1.4179,1.4179,0,0
2008-04-02,1.4774,1.5491,1.4774,1.5491,0,0
2008-04-03,1.5369,1.5369,1.5369,1.5369,0,0
2008-04-04,1.4774,2.2878,1.4774,2.2756,0,0
2008-04-07,2.2756,2.2756,1.7994,1.7994,0,0
2008-04-08,1.7994,1.7994,1.6208,1.7399,0,0
2008-04-09,1.656,1.656,1.5965,1.5965,0,0
2008-04-10,1.56,1.5965,1.5126,1.5126,0,0
2008-04-11,1.5126,1.5126,1.4896,1.4896,0,0
2008-04-14,1.5126,1.5126,1.441,1.5126,0,0
2008-04-15,1.5126,1.5126,1.5126,1.5126,0,0
2008-04-16,1.5126,1.5126,1.5126,1.5126,0,0
2008-04-17,1.5126,1.5126,1.5126,1.5126,0,0
2008-04-18,1.441,1.5126,1.441,1.5126,0,0
2008-04-21,1.5491,1.5843,1.441,1.441,0,0
2008-04-22,1.4531,1.4531,1.334,1.334,0,0
2008-04-23,1.334,1.3462,1.334,1.3462,0,0
2008-04-24,1.3462,1.3462,1.334,1.334,0,0
2008-04-25,1.3462,1.3462,1.3462,1.3462,0,0
2008-04-28,1.2867,1.3462,1.215,1.2745,0,0
2008-04-29,1.2624,1.2624,1.2624,1.2624,0,0
2008-04-30,1.2624,1.2624,1.2624,1.2624,0,0
2008-05-05,1.2745,1.2745,1.2745,1.2745,0,0
2008-05-06,1.2271,1.3936,1.215,1.3936,0,0
2008-05-07,1.3814,1.4057,1.3814,1.4057,0,0
2008-05-08,1.3936,1.3936,1.3936,1.3936,0,0
2008-05-09,1.3936,1.656,1.3936,1.6086,0,0
2008-05-12,1.6208,1.6208,1.5722,1.5722,0,0
2008-05-13,1.5491,1.5722,1.5491,1.5722,0,0
2008-05-14,1.5722,1.5722,1.5722,1.5722,0,0
2008-05-15,1.5491,1.5491,1.5491,1.5491,0,0
2008-05-16,1.5491,1.5491,1.5491,1.5491,0,0
2008-05-19,1.5126,1.5126,1.5126,1.5126,0,0
2008-05-20,1.5126,1.5126,1.4653,1.4653,0,0
2008-05-21,1.43,1.43,1.43,1.43,0,0
2008-05-23,1.4057,1.4531,1.4057,1.4531,0,0
2008-05-26,1.4531,1.4531,1.3705,1.3705,0,0
2008-05-27,1.3705,1.3705,1.3705,1.3705,0,0
2008-05-28,1.3705,1.3705,1.3705,1.3705,0,0
2008-05-29,1.3584,1.3705,1.3584,1.3584,0,0
2008-06-02,1.3584,1.3584,1.3584,1.3584,0,0
2008-06-03,1.3705,1.5005,1.3705,1.5005,0,0
2008-06-04,1.56,1.56,1.3936,1.3936,0,0
2008-06-05,1.3814,1.3814,1.3584,1.3705,0,0
2008-06-06,1.3705,1.5248,1.334,1.4057,0,0
2008-06-09,1.3462,1.4057,1.3462,1.3584,0,0
2008-06-10,1.3705,1.3936,1.3584,1.3584,0,0
2008-06-11,1.3705,1.3705,1.3219,1.3584,0,0
2008-06-12,1.2867,1.2867,1.2514,1.2867,0,0
2008-06-13,1.2514,1.2867,1.2514,1.2624,0,0
2008-06-16,1.2624,1.2867,1.2624,1.2745,0,0
2008-06-17,1.2867,1.2867,1.2514,1.2624,0,0
2008-06-18,1.2624,1.2988,1.2393,1.2867,0,0
2008-06-19,1.2867,1.2867,1.215,1.2514,0,0
2008-06-20,1.2028,1.2514,1.2028,1.2514,0,0
2008-06-23,1.2624,1.2745,1.215,1.2745,0,0
2008-06-24,1.2393,1.2745,1.2393,1.2624,0,0
2008-06-25,1.2624,1.2867,1.2624,1.2867,0,0
2008-06-26,1.2867,1.2867,1.2745,1.2745,0,0
2008-06-27,1.311,1.311,1.311,1.311,0,0
2008-06-30,1.2624,1.2745,1.2624,1.2745,0,0
2008-07-01,1.311,1.311,1.311,1.311,0,0
2008-07-02,1.311,1.311,1.311,1.311,0,0
2008-07-03,1.311,1.311,1.2988,1.2988,0,0
2008-07-04,1.2988,1.2988,1.2988,1.2988,0,0
2008-07-07,1.2988,1.311,1.2988,1.311,0,0
2008-07-08,1.311,1.311,1.311,1.311,0,0
2008-07-09,1.311,1.311,1.311,1.311,0,0
2008-07-10,1.311,1.311,1.311,1.311,0,0
2008-07-11,1.311,1.311,1.311,1.311,0,0
2008-07-14,1.311,1.311,1.311,1.311,0,0
2008-07-15,1.311,1.311,1.311,1.311,0,0
2008-07-16,1.311,1.311,1.311,1.311,0,0
2008-07-17,1.311,1.311,1.311,1.311,0,0
2008-07-18,1.311,1.311,1.311,1.311,0,0
2008-07-21,1.2988,1.2988,1.2745,1.2745,0,0
2008-07-22,1.2271,1.2393,1.1919,1.2393,0,0
2008-07-23,1.2271,1.2393,1.2271,1.2393,0,0
2008-07-24,1.2988,1.2988,1.2867,1.2867,0,0
2008-07-25,1.2867,1.2867,1.2867,1.2867,0,0
2008-07-29,1.334,1.334,1.334,1.334,0,0
2008-07-31,1.334,1.334,1.334,1.334,0,0
2008-08-01,1.334,1.334,1.334,1.334,0,0
2008-08-04,1.334,1.334,1.334,1.334,0,0
2008-08-05,1.334,1.334,1.334,1.334,0,0
2008-08-07,1.3584,1.3584,1.3584,1.3584,0,0
2008-08-08,1.3705,1.3705,1.3584,1.3584,0,0
2008-08-12,1.3486,1.3486,1.3,1.3,0,0
2008-08-13,1.3122,1.3122,1.3122,1.3122,0,0
2008-08-14,1.3122,1.3122,1.3122,1.3122,0,0
2008-08-19,1.3608,1.3608,1.2879,1.3,0,0
2008-08-25,1.2514,1.2757,1.2514,1.2636,0,0
2008-08-26,1.2636,1.2636,1.2636,1.2636,0,0
2008-08-27,1.2636,1.2636,1.2636,1.2636,0,0
2008-08-28,1.2636,1.2636,1.2636,1.2636,0,0
2008-08-29,1.2636,1.2636,1.2636,1.2636,0,0
2008-09-01,1.2636,1.2636,1.2636,1.2636,0,0
2008-09-02,1.2636,1.2636,1.2636,1.2636,0,0
2008-09-03,1.2636,1.2636,1.2636,1.2636,0,0
2008-09-04,1.2879,1.2879,1.2636,1.2636,0,0
2008-09-05,1.2636,1.2636,1.2636,1.2636,0,0
2008-09-08,1.2636,1.2636,1.2636,1.2636,0,0
2008-09-10,1.2879,1.2879,1.2636,1.2636,0,0
2008-09-12,1.5309,1.5309,1.5309,1.5309,0,0
2008-09-16,1.5309,1.5309,1.5309,1.5309,0,0
2008-09-17,1.5309,1.5309,1.5309,1.5309,0,0
2008-09-18,1.5309,1.5309,1.5309,1.5309,0,0
2008-09-19,1.5309,1.5309,1.5309,1.5309,0,0
2008-09-23,1.5309,1.5309,1.5309,1.5309,0,0
2008-09-24,1.5309,1.5673,1.4458,1.4458,0,0
2008-09-25,1.3851,1.3851,1.3243,1.3243,0,0
2008-09-26,1.3729,1.3851,1.3729,1.3851,0,0
2008-09-29,1.4094,1.4458,1.4094,1.4458,0,0
2008-09-30,1.3729,1.4458,1.3729,1.4458,0,0
2008-10-01,1.4823,1.543,1.4458,1.5066,0,0
2008-10-02,1.543,1.543,1.5066,1.543,0,0
2008-10-07,1.543,1.543,1.543,1.543,0,0
2008-10-08,1.4701,1.543,1.4701,1.4701,0,0
2008-10-10,1.4094,1.4094,1.4094,1.4094,0,0
2008-10-13,1.4823,1.4823,1.4094,1.4823,0,0
2008-10-15,1.4823,1.4823,1.4823,1.4823,0,0
2008-10-20,1.4823,1.4823,1.4094,1.4094,0,0
2008-10-21,1.3365,1.4094,1.3365,1.4094,0,0
2008-10-23,1.4094,1.4094,1.3851,1.3851,0,0
2008-10-24,1.3851,1.3851,1.3851,1.3851,0,0
2008-10-27,1.3851,1.3851,1.3851,1.3851,0,0
2008-10-28,1.4094,1.4094,1.4094,1.4094,0,0
2008-10-29,1.4094,1.4094,1.4094,1.4094,0,0
2008-10-30,1.4094,1.4094,1.4094,1.4094,0,0
2008-11-03,1.4094,1.4094,1.4094,1.4094,0,0
2008-11-04,1.3851,1.4094,1.3851,1.4094,0,0
2008-11-05,1.3851,1.4094,1.3851,1.3851,0,0
2008-11-06,1.3851,1.3851,1.3851,1.3851,0,0
2008-11-07,1.3851,1.3851,1.3851,1.3851,0,0
2008-11-10,1.3851,1.3851,1.3851,1.3851,0,0
2008-11-14,1.6281,1.6281,1.6281,1.6281,0,0
2008-11-17,1.6281,1.6281,1.6281,1.6281,0,0
2008-11-18,1.6281,1.6281,1.6281,1.6281,0,0
2008-11-20,1.6281,1.6281,1.5795,1.5795,0,0
2008-11-24,1.5795,1.5795,1.5066,1.5066,0,0
2008-11-25,1.5066,1.5066,1.5066,1.5066,0,0
2008-11-26,1.5552,1.5552,1.5552,1.5552,0,0
2008-11-27,1.5066,1.5552,1.5066,1.5552,0,0
2008-11-28,1.5552,1.5552,1.5552,1.5552,0,0
2008-12-01,1.5552,1.5552,1.5552,1.5552,0,0
2008-12-02,1.5552,1.5552,1.5552,1.5552,0,0
2008-12-03,1.5795,1.5795,1.5795,1.5795,0,0
2008-12-04,1.5552,1.5795,1.5552,1.5795,0,0
2008-12-05,1.5552,1.5795,1.5552,1.5795,0,0
2008-12-08,1.5795,1.5795,1.5795,1.5795,0,0
2008-12-09,1.5795,1.5795,1.5795,1.5795,0,0
2008-12-10,1.5552,1.5795,1.5552,1.5795,0,0
2008-12-12,1.5552,1.5552,1.5552,1.5552,0,0
2008-12-16,1.5552,1.5552,1.5552,1.5552,0,0
2008-12-18,1.5552,1.5552,1.5552,1.5552,0,0
2008-12-19,1.5552,1.5552,1.5066,1.5066,0,0
2008-12-22,1.5552,1.5552,1.5552,1.5552,0,0
2008-12-23,1.5552,1.5552,1.5552,1.5552,0,0
2008-12-29,1.5309,1.5309,1.5309,1.5309,0,0
2008-12-30,1.5309,1.5309,1.5309,1.5309,0,0
2008-12-31,1.5309,1.5309,1.5309,1.5309,0,0
2009-01-05,1.5552,1.5552,1.5309,1.5552,0,0
2009-01-16,1.5552,1.5552,1.5552,1.5552,0,0
2009-02-16,2.5514,2.5514,2.5514,2.5514,0,0
2009-02-20,2.5514,2.5514,2.5514,2.5514,0,0
2009-03-19,2.4299,2.4299,2.4299,2.4299,0,0
2009-03-30,2.4299,2.4299,2.4299,2.4299,0,0
2009-04-02,2.5514,2.5514,2.5514,2.5514,0,0
2009-04-03,2.6729,2.6729,2.5514,2.5514,0,0
2009-04-06,2.5514,2.5514,2.5514,2.5514,0,0
2009-04-07,2.6729,3.0374,2.6729,2.9523,0,0
2009-04-08,3.2441,3.5721,3.2441,3.5599,0,0
2009-04-09,3.888,3.888,3.3411,3.402,0,0
2009-04-14,3.402,3.402,3.086,3.256,0,0
2009-04-15,3.317,3.402,3.317,3.402,0,0
2009-04-16,3.2441,3.402,3.2441,3.2441,0,0
2009-04-17,3.1589,3.1589,3.086,3.1589,0,0
2009-04-20,3.0738,3.0738,3.0738,3.0738,0,0
2009-04-21,3.0738,3.0738,3.0738,3.0738,0,0
2009-04-22,3.1589,3.1589,3.1589,3.1589,0,0
2009-04-24,3.0738,3.0738,3.0738,3.0738,0,0
2009-05-04,3.0738,3.0738,3.0738,3.0738,0,0
2009-05-07,3.0738,3.086,3.0738,3.086,0,0
2009-05-08,3.086,3.3048,3.086,3.3048,0,0
2009-05-15,3.2927,3.2927,3.1467,3.1467,0,0
2009-05-18,3.1467,3.1467,3.1467,3.1467,0,0
2009-05-22,3.1346,3.1467,2.9888,2.9888,0,0
2009-05-28,2.9888,2.9888,2.9888,2.9888,0,0
2009-06-02,2.9888,2.9888,2.9888,2.9888,0,0
