Date,Open,High,Low,Close,Volume,OpenInt
2017-07-21,1548.8,1548.8,1548.8,1548.8,0,0
2017-07-24,1556,1562.4,1533.6,1534.4,0,0
2017-07-25,1544,1544,1524,1536,0,0
2017-07-26,1541.6,1541.6,1516,1518.4,0,0
2017-07-27,1518.4,1530.4,1496,1520,0,0
2017-07-28,1520,1520,1495.2,1512,0,0
2017-07-31,1520,1520,1472.8,1484,0,0
2017-08-01,1476.8,1492.8,1476.8,1477.6,0,0
2017-08-02,1477.6,1480,1475.2,1476,0,0
2017-08-03,1478.4,1520,1476,1500.8,0,0
2017-08-04,1500.8,1504,1480.8,1496,0,0
2017-08-07,1489.6,1496,1489.6,1496,0,0
2017-08-08,1496,1520,1488,1492,0,0
2017-08-09,1496,1514.4,1484,1504,0,0
2017-08-10,1500.8,1502.4,1480,1500,0,0
2017-08-11,1491.2,1512,1491.2,1511.2,0,0
2017-08-14,1511.2,1536.8,1511.2,1527.2,0,0
2017-08-16,1528,1544,1528,1534.4,0,0
2017-08-17,1541.6,1557.6,1536.8,1544,0,0
2017-08-18,1560,1565.6,1528.8,1564.8,0,0
2017-08-21,1568,1760,1568,1656,0,0
2017-08-22,1760,1760,1704,1736,0,0
2017-08-23,1742.4,1824,1742.4,1799.2,0,0
2017-08-24,1824,1824,1720,1744,0,0
2017-08-25,1788.8,1808,1784,1799.2,0,0
2017-08-28,1804,1824,1799.2,1800,0,0
2017-08-29,1800.8,1826.4,1800,1805.6,0,0
2017-08-30,1829.6,1829.6,1800,1816,0,0
2017-08-31,1828,1880,1820,1872,0,0
2017-09-01,1891.2,2018.4,1876.8,1936,0,0
2017-09-04,1999.2,2071.2,1944,2056,0,0
2017-09-05,2080,2280,2080,2168,0,0
2017-09-06,2207.2,2207.2,2078.4,2096.8,0,0
2017-09-07,2080,2141.6,1984,2024,0,0
2017-09-08,2012,2104,2000,2048,0,0
2017-09-11,2164,2164,2072,2080,0,0
2017-09-12,2096,2096,2048,2049.6,0,0
2017-09-13,2056,2084.8,2040,2040,0,0
2017-09-14,2076,2076,2024,2043.2,0,0
2017-09-15,2063.2,2080,2032,2048,0,0
2017-09-18,2080,2127.2,2080,2096,0,0
2017-09-19,2104,2104,2034.4,2088,0,0
2017-09-20,2080,2080,2000,2080,0,0
2017-09-21,2080,2080,2035.2,2044,0,0
2017-09-22,2020.8,2048,2000,2040,0,0
2017-09-25,2040,2078.4,2040,2042.4,0,0
2017-09-26,2044,2064,2040,2050.4,0,0
2017-09-27,2040.8,2063.2,2036,2036,0,0
2017-09-28,2036,2036,2036,2036,0,0
2017-09-29,2060,2060,2060,2060,0,0
2017-10-02,2079.2,2159.2,2079.2,2156.8,0,0
2017-10-03,2164,2216,2160,2216,0,0
2017-10-04,2240,2276,2216,2228,0,0
2017-10-05,2231.2,2231.2,2164,2196,0,0
2017-10-06,2206.4,2224,2162.4,2200,0,0
2017-10-09,2204,2204,2152,2152,0,0
2017-10-10,2128,2130.4,2091.2,2112,0,0
2017-10-11,2092,2160,2060,2128.8,0,0
2017-10-12,2124,2144,2092.8,2114.4,0,0
2017-10-13,2104,2128,2076,2080.8,0,0
2017-10-16,2120,2120,2050.4,2064,0,0
2017-10-17,2103.2,2103.2,2040,2044,0,0
2017-10-18,2040,2077.6,2036,2050.4,0,0
2017-10-19,2063.2,2064,1931.2,1968,0,0
2017-10-20,1988,2015.2,1881.6,1920,0,0
2017-10-23,1995.2,1995.2,1828,1848,0,0
2017-10-24,1840,1840,1658.4,1750.4,0,0
2017-10-25,1752.8,1840,1752.8,1800,0,0
2017-10-26,1839.2,1839.2,1816,1822.4,0,0
2017-10-27,1864,1864,1820,1832,0,0
2017-10-30,1866.4,2375,1832,2375,0,0
2017-10-31,2380,2400,2365,2400,0,0
2017-11-02,2474,2474,2420,2420,0,0
2017-11-03,2450,2455,2436,2443,0,0
2017-11-06,2465,2507,2465,2495,0,0
2017-11-07,2510,2524,2490,2499,0,0
2017-11-08,2499,2499,2448,2475,0,0
2017-11-09,2497,2500,2469,2475,0,0
2017-11-10,2441,2463,2400,2430,0,0
2017-11-13,2400,2400,2323,2360,0,0
2017-11-14,2360,2360,2312,2360,0,0
2017-11-15,2338,2360,2319,2337,0,0
2017-11-16,2350,2400,2316,2370,0,0
2017-11-17,2428,2428,2370,2390,0,0
2017-11-20,2397,2397,2358,2380,0,0
2017-11-21,2375,2381,2338,2352,0,0
2017-11-22,2388,2388,2305,2340,0,0
2017-11-23,2349,2349,2324,2335,0,0
2017-11-24,2330,2330,2308,2320,0,0
2017-11-27,2320,2328,2280,2299,0,0
2017-11-28,2298,2300,2256,2270,0,0
2017-11-29,2294,2329,2290,2300,0,0
2017-11-30,2305,2369,2273,2330,0,0
2017-12-01,2340,2341,2280,2300,0,0
2017-12-04,2290,2300,2275,2295,0,0
2017-12-05,2280,2280,2260,2269,0,0
2017-12-06,2275,2275,2175,2250,0,0
2017-12-07,2269,2290,2269,2285,0,0
2017-12-08,2290,2290,2271,2275,0,0
2017-12-11,2288,2288,2230,2274,0,0
2017-12-12,2290,2290,2241,2250,0,0
2017-12-13,2273,2273,2192,2192,0,0
2017-12-14,2170,2220,2168,2169,0,0
2017-12-15,2199,2199,2010,2032,0,0
2017-12-18,2080,2080,1932,1961,0,0
2017-12-19,1970,1970,1880,1880,0,0
2017-12-20,1900,1900,1805,1850,0,0
2017-12-21,1829,1970,1815,1868,0,0
2017-12-22,1879,1918,1868,1899,0,0
2017-12-27,1900,1927,1850,1870,0,0
2017-12-28,1870,1889,1850,1853,0,0
2017-12-29,1888,1888,1839,1839,0,0
2018-01-03,1860,1860,1842,1850,0,0
2018-01-04,1880,1884,1868,1874,0,0
2018-01-05,1882,1970,1874,1954,0,0
2018-01-08,1988,2050,1988,2005,0,0
2018-01-09,2035,2035,1928,1928,0,0
2018-01-10,1930,1930,1870,1870,0,0
2018-01-11,1900,1900,1780,1800,0,0
2018-01-12,1800,1846,1790,1828,0,0
2018-01-15,1850,1912,1842,1898,0,0
2018-01-16,1954,2010,1910,1920,0,0
2018-01-17,1948,1948,1890,1924,0,0
2018-01-18,1924,1940,1904,1936,0,0
2018-01-19,1940,1940,1904,1910,0,0
2018-01-22,1912,1934,1868,1902,0,0
2018-01-23,1900,1900,1862,1874,0,0
2018-01-24,1874,1936,1872,1910,0,0
2018-01-25,1930,1936,1900,1900,0,0
2018-01-26,1922,1922,1880,1900,0,0
2018-01-29,1906,1908,1882,1886,0,0
2018-01-30,1880,1880,1850,1850,0,0
2018-01-31,1836,1842,1830,1840,0,0
2018-02-01,1850,1850,1806,1808,0,0
2018-02-02,1810,1824,1798,1810,0,0
2018-02-05,1792,1792,1730,1750,0,0
2018-02-06,1670,1700,1602,1700,0,0
2018-02-07,1748,1748,1684,1710,0,0
2018-02-08,1710,1730,1578,1578,0,0
2018-02-09,1540,1578,1520,1560,0,0
2018-02-12,1590,1742,1590,1742,0,0
2018-02-13,1750,1822,1708,1738,0,0
2018-02-14,1722,1754,1660,1684,0,0
2018-02-15,1690,1690,1642,1642,0,0
2018-02-16,1670,1674,1642,1650,0,0
2018-02-19,1650,1684,1612,1660,0,0
2018-02-20,1678,1678,1620,1638,0,0
2018-02-21,1632,1638,1566,1596,0,0
2018-02-22,1580,1580,1554,1570,0,0
2018-02-23,1594,1632,1552,1620,0,0
2018-02-26,1640,1664,1568,1574,0,0
2018-02-27,1574,1604,1556,1600,0,0
2018-02-28,1586,1600,1552,1552,0,0
2018-03-01,1560,1628,1556,1628,0,0
2018-03-02,1480,1480,1296,1296,0,0
2018-03-05,1280,1280,1140,1180,0,0
2018-03-06,1196,1220,1164,1174,0,0
2018-03-07,1196,1216,1174,1176,0,0
2018-03-08,1180,1180,1134,1138,0,0
2018-03-09,1126,1126,1086,1116,0,0
2018-03-12,1130,1144,1080,1090,0,0
2018-03-13,1148,1148,1054,1062,0,0
2018-03-14,1080,1128,1024,1100,0,0
