Date,Open,High,Low,Close,Volume,OpenInt
2007-08-23,322.27,322.27,322.27,322.27,0,0
2007-08-24,322.27,322.27,322.27,322.27,0,0
2007-08-27,321.88,321.88,321.88,321.88,0,0
2007-08-28,318.24,318.24,318.24,318.24,0,0
2007-08-29,319.85,319.85,319.85,319.85,0,0
2007-08-30,310.19,310.19,310.19,310.19,0,0
2007-08-31,316.23,316.23,316.23,316.23,0,0
2007-09-03,313.81,313.81,313.81,313.81,0,0
2007-09-04,312.2,312.2,312.2,312.2,0,0
2007-09-05,310.19,310.19,310.19,310.19,0,0
2007-09-06,314.21,314.21,314.21,314.21,0,0
2007-09-07,314.62,314.62,314.62,314.62,0,0
2007-09-10,306.16,306.16,306.16,306.16,0,0
2007-09-11,310.19,310.19,310.19,310.19,0,0
2007-09-12,302.13,302.13,302.13,302.13,0,0
2007-09-13,305.76,305.76,305.76,305.76,0,0
2007-09-14,305.76,305.76,305.76,305.76,0,0
2007-09-17,298.1,298.1,298.1,298.1,0,0
2007-09-18,302.13,302.13,302.13,302.13,0,0
2007-09-19,306.97,306.97,306.97,306.97,0,0
2007-09-20,302.13,302.13,302.13,302.13,0,0
2007-09-21,305.35,305.35,305.35,305.35,0,0
2007-09-24,302.13,302.13,302.13,302.13,0,0
2007-09-25,282.8,282.8,282.8,282.8,0,0
2007-09-26,285.61,285.61,285.61,285.61,0,0
2007-09-27,284,284,284,284,0,0
2007-09-28,285.61,285.61,285.61,285.61,0,0
2007-10-01,277.95,277.95,277.95,277.95,0,0
2007-10-02,277.15,277.15,277.15,277.15,0,0
2007-10-03,273.94,273.94,273.94,273.94,0,0
2007-10-04,271.91,271.91,271.91,271.91,0,0
2007-10-05,271.51,271.51,271.51,271.51,0,0
2007-10-08,269.91,269.91,269.91,269.91,0,0
2007-10-09,269.91,269.91,269.91,269.91,0,0
2007-10-10,271.91,271.91,271.91,271.91,0,0
2007-10-11,271.91,271.91,271.91,271.91,0,0
2007-10-12,271.91,271.91,271.91,271.91,0,0
2007-10-15,274.33,274.33,274.33,274.33,0,0
2007-10-16,273.94,273.94,273.94,273.94,0,0
2007-10-17,273.94,273.94,273.94,273.94,0,0
2007-10-18,273.94,273.94,273.94,273.94,0,0
2007-10-19,273.94,273.94,273.94,273.94,0,0
2007-10-22,273.53,273.53,273.53,273.53,0,0
2007-10-23,272.72,272.72,272.72,272.72,0,0
2007-10-24,273.12,273.12,273.12,273.12,0,0
2007-10-25,273.53,273.53,273.53,273.53,0,0
2007-10-26,277.95,277.95,277.95,277.95,0,0
2007-10-29,275.95,275.95,275.95,275.95,0,0
2007-10-30,275.54,275.54,275.54,275.54,0,0
2007-10-31,275.54,275.54,275.54,275.54,0,0
2007-11-02,274.74,274.74,274.74,274.74,0,0
2007-11-05,271.51,271.51,271.51,271.51,0,0
2007-11-06,271.51,271.51,271.51,271.51,0,0
2007-11-07,269.91,269.91,269.91,269.91,0,0
2007-11-08,270.3,270.3,270.3,270.3,0,0
2007-11-09,269.91,271.12,251.78,271.12,0,0
2007-11-12,269.5,271.12,252.99,260.24,0,0
2007-11-13,259.83,259.83,245.73,257.82,0,0
2007-11-14,251.78,259.43,251.78,258.62,0,0
2007-11-15,251.78,258.62,244.12,253.79,0,0
2007-11-16,244.52,253.79,243.72,253.38,0,0
2007-11-19,253.38,253.38,240.9,249.35,0,0
2007-11-20,239.69,246.94,239.69,245.73,0,0
2007-11-21,241.7,241.7,239.69,241.31,0,0
2007-11-22,241.31,241.31,225.59,241.31,0,0
2007-11-23,241.31,245.34,241.31,245.34,0,0
2007-11-26,245.34,253.38,233.64,253.38,0,0
2007-11-27,251.38,251.38,234.05,250.17,0,0
2007-11-28,253.38,261.04,244.12,261.04,0,0
2007-11-29,261.85,271.91,261.04,271.91,0,0
2007-11-30,271.91,281.98,271.91,279.98,0,0
2007-12-03,279.98,281.98,273.94,281.98,0,0
2007-12-04,275.95,281.18,262.25,281.18,0,0
2007-12-05,268.29,281.98,268.29,281.59,0,0
2007-12-06,281.59,281.59,273.94,279.98,0,0
2007-12-10,267.08,279.98,267.08,277.15,0,0
2007-12-11,259.83,263.86,259.83,261.85,0,0
