Date,Open,High,Low,Close,Volume,OpenInt
2008-09-30,167.42,167.42,167.42,167.42,0,0
2008-10-01,156.96,167.42,124.26,124.26,0,0
2008-10-02,129.49,139.96,124.26,124.26,0,0
2008-10-03,124.26,129.49,124.26,126.88,0,0
2008-10-06,117.72,117.72,103.33,104.64,0,0
2008-10-07,108.56,108.56,95.48,100.72,0,0
2008-10-08,91.56,100.72,87.64,96.79,0,0
2008-10-09,98.1,104.64,98.1,99.41,0,0
2008-10-10,87.64,95.48,87.64,91.56,0,0
2008-10-13,98.1,102.02,91.56,102.02,0,0
2008-10-14,109.87,113.8,105.95,105.95,0,0
2008-10-15,115.1,132.11,115.1,120.34,0,0
2008-10-16,115.1,134.72,115.1,129.49,0,0
2008-10-17,133.42,133.42,120.34,125.57,0,0
2008-10-20,130.8,130.8,125.57,126.88,0,0
2008-10-21,125.57,126.88,121.64,121.64,0,0
2008-10-22,117.72,120.34,112.49,115.1,0,0
2008-10-23,112.49,120.34,109.87,120.34,0,0
2008-10-24,115.1,119.03,115.1,117.72,0,0
2008-10-27,119.03,130.16,119.03,130.16,0,0
2008-10-28,131.55,137.09,116.31,117.7,0,0
2008-10-29,121.85,123.24,119.08,123.24,0,0
2008-10-30,121.85,121.85,113.55,117.7,0,0
2008-10-31,114.93,119.08,114.93,119.08,0,0
2008-11-03,126.01,138.47,126.01,138.47,0,0
2008-11-04,141.24,155.09,130.16,139.85,0,0
2008-11-05,139.85,139.85,117.7,117.7,0,0
2008-11-06,112.16,117.7,110.78,110.78,0,0
2008-11-07,113.55,114.93,110.78,114.93,0,0
2008-11-10,117.7,117.7,112.16,112.16,0,0
2008-11-12,110.78,110.78,99.7,99.7,0,0
2008-11-13,96.93,102.47,96.93,96.93,0,0
2008-11-14,101.08,101.08,94.16,96.93,0,0
2008-11-17,95.54,95.54,92.77,94.16,0,0
2008-11-18,94.16,94.16,85.85,88.62,0,0
2008-11-19,85.85,87.24,84.47,85.85,0,0
2008-11-20,78.93,83.08,74.77,76.16,0,0
2008-11-21,78.93,83.08,76.16,78.93,0,0
2008-11-24,78.93,85.85,78.93,84.47,0,0
2008-11-25,84.47,87.24,80.31,81.7,0,0
2008-11-26,81.7,88.62,78.93,88.62,0,0
2008-11-27,88.62,91.39,85.85,85.85,0,0
2008-11-28,85.85,85.85,83.08,84.47,0,0
2008-12-01,84.47,87.24,84.47,84.47,0,0
2008-12-02,81.7,87.24,81.7,85.85,0,0
2008-12-03,87.24,103.85,87.24,103.85,0,0
2008-12-04,105.24,106.62,98.31,98.31,0,0
2008-12-05,96.93,96.93,91.39,91.39,0,0
2008-12-08,94.16,96.93,91.39,95.54,0,0
2008-12-09,95.54,98.31,95.54,98.31,0,0
2008-12-10,96.93,105.24,96.93,101.08,0,0
2008-12-11,101.08,101.08,96.93,98.31,0,0
2008-12-12,94.16,96.93,91.39,94.16,0,0
2008-12-15,95.54,95.54,87.24,90.01,0,0
2008-12-16,88.62,92.77,88.62,90.01,0,0
2008-12-17,90.01,90.01,84.47,84.47,0,0
2008-12-18,85.85,85.85,80.31,81.7,0,0
2008-12-19,80.31,91.39,78.93,90.01,0,0
2008-12-22,90.01,91.39,85.85,85.85,0,0
2008-12-23,85.85,85.85,84.47,85.85,0,0
2008-12-29,84.47,88.62,84.47,85.85,0,0
2008-12-30,84.47,85.85,83.08,84.47,0,0
2008-12-31,84.47,85.85,84.47,84.47,0,0
2009-01-05,87.24,88.62,84.47,85.85,0,0
2009-01-06,84.47,92.77,83.08,91.39,0,0
2009-01-07,92.77,92.77,87.24,87.24,0,0
2009-01-08,85.85,90.01,85.85,85.85,0,0
2009-01-09,87.24,88.62,85.85,85.85,0,0
2009-01-12,84.47,85.85,84.47,84.47,0,0
2009-01-13,84.47,84.47,81.7,84.47,0,0
2009-01-14,85.85,94.16,85.85,85.85,0,0
2009-01-15,88.62,92.77,85.85,90.01,0,0
2009-01-16,91.39,91.39,85.85,85.85,0,0
2009-01-19,85.85,85.85,80.31,80.31,0,0
2009-01-20,80.31,80.31,77.54,77.54,0,0
2009-01-21,76.16,80.31,73.39,78.93,0,0
2009-01-22,80.31,80.31,74.77,77.54,0,0
2009-01-23,76.16,76.16,73.39,76.16,0,0
2009-01-26,76.16,76.16,73.39,73.39,0,0
2009-01-27,74.77,74.77,69.24,69.24,0,0
2009-01-28,70.62,70.62,66.47,69.24,0,0
2009-01-29,67.85,70.62,66.47,67.85,0,0
2009-01-30,67.85,69.24,66.47,69.24,0,0
