Date,Open,High,Low,Close,Volume,OpenInt
2007-10-23,28.2,28.2,28.2,28.2,0,0
2007-10-24,27.9,27.9,27.9,27.9,0,0
2007-10-25,24.4,24.4,24.4,24.4,0,0
2007-10-26,21.5,21.5,21.5,21.5,0,0
2007-10-29,21.9,21.9,21.9,21.9,0,0
2007-10-30,20.5,20.5,20.5,20.5,0,0
2007-10-31,20,20,20,20,0,0
2007-11-02,20.2,20.2,20.2,20.2,0,0
2007-11-05,20.4,20.4,20.4,20.4,0,0
2007-11-06,20.2,20.2,20.2,20.2,0,0
2007-11-07,19,19,19,19,0,0
2007-11-08,19.6,19.6,19.6,19.6,0,0
2007-11-09,20.2,20.2,17.8,19,0,0
2007-11-12,20.1,20.1,18.4,19,0,0
2007-11-13,19,19.3,18.1,18.9,0,0
2007-11-14,19.7,19.7,18.9,19.2,0,0
2007-11-15,19.7,19.7,17.3,17.6,0,0
2007-11-16,16.1,17.6,16.1,16.3,0,0
2007-11-19,17.1,17.1,15.4,15.6,0,0
2007-11-20,15.2,15.2,14.1,14.1,0,0
2007-11-21,14.4,14.4,14.4,14.4,0,0
2007-11-22,14.8,15,13.8,15,0,0
2007-11-23,15,15.1,14.1,14.1,0,0
2007-11-26,14.9,15,14,14.4,0,0
2007-11-27,14.4,14.4,13.4,13.5,0,0
2007-11-28,14.4,15,13.3,14.9,0,0
2007-11-29,15.6,20.4,15.5,20.4,0,0
2007-11-30,21,22.7,19.7,20.7,0,0
2007-12-03,20.7,21.1,19.4,20.4,0,0
2007-12-04,19.6,19.6,17.9,18.4,0,0
2007-12-05,18.2,20.1,17.9,19.7,0,0
2007-12-06,19.3,19.6,18.3,18.9,0,0
2007-12-07,19,19,18.2,18.9,0,0
2007-12-10,18.6,19.7,17.9,18,0,0
2007-12-11,18.5,18.6,17.7,18.4,0,0
2007-12-12,17.7,18.1,17.1,17.8,0,0
2007-12-13,17.2,17.6,17.1,17.6,0,0
2007-12-14,16.8,17.2,16.8,17.2,0,0
2007-12-17,17.3,18.4,16.7,17.7,0,0
2007-12-18,17.9,17.9,16.6,17.1,0,0
2007-12-19,17.2,17.2,16.9,16.9,0,0
2007-12-20,16.9,16.9,16.4,16.4,0,0
2007-12-21,17,17,15.6,16.7,0,0
2007-12-27,15.9,17.1,15.9,16.9,0,0
2007-12-28,16.1,16.7,15.9,16.3,0,0
2008-01-02,16.7,16.9,16,16.7,0,0
2008-01-03,16.7,16.7,15.9,16.3,0,0
2008-01-04,16.3,16.6,15.2,16.5,0,0
2008-01-07,16.3,16.3,15.6,16.1,0,0
