Date,Open,High,Low,Close,Volume,OpenInt
2008-06-06,30.26,30.26,30.26,30.26,0,0
2008-06-09,30.408,31.446,30.26,31.446,0,0
2008-06-10,31.446,31.446,30.333,30.926,0,0
2008-06-11,29.592,30.111,29.592,29.592,0,0
2008-06-12,30.26,32.039,30.26,30.408,0,0
2008-06-13,30.926,30.926,30.926,30.926,0,0
2008-06-16,30.926,30.926,30.926,30.926,0,0
2008-06-17,30.926,30.926,30.926,30.926,0,0
2008-06-18,30.926,30.926,20.025,20.025,0,0
2008-06-19,18.318,20.025,18.318,20.025,0,0
2008-06-20,20.025,20.025,20.025,20.025,0,0
2008-06-23,20.025,20.025,20.025,20.025,0,0
2008-06-24,20.025,20.025,18.468,19.208,0,0
2008-06-25,19.653,19.653,19.653,19.653,0,0
2008-06-26,19.653,19.653,19.653,19.653,0,0
2008-06-27,19.208,19.653,18.318,19.653,0,0
2008-06-30,19.653,19.653,18.096,18.096,0,0
2008-07-01,18.69,18.69,18.392,18.616,0,0
2008-07-04,17.725,18.096,17.725,18.096,0,0
2008-07-08,17.503,17.503,16.464,17.428,0,0
2008-07-09,17.354,17.354,16.613,17.354,0,0
2008-07-10,17.428,17.428,17.354,17.354,0,0
2008-07-11,17.8,17.874,17.8,17.874,0,0
2008-07-14,17.874,17.874,17.874,17.874,0,0
2008-07-15,16.464,18.318,16.464,18.318,0,0
2008-07-16,18.318,18.318,16.464,17.354,0,0
2008-07-17,17.354,17.354,15.574,17.132,0,0
2008-07-21,16.835,16.835,16.835,16.835,0,0
2008-07-22,16.984,16.984,16.984,16.984,0,0
2008-07-23,16.984,16.984,16.984,16.984,0,0
2008-07-24,16.984,16.984,16.984,16.984,0,0
2008-07-25,16.984,16.984,16.984,16.984,0,0
2008-07-28,16.984,16.984,15.574,16.539,0,0
2008-07-30,16.464,16.835,14.981,16.835,0,0
2008-07-31,16.909,16.909,16.909,16.909,0,0
2008-08-01,16.909,16.909,16.909,16.909,0,0
2008-08-04,16.909,16.909,16.835,16.909,0,0
2008-08-05,16.761,16.761,15.278,16.539,0,0
2008-08-06,16.539,16.539,15.649,16.539,0,0
2008-08-07,16.687,16.687,16.613,16.687,0,0
2008-08-08,16.687,16.687,16.687,16.687,0,0
2008-08-11,16.761,16.761,16.761,16.761,0,0
2008-08-12,16.761,16.761,16.687,16.687,0,0
2008-08-13,16.687,16.687,16.687,16.687,0,0
2008-08-14,16.687,16.687,16.687,16.687,0,0
2008-08-18,16.687,16.687,12.534,12.534,0,0
2008-08-19,12.534,12.534,12.534,12.534,0,0
