Date,Open,High,Low,Close,Volume,OpenInt
2008-01-22,168.21,168.21,168.21,168.21,0,0
2008-01-23,171.02,171.02,152.8,167.65,0,0
2008-01-24,167.36,167.93,164.02,164.02,0,0
2008-01-25,154.48,165.13,154.48,158.41,0,0
2008-01-28,157,157,157,157,0,0
2008-01-29,162.6,162.6,154.19,154.19,0,0
2008-01-30,165.41,165.41,165.13,165.41,0,0
2008-01-31,165.41,165.41,164.02,164.02,0,0
2008-02-01,163.17,163.73,154.19,154.19,0,0
2008-02-04,162.47,162.47,157,157,0,0
2008-02-06,156.86,157,154.19,154.19,0,0
2008-02-07,156.72,157,148.59,148.59,0,0
2008-02-08,150,151.39,148.59,151.39,0,0
2008-02-11,142.99,149.15,142.99,149.15,0,0
2008-02-12,143.41,143.41,143.41,143.41,0,0
2008-02-13,151.39,151.39,151.39,151.39,0,0
2008-02-14,152.8,154.19,151.39,151.39,0,0
2008-02-15,145.79,151.95,145.79,151.95,0,0
2008-02-18,158.12,158.12,154.19,154.19,0,0
2008-02-19,154.19,154.19,154.19,154.19,0,0
2008-02-20,153.92,153.92,148.59,148.87,0,0
2008-02-22,151.12,151.39,142.99,150.56,0,0
2008-02-25,150.56,150.56,150.56,150.56,0,0
2008-02-26,154.19,154.19,154.19,154.19,0,0
2008-02-29,141.59,148.59,141.59,141.86,0,0
2008-03-04,153.92,153.92,141.86,151.39,0,0
2008-03-05,153.92,153.92,140.74,142.99,0,0
2008-03-06,151.39,151.39,151.39,151.39,0,0
2008-03-07,146.21,153.35,146.21,153.35,0,0
2008-03-10,153.08,153.08,153.08,153.08,0,0
2008-03-11,152.8,157,152.8,155.6,0,0
2008-03-12,160.23,160.23,155.6,160.23,0,0
2008-03-14,160.08,173.83,160.08,173.83,0,0
2008-03-17,159.8,173.83,157.29,157.71,0,0
2008-03-18,151.39,190.64,151.39,190.64,0,0
2008-03-19,187.84,190.5,172.57,172.57,0,0
2008-03-20,181.95,182.08,168.21,168.21,0,0
2008-03-25,181.39,181.39,173.83,173.83,0,0
2008-03-26,181.54,195.83,181.11,195.83,0,0
2008-03-27,207.75,221.48,195.83,221.48,0,0
2008-03-28,229.76,229.76,207.47,215.87,0,0
2008-03-31,220.08,220.08,220.08,220.08,0,0
2008-04-01,223.45,223.45,197.08,205.93,0,0
2008-04-02,197.65,204.1,197.08,203.82,0,0
2008-04-03,193.87,201.44,193.74,198.35,0,0
2008-04-04,201.86,202.98,196.26,199.06,0,0
2008-04-07,203.4,203.4,193.45,200.17,0,0
2008-04-08,196.26,196.26,185.6,185.6,0,0
2008-04-09,190.64,192.32,182.23,192.32,0,0
2008-04-10,196.26,196.26,185.04,196.26,0,0
2008-04-11,193.45,196.26,187.84,193.45,0,0
2008-04-14,194.85,194.85,179.43,179.57,0,0
2008-04-15,190.64,190.64,168.35,168.35,0,0
2008-04-16,161.49,171.02,154.19,170.6,0,0
2008-04-17,175.93,175.93,170.74,170.74,0,0
2008-04-18,173.83,176.62,173.83,173.83,0,0
2008-04-21,173.83,175.78,163.17,175.78,0,0
2008-04-22,174.38,174.52,174.38,174.52,0,0
2008-04-23,175.08,175.08,173.69,174.52,0,0
2008-04-24,173.83,174.52,173.69,173.69,0,0
2008-04-25,173.83,173.83,171.02,171.02,0,0
2008-04-28,173.55,173.55,166.82,170.74,0,0
2008-04-29,172.14,172.43,165.41,172.43,0,0
2008-04-30,172.43,172.43,164.02,171.86,0,0
2008-05-05,171.02,171.02,171.02,171.02,0,0
2008-05-06,171.02,176.62,171.02,176.62,0,0
2008-05-07,168.35,176.21,168.35,176.21,0,0
2008-05-08,176.34,176.34,173.83,173.83,0,0
2008-05-09,176.07,176.62,167.93,176.62,0,0
2008-05-12,176.62,176.62,166.11,176.34,0,0
2008-05-13,176.07,176.07,168.63,169.48,0,0
2008-05-14,173.13,173.13,169.62,169.62,0,0
2008-05-15,172.84,175.23,171.02,171.02,0,0
2008-05-16,173.55,175.23,173.55,175.23,0,0
2008-05-19,175.08,175.08,165.41,174.38,0,0
2008-05-20,173.55,173.55,164.15,166.54,0,0
2008-05-21,172.43,172.43,167.09,167.09,0,0
2008-05-23,167.09,171.86,167.09,171.86,0,0
2008-05-26,171.02,171.44,164.02,167.8,0,0
2008-05-27,171.16,171.44,166.11,171.02,0,0
2008-05-28,170.88,171.02,170.88,171.02,0,0
2008-05-29,170.88,171.02,166.39,170.6,0,0
2008-05-30,170.6,170.74,170.6,170.74,0,0
2008-06-02,170.74,170.74,170.74,170.74,0,0
2008-06-03,168.08,170.74,168.08,170.74,0,0
2008-06-04,168.08,168.08,165.41,165.7,0,0
2008-06-05,167.8,167.8,165.7,165.7,0,0
2008-06-06,167.93,167.93,160.23,160.23,0,0
2008-06-09,162.33,162.33,160.23,162.33,0,0
2008-06-10,161.9,162.33,159.8,159.8,0,0
2008-06-11,159.8,159.8,159.8,159.8,0,0
2008-06-12,158.27,162.33,154.19,162.33,0,0
2008-06-13,162.33,162.33,162.33,162.33,0,0
2008-06-16,167.51,167.51,167.51,167.51,0,0
2008-06-17,167.23,167.51,167.23,167.36,0,0
2008-06-18,167.93,167.93,167.93,167.93,0,0
2008-06-19,167.36,167.36,167.36,167.36,0,0
2008-06-20,167.36,167.36,167.36,167.36,0,0
2008-06-23,167.93,167.93,167.36,167.93,0,0
2008-06-24,167.36,175.23,167.36,167.93,0,0
2008-06-25,166.82,166.82,162.89,163.17,0,0
2008-06-26,166.82,167.93,166.82,167.93,0,0
2008-06-27,167.65,167.65,167.65,167.65,0,0
2008-06-30,184.06,184.06,170.88,170.88,0,0
2008-07-01,175.23,175.23,175.23,175.23,0,0
2008-07-02,174.38,318.64,174.38,318.64,0,0
2008-07-03,314.29,314.81,314.29,314.81,0,0
2008-07-04,318.39,318.39,318.39,318.39,0,0
2008-07-07,318.64,318.64,298.17,311.74,0,0
2008-07-08,311.74,311.74,281.55,306.36,0,0
2008-07-09,305.6,305.6,291.77,305.08,0,0
2008-07-10,305.08,305.08,305.08,305.08,0,0
2008-07-11,304.57,309.18,299.97,306.62,0,0
2008-07-14,305.08,305.08,294.33,302.78,0,0
2008-07-15,301.76,301.76,281.55,291.26,0,0
2008-07-16,301.24,301.24,301.24,301.24,0,0
2008-07-17,291.26,302.02,291.26,302.02,0,0
2008-07-18,296.89,296.89,291.77,296.64,0,0
2008-07-21,296.38,296.38,281.8,296.13,0,0
2008-07-22,296.13,296.13,276.17,290.75,0,0
2008-07-23,286.65,290.75,272.06,287.67,0,0
2008-07-24,274.88,285.63,273.85,281.28,0,0
2008-07-25,284.35,284.35,272.32,275.14,0,0
2008-07-28,278.98,278.98,255.94,268.22,0,0
2008-07-29,267.97,267.97,254.16,255.89,0,0
2008-07-30,266.69,266.69,266.18,266.18,0,0
2008-07-31,266.18,280.52,263.62,268.48,0,0
2008-08-01,268.48,268.48,268.48,268.48,0,0
2008-08-04,268.22,268.22,255.94,255.94,0,0
2008-08-05,264.64,264.64,251.43,251.43,0,0
2008-08-06,264.9,264.9,261.06,263.62,0,0
2008-08-07,262.84,264.9,262.84,264.9,0,0
2008-08-08,264.9,264.9,255.89,255.94,0,0
2008-08-11,255.94,262.59,255.94,262.59,0,0
2008-08-12,261.06,261.06,250.73,258.24,0,0
2008-08-13,258.5,258.5,258.5,258.5,0,0
2008-08-14,258.5,258.5,258.5,258.5,0,0
2008-08-18,258.5,258.5,258.5,258.5,0,0
2008-08-19,258.5,258.5,258.5,258.5,0,0
2008-08-20,258.5,261.57,258.5,261.57,0,0
2008-08-21,261.31,261.31,261.31,261.31,0,0
2008-08-22,260.29,260.29,260.29,260.29,0,0
2008-08-25,260.29,260.29,260.29,260.29,0,0
2008-08-26,260.29,260.29,246.22,260.29,0,0
2008-08-27,257.99,257.99,257.99,257.99,0,0
2008-08-28,257.99,257.99,257.99,257.99,0,0
2008-08-29,257.22,257.22,248.36,248.36,0,0
2008-09-01,258.5,258.5,258.5,258.5,0,0
2008-09-02,258.24,258.24,258.24,258.24,0,0
2008-09-03,258.24,258.24,258.24,258.24,0,0
2008-09-04,258.24,260.04,247.33,260.04,0,0
2008-09-08,260.04,260.04,247.25,247.25,0,0
2008-09-09,255.68,255.68,255.43,255.43,0,0
2008-09-10,255.17,255.17,250.82,255.17,0,0
2008-09-11,255.17,255.17,252.36,252.62,0,0
2008-09-12,252.62,252.62,252.62,252.62,0,0
2008-09-18,250.82,250.82,250.82,250.82,0,0
2008-09-19,252.56,252.56,250.82,252.56,0,0
2008-09-22,242.32,242.94,233.67,233.67,0,0
2008-09-23,242.83,242.83,240.43,240.43,0,0
2008-09-24,242.58,242.58,240.43,242.58,0,0
2008-09-25,242.89,242.89,240.54,242.89,0,0
2008-09-26,242.78,242.83,242.78,242.83,0,0
2008-09-29,244.12,244.12,240.48,240.48,0,0
2008-09-30,210.38,234.76,210.38,234.76,0,0
2008-10-01,240.43,240.43,225.23,230.3,0,0
2008-10-02,230.3,238.07,230.3,238.07,0,0
2008-10-03,237.56,237.56,224.72,235.36,0,0
2008-10-06,225.23,234.44,225.23,234.44,0,0
2008-10-07,233.82,233.82,220.11,220.11,0,0
2008-10-08,220.11,220.11,191.96,204.76,0,0
2008-10-09,201.48,201.48,201.37,201.42,0,0
2008-10-10,214.88,214.88,189.39,208.33,0,0
2008-10-13,214.48,214.48,208.33,214.23,0,0
2008-10-14,214.48,214.48,204.76,213.77,0,0
2008-10-15,213.4,213.4,199.63,202.19,0,0
2008-10-16,194.87,202.14,194.87,202.14,0,0
2008-10-17,202.04,202.04,186.93,193.8,0,0
2008-10-20,193.44,193.44,193.44,193.44,0,0
2008-10-21,188.12,188.12,179.67,179.67,0,0
2008-10-22,193.95,193.95,174.6,174.6,0,0
2008-10-23,183.2,183.2,169.42,177.32,0,0
2008-10-24,177.32,177.32,168.91,174.04,0,0
2008-10-27,177.27,177.27,166.36,168.83,0,0
2008-10-28,177.27,177.27,177.27,177.27,0,0
2008-10-29,167.49,174.04,159.55,174.04,0,0
2008-10-30,177.32,177.32,177.32,177.32,0,0
2008-11-03,168.91,168.91,164.33,168.66,0,0
2008-11-04,174.45,177.47,174.45,177.47,0,0
2008-11-05,182.23,182.23,177.47,178.64,0,0
2008-11-06,174.04,178.64,174.04,174.04,0,0
2008-11-07,182.23,182.23,174.04,182.23,0,0
2008-11-10,179.36,179.36,169.42,178.9,0,0
2008-11-12,179.36,179.36,168.91,170.45,0,0
2008-11-13,170.45,170.45,170.41,170.41,0,0
2008-11-14,174.55,174.55,166.36,174.5,0,0
2008-11-17,174.04,174.04,164.83,171.99,0,0
2008-11-18,171.48,171.48,171.48,171.48,0,0
2008-11-19,167.9,167.9,158.63,163.91,0,0
2008-11-20,160.74,160.74,160.68,160.68,0,0
2008-11-21,160.48,160.68,158.69,158.69,0,0
2008-11-24,156.12,156.12,153.15,153.15,0,0
2008-11-25,150.49,150.49,148.45,150.49,0,0
2008-11-26,151,151,147.42,150.49,0,0
2008-11-27,149.42,149.42,149.42,149.42,0,0
2008-11-28,148.19,148.19,148.19,148.19,0,0
2008-12-01,143.84,150.49,143.84,150.49,0,0
2008-12-02,149.47,150.49,148.95,148.95,0,0
2008-12-03,148.95,153.57,148.95,153.57,0,0
2008-12-04,153.15,153.15,153.15,153.15,0,0
2008-12-05,153.57,153.57,145.89,151.97,0,0
2008-12-08,153.57,154.23,146.91,154.23,0,0
2008-12-09,146.4,146.4,145.89,145.89,0,0
2008-12-10,140.77,145.62,140.77,145.62,0,0
2008-12-11,145.62,145.62,145.62,145.62,0,0
2008-12-12,145.62,145.62,139.23,143.33,0,0
2008-12-15,151.78,151.78,151.52,151.52,0,0
2008-12-16,151.52,151.52,140.77,147.42,0,0
2008-12-17,151,151,149.98,149.98,0,0
2008-12-18,151.78,151.78,150.49,150.49,0,0
2008-12-19,149.98,149.98,149.73,149.73,0,0
2008-12-22,149.47,149.47,149.21,149.21,0,0
2008-12-23,149.47,158.69,149.47,158.69,0,0
2008-12-29,158.63,158.69,154.17,154.17,0,0
2008-12-30,158.69,158.69,145.89,152.54,0,0
2008-12-31,154.13,157.04,154.13,157.04,0,0
2009-01-05,157.04,159.55,151.57,151.57,0,0
2009-01-06,152.64,152.64,152.64,152.64,0,0
2009-01-07,151.57,151.57,148.45,148.45,0,0
2009-01-08,149.47,149.47,149.47,149.47,0,0
2009-01-09,150.49,150.49,150.49,150.49,0,0
2009-01-12,152.13,152.13,144.92,149.42,0,0
2009-01-13,142.82,149.93,142.82,149.47,0,0
2009-01-14,147.79,147.79,147.16,147.16,0,0
2009-01-15,146.19,147.16,146.19,146.19,0,0
2009-01-16,145.11,145.11,145.11,145.11,0,0
2009-01-19,147.11,147.11,147.11,147.11,0,0
2009-01-20,144.55,144.55,138.83,144.55,0,0
2009-01-21,147.11,147.11,136.78,142.25,0,0
2009-01-22,142.15,142.15,142.15,142.15,0,0
2009-01-23,147.11,147.11,147.11,147.11,0,0
2009-01-26,145.11,145.11,136.78,136.78,0,0
2009-01-27,137.03,137.03,137.03,137.03,0,0
2009-01-28,142.72,142.72,137.03,142.72,0,0
2009-01-29,142.72,143.79,142.72,143.79,0,0
2009-01-30,143.79,144.3,143.79,144.3,0,0
2009-02-02,144.3,144.3,144.3,144.3,0,0
2009-02-03,144.3,144.3,144.3,144.3,0,0
2009-02-04,138.67,144.3,137.18,137.18,0,0
2009-02-05,138.67,138.67,133.09,138.67,0,0
2009-02-06,138.67,138.67,138.67,138.67,0,0
2009-02-09,144.3,144.3,144.3,144.3,0,0
2009-02-10,144.3,144.3,144.3,144.3,0,0
2009-02-11,138.67,138.67,132.07,138.67,0,0
2009-02-12,138.67,138.67,127.98,133.09,0,0
2009-02-13,136.62,136.62,133.09,136.62,0,0
2009-02-16,135.59,135.59,135.59,135.59,0,0
2009-02-17,135.59,135.59,122.09,130.94,0,0
2009-02-18,130.94,130.94,130.94,130.94,0,0
2009-02-19,130.94,130.94,127.98,130.94,0,0
2009-02-20,130.94,130.94,116.76,130.94,0,0
2009-02-23,130.94,130.94,130.94,130.94,0,0
2009-02-24,130.94,130.94,130.84,130.84,0,0
2009-02-25,130.79,130.79,130.79,130.79,0,0
2009-02-26,130.79,130.79,124.64,124.64,0,0
2009-02-27,125.21,125.21,119.33,125.15,0,0
2009-03-02,125.15,125.15,125.15,125.15,0,0
2009-03-03,125.15,125.15,125.15,125.15,0,0
2009-03-04,129.71,129.71,129.71,129.71,0,0
2009-03-05,127.92,127.92,127.92,127.92,0,0
2009-03-06,117.73,117.73,115.17,117.73,0,0
2009-03-09,122.7,122.7,122.7,122.7,0,0
2009-03-10,120.24,120.24,117.73,117.73,0,0
2009-03-11,117.73,120.24,117.73,120.24,0,0
2009-03-12,119.84,119.84,114.14,117.68,0,0
2009-03-13,117.68,119.84,114.2,114.2,0,0
2009-03-16,109.03,115.11,109.03,115.11,0,0
2009-03-17,112.6,112.6,112.6,112.6,0,0
2009-03-18,110.05,110.05,105.04,107.75,0,0
2009-03-19,110.1,110.15,105.55,105.55,0,0
2009-03-20,110.82,110.82,105.65,105.65,0,0
2009-03-23,105.65,105.65,105.65,105.65,0,0
2009-03-24,102.79,102.79,102.79,102.79,0,0
2009-03-25,107.5,110.01,106.42,110.01,0,0
2009-03-26,115.49,115.53,115.49,115.49,0,0
2009-03-27,112.87,115.63,112.87,115.63,0,0
2009-03-30,104.27,114.14,104.27,109.59,0,0
2009-03-31,110.72,114.09,106.11,106.11,0,0
2009-04-01,110.05,114.09,110.05,114.09,0,0
2009-04-02,112.6,114.09,111.59,112.6,0,0
2009-04-03,116.09,120.24,112.87,120.24,0,0
2009-04-06,120.18,122.7,120.18,122.7,0,0
2009-04-07,122.85,126.38,122.85,122.91,0,0
2009-04-08,123.88,135.13,123.88,135.13,0,0
2009-04-09,133.09,139.23,133.09,138.06,0,0
2009-04-14,142.56,142.82,138.06,142.82,0,0
2009-04-15,142.76,142.76,142.76,142.76,0,0
2009-04-16,145.89,145.89,142.76,145.84,0,0
2009-04-17,139.74,145.37,139.74,145.37,0,0
2009-04-20,145.84,145.84,145.84,145.84,0,0
2009-04-21,139.74,145.84,139.74,145.62,0,0
2009-04-22,141.79,145.37,141.79,145.37,0,0
2009-04-23,145.33,145.37,145.33,145.37,0,0
2009-04-24,145.37,145.37,140.26,140.26,0,0
2009-04-27,139.23,139.23,139.23,139.23,0,0
2009-04-29,134.37,134.37,134.37,134.37,0,0
2009-04-30,130.53,130.53,130.53,130.53,0,0
2009-05-04,132.07,133.81,127.47,133.81,0,0
2009-05-05,133.3,133.3,133.3,133.3,0,0
2009-05-06,127.98,133.7,127.98,130.53,0,0
2009-05-07,128.07,128.07,128.02,128.02,0,0
2009-05-08,130.79,130.79,130.53,130.53,0,0
2009-05-11,128.02,130.94,128.02,130.94,0,0
2009-05-12,130.89,130.89,130.89,130.89,0,0
2009-05-13,127.51,127.51,127.51,127.51,0,0
2009-05-14,125.41,127.51,125.41,125.41,0,0
2009-05-15,124.9,124.9,124.9,124.9,0,0
2009-05-18,125.41,125.41,125.41,125.41,0,0
2009-05-19,123.88,126.28,123.88,126.28,0,0
2009-05-20,129.97,131.05,129.97,131.05,0,0
2009-05-21,127.09,130.02,126.95,130.02,0,0
2009-05-22,130.53,140.77,130.53,137.44,0,0
2009-05-25,145.62,153.57,137.44,153.57,0,0
2009-05-26,158.69,167.63,156.12,156.12,0,0
2009-05-27,149.07,156.12,141.79,148.45,0,0
2009-05-28,143.84,152.03,143.84,152.03,0,0
2009-05-29,152.03,152.03,148.45,152.03,0,0
2009-06-01,152.03,156.63,152.03,156.12,0,0
2009-06-02,152.29,155.56,151,155.56,0,0
2009-06-03,149.01,155.56,149.01,149.73,0,0
2009-06-05,151,151,151,151,0,0
2009-06-08,147.94,147.94,147.94,147.94,0,0
2009-06-09,148.95,148.95,148.95,148.95,0,0
2009-06-10,148.95,148.95,143.33,147.88,0,0
2009-06-12,141.84,180.18,141.84,180.18,0,0
2009-06-15,180.7,180.7,163.85,172.96,0,0
2009-06-16,172.91,174.04,172.76,172.76,0,0
2009-06-17,172.76,172.76,163.81,167.9,0,0
2009-06-18,167.63,167.63,161.19,165.84,0,0
2009-06-19,165.08,165.08,158.69,158.69,0,0
2009-06-22,161.25,161.25,157.66,157.66,0,0
2009-06-23,158.69,158.69,153.57,153.57,0,0
2009-06-24,154.8,154.8,154.8,154.8,0,0
2009-06-25,150.64,156.38,150.59,156.38,0,0
2009-06-26,156.38,157.15,156.38,156.38,0,0
2009-06-29,156.12,156.12,156.12,156.12,0,0
2009-06-30,153.57,153.57,153.26,153.26,0,0
2009-07-01,153.06,153.06,153.06,153.06,0,0
2009-07-02,155.87,155.87,152.03,155.87,0,0
2009-07-03,158.17,158.17,155.87,158.17,0,0
2009-07-06,156.9,156.9,156.9,156.9,0,0
2009-07-07,150.03,158.69,150.03,158.69,0,0
2009-07-08,158.63,160.11,155.1,160.11,0,0
2009-07-09,158.69,159.71,156.12,158.69,0,0
2009-07-10,158.69,158.69,158.69,158.69,0,0
2009-07-13,163.76,163.76,155.1,155.1,0,0
2009-07-14,155.15,158.38,155.15,158.38,0,0
2009-07-15,158.53,158.53,158.53,158.53,0,0
2009-07-16,158.53,159.71,158.53,159.71,0,0
2009-07-17,159.66,159.66,159.66,159.66,0,0
2009-07-20,158.69,158.69,153.57,157.66,0,0
2009-07-21,157.66,157.66,157.66,157.66,0,0
2009-07-22,159.66,159.66,153.66,157.6,0,0
2009-07-23,153.61,156.12,153.61,156.12,0,0
2009-07-24,159.6,159.6,159.6,159.6,0,0
2009-07-27,157.66,158.69,157.66,157.72,0,0
2009-07-28,157.41,157.41,157.41,157.41,0,0
2009-07-29,153.61,157.25,153.57,153.57,0,0
2009-07-30,155.36,156.63,155.36,156.58,0,0
2009-07-31,159.71,159.71,154.64,154.64,0,0
2009-08-03,154.58,162.16,153.57,162.16,0,0
2009-08-04,159.71,162.16,158.69,158.69,0,0
2009-08-05,159.71,162.16,157.15,160.27,0,0
2009-08-06,161.25,163.76,159.71,163.76,0,0
2009-08-07,163.81,166.32,159.76,161.5,0,0
2009-08-10,160.22,163.81,160.22,160.22,0,0
2009-08-11,159.92,159.92,153.32,153.32,0,0
2009-08-12,149.98,153.32,147.07,147.07,0,0
2009-08-13,151.52,153.46,148.45,148.45,0,0
2009-08-14,147.42,151.37,145.89,151.27,0,0
