Date,Open,High,Low,Close,Volume,OpenInt
2007-08-13,23.728,23.728,23.728,23.728,0,0
2007-08-14,24.21,24.21,24.21,24.21,0,0
2007-08-16,22.351,22.351,22.351,22.351,0,0
2007-08-17,23.551,23.551,23.551,23.551,0,0
2007-08-20,24.711,24.711,24.711,24.711,0,0
2007-08-21,23.128,23.128,23.128,23.128,0,0
2007-08-22,26.865,26.865,26.865,26.865,0,0
2007-08-23,29.815,29.815,29.815,29.815,0,0
2007-08-24,31.044,31.044,31.044,31.044,0,0
2007-08-27,35.754,35.754,35.754,35.754,0,0
2007-08-28,36.413,36.413,36.413,36.413,0,0
2007-08-29,36.147,36.147,36.147,36.147,0,0
2007-08-30,37.908,37.908,37.908,37.908,0,0
2007-08-31,38.507,38.507,38.507,38.507,0,0
2007-09-03,36.865,36.865,36.865,36.865,0,0
2007-09-04,37.308,37.308,37.308,37.308,0,0
2007-09-05,37.278,37.278,37.278,37.278,0,0
2007-09-06,35.518,35.518,35.518,35.518,0,0
2007-09-07,35.666,35.666,35.666,35.666,0,0
2007-09-10,33.994,33.994,33.994,33.994,0,0
2007-09-11,36.147,36.147,36.147,36.147,0,0
2007-09-12,39.668,39.668,39.668,39.668,0,0
2007-09-13,39.845,39.845,39.845,39.845,0,0
2007-09-14,39.245,39.245,39.245,39.245,0,0
2007-09-17,38.802,38.802,38.802,38.802,0,0
2007-09-18,38.321,38.321,38.321,38.321,0,0
2007-09-19,37.455,37.455,37.455,37.455,0,0
2007-09-20,40.563,40.563,40.563,40.563,0,0
2007-09-21,42.087,42.087,42.087,42.087,0,0
2007-09-24,42.677,42.677,42.677,42.677,0,0
2007-09-25,42.893,42.893,42.893,42.893,0,0
2007-09-26,43.424,43.424,43.424,43.424,0,0
2007-09-27,43.011,43.011,43.011,43.011,0,0
2007-09-28,43.699,43.699,43.699,43.699,0,0
2007-10-01,42.087,42.087,42.087,42.087,0,0
2007-10-02,42.834,42.834,42.834,42.834,0,0
2007-10-03,43.277,43.277,43.277,43.277,0,0
2007-10-04,45.184,45.184,45.184,45.184,0,0
2007-10-05,44.742,44.742,44.742,44.742,0,0
2007-10-08,45.961,45.961,45.961,45.961,0,0
2007-10-09,48.655,48.655,48.655,48.655,0,0
2007-10-10,49.157,49.157,49.157,49.157,0,0
2007-10-11,48.655,48.655,48.655,48.655,0,0
2007-10-12,45.125,45.125,45.125,45.125,0,0
2007-10-15,50.386,50.386,50.386,50.386,0,0
2007-10-16,48.498,48.498,48.498,48.498,0,0
2007-10-17,49.186,49.186,49.186,49.186,0,0
2007-10-18,50.593,50.593,50.593,50.593,0,0
