Date,Open,High,Low,Close,Volume,OpenInt
2007-08-13,152.99,152.99,152.99,152.99,0,0
2007-08-14,147.59,147.59,147.59,147.59,0,0
2007-08-16,116.37,116.37,116.37,116.37,0,0
2007-08-17,119.49,119.49,119.49,119.49,0,0
2007-08-20,130.57,130.57,130.57,130.57,0,0
2007-08-21,124.89,124.89,124.89,124.89,0,0
2007-08-22,129.14,129.14,129.14,129.14,0,0
2007-08-23,141.06,141.06,141.06,141.06,0,0
2007-08-24,142.2,142.2,142.2,142.2,0,0
2007-08-27,141.63,141.63,141.63,141.63,0,0
2007-08-28,138.51,138.51,138.51,138.51,0,0
2007-08-29,140.21,140.21,140.21,140.21,0,0
2007-08-30,141.63,141.63,141.63,141.63,0,0
2007-08-31,144.18,144.18,144.18,144.18,0,0
2007-09-03,141.92,141.92,141.92,141.92,0,0
2007-09-04,141.92,141.92,141.92,141.92,0,0
2007-09-05,143.33,143.33,143.33,143.33,0,0
2007-09-06,138.23,138.23,138.23,138.23,0,0
2007-09-07,133.12,133.12,133.12,133.12,0,0
2007-09-10,127.72,127.72,127.72,127.72,0,0
2007-09-11,129.14,129.14,129.14,129.14,0,0
2007-09-12,127.72,127.72,127.72,127.72,0,0
2007-09-13,132.55,132.55,132.55,132.55,0,0
2007-09-14,128.29,128.29,128.29,128.29,0,0
2007-09-17,127.72,127.72,127.72,127.72,0,0
2007-09-18,121.48,121.48,121.48,121.48,0,0
2007-09-19,136.24,136.24,136.24,136.24,0,0
2007-09-20,133.4,133.4,133.4,133.4,0,0
2007-09-21,133.12,133.12,133.12,133.12,0,0
2007-09-24,129.14,129.14,129.14,129.14,0,0
2007-09-25,131.98,131.98,131.98,131.98,0,0
2007-09-26,127.72,127.72,127.72,127.72,0,0
2007-09-27,131.98,131.98,131.98,131.98,0,0
2007-09-28,127.72,127.72,127.72,127.72,0,0
2007-10-01,131.42,131.42,131.42,131.42,0,0
2007-10-02,129.14,129.14,129.14,129.14,0,0
2007-10-03,127.72,127.72,127.72,127.72,0,0
2007-10-04,126.31,126.31,126.31,126.31,0,0
2007-10-05,130.57,130.57,130.57,130.57,0,0
2007-10-08,132.83,132.83,132.83,132.83,0,0
2007-10-09,132.55,132.55,132.55,132.55,0,0
2007-10-10,136.24,136.24,136.24,136.24,0,0
2007-10-11,133.4,133.4,133.4,133.4,0,0
