Date,Open,High,Low,Close,Volume,OpenInt
2007-08-13,36,36,36,36,0,0
2007-08-14,35,35,35,35,0,0
2007-08-16,29,29,29,29,0,0
2007-08-17,33,33,33,33,0,0
2007-08-20,37,37,37,37,0,0
2007-08-21,36,36,36,36,0,0
2007-08-22,37,37,37,37,0,0
2007-08-23,36,36,36,36,0,0
2007-08-24,36,36,36,36,0,0
2007-08-27,36,36,36,36,0,0
2007-08-28,37,37,37,37,0,0
2007-08-29,36,36,36,36,0,0
2007-08-30,36,36,36,36,0,0
2007-08-31,36,36,36,36,0,0
2007-09-03,40,40,40,40,0,0
2007-09-04,41,41,41,41,0,0
2007-09-05,39,39,39,39,0,0
2007-09-06,40,40,40,40,0,0
2007-09-07,38,38,38,38,0,0
2007-09-10,37,37,37,37,0,0
2007-09-11,38,38,38,38,0,0
2007-09-12,38,38,38,38,0,0
2007-09-13,38,38,38,38,0,0
2007-09-14,38,38,38,38,0,0
2007-09-17,40,40,40,40,0,0
2007-09-18,41,41,41,41,0,0
2007-09-19,41,41,41,41,0,0
2007-09-20,41,41,41,41,0,0
2007-09-21,42,42,42,42,0,0
2007-09-24,42,42,42,42,0,0
2007-09-25,41,41,41,41,0,0
2007-09-26,41,41,41,41,0,0
2007-09-27,40,40,40,40,0,0
2007-09-28,42,42,42,42,0,0
2007-10-01,40,40,40,40,0,0
2007-10-02,38,38,38,38,0,0
2007-10-03,36,36,36,36,0,0
2007-10-04,33,33,33,33,0,0
2007-10-05,33,33,33,33,0,0
2007-10-08,33,33,33,33,0,0
2007-10-09,31,31,31,31,0,0
2007-10-10,31,31,31,31,0,0
2007-10-11,31,31,31,31,0,0
2007-10-12,31,31,31,31,0,0
2007-10-15,34,34,34,34,0,0
2007-10-16,32,32,32,32,0,0
2007-10-17,33,33,33,33,0,0
2007-10-18,32,32,32,32,0,0
2007-10-19,32,32,32,32,0,0
2007-10-22,31,31,31,31,0,0
2007-10-23,30,30,30,30,0,0
2007-10-24,30,30,30,30,0,0
2007-10-25,30,30,30,30,0,0
2007-10-26,30,30,30,30,0,0
2007-10-29,29,29,29,29,0,0
2007-10-30,30,30,30,30,0,0
2007-10-31,30,30,30,30,0,0
2007-11-02,30,30,30,30,0,0
2007-11-05,29,29,29,29,0,0
2007-11-06,26,26,26,26,0,0
2007-11-07,24,24,24,24,0,0
2007-11-08,22,22,22,22,0,0
2007-11-09,22,22,19,19,0,0
2007-11-12,19,20,18,18,0,0
2007-11-13,19,20,19,20,0,0
2007-11-14,21,21,20,20,0,0
2007-11-15,20,20,18,19,0,0
2007-11-16,19,19,17,18,0,0
2007-11-19,19,19,18,18,0,0
2007-11-20,17,17,17,17,0,0
2007-11-21,16,16,16,16,0,0
2007-11-22,16,17,15,16,0,0
2007-11-23,17,17,16,17,0,0
2007-11-26,17,18,16,17,0,0
2007-11-27,16,17,16,17,0,0
2007-11-28,17,18,16,18,0,0
2007-11-29,18,19,17,18,0,0
2007-11-30,17,18,17,18,0,0
2007-12-03,17,18,17,17,0,0
2007-12-04,17,17,16,17,0,0
2007-12-05,17,18,16,18,0,0
2007-12-06,15,165,14,165,0,0
2007-12-07,165,165,154,154,0,0
2007-12-10,154,154,143,154,0,0
2007-12-11,154,165,154,154,0,0
2007-12-12,143,154,143,154,0,0
2007-12-13,154,154,143,154,0,0
2007-12-14,154,154,143,143,0,0
2007-12-17,132,143,132,132,0,0
2007-12-18,132,143,121,132,0,0
