Date,Open,High,Low,Close,Volume,OpenInt
2007-08-13,2.0539,2.0539,2.0539,2.0539,0,0
2007-08-14,1.9585,1.9585,1.9585,1.9585,0,0
2007-08-16,1.5842,1.5842,1.5842,1.5842,0,0
2007-08-17,1.7276,1.7276,1.7276,1.7276,0,0
2007-08-20,1.815,1.815,1.815,1.815,0,0
2007-08-21,1.632,1.632,1.632,1.632,0,0
2007-08-22,1.7116,1.7116,1.7116,1.7116,0,0
2007-08-23,1.7276,1.7276,1.7276,1.7276,0,0
2007-08-24,1.7435,1.7435,1.7435,1.7435,0,0
2007-08-27,1.831,1.831,1.831,1.831,0,0
2007-08-28,1.7992,1.7992,1.7992,1.7992,0,0
2007-08-29,1.8708,1.8708,1.8708,1.8708,0,0
2007-08-30,1.9267,1.9267,1.9267,1.9267,0,0
2007-08-31,2.0141,2.0141,2.0141,2.0141,0,0
2007-09-03,2.0937,2.0937,2.0937,2.0937,0,0
2007-09-04,2.277,2.277,2.277,2.277,0,0
2007-09-05,2.3008,2.3008,2.3008,2.3008,0,0
2007-09-06,2.2929,2.2929,2.2929,2.2929,0,0
2007-09-07,2.1257,2.1257,2.1257,2.1257,0,0
2007-09-10,2.0859,2.0859,2.0859,2.0859,0,0
2007-09-11,2.1337,2.1337,2.1337,2.1337,0,0
2007-09-12,2.1177,2.1177,2.1177,2.1177,0,0
2007-09-13,2.1654,2.1654,2.1654,2.1654,0,0
2007-09-14,2.1893,2.1893,2.1893,2.1893,0,0
2007-09-17,2.1177,2.1177,2.1177,2.1177,0,0
2007-09-18,2.1574,2.1574,2.1574,2.1574,0,0
2007-09-19,2.1973,2.1973,2.1973,2.1973,0,0
2007-09-20,2.1893,2.1893,2.1893,2.1893,0,0
2007-09-21,2.2052,2.2052,2.2052,2.2052,0,0
2007-09-24,2.1574,2.1574,2.1574,2.1574,0,0
2007-09-25,2.0937,2.0937,2.0937,2.0937,0,0
2007-09-26,2.1416,2.1416,2.1416,2.1416,0,0
2007-09-27,2.1416,2.1416,2.1416,2.1416,0,0
2007-09-28,2.0779,2.0779,2.0779,2.0779,0,0
2007-10-01,2.0461,2.0461,2.0461,2.0461,0,0
2007-10-02,2.0381,2.0381,2.0381,2.0381,0,0
2007-10-03,2.0301,2.0301,2.0301,2.0301,0,0
2007-10-04,2.0141,2.0141,2.0141,2.0141,0,0
2007-10-05,2.1018,2.1018,2.1018,2.1018,0,0
2007-10-08,2.1416,2.1416,2.1416,2.1416,0,0
2007-10-09,2.1574,2.1574,2.1574,2.1574,0,0
2007-10-10,2.0779,2.0779,2.0779,2.0779,0,0
2007-10-11,2.1973,2.1973,2.1973,2.1973,0,0
2007-10-12,2.1654,2.1654,2.1654,2.1654,0,0
2007-10-15,2.245,2.245,2.245,2.245,0,0
2007-10-16,2.253,2.253,2.253,2.253,0,0
2007-10-17,2.261,2.261,2.261,2.261,0,0
2007-10-18,2.3008,2.3008,2.3008,2.3008,0,0
2007-10-19,2.2929,2.2929,2.2929,2.2929,0,0
2007-10-22,2.1893,2.1893,2.1893,2.1893,0,0
2007-10-23,2.1416,2.1416,2.1416,2.1416,0,0
2007-10-24,2.1734,2.1734,2.1734,2.1734,0,0
2007-10-25,2.1734,2.1734,2.1734,2.1734,0,0
2007-10-26,2.1654,2.1654,2.1654,2.1654,0,0
2007-10-29,2.1337,2.1337,2.1337,2.1337,0,0
2007-10-30,2.1177,2.1177,2.1177,2.1177,0,0
2007-10-31,2.1574,2.1574,2.1574,2.1574,0,0
2007-11-02,2.0381,2.0381,2.0381,2.0381,0,0
2007-11-05,1.9743,1.9743,1.9743,1.9743,0,0
2007-11-06,1.8072,1.8072,1.8072,1.8072,0,0
2007-11-07,1.7595,1.7595,1.7595,1.7595,0,0
2007-11-08,1.6877,1.6877,1.6877,1.6877,0,0
2007-11-09,1.6877,1.7356,1.5684,1.5684,0,0
2007-11-12,1.5444,1.632,1.4967,1.5444,0,0
2007-11-13,1.5444,1.5604,1.4967,1.5604,0,0
2007-11-14,1.5842,1.5842,1.449,1.4728,0,0
2007-11-15,1.441,1.4728,1.3215,1.3215,0,0
2007-11-16,1.3454,1.3454,1.3215,1.3454,0,0
2007-11-19,1.449,1.449,1.3375,1.3932,0,0
2007-11-20,1.3693,1.4092,1.3375,1.4092,0,0
2007-11-21,1.433,1.433,1.4172,1.4172,0,0
2007-11-22,1.4172,1.4648,1.4172,1.4648,0,0
2007-11-23,1.4887,1.5922,1.4648,1.5922,0,0
2007-11-26,1.6877,1.6877,1.5524,1.5524,0,0
2007-11-27,1.5604,1.6162,1.5206,1.5206,0,0
2007-11-28,1.5206,1.5524,1.5126,1.5126,0,0
2007-11-29,1.5206,1.5922,1.5206,1.5524,0,0
2007-11-30,1.5922,1.6559,1.5922,1.6003,0,0
2007-12-03,1.7356,1.7356,1.6003,1.7116,0,0
2007-12-04,1.6958,1.7037,1.6003,1.6479,0,0
2007-12-05,1.6877,1.7674,1.6877,1.7037,0,0
2007-12-06,1.7037,1.7674,1.7037,1.7356,0,0
2007-12-07,1.7754,1.8869,1.7754,1.8629,0,0
2007-12-10,1.8629,1.9743,1.8549,1.8869,0,0
2007-12-11,1.8788,1.9585,1.839,1.839,0,0
2007-12-12,1.831,1.8869,1.7674,1.839,0,0
2007-12-13,1.839,1.9425,1.839,1.8869,0,0
2007-12-14,1.9187,1.9187,1.8231,1.8231,0,0
2007-12-17,1.815,1.8708,1.7674,1.839,0,0
2007-12-18,1.839,1.8869,1.7913,1.8629,0,0
2007-12-19,1.8869,1.9107,1.7913,1.7913,0,0
2007-12-20,1.7913,1.8629,1.7913,1.847,0,0
2007-12-21,1.847,1.9027,1.847,1.8869,0,0
2007-12-27,1.8869,1.8869,1.8549,1.8629,0,0
2007-12-28,1.8788,1.8869,1.839,1.839,0,0
2008-01-02,1.8788,1.8869,1.8788,1.8869,0,0
2008-01-03,1.8629,1.8629,1.839,1.8629,0,0
2008-01-04,1.8788,1.8788,1.839,1.8629,0,0
2008-01-07,1.839,1.839,1.7992,1.839,0,0
2008-01-08,1.815,1.839,1.7833,1.839,0,0
2008-01-09,1.7674,1.7674,1.6958,1.7514,0,0
2008-01-10,1.7833,1.7833,1.6718,1.7435,0,0
2008-01-11,1.624,1.6958,1.5764,1.6877,0,0
2008-01-14,1.6003,1.6003,1.6003,1.6003,0,0
2008-01-15,1.6479,1.6479,1.5366,1.5524,0,0
2008-01-16,1.5126,1.5126,1.4728,1.5126,0,0
2008-01-17,1.5126,1.5922,1.5126,1.5524,0,0
2008-01-18,1.5922,1.64,1.5764,1.64,0,0
2008-01-21,1.6003,1.6003,1.5285,1.5764,0,0
2008-01-22,1.5126,1.6877,1.5126,1.6877,0,0
2008-01-23,1.7435,1.7435,1.6479,1.6798,0,0
2008-01-24,1.7356,1.7833,1.7356,1.7674,0,0
2008-01-25,1.6559,1.7754,1.6559,1.7595,0,0
2008-01-28,1.6958,1.7435,1.6958,1.7435,0,0
2008-01-29,1.7674,1.7913,1.7674,1.7913,0,0
2008-01-30,1.7992,1.7992,1.7435,1.7913,0,0
2008-01-31,1.7992,1.839,1.7913,1.8231,0,0
2008-02-01,1.8549,1.8549,1.7992,1.839,0,0
2008-02-04,1.847,1.8869,1.847,1.8869,0,0
2008-02-05,1.8869,1.8869,1.8549,1.8788,0,0
2008-02-06,1.7913,1.8629,1.7913,1.8629,0,0
2008-02-07,1.8629,1.8869,1.7992,1.8788,0,0
2008-02-08,1.8788,1.8788,1.7992,1.839,0,0
2008-02-11,1.8869,1.8869,1.7674,1.8788,0,0
2008-02-12,1.8788,1.8869,1.8788,1.8869,0,0
2008-02-13,1.8869,1.8869,1.839,1.8869,0,0
2008-02-14,1.8629,1.8869,1.7913,1.8869,0,0
2008-02-15,1.839,1.8788,1.839,1.8788,0,0
2008-02-18,1.8788,1.8788,1.8708,1.8788,0,0
2008-02-19,1.847,1.8788,1.847,1.8788,0,0
2008-02-20,1.815,1.8708,1.7992,1.8708,0,0
2008-02-21,1.8708,1.8788,1.847,1.8788,0,0
2008-02-22,1.8708,1.8869,1.831,1.8869,0,0
2008-02-25,1.8869,1.8869,1.8869,1.8869,0,0
2008-02-26,1.8869,1.8869,1.847,1.8869,0,0
2008-02-27,1.8869,1.8869,1.8708,1.8869,0,0
