Date,Open,High,Low,Close,Volume,OpenInt
2012-04-16,218.71,218.71,218.71,218.71,0,0
2012-04-17,210.2,217.89,210.2,214.09,0,0
2012-04-18,214.82,220.97,214.82,215.62,0,0
2012-04-19,217.89,220.97,214.82,218.71,0,0
2012-04-20,220.97,220.97,216.36,217.17,0,0
2012-04-23,225.58,225.58,204.04,204.94,0,0
2012-04-24,207.12,211.74,207.12,209.47,0,0
2012-04-25,213.27,213.27,207.12,211.01,0,0
2012-04-26,210.2,213.27,207.12,211.01,0,0
2012-04-27,213.27,213.27,208.66,211.01,0,0
2012-04-30,213.27,213.27,210.2,211.01,0,0
2012-05-02,210.2,210.2,208.66,209.47,0,0
2012-05-04,207.12,210.2,206.49,206.49,0,0
2012-05-07,207.12,208.66,202.51,206.49,0,0
2012-05-08,207.12,208.66,202.51,208.03,0,0
2012-05-09,208.66,213.27,204.04,212.55,0,0
2012-05-10,211.74,211.74,204.04,204.94,0,0
2012-05-11,204.04,210.2,202.51,206.49,0,0
2012-05-14,207.12,207.12,202.51,206.49,0,0
2012-05-15,202.51,207.12,200.96,201.87,0,0
2012-05-16,207.12,207.12,191.82,201.87,0,0
2012-05-17,196.35,207.12,196.35,198.79,0,0
2012-05-18,204.04,204.04,193.36,198.79,0,0
2012-09-04,7.1514,7.1514,7.1514,7.1514,0,0
2012-09-05,7.3325,7.3325,6.9704,6.9704,0,0
2012-09-06,7.0609,7.0609,6.9704,7.0609,0,0
2012-09-07,7.0609,7.1514,6.9704,7.1514,0,0
2012-09-10,7.1514,7.1514,7.0609,7.0609,0,0
2012-09-11,7.1514,7.1514,7.0609,7.1514,0,0
2012-09-12,7.1514,7.242,7.0609,7.1514,0,0
2012-09-13,7.242,7.3325,7.0609,7.242,0,0
2012-09-14,7.242,7.604,7.242,7.3325,0,0
2012-09-17,7.6946,7.6946,7.3325,7.3325,0,0
2012-09-18,7.423,7.6946,7.3325,7.3325,0,0
2012-09-19,7.423,7.6946,7.3325,7.6946,0,0
2012-09-20,7.5135,7.5135,7.3325,7.5135,0,0
2012-09-21,7.6946,8.1472,7.6946,8.0566,0,0
2012-09-24,8.0566,8.3283,8.0566,8.3283,0,0
2012-09-25,7.9662,8.2377,7.8757,8.2377,0,0
2012-09-26,8.5999,8.5999,7.8757,8.3283,0,0
2012-09-27,8.2377,8.3283,8.0566,8.3283,0,0
2012-09-28,8.3283,9.0526,8.3283,9.0526,0,0
2012-10-01,8.3283,9.0526,8.1472,8.6903,0,0
2012-10-02,8.6903,8.6903,8.3283,8.6903,0,0
2012-10-03,8.5999,8.6903,8.3283,8.3283,0,0
2012-10-04,8.5999,8.5999,8.3283,8.5999,0,0
2012-10-05,8.5093,9.1427,8.5093,9.1427,0,0
2012-10-08,9.1427,9.1427,8.6903,8.6903,0,0
2012-10-09,8.7808,8.7808,8.3283,8.5999,0,0
2012-10-10,8.5999,8.5999,8.5093,8.5999,0,0
2012-10-11,8.8714,8.8714,8.3283,8.5999,0,0
2012-10-12,8.9619,8.9619,8.5999,8.6903,0,0
2012-10-15,8.0566,8.5999,8.0566,8.5999,0,0
2012-10-16,8.5093,8.6903,8.2377,8.6903,0,0
2012-10-17,8.7808,8.7808,8.5999,8.7808,0,0
2012-10-18,8.8714,8.8714,8.3283,8.3283,0,0
2012-10-19,8.7808,8.7808,8.5093,8.7808,0,0
2012-10-22,8.7808,8.7808,8.4188,8.7808,0,0
2012-10-23,8.7808,8.7808,8.7808,8.7808,0,0
2012-10-24,8.7808,8.7808,8.6903,8.7808,0,0
2012-10-25,8.7808,8.7808,8.6903,8.6903,0,0
2012-10-26,8.7808,8.7808,8.7808,8.7808,0,0
2012-10-29,8.7808,8.7808,8.4188,8.7808,0,0
2012-10-30,8.4188,8.7808,8.4188,8.7808,0,0
2012-10-31,8.7808,8.7808,8.5093,8.5093,0,0
2012-11-02,8.7808,9.0526,8.6903,9.0526,0,0
2012-11-05,9.0526,9.0526,9.0526,9.0526,0,0
2012-11-06,8.9619,9.4149,8.6903,9.2337,0,0
2012-11-07,9.3238,9.3238,8.7808,9.1427,0,0
2012-11-08,9.1427,9.1427,8.9619,9.1427,0,0
2012-11-09,9.1427,9.1427,8.7808,9.0526,0,0
2012-11-12,9.0526,9.0526,9.0526,9.0526,0,0
