Date,Open,High,Low,Close,Volume,OpenInt
2008-05-26,11.693,11.693,11.693,11.693,0,0
2008-05-27,11.417,11.51,11.234,11.51,0,0
2008-05-28,11.325,11.601,11.325,11.601,0,0
2008-05-29,11.51,11.601,11.141,11.51,0,0
2008-05-30,11.51,11.51,11.141,11.417,0,0
2008-06-02,10.774,11.234,10.774,11.234,0,0
2008-06-03,10.588,11.51,10.588,11.417,0,0
2008-06-04,11.51,28.728,11.234,28.728,0,0
2008-06-05,28.911,29.649,28.728,29.096,0,0
2008-06-06,29.279,29.279,29.188,29.188,0,0
2008-06-09,28.82,29.188,28.451,28.451,0,0
2008-06-10,28.911,28.911,27.99,27.99,0,0
2008-06-11,27.623,27.898,25.69,25.69,0,0
2008-06-12,25.69,25.69,24.123,24.677,0,0
2008-06-13,24.677,24.677,24.031,24.585,0,0
2008-06-16,24.768,25.873,23.755,25.873,0,0
2008-06-18,25.505,25.505,25.505,25.505,0,0
2008-06-23,23.94,25.505,23.94,25.505,0,0
2008-06-24,23.755,25.228,23.48,25.228,0,0
2008-06-25,24.031,24.031,23.295,24.031,0,0
2008-06-26,22.65,23.755,22.65,23.755,0,0
2008-06-27,23.295,23.755,22.375,23.755,0,0
2008-06-30,23.295,23.755,23.295,23.295,0,0
2008-07-01,23.111,23.295,22.558,23.111,0,0
2008-07-02,20.993,22.834,20.993,22.834,0,0
2008-07-03,22.834,22.834,22.375,22.375,0,0
2008-07-04,22.375,23.295,22.375,22.834,0,0
2008-07-07,23.571,23.571,23.204,23.204,0,0
2008-07-08,23.755,23.755,22.099,22.099,0,0
2008-07-09,23.204,23.204,22.099,22.099,0,0
2008-07-10,22.099,23.018,21.545,23.018,0,0
2008-07-11,21.269,21.269,21.085,21.085,0,0
2008-07-14,21.177,21.177,20.993,21.177,0,0
2008-07-15,20.993,20.993,19.98,20.073,0,0
2008-07-16,20.073,20.256,19.888,20.073,0,0
2008-07-17,20.073,20.073,19.704,19.888,0,0
2008-07-18,19.888,19.98,19.797,19.98,0,0
2008-07-21,20.073,20.073,19.98,19.98,0,0
2008-07-22,20.073,20.073,19.98,19.98,0,0
2008-07-23,19.888,20.441,18.6,20.441,0,0
2008-07-24,20.717,22.099,20.717,21.638,0,0
2008-07-25,21.638,22.099,21.638,22.099,0,0
