Date,Open,High,Low,Close,Volume,OpenInt
2015-05-07,225.13,225.13,225.13,225.13,0,0
2015-05-08,227.28,227.38,223.86,226.01,0,0
2015-05-11,228.36,228.36,225.13,225.13,0,0
2015-05-12,225.81,225.81,224.54,224.54,0,0
2015-05-13,223.95,224.83,220.62,220.62,0,0
2015-05-14,221.31,224.25,219.06,224.25,0,0
2015-05-15,221.99,226.5,221.99,226.5,0,0
2015-05-18,227.48,228.36,224.05,224.05,0,0
2015-05-19,223.27,223.95,223.27,223.86,0,0
2015-05-20,223.56,227.77,223.56,223.86,0,0
2015-05-21,228.36,228.36,225.23,225.23,0,0
2015-05-22,223.37,228.26,144.83,144.83,0,0
2015-05-25,147.18,147.18,147.18,147.18,0,0
2015-05-26,144.93,144.93,144.93,144.93,0,0
2015-05-27,143.46,163.93,143.46,163.93,0,0
2015-05-28,163.63,164.32,162.95,163.93,0,0
2015-05-29,162.36,164.61,162.36,164.12,0,0
2015-06-01,163.63,164.42,162.95,163.93,0,0
2015-06-02,163.63,163.93,162.75,163.93,0,0
2015-06-03,162.75,164.12,162.75,163.53,0,0
2015-06-05,163.34,163.34,163.14,163.14,0,0
2015-06-08,163.04,164.12,163.04,164.12,0,0
2015-06-09,163.24,163.24,163.14,163.14,0,0
2015-06-10,163.14,163.63,162.75,163.04,0,0
2015-06-11,163.63,163.63,162.85,162.95,0,0
2015-06-12,163.44,163.44,162.95,162.95,0,0
2015-06-15,164.12,164.12,163.14,163.14,0,0
2015-06-16,163.14,163.93,162.55,163.93,0,0
2015-06-17,164.12,164.12,163.44,163.63,0,0
2015-06-18,163.83,164.32,163.83,164.02,0,0
2015-06-19,163.93,164.61,162.65,162.65,0,0
2015-06-22,162.75,163.63,162.75,163.14,0,0
2015-06-23,164.02,164.02,163.14,163.14,0,0
2015-06-24,163.14,164.51,163.14,164.02,0,0
2015-06-25,163.63,164.12,163.63,163.63,0,0
2015-06-26,163.14,163.14,162.85,163.04,0,0
2015-06-29,160.3,160.3,151.59,158.93,0,0
2015-06-30,158.05,158.93,158.05,158.83,0,0
2015-07-01,158.83,164.51,158.83,164.42,0,0
2015-07-02,164.51,164.71,161.28,164.42,0,0
2015-07-03,164.42,164.71,161.28,162.75,0,0
2015-07-06,161.58,164.61,160.6,164.61,0,0
2015-07-07,162.75,163.63,162.75,162.75,0,0
2015-07-08,164.12,164.12,162.75,162.75,0,0
2015-07-09,163.24,163.24,161.28,162.75,0,0
2015-07-10,162.75,164.12,162.46,162.75,0,0
2015-07-13,163.63,163.63,160.4,161.67,0,0
2015-07-14,161.97,162.16,160.4,161.58,0,0
2015-07-15,161.58,163.24,161.58,163.14,0,0
2015-07-16,163.63,169.31,163.14,168.33,0,0
2015-07-17,167.45,172.74,167.45,172.74,0,0
2015-07-20,172.15,172.15,170.78,172.15,0,0
2015-07-21,172.15,173.91,170.78,173.91,0,0
2015-07-22,174.01,174.01,173.03,174.01,0,0
2015-07-23,173.52,174.01,172.64,173.13,0,0
2015-07-24,174.01,174.5,173.62,174.5,0,0
2015-07-27,175.19,175.19,173.62,173.62,0,0
2015-07-28,173.72,175.38,173.72,174.5,0,0
2015-07-29,174.5,175.19,174.4,174.4,0,0
2015-07-30,174.4,174.5,174.4,174.5,0,0
2015-07-31,174.5,177.34,174.5,177.34,0,0
2015-08-03,177.34,179.2,177.34,179.2,0,0
