Date,Open,High,Low,Close,Volume,OpenInt
2012-05-24,350.4,350.4,350.4,350.4,0,0
2012-05-25,354.61,354.61,332.65,348.07,0,0
2012-05-28,350.4,350.4,316.77,327.05,0,0
2012-05-29,327.05,327.05,304.62,327.05,0,0
2012-05-30,327.05,327.05,282.66,282.66,0,0
2012-05-31,282.66,303.69,280.8,289.2,0,0
2012-06-01,302.74,302.74,280.32,284.99,0,0
2012-06-04,284.99,284.99,280.32,280.32,0,0
2012-06-05,280.32,280.32,261.64,278.46,0,0
2012-06-06,279.86,280.32,266.31,280.32,0,0
2012-06-08,280.32,280.32,280.32,280.32,0,0
2012-06-11,280.32,280.32,269.58,280.32,0,0
2012-06-12,280.32,280.32,256.5,280.32,0,0
2012-06-13,280.32,280.32,261.64,277.52,0,0
2012-06-14,275.66,282.66,257.89,279.39,0,0
2012-06-15,279.86,279.86,253.23,268.65,0,0
2012-06-18,275.18,279.86,266.31,277.98,0,0
2012-06-19,272.85,273.33,266.31,270.99,0,0
2012-06-20,270.99,270.99,233.61,233.61,0,0
2012-06-21,247.61,275.66,247.61,275.66,0,0
2012-06-22,279.86,279.86,258.83,266.31,0,0
2012-06-25,268.65,273.33,268.65,268.65,0,0
2012-06-26,273.33,284.99,261.64,266.31,0,0
2012-06-27,292.93,299.02,279.86,299.02,0,0
2012-06-28,299.02,303.69,289.67,296.68,0,0
2012-06-29,296.68,303.69,289.67,303.69,0,0
2012-07-02,303.69,303.69,302.28,303.69,0,0
2012-07-03,308.37,308.37,284.99,292,0,0
2012-07-04,299.95,299.95,280.32,280.32,0,0
2012-07-05,280.32,296.68,280.32,294.34,0,0
2012-07-06,295.27,295.27,281.27,294.34,0,0
2012-07-09,293.87,293.87,280.32,282.66,0,0
2012-07-10,293.41,293.41,264.91,279.39,0,0
2012-07-11,284.53,284.53,270.04,281.73,0,0
2012-07-12,281.27,281.27,275.66,280.32,0,0
2012-07-13,280.32,280.32,266.77,279.39,0,0
2012-07-16,279.86,279.86,256.96,273.33,0,0
2012-07-17,259.77,271.92,259.77,261.64,0,0
2012-07-18,252.29,268.65,248.56,256.96,0,0
2012-07-19,244.35,256.96,238.28,256.96,0,0
2012-07-20,256.04,256.04,237.81,237.81,0,0
2012-07-23,242.95,254.17,233.61,247.15,0,0
2012-07-24,247.15,247.15,247.15,247.15,0,0
2012-07-25,242.95,242.95,238.28,238.28,0,0
2012-07-26,238.28,238.28,238.28,238.28,0,0
2012-07-27,238.28,238.28,233.61,237.34,0,0
2012-07-30,237.34,237.34,235.01,235.01,0,0
2012-07-31,235.95,235.95,223.33,233.61,0,0
2012-08-01,233.13,256.96,233.13,256.96,0,0
2012-08-02,249.95,268.65,237.81,267.24,0,0
2012-08-03,268.65,268.65,242.01,245.28,0,0
2012-08-06,266.31,266.31,265.37,265.37,0,0
2012-08-07,268.65,268.65,261.64,268.65,0,0
2012-08-08,268.65,268.65,261.64,268.65,0,0
2012-08-09,268.18,268.65,268.18,268.65,0,0
2012-08-10,268.65,268.65,268.65,268.65,0,0
2012-08-13,268.65,268.65,268.65,268.65,0,0
2012-08-14,268.65,268.65,233.61,233.61,0,0
2012-08-16,249.02,249.02,233.61,233.61,0,0
2012-08-17,242.01,242.01,215.38,224.26,0,0
2012-08-20,244.82,244.82,206.97,213.98,0,0
2012-08-21,216.32,216.32,197.16,207.91,0,0
2012-08-22,211.64,211.64,198.57,205.1,0,0
2012-08-23,211.64,212.11,201.84,204.64,0,0
2012-08-24,211.64,211.64,202.3,208.85,0,0
2012-08-27,210.71,210.71,207.91,207.91,0,0
2012-08-28,209.78,209.78,209.31,209.78,0,0
2012-08-29,210.25,219.59,202.3,219.59,0,0
2012-08-30,210.71,220.51,210.71,220.51,0,0
2012-08-31,231.27,231.27,231.27,231.27,0,0
2012-09-03,230.33,230.33,228,228,0,0
2012-09-04,241.55,241.55,219.59,227.53,0,0
2012-09-05,225.66,227.53,211.64,219.59,0,0
2012-09-06,211.18,229.86,210.71,226.6,0,0
2012-09-07,226.6,233.61,214.91,233.61,0,0
2012-09-10,240.14,240.14,226.13,238.28,0,0
2012-09-11,238.28,238.28,233.61,238.28,0,0
2012-09-12,238.28,240.61,233.13,240.61,0,0
2012-09-13,240.61,240.61,239.21,239.67,0,0
2012-09-14,239.67,242.95,229.4,242.95,0,0
2012-09-17,242.95,242.95,242.95,242.95,0,0
2012-09-18,242.95,252.29,240.14,252.29,0,0
2012-09-19,258.37,275.18,258.37,270.99,0,0
2012-09-20,277.98,277.98,264.44,277.98,0,0
2012-09-21,277.52,277.52,277.52,277.52,0,0
2012-09-24,280.32,280.32,277.52,277.52,0,0
2012-09-25,277.52,277.52,264.44,275.66,0,0
2012-09-26,275.66,275.66,275.66,275.66,0,0
2012-09-27,279.93,279.93,279.93,279.93,0,0
2012-09-28,281.35,281.35,279.93,281.35,0,0
2012-10-01,294.67,294.67,275.66,275.66,0,0
2012-10-02,273.28,275.66,264.25,275.66,0,0
2012-10-03,275.66,275.66,275.66,275.66,0,0
2012-10-04,275.66,275.66,275.66,275.66,0,0
2012-10-05,285.16,285.16,270.9,275.66,0,0
2012-10-08,275.66,275.66,275.18,275.18,0,0
2012-10-09,275.66,275.66,274.23,274.23,0,0
2012-10-10,275.66,275.66,257.6,259.02,0,0
2012-10-11,265.67,275.66,259.02,275.66,0,0
2012-10-12,280.4,280.4,275.66,280.4,0,0
2012-10-15,280.4,280.4,280.4,280.4,0,0
2012-10-16,280.4,280.4,280.4,280.4,0,0
2012-10-17,275.66,275.66,274.23,275.66,0,0
2012-10-18,280.4,280.4,275.18,275.18,0,0
2012-10-19,275.66,275.66,266.15,275.18,0,0
2012-10-22,270.9,275.18,268.53,268.53,0,0
2012-10-23,268.53,268.53,268.53,268.53,0,0
2012-10-24,268.53,268.53,268.53,268.53,0,0
2012-10-25,268.53,268.53,268.53,268.53,0,0
2012-10-26,268.53,275.18,256.64,274.23,0,0
2012-10-29,279.45,279.45,264.72,275.66,0,0
2012-10-30,275.18,275.18,262.34,275.18,0,0
2012-10-31,275.18,275.66,263.29,275.66,0,0
2012-11-02,279.93,280.4,279.93,279.93,0,0
2012-11-05,295.62,295.62,275.66,275.66,0,0
2012-11-06,275.66,275.66,275.66,275.66,0,0
2012-11-07,275.66,275.66,274.7,274.7,0,0
2012-11-08,275.66,275.66,265.67,270.42,0,0
2012-11-09,275.66,275.66,263.77,275.18,0,0
