Date,Open,High,Low,Close,Volume,OpenInt
2007-08-13,10.773,10.773,10.773,10.773,0,0
2007-08-14,10.773,10.773,10.773,10.773,0,0
2007-08-16,9.672,9.672,9.672,9.672,0,0
2007-08-17,10.067,10.067,10.067,10.067,0,0
2007-08-20,10.14,10.14,10.14,10.14,0,0
2007-08-21,10.14,10.14,10.14,10.14,0,0
2007-08-22,10.223,10.223,10.223,10.223,0,0
2007-08-23,10.534,10.534,10.534,10.534,0,0
2007-08-24,10.295,10.295,10.295,10.295,0,0
2007-08-27,9.589,9.589,9.589,9.589,0,0
2007-08-28,9.508,9.508,9.508,9.508,0,0
2007-08-29,9.672,9.672,9.672,9.672,0,0
2007-08-30,8.6455,8.6455,8.6455,8.6455,0,0
2007-08-31,8.7277,8.7277,8.7277,8.7277,0,0
2007-09-03,9.3517,9.3517,9.3517,9.3517,0,0
2007-09-04,9.3517,9.3517,9.3517,9.3517,0,0
2007-09-05,9.278,9.278,9.278,9.278,0,0
2007-09-06,9.278,9.278,9.278,9.278,0,0
2007-09-07,9.039,9.039,9.039,9.039,0,0
2007-09-10,8.8836,8.8836,8.8836,8.8836,0,0
2007-09-11,8.8836,8.8836,8.8836,8.8836,0,0
2007-09-12,8.8836,8.8836,8.8836,8.8836,0,0
2007-09-13,8.7277,8.7277,8.7277,8.7277,0,0
2007-09-14,8.7277,8.7277,8.7277,8.7277,0,0
2007-09-17,8.6455,8.6455,8.6455,8.6455,0,0
2007-09-18,8.5716,8.5716,8.5716,8.5716,0,0
2007-09-19,8.7277,8.7277,8.7277,8.7277,0,0
2007-09-20,8.5716,8.5716,8.5716,8.5716,0,0
2007-09-21,8.6455,8.6455,8.6455,8.6455,0,0
2007-09-24,8.6455,8.6455,8.6455,8.6455,0,0
2007-09-25,8.3336,8.3336,8.3336,8.3336,0,0
2007-09-26,8.6455,8.6455,8.6455,8.6455,0,0
2007-09-27,8.4073,8.4073,8.4073,8.4073,0,0
2007-09-28,8.6455,8.6455,8.6455,8.6455,0,0
2007-10-01,8.4073,8.4073,8.4073,8.4073,0,0
2007-10-02,8.0954,8.0954,8.0954,8.0954,0,0
2007-10-03,7.8574,7.8574,7.8574,7.8574,0,0
2007-10-04,7.9395,7.9395,7.9395,7.9395,0,0
2007-10-05,8.0215,8.0215,8.0215,8.0215,0,0
2007-10-08,8.1774,8.1774,8.1774,8.1774,0,0
2007-10-09,7.7835,7.7835,7.7835,7.7835,0,0
2007-10-10,7.8574,7.8574,7.8574,7.8574,0,0
2007-10-11,7.7835,7.7835,7.7835,7.7835,0,0
2007-10-12,7.7835,7.7835,7.7835,7.7835,0,0
2007-10-15,7.9395,7.9395,7.9395,7.9395,0,0
2007-10-16,7.7835,7.7835,7.7835,7.7835,0,0
2007-10-17,7.9395,7.9395,7.9395,7.9395,0,0
2007-10-18,7.7835,7.7835,7.7835,7.7835,0,0
2007-10-19,7.9395,7.9395,7.9395,7.9395,0,0
2007-10-22,7.8574,7.8574,7.8574,7.8574,0,0
2007-10-23,7.7835,7.7835,7.7835,7.7835,0,0
2007-10-24,7.7835,7.7835,7.7835,7.7835,0,0
2007-10-25,7.7835,7.7835,7.7835,7.7835,0,0
2007-10-26,7.7013,7.7013,7.7013,7.7013,0,0
2007-10-29,7.7835,7.7835,7.7835,7.7835,0,0
2007-10-30,7.7835,7.7835,7.7835,7.7835,0,0
2007-10-31,7.5454,7.5454,7.5454,7.5454,0,0
2007-11-02,7.6275,7.6275,7.6275,7.6275,0,0
2007-11-05,13.522,13.522,13.522,13.522,0,0
2007-11-06,13.522,13.522,13.522,13.522,0,0
2007-11-07,13.522,13.522,13.522,13.522,0,0
2007-11-08,13.366,13.366,13.366,13.366,0,0
2007-11-09,13.286,13.522,12.653,13.202,0,0
2007-11-12,13.129,13.202,12.497,12.973,0,0
2007-11-13,12.89,13.129,12.89,13.129,0,0
2007-11-14,13.441,13.441,12.89,13.129,0,0
2007-11-15,13.129,13.129,12.89,12.973,0,0
2007-11-16,12.973,12.973,12.973,12.973,0,0
2007-11-19,12.973,13.202,12.653,12.653,0,0
2007-11-21,12.101,12.973,12.101,12.973,0,0
2007-11-22,12.497,13.441,11.873,13.441,0,0
2007-11-23,14.072,14.385,13.441,14.072,0,0
2007-11-26,15.878,15.878,13.522,14.623,0,0
2007-11-27,14.623,14.935,14.147,14.697,0,0
2007-11-28,14.623,15.172,14.467,15.172,0,0
2007-11-29,15.092,15.485,14.861,15.485,0,0
2007-11-30,14.779,15.642,14.779,15.642,0,0
2007-12-03,15.485,15.485,15.485,15.485,0,0
2007-12-04,15.172,15.172,15.092,15.092,0,0
2007-12-05,14.779,15.642,14.697,15.642,0,0
2007-12-06,15.642,15.642,15.172,15.485,0,0
2007-12-07,15.092,15.723,15.017,15.723,0,0
2007-12-10,15.328,15.411,15.017,15.017,0,0
2007-12-11,14.935,15.567,14.623,15.567,0,0
2007-12-12,15.172,15.247,14.861,15.247,0,0
2007-12-13,14.779,15.247,14.697,15.172,0,0
2007-12-14,14.861,15.172,14.697,15.172,0,0
2007-12-17,15.172,15.247,14.697,15.247,0,0
2007-12-18,14.861,15.247,14.861,15.247,0,0
2007-12-19,15.328,15.485,15.328,15.411,0,0
2007-12-20,15.172,15.328,15.172,15.328,0,0
2007-12-21,14.935,15.567,14.935,15.485,0,0
2007-12-27,15.247,15.485,15.247,15.485,0,0
2008-01-02,15.172,15.172,15.172,15.172,0,0
2008-01-03,15.172,15.172,15.172,15.172,0,0
2008-01-04,15.172,15.172,13.916,13.916,0,0
2008-01-08,13.597,13.597,13.441,13.522,0,0
2008-01-09,14.385,14.385,12.653,13.992,0,0
2008-01-10,13.992,13.992,13.286,13.597,0,0
2008-01-11,13.441,13.441,13.202,13.366,0,0
2008-01-14,13.366,13.366,13.366,13.366,0,0
2008-01-15,12.973,13.045,12.973,13.045,0,0
2008-01-16,11.79,12.653,11.79,12.653,0,0
2008-01-17,12.579,13.045,12.101,13.045,0,0
2008-01-18,12.422,13.202,12.422,13.202,0,0
2008-01-21,13.366,13.366,12.653,12.973,0,0
2008-01-22,12.341,12.89,12.341,12.653,0,0
2008-01-23,12.497,12.817,12.497,12.817,0,0
2008-01-24,12.89,13.597,12.579,13.522,0,0
2008-01-25,13.835,13.992,13.202,13.916,0,0
2008-01-28,13.366,14.072,13.366,13.916,0,0
2008-01-29,14.697,14.697,13.752,13.992,0,0
2008-01-30,13.992,13.992,13.992,13.992,0,0
2008-01-31,13.202,14.072,13.202,14.072,0,0
2008-02-01,13.992,13.992,13.752,13.992,0,0
2008-02-04,14.072,14.072,13.597,13.597,0,0
2008-02-05,14.072,14.072,14.072,14.072,0,0
2008-02-06,13.522,14.072,13.522,14.072,0,0
2008-02-07,13.597,13.992,13.597,13.916,0,0
2008-02-08,13.678,14.072,13.678,14.072,0,0
2008-02-11,13.992,14.072,13.992,14.072,0,0
2008-02-12,14.072,14.072,14.072,14.072,0,0
2008-02-13,13.752,14.623,13.752,14.623,0,0
2008-02-14,14.312,14.623,14.312,14.623,0,0
2008-02-15,14.072,14.54,13.597,13.597,0,0
2008-02-18,13.286,13.286,13.202,13.202,0,0
2008-02-19,13.286,13.286,13.286,13.286,0,0
2008-02-21,12.89,13.286,12.817,12.89,0,0
2008-02-22,12.89,12.89,12.89,12.89,0,0
2008-02-25,12.653,12.89,12.653,12.89,0,0
2008-02-26,12.653,12.653,12.497,12.579,0,0
2008-02-27,12.341,12.422,12.266,12.266,0,0
2008-02-28,12.817,12.817,12.422,12.579,0,0
2008-02-29,12.266,12.653,12.266,12.653,0,0
2008-03-03,12.266,12.579,11.946,12.579,0,0
2008-03-04,12.579,12.579,12.579,12.579,0,0
2008-03-05,12.497,12.579,12.497,12.579,0,0
2008-03-06,12.497,12.653,12.497,12.653,0,0
2008-03-10,12.579,12.579,12.579,12.579,0,0
2008-03-11,12.579,12.89,12.579,12.89,0,0
2008-03-12,12.89,13.045,12.579,13.045,0,0
2008-03-13,12.973,13.045,12.89,12.89,0,0
2008-03-14,12.89,12.89,12.89,12.89,0,0
2008-03-17,12.817,12.89,12.817,12.89,0,0
2008-03-18,12.89,12.89,12.89,12.89,0,0
2008-03-19,12.89,13.129,12.89,13.129,0,0
2008-03-20,11.946,13.129,11.946,13.129,0,0
2008-03-25,13.129,13.129,13.129,13.129,0,0
2008-03-26,13.045,13.045,13.045,13.045,0,0
2008-03-27,12.734,13.045,12.497,13.045,0,0
2008-03-28,13.045,13.045,13.045,13.045,0,0
2008-03-31,13.045,13.045,13.045,13.045,0,0
2008-04-01,12.653,13.202,12.653,13.202,0,0
2008-04-02,13.202,13.202,13.202,13.202,0,0
2008-04-04,12.653,13.202,12.653,13.202,0,0
2008-04-07,12.973,13.202,12.973,13.045,0,0
2008-04-09,12.973,12.973,12.973,12.973,0,0
2008-04-10,12.89,12.973,12.89,12.89,0,0
2008-04-11,12.734,12.973,12.734,12.973,0,0
2008-04-14,12.579,12.817,12.579,12.817,0,0
2008-04-15,12.579,12.579,12.422,12.579,0,0
2008-04-16,13.129,13.129,12.579,12.89,0,0
2008-04-18,13.045,13.045,12.266,13.045,0,0
2008-04-21,12.184,12.579,12.184,12.579,0,0
2008-04-22,12.101,12.579,11.873,12.579,0,0
2008-04-23,12.422,12.579,12.422,12.497,0,0
2008-04-24,12.422,12.497,12.422,12.497,0,0
2008-04-25,11.946,12.101,11.322,12.101,0,0
