Date,Open,High,Low,Close,Volume,OpenInt
1997-06-05,75,75,75,75,21907,0
1997-06-06,70,70,70,70,12350,0
1997-06-09,72,72,72,72,9049,0
1997-06-10,70,70,70,70,3006,0
1997-06-11,72,72,72,72,8215,0
1997-06-12,79,79,79,79,17506,0
1997-06-13,79,79,79,79,7368,0
1997-06-16,77,77,77,77,3631,0
1997-06-17,74,74,74,74,7526,0
1997-06-18,70,70,70,70,9164,0
1997-06-19,70,70,70,70,5736,0
1997-06-20,72,72,72,72,2688,0
1997-06-23,65,65,65,65,6508,0
1997-06-24,64.5,64.5,64.5,64.5,8333,0
1997-06-25,65,65,65,65,2915,0
1997-06-26,62,62,62,62,2730,0
1997-06-27,62,62,62,62,3282,0
1997-06-30,63,63,63,63,4852,0
1997-07-01,62,62,62,62,3078,0
1997-07-02,62,62,62,62,2175,0
1997-07-03,61,61,61,61,3735,0
1997-07-04,65,65,65,65,1523,0
1997-07-07,67,67,67,67,4515,0
1997-07-08,67,67,67,67,2112,0
1997-07-09,70,70,70,70,2857,0
1997-07-10,72,72,72,72,3181,0
1997-07-11,68.5,68.5,68.5,68.5,1314,0
1997-07-14,62,62,62,62,6944,0
1997-07-15,63,63,63,63,3079,0
1997-07-16,64.5,64.5,64.5,64.5,4543,0
1997-07-17,63,63,63,63,3784,0
1997-07-18,65,65,65,65,3569,0
1997-07-21,62.5,62.5,62.5,62.5,2048,0
1997-07-22,63.5,63.5,63.5,63.5,1819,0
1997-07-23,63.5,63.5,63.5,63.5,1213,0
1997-07-24,62,62,62,62,1903,0
1997-07-25,61,61,61,61,2172,0
1997-07-28,59,59,59,59,2263,0
1997-07-29,61,61,61,61,2713,0
1997-07-30,63,63,63,63,6087,0
1997-07-31,63.5,63.5,63.5,63.5,2205,0
1997-08-01,62.5,62.5,62.5,62.5,720,0
1997-08-04,63.5,63.5,63.5,63.5,1551,0
1997-08-05,62,62,62,62,782,0
1997-08-06,63.5,63.5,63.5,63.5,2441,0
1997-08-07,63.5,63.5,63.5,63.5,2551,0
1997-08-08,65,65,65,65,4885,0
1997-08-11,65,65,65,65,3146,0
1997-08-12,64,64,64,64,2680,0
1997-08-13,64,64,64,64,3141,0
1997-08-14,63,63,63,63,1532,0
1997-08-18,59,59,59,59,2322,0
1997-08-19,60,60,60,60,2108,0
1997-08-20,62,62,62,62,1734,0
1997-08-21,62.5,62.5,62.5,62.5,1504,0
1997-08-22,61,61,61,61,1934,0
1997-08-25,62,62,62,62,4146,0
1997-08-26,62,62,62,62,9439,0
1997-08-27,63.5,63.5,63.5,63.5,6343,0
1997-08-28,65,65,65,65,10638,0
1997-08-29,68.5,68.5,68.5,68.5,8034,0
1997-09-01,66,66,66,66,6720,0
1997-09-02,65,65,65,65,4172,0
1997-09-03,66,66,66,66,10578,0
1997-09-04,68,68,68,68,14419,0
1997-09-05,67,67,67,67,4246,0
1997-09-08,69,69,69,69,10498,0
1997-09-09,70,70,70,70,7496,0
1997-09-10,70,70,70,70,15365,0
1997-09-11,69,69,69,69,10746,0
1997-09-12,69,69,69,69,1788,0
1997-09-15,68,68,68,68,20040,0
1997-09-16,69,69,69,69,4799,0
1997-09-17,67,67,67,67,2286,0
1997-09-18,67,67,67,67,4846,0
1997-09-19,67,67,67,67,4624,0
1997-09-22,68,68,68,68,2639,0
1997-09-23,67.5,67.5,67.5,67.5,764,0
1997-09-24,65.5,65.5,65.5,65.5,1756,0
1997-09-25,65,65,65,65,775,0
1997-09-26,63.5,63.5,63.5,63.5,2189,0
1997-09-29,63,63,63,63,1014,0
1997-09-30,63,63,63,63,1955,0
1997-10-01,62.5,62.5,62.5,62.5,1936,0
1997-10-02,63,63,63,63,617,0
1997-10-03,61,61,61,61,3261,0
