Date,Open,High,Low,Close,Volume,OpenInt
2012-07-12,2,2.4,2,2.35,52218,0
2012-07-13,2.33,2.34,2,2.32,22233,0
2012-07-16,2.25,2.32,1.94,2.28,36176,0
2012-07-17,2.16,2.34,2.15,2.34,9854,0
2012-07-18,2.34,2.38,1.99,2.06,19619,0
2012-07-19,2.15,2.31,2.15,2.16,2900,0
2012-07-20,2.15,2.24,2.15,2.24,525,0
2012-07-23,2.25,2.59,2.1,2.34,26170,0
2012-07-24,2.34,2.34,2.33,2.34,30700,0
2012-07-25,2.2,2.33,2.11,2.33,64200,0
2012-07-26,2.3,2.33,2.29,2.33,51200,0
2012-07-27,2.25,2.35,2,2.35,86218,0
2012-07-30,2.21,2.31,2.16,2.31,49300,0
2012-07-31,2.2,2.31,2.2,2.31,25100,0
2012-08-01,2.2,2.2,2,2.15,29030,0
2012-08-02,2.1,2.1,2.01,2.01,1830,0
2012-08-03,2.1,2.3,1.85,1.85,25769,0
2012-08-06,2,2.2,2,2.02,7650,0
2012-08-07,2.04,2.15,1.92,2.11,49419,0
2012-08-08,2.15,2.34,2.15,2.34,18690,0
2012-08-09,2.3,2.35,2.3,2.35,800,0
2012-08-10,2.35,2.35,2.25,2.34,2504,0
2012-08-13,2.34,2.57,2.34,2.57,2176,0
2012-08-14,2.33,2.44,2.33,2.44,3954,0
2012-08-16,2.4,2.44,2.32,2.33,10860,0
2012-08-17,2.4,2.59,2.4,2.59,4900,0
2012-08-20,2.45,2.55,2.39,2.39,8954,0
2012-08-21,2.44,2.84,2.44,2.7,8254,0
2012-08-22,2.74,3.18,2.74,2.94,9810,0
2012-08-23,2.94,3.15,2.36,2.99,56089,0
2012-08-24,3,3.05,2.83,3.03,661,0
2012-08-27,3.03,3.09,2.9,2.9,1710,0
2012-08-28,2.9,3.1,2.75,2.81,2096,0
2012-08-29,2.66,3.01,2.66,3.01,4832,0
2012-08-30,3.1,3.15,2.91,2.91,2192,0
2012-08-31,2.92,3.3,2.65,2.8,10630,0
2012-09-03,2.8,2.8,2.78,2.79,1974,0
2012-09-04,2.79,3.14,2.76,2.79,3117,0
2012-09-05,2.7,2.7,2.61,2.61,780,0
2012-09-06,2.62,3.1,2.62,3.1,1395,0
2012-09-07,2.8,2.84,2.8,2.84,20,0
2012-09-10,2.8,2.8,2.8,2.8,1048,0
2012-09-11,2.8,2.8,2.8,2.8,5,0
2012-09-12,2.79,3.36,2.79,2.87,6607,0
2012-09-13,2.78,2.78,2.78,2.78,110,0
2012-09-14,2.8,2.8,2.8,2.8,10,0
2012-09-17,2.8,2.8,2.8,2.8,10,0
2012-09-18,2.8,2.8,2.8,2.8,5,0
2012-09-19,2.8,2.8,2.7,2.7,37,0
