Date,Open,High,Low,Close,Volume,OpenInt
2015-02-26,7.7609,9.14,7.6018,9.14,91512,0
2015-02-27,8.9365,8.9365,8.1321,8.1321,15059,0
2015-03-02,7.9995,8.309,7.9554,7.9642,3374,0
2015-03-03,7.9908,8.5564,7.9908,8.5564,22485,0
2015-03-04,8.3355,8.6183,8.1321,8.6183,1464,0
2015-03-05,8.7418,8.7418,8.2205,8.6094,1539,0
2015-03-06,8.4415,8.6183,8.2471,8.6183,735,0
2015-03-09,8.6183,8.6183,8.2647,8.2736,777,0
2015-03-10,8.2736,8.309,8.2736,8.2736,961,0
2015-03-11,8.2736,8.5299,8.2647,8.2647,944,0
2015-03-12,8.2471,8.5741,8.2471,8.5741,4408,0
2015-03-13,8.3973,8.7335,8.3973,8.7335,1724,0
2015-03-16,8.7335,8.8396,8.7335,8.8396,254,0
2015-03-17,8.8396,9.1839,8.8396,9.1839,2238,0
2015-03-18,9.2716,9.2716,8.2471,9.0961,1551,0
2015-03-19,8.8396,9.0161,8.8396,9.0161,814,0
2015-03-20,8.6714,9.06,8.6625,9.06,577,0
2015-03-23,8.6714,9.1924,8.6714,9.06,1850,0
2015-03-24,8.707,8.7153,8.707,8.7153,1279,0
2015-03-25,8.707,8.707,8.707,8.707,652,0
2015-03-26,8.707,8.707,8.707,8.707,10,0
2015-03-27,8.707,8.9274,8.707,8.9274,1225,0
2015-03-30,9.0426,9.0426,9.0426,9.0426,5,0
2015-03-31,9.0252,9.1047,9.0252,9.1047,1222,0
2015-04-01,9.1047,9.1047,8.8396,8.8396,119,0
2015-04-02,8.7153,9.0161,8.7153,9.0161,10,0
2015-04-07,8.7153,9.0161,8.7153,9.0161,468,0
2015-04-08,8.9274,9.007,8.9274,9.007,572,0
2015-04-09,9.0161,9.0161,9.0161,9.0161,10,0
2015-04-10,8.7509,9.007,8.7153,9.007,243,0
2015-04-13,9.007,9.007,9.007,9.007,5,0
2015-04-14,9.007,9.007,8.7153,9.007,1133,0
2015-04-15,9.007,9.007,8.2647,8.9722,585,0
2015-04-16,8.9274,8.9274,8.9274,8.9274,10,0
2015-04-17,8.8396,8.8396,8.8396,8.8396,10,0
2015-04-20,8.8396,8.8396,8.6183,8.8304,2461,0
2015-04-21,8.8304,8.8304,8.8304,8.8304,10,0
2015-04-22,8.8213,8.8213,8.8213,8.8213,10,0
2015-04-23,8.8213,8.8213,7.9995,8.8213,1786,0
2015-04-24,8.8213,8.8213,8.8213,8.8213,5,0
2015-04-27,8.8213,8.8213,8.8213,8.8213,10,0
2015-04-28,8.7947,9.3604,8.7947,9.1924,9944,0
2015-04-29,9.1485,9.537,8.8835,9.2812,2675,0
2015-04-30,9.3251,9.723,9.3251,9.706,4192,0
2015-05-04,9.706,9.723,9.706,9.723,288,0
2015-05-05,9.3346,9.714,9.2373,9.635,2351,0
2015-05-06,9.2545,9.546,9.2545,9.537,463,0
2015-05-07,9.537,9.537,9.2373,9.537,837,0
2015-05-08,9.2907,9.537,9.2192,9.537,996,0
2015-05-11,9.52,9.52,9.52,9.52,10,0
2015-05-12,9.529,9.529,9.529,9.529,954,0
2015-05-13,9.2373,9.52,9.2373,9.511,1979,0
2015-05-14,9.52,9.52,9.52,9.52,10,0
2015-05-15,9.511,9.511,9.511,9.511,10,0
2015-05-18,9.52,9.52,9.0865,9.52,835,0
2015-05-19,9.503,9.503,9.503,9.503,10,0
2015-05-20,9.503,9.503,9.503,9.503,10,0
2015-05-21,9.503,9.503,9.503,9.503,10,0
2015-05-25,9.503,9.503,9.503,9.503,10,0
2015-05-26,9.503,9.503,9.503,9.503,10,0
2015-05-27,9.503,9.503,9.503,9.503,5,0
2015-05-28,9.493,9.493,9.493,9.493,10,0
2015-05-29,9.493,9.493,9.493,9.493,10,0
2015-06-01,9.493,9.493,9.493,9.493,10,0
2015-06-02,9.493,9.493,9.493,9.493,10,0
2015-06-03,9.493,9.493,9.493,9.493,10,0
2015-06-05,9.493,9.493,9.493,9.493,10,0
2015-06-08,9.493,9.493,9.1924,9.4758,177,0
2015-06-09,9.493,9.493,9.493,9.493,5,0
2015-06-10,9.493,9.493,9.1924,9.493,633,0
2015-06-11,9.493,9.493,9.1924,9.493,11494,0
