Date,Open,High,Low,Close,Volume,OpenInt
2000-05-26,35.729,35.729,35.729,35.729,383152,0
2000-05-29,36.075,36.075,36.075,36.075,144878,0
2000-05-30,37.104,37.104,37.104,37.104,115028,0
2000-05-31,38.479,38.479,38.479,38.479,174019,0
2000-06-01,39.027,39.027,39.027,39.027,126743,0
2000-06-02,37.104,37.104,37.104,37.104,26566,0
2000-06-05,37.45,37.45,37.45,37.45,51728,0
2000-06-06,37.104,37.104,37.104,37.104,140425,0
2000-06-07,38.343,38.343,38.343,38.343,103768,0
2000-06-08,38.479,38.479,38.479,38.479,49125,0
2000-06-09,39.099,39.099,39.099,39.099,55943,0
2000-06-12,38.134,38.134,38.134,38.134,12332,0
2000-06-13,38.479,38.479,38.479,38.479,21803,0
2000-06-14,38.479,38.479,38.479,38.479,17877,0
2000-06-15,37.45,37.45,37.45,37.45,11219,0
2000-06-16,37.796,37.796,37.796,37.796,13334,0
2000-06-19,36.621,36.621,36.621,36.621,8108,0
2000-06-20,37.104,37.104,37.104,37.104,8970,0
2000-06-21,36.621,36.621,36.621,36.621,3509,0
2000-06-23,36.621,36.621,36.621,36.621,11695,0
2000-06-26,36.42,36.42,36.42,36.42,14576,0
2000-06-27,36.557,36.557,36.557,36.557,14169,0
2000-06-28,37.104,37.104,37.104,37.104,11341,0
2000-06-29,36.759,36.759,36.759,36.759,10225,0
2000-06-30,36.42,36.42,36.42,36.42,5297,0
2000-07-03,36.759,36.759,36.759,36.759,7428,0
2000-07-04,36.139,36.139,36.139,36.139,989,0
2000-07-05,36.139,36.139,36.139,36.139,6172,0
2000-07-06,36.42,36.42,36.42,36.42,5988,0
2000-07-07,36.42,36.42,36.42,36.42,5512,0
2000-07-10,36.42,36.42,36.42,36.42,2910,0
2000-07-11,35.664,35.664,35.664,35.664,1716,0
2000-07-12,35.729,35.729,35.729,35.729,4541,0
2000-07-13,35.247,35.247,35.247,35.247,5292,0
2000-07-14,34.972,34.972,34.972,34.972,11060,0
2000-07-17,34.217,34.217,34.217,34.217,11911,0
2000-07-18,31.675,31.675,31.675,31.675,9919,0
2000-07-19,33.461,33.461,33.461,33.461,10311,0
