Date,Open,High,Low,Close,Volume,OpenInt
1997-01-03,12.678,12.678,12.678,12.678,178,0
1997-01-06,12.678,12.678,12.678,12.678,37350,0
1997-01-07,12.732,12.732,12.732,12.732,27252,0
1997-01-08,13.23,13.23,13.23,13.23,28609,0
1997-01-09,13.78,13.78,13.78,13.78,46443,0
1997-01-10,14.33,14.33,14.33,14.33,57079,0
1997-01-13,14.605,14.605,14.605,14.605,49188,0
1997-01-14,14.33,14.33,14.33,14.33,31434,0
1997-01-15,13.78,13.78,13.78,13.78,27248,0
1997-01-16,13.78,13.78,13.78,13.78,21335,0
1997-01-17,13.78,13.78,13.78,13.78,15748,0
1997-01-20,13.23,13.23,13.23,13.23,14438,0
1997-01-21,13.23,13.23,13.23,13.23,22676,0
1997-01-22,12.955,12.955,12.955,12.955,16521,0
1997-01-23,12.955,12.955,12.955,12.955,22156,0
1997-01-24,13.23,13.23,13.23,13.23,22905,0
1997-01-27,12.678,12.678,12.678,12.678,22086,0
1997-01-28,11.684,11.684,11.684,11.684,25543,0
1997-01-29,12.13,12.13,12.13,12.13,14227,0
1997-01-30,12.13,12.13,12.13,12.13,21317,0
1997-01-31,12.07,12.07,12.07,12.07,8740,0
1997-02-03,12.678,12.678,12.678,12.678,10569,0
1997-02-04,12.678,12.678,12.678,12.678,9900,0
1997-02-05,12.568,12.568,12.568,12.568,10025,0
1997-02-06,12.678,12.678,12.678,12.678,13844,0
1997-02-07,12.955,12.955,12.955,12.955,21537,0
1997-02-10,12.895,12.895,12.895,12.895,13103,0
1997-02-11,12.678,12.678,12.678,12.678,24571,0
1997-02-12,12.568,12.568,12.568,12.568,10185,0
1997-02-13,12.13,12.13,12.13,12.13,8823,0
1997-02-14,12.346,12.346,12.346,12.346,13080,0
1997-02-17,12.018,12.018,12.018,12.018,14938,0
1997-02-18,11.907,11.907,11.907,11.907,17639,0
1997-02-19,11.631,11.631,11.631,11.631,21880,0
1997-02-20,11.573,11.573,11.573,11.573,13696,0
1997-02-21,12.13,12.13,12.13,12.13,18845,0
1997-02-24,12.509,12.509,12.509,12.509,16023,0
1997-02-25,13.23,13.23,13.23,13.23,83380,0
1997-02-26,14.33,14.33,14.33,14.33,98981,0
1997-02-27,13.78,13.78,13.78,13.78,77395,0
1997-02-28,14.33,14.33,14.33,14.33,121621,0
1997-03-03,14.33,14.33,14.33,14.33,72848,0
1997-03-04,14.992,14.992,14.992,14.992,92579,0
1997-03-05,15.437,15.437,15.437,15.437,129295,0
1997-03-06,15.437,15.437,15.437,15.437,63853,0
1997-03-07,15.437,15.437,15.437,15.437,79243,0
1997-03-10,15.155,15.155,15.155,15.155,60099,0
1997-03-11,14.992,14.992,14.992,14.992,73301,0
1997-03-12,14.828,14.828,14.828,14.828,53008,0
1997-03-13,14.33,14.33,14.33,14.33,32900,0
1997-03-14,13.505,13.505,13.505,13.505,90303,0
1997-03-17,13.505,13.505,13.505,13.505,19663,0
1997-03-18,13.341,13.341,13.341,13.341,24814,0
1997-03-19,12.955,12.955,12.955,12.955,51339,0
1997-03-20,12.732,12.732,12.732,12.732,21244,0
1997-03-21,12.955,12.955,12.955,12.955,17950,0
1997-03-24,13.065,13.065,13.065,13.065,14544,0
1997-03-25,13.393,13.393,13.393,13.393,28259,0
1997-03-26,13.452,13.452,13.452,13.452,23868,0
1997-03-27,13.668,13.668,13.668,13.668,34490,0
1997-04-01,13.23,13.23,13.23,13.23,44336,0
1997-04-02,13.282,13.282,13.282,13.282,25632,0
1997-04-03,13.23,13.23,13.23,13.23,35113,0
1997-04-04,13.118,13.118,13.118,13.118,14366,0
1997-04-07,13.282,13.282,13.282,13.282,17615,0
1997-04-08,13.23,13.23,13.23,13.23,41350,0
1997-04-09,13.23,13.23,13.23,13.23,16781,0
1997-04-10,13.23,13.23,13.23,13.23,28762,0
1997-04-11,13.341,13.341,13.341,13.341,20691,0
1997-04-14,13.341,13.341,13.341,13.341,24623,0
1997-04-15,13.452,13.452,13.452,13.452,43272,0
1997-04-16,13.78,13.78,13.78,13.78,57473,0
1997-04-17,13.78,13.78,13.78,13.78,37772,0
1997-04-18,13.452,13.452,13.452,13.452,12380,0
1997-04-21,13.78,13.78,13.78,13.78,44194,0
1997-04-22,14.004,14.004,14.004,14.004,22462,0
1997-04-23,14.277,14.277,14.277,14.277,46266,0
1997-04-24,14.33,14.33,14.33,14.33,50867,0
1997-04-25,13.833,13.833,13.833,13.833,14963,0
1997-04-28,13.668,13.668,13.668,13.668,26699,0
1997-04-29,13.505,13.505,13.505,13.505,8255,0
1997-04-30,14.218,14.218,14.218,14.218,46341,0
1997-05-05,14.44,14.44,14.44,14.44,47746,0
1997-05-06,14.605,14.605,14.605,14.605,30567,0
1997-05-07,13.945,13.945,13.945,13.945,23807,0
1997-05-08,13.892,13.892,13.892,13.892,33535,0
1997-05-09,14.44,14.44,14.44,14.44,47537,0
1997-05-12,14.389,14.389,14.389,14.389,40766,0
1997-05-13,14.389,14.389,14.389,14.389,49037,0
1997-05-14,14.389,14.389,14.389,14.389,34996,0
1997-05-15,14.605,14.605,14.605,14.605,53467,0
1997-05-16,14.33,14.33,14.33,14.33,34991,0
1997-05-19,14.218,14.218,14.218,14.218,25911,0
1997-05-20,14.055,14.055,14.055,14.055,42616,0
1997-05-21,13.892,13.892,13.892,13.892,12886,0
1997-05-22,13.78,13.78,13.78,13.78,16368,0
1997-05-23,13.616,13.616,13.616,13.616,14137,0
1997-05-26,13.668,13.668,13.668,13.668,5045,0
1997-05-27,13.505,13.505,13.505,13.505,11941,0
1997-05-28,13.558,13.558,13.558,13.558,15009,0
1997-05-30,14.277,14.277,14.277,14.277,32467,0
1997-06-02,14.493,14.493,14.493,14.493,46250,0
1997-06-03,14.33,14.33,14.33,14.33,42492,0
1997-06-04,14.115,14.115,14.115,14.115,27391,0
1997-06-05,14.33,14.33,14.33,14.33,52717,0
1997-06-06,14.493,14.493,14.493,14.493,29143,0
1997-06-09,14.605,14.605,14.605,14.605,49153,0
1997-06-10,14.44,14.44,14.44,14.44,9081,0
1997-06-11,14.717,14.717,14.717,14.717,49637,0
1997-06-12,14.992,14.992,14.992,14.992,56659,0
1997-06-13,16.478,16.478,16.478,16.478,97649,0
1997-06-16,15.987,15.987,15.987,15.987,59280,0
1997-06-17,15.712,15.712,15.712,15.712,32780,0
1997-06-18,15.378,15.378,15.378,15.378,66439,0
1997-06-19,15.155,15.155,15.155,15.155,35986,0
1997-06-20,14.939,14.939,14.939,14.939,16469,0
1997-06-23,14.828,14.828,14.828,14.828,13962,0
1997-06-24,14.493,14.493,14.493,14.493,22139,0
1997-06-25,14.88,14.88,14.88,14.88,27384,0
1997-06-26,14.88,14.88,14.88,14.88,33407,0
1997-06-27,15.712,15.712,15.712,15.712,29027,0
1997-06-30,15.378,15.378,15.378,15.378,19350,0
1997-07-01,14.115,14.115,14.115,14.115,10435,0
1997-07-02,14.605,14.605,14.605,14.605,27688,0
1997-07-03,14.389,14.389,14.389,14.389,30487,0
1997-07-04,14.88,14.88,14.88,14.88,23754,0
1997-07-07,14.717,14.717,14.717,14.717,27858,0
1997-07-08,14.939,14.939,14.939,14.939,11378,0
1997-07-09,15.987,15.987,15.987,15.987,55582,0
1997-07-10,15.712,15.712,15.712,15.712,31955,0
1997-07-11,15.987,15.987,15.987,15.987,27120,0
1997-07-14,15.05,15.05,15.05,15.05,71671,0
1997-07-15,14.88,14.88,14.88,14.88,16293,0
1997-07-16,15.6,15.6,15.6,15.6,14905,0
1997-07-17,16.039,16.039,16.039,16.039,39460,0
1997-07-18,15.987,15.987,15.987,15.987,31467,0
1997-07-21,16.537,16.537,16.537,16.537,58597,0
1997-07-22,16.537,16.537,16.537,16.537,46171,0
1997-07-23,17.586,17.586,17.586,17.586,189157,0
1997-07-24,16.537,16.537,16.537,16.537,109183,0
1997-07-25,15.155,15.155,15.155,15.155,56207,0
1997-07-28,14.663,14.663,14.663,14.663,20392,0
1997-07-29,14.33,14.33,14.33,14.33,19992,0
1997-07-30,14.33,14.33,14.33,14.33,20375,0
1997-07-31,14.552,14.552,14.552,14.552,23984,0
1997-08-01,13.892,13.892,13.892,13.892,15694,0
1997-08-04,13.78,13.78,13.78,13.78,7329,0
1997-08-05,13.341,13.341,13.341,13.341,15442,0
1997-08-06,13.23,13.23,13.23,13.23,24414,0
1997-08-07,13.23,13.23,13.23,13.23,13378,0
1997-08-08,13.728,13.728,13.728,13.728,51694,0
1997-08-11,13.78,13.78,13.78,13.78,41690,0
1997-08-12,13.341,13.341,13.341,13.341,13422,0
1997-08-13,13.341,13.341,13.341,13.341,22414,0
1997-08-14,13.065,13.065,13.065,13.065,11444,0
1997-08-18,12.13,12.13,12.13,12.13,20450,0
1997-08-19,12.405,12.405,12.405,12.405,32494,0
1997-08-20,12.509,12.509,12.509,12.509,21456,0
1997-08-21,12.293,12.293,12.293,12.293,8297,0
1997-08-22,12.13,12.13,12.13,12.13,20986,0
1997-08-25,12.293,12.293,12.293,12.293,13849,0
1997-08-26,12.13,12.13,12.13,12.13,14097,0
1997-08-27,12.405,12.405,12.405,12.405,15889,0
1997-08-28,12.955,12.955,12.955,12.955,7859,0
1997-08-29,12.955,12.955,12.955,12.955,17927,0
1997-09-01,12.678,12.678,12.678,12.678,10726,0
1997-09-02,12.79,12.79,12.79,12.79,8549,0
1997-09-03,13.065,13.065,13.065,13.065,5459,0
1997-09-04,13.065,13.065,13.065,13.065,3952,0
1997-09-05,12.79,12.79,12.79,12.79,1877,0
1997-09-08,12.955,12.955,12.955,12.955,7369,0
1997-09-09,12.955,12.955,12.955,12.955,21242,0
1997-09-10,12.955,12.955,12.955,12.955,13985,0
1997-09-11,12.844,12.844,12.844,12.844,15962,0
1997-09-12,12.79,12.79,12.79,12.79,29890,0
1997-09-15,12.732,12.732,12.732,12.732,33727,0
1997-09-16,12.732,12.732,12.732,12.732,30382,0
1997-09-17,12.732,12.732,12.732,12.732,17087,0
1997-09-18,12.678,12.678,12.678,12.678,17735,0
1997-09-19,12.955,12.955,12.955,12.955,16763,0
1997-09-22,12.509,12.509,12.509,12.509,2568,0
1997-09-23,12.79,12.79,12.79,12.79,5002,0
1997-09-24,13.118,13.118,13.118,13.118,7460,0
1997-09-25,12.844,12.844,12.844,12.844,7340,0
1997-09-26,12.678,12.678,12.678,12.678,7555,0
1997-09-29,12.509,12.509,12.509,12.509,2199,0
1997-09-30,13.668,13.668,13.668,13.668,63892,0
1997-10-01,13.118,13.118,13.118,13.118,4443,0
1997-10-02,13.118,13.118,13.118,13.118,9939,0
1997-10-03,12.79,12.79,12.79,12.79,4610,0
1997-10-06,12.509,12.509,12.509,12.509,4041,0
1997-10-07,11.848,11.848,11.848,11.848,16662,0
1997-10-08,12.234,12.234,12.234,12.234,15780,0
1997-10-09,12.405,12.405,12.405,12.405,15698,0
1997-10-10,11.907,11.907,11.907,11.907,9407,0
1997-10-13,12.13,12.13,12.13,12.13,14006,0
1997-10-14,12.62,12.62,12.62,12.62,21890,0
1997-10-15,12.732,12.732,12.732,12.732,9395,0
1997-10-16,12.955,12.955,12.955,12.955,19830,0
1997-10-17,12.955,12.955,12.955,12.955,10174,0
1997-10-20,12.955,12.955,12.955,12.955,5976,0
1997-10-21,12.457,12.457,12.457,12.457,12335,0
1997-10-22,12.457,12.457,12.457,12.457,32211,0
1997-10-23,12.457,12.457,12.457,12.457,20459,0
1997-10-24,12.13,12.13,12.13,12.13,12238,0
1997-10-27,11.96,11.96,11.96,11.96,36342,0
1997-10-28,10.807,10.807,10.807,10.807,11998,0
1997-10-29,11.081,11.081,11.081,11.081,19848,0
1997-10-30,11.185,11.185,11.185,11.185,50470,0
1997-10-31,11.185,11.185,11.185,11.185,10194,0
1997-11-03,11.356,11.356,11.356,11.356,25120,0
1997-11-04,11.573,11.573,11.573,11.573,10552,0
1997-11-05,11.684,11.684,11.684,11.684,6950,0
1997-11-06,11.356,11.356,11.356,11.356,4382,0
1997-11-07,11.081,11.081,11.081,11.081,20679,0
1997-11-12,10.858,10.858,10.858,10.858,8031,0
1997-11-13,10.197,10.197,10.197,10.197,5209,0
1997-11-14,10.25,10.25,10.25,10.25,10774,0
1997-11-17,10.421,10.421,10.421,10.421,22412,0
1997-11-18,10.145,10.145,10.145,10.145,24585,0
1997-11-19,9.535,9.535,9.535,9.535,24384,0
1997-11-20,9.647,9.647,9.647,9.647,8732,0
1997-11-21,9.647,9.647,9.647,9.647,19744,0
1997-11-24,9.3123,9.3123,9.3123,9.3123,12545,0
1997-11-25,9.2611,9.2611,9.2611,9.2611,20242,0
1997-11-26,9.0965,9.0965,9.0965,9.0965,33499,0
1997-11-27,8.8225,8.8225,8.8225,8.8225,26717,0
1997-11-28,8.8225,8.8225,8.8225,8.8225,22304,0
1997-12-01,9.0376,9.0376,9.0376,9.0376,24163,0
1997-12-02,9.647,9.647,9.647,9.647,31106,0
1997-12-03,9.2611,9.2611,9.2611,9.2611,19138,0
1997-12-04,9.3123,9.3123,9.3123,9.3123,85269,0
1997-12-05,9.923,9.923,9.923,9.923,64212,0
1997-12-08,9.587,9.587,9.587,9.587,12599,0
1997-12-09,9.2611,9.2611,9.2611,9.2611,10879,0
1997-12-10,8.8755,8.8755,8.8755,8.8755,30272,0
1997-12-11,8.3769,8.3769,8.3769,8.3769,40269,0
1997-12-12,8.1014,8.1014,8.1014,8.1014,34231,0
1997-12-15,8.2651,8.2651,8.2651,8.2651,30922,0
1997-12-16,8.2651,8.2651,8.2651,8.2651,62552,0
1997-12-17,8.435,8.435,8.435,8.435,20652,0
1997-12-18,8.435,8.435,8.435,8.435,16574,0
1997-12-19,8.1014,8.1014,8.1014,8.1014,29791,0
1997-12-22,7.9905,7.9905,7.9905,7.9905,20709,0
1997-12-23,7.9905,7.9905,7.9905,7.9905,19309,0
1997-12-29,8.54,8.54,8.54,8.54,5988,0
1997-12-30,8.6518,8.6518,8.6518,8.6518,17733,0
1997-12-31,8.435,8.435,8.435,8.435,24437,0
1998-01-05,8.6518,8.6518,8.6518,8.6518,16556,0
1998-01-06,8.6518,8.6518,8.6518,8.6518,15343,0
1998-01-07,8.3769,8.3769,8.3769,8.3769,29104,0
1998-01-08,8.3769,8.3769,8.3769,8.3769,12884,0
1998-01-09,8.161,8.161,8.161,8.161,5525,0
1998-01-12,7.3872,7.3872,7.3872,7.3872,19283,0
1998-01-13,7.6042,7.6042,7.6042,7.6042,13769,0
1998-01-14,7.6628,7.6628,7.6628,7.6628,12192,0
1998-01-15,7.2765,7.2765,7.2765,7.2765,8499,0
1998-01-16,7.3872,7.3872,7.3872,7.3872,16470,0
1998-01-19,7.5512,7.5512,7.5512,7.5512,22369,0
1998-01-20,7.2765,7.2765,7.2765,7.2765,9592,0
1998-01-21,7.0012,7.0012,7.0012,7.0012,14905,0
1998-01-22,6.4511,6.4511,6.4511,6.4511,35966,0
1998-01-23,6.6148,6.6148,6.6148,6.6148,16219,0
1998-01-26,6.8374,6.8374,6.8374,6.8374,11919,0
1998-01-27,6.8374,6.8374,6.8374,6.8374,10686,0
1998-01-28,6.7262,6.7262,6.7262,6.7262,11115,0
1998-01-29,6.8899,6.8899,6.8899,6.8899,30387,0
1998-01-30,6.7785,6.7785,6.7785,6.7785,14852,0
1998-02-02,7.44,7.44,7.44,7.44,23042,0
1998-02-03,7.7745,7.7745,7.7745,7.7745,63827,0
1998-02-04,8.2122,8.2122,8.2122,8.2122,34481,0
1998-02-05,8.598,8.598,8.598,8.598,76471,0
1998-02-06,8.6518,8.6518,8.6518,8.6518,59080,0
1998-02-09,8.9856,8.9856,8.9856,8.9856,45285,0
1998-02-10,9.0965,9.0965,9.0965,9.0965,28265,0
1998-02-11,8.4879,8.4879,8.4879,8.4879,52227,0
1998-02-12,8.4879,8.4879,8.4879,8.4879,16765,0
1998-02-13,7.9905,7.9905,7.9905,7.9905,11030,0
1998-02-16,8.7636,8.7636,8.7636,8.7636,30051,0
1998-02-17,8.7636,8.7636,8.7636,8.7636,25978,0
1998-02-18,8.9267,8.9267,8.9267,8.9267,30965,0
1998-02-19,9.0376,9.0376,9.0376,9.0376,33575,0
1998-02-20,9.0965,9.0965,9.0965,9.0965,31390,0
1998-02-23,9.587,9.587,9.587,9.587,59005,0
1998-02-24,9.4822,9.4822,9.4822,9.4822,58479,0
1998-02-25,9.3722,9.3722,9.3722,9.3722,41207,0
1998-02-26,9.699,9.699,9.699,9.699,26396,0
1998-02-27,9.647,9.647,9.647,9.647,16293,0
1998-03-02,9.699,9.699,9.699,9.699,15448,0
1998-03-03,9.4243,9.4243,9.4243,9.4243,9149,0
1998-03-04,8.9856,8.9856,8.9856,8.9856,17009,0
1998-03-05,8.6518,8.6518,8.6518,8.6518,15648,0
1998-03-06,9.4822,9.4822,9.4822,9.4822,28066,0
1998-03-09,9.759,9.759,9.759,9.759,19152,0
1998-03-10,9.923,9.923,9.923,9.923,23305,0
1998-03-11,10.085,10.085,10.085,10.085,21476,0
1998-03-12,9.4243,9.4243,9.4243,9.4243,18866,0
1998-03-13,10.085,10.085,10.085,10.085,31165,0
1998-03-16,10.197,10.197,10.197,10.197,27021,0
1998-03-17,10.473,10.473,10.473,10.473,29882,0
1998-03-18,10.085,10.085,10.085,10.085,20709,0
1998-03-19,11.022,11.022,11.022,11.022,53052,0
1998-03-20,11.133,11.133,11.133,11.133,60453,0
1998-03-23,11.081,11.081,11.081,11.081,25336,0
1998-03-24,10.637,10.637,10.637,10.637,33756,0
1998-03-25,10.858,10.858,10.858,10.858,35470,0
1998-03-26,11.081,11.081,11.081,11.081,37256,0
1998-03-27,10.97,10.97,10.97,10.97,26386,0
1998-03-30,10.911,10.911,10.911,10.911,16450,0
1998-03-31,10.583,10.583,10.583,10.583,29745,0
1998-04-01,10.309,10.309,10.309,10.309,23896,0
1998-04-02,10.197,10.197,10.197,10.197,10011,0
1998-04-06,10.748,10.748,10.748,10.748,15724,0
1998-04-07,11.081,11.081,11.081,11.081,38025,0
1998-04-08,11.022,11.022,11.022,11.022,7271,0
1998-04-09,10.748,10.748,10.748,10.748,6172,0
1998-04-14,11.297,11.297,11.297,11.297,16204,0
1998-04-15,11.081,11.081,11.081,11.081,11094,0
1998-04-16,11.022,11.022,11.022,11.022,7181,0
1998-04-17,11.022,11.022,11.022,11.022,27602,0
1998-04-20,11.022,11.022,11.022,11.022,31865,0
1998-04-21,10.748,10.748,10.748,10.748,10521,0
1998-04-22,10.911,10.911,10.911,10.911,18589,0
1998-04-23,10.911,10.911,10.911,10.911,2950,0
1998-04-24,10.748,10.748,10.748,10.748,9673,0
1998-04-27,10.526,10.526,10.526,10.526,9846,0
1998-04-28,10.25,10.25,10.25,10.25,23153,0
1998-04-29,9.759,9.759,9.759,9.759,5582,0
1998-04-30,9.647,9.647,9.647,9.647,21114,0
1998-05-04,9.647,9.647,9.647,9.647,22549,0
1998-05-05,9.864,9.864,9.864,9.864,9738,0
1998-05-06,9.759,9.759,9.759,9.759,2888,0
1998-05-07,9.647,9.647,9.647,9.647,11802,0
1998-05-08,9.647,9.647,9.647,9.647,14446,0
1998-05-11,9.864,9.864,9.864,9.864,6899,0
1998-05-12,9.864,9.864,9.864,9.864,4005,0
1998-05-13,9.759,9.759,9.759,9.759,18394,0
1998-05-14,9.4822,9.4822,9.4822,9.4822,8443,0
1998-05-15,9.3722,9.3722,9.3722,9.3722,6036,0
1998-05-18,9.759,9.759,9.759,9.759,22939,0
1998-05-19,8.8225,8.8225,8.8225,8.8225,9618,0
1998-05-20,8.7107,8.7107,8.7107,8.7107,22638,0
1998-05-21,9.0376,9.0376,9.0376,9.0376,14532,0
1998-05-22,9.0965,9.0965,9.0965,9.0965,18008,0
1998-05-25,8.54,8.54,8.54,8.54,3988,0
1998-05-26,8.54,8.54,8.54,8.54,5041,0
