Date,Open,High,Low,Close,Volume,OpenInt
2016-10-25,30,30.89,30,30,55137,0
2016-10-26,29.9,30.2,29.11,30.01,9561,0
2016-10-27,30.17,30.46,30,30.4,13522,0
2016-10-28,30.5,30.59,30.35,30.59,4485,0
2016-10-31,30.3,30.75,30.3,30.6,2536,0
2016-11-02,30.68,30.68,29.65,30.29,5352,0
2016-11-03,30.25,30.29,30.07,30.29,2142,0
2016-11-04,30.29,30.35,30,30.25,12209,0
2016-11-07,30.3,30.4,30.3,30.4,1198,0
2016-11-08,30.33,30.38,30.02,30.38,2862,0
2016-11-09,29.75,30.02,29.75,30,1973,0
2016-11-10,30,30.34,29.75,29.99,4631,0
2016-11-14,29.7,30.3,29.7,30.1,2613,0
2016-11-15,30,30.29,30,30.01,2151,0
2016-11-16,30,30.27,30,30,1636,0
2016-11-17,30.2,30.37,30,30,21750,0
2016-11-18,30,30.5,30,30.01,9546,0
2016-11-21,30,30.5,30,30.47,410,0
2016-11-22,30.48,30.48,30.06,30.16,134,0
2016-11-23,30.48,30.49,30.06,30.49,2331,0
2016-11-24,30.4,30.88,30.4,30.8,62012,0
2016-11-25,30.62,30.85,30.5,30.85,2684,0
2016-11-28,30.5,30.81,30.33,30.79,1777,0
2016-11-29,30.85,30.89,30.55,30.88,6498,0
2016-11-30,30.7,30.89,30.7,30.82,8096,0
2016-12-01,30.79,30.85,30.56,30.85,4087,0
2016-12-02,30.85,31.1,30.42,30.99,28041,0
2016-12-05,30.92,32.4,30.92,32.2,19515,0
2016-12-06,32.15,32.7,32.1,32.25,5400,0
2016-12-07,32.25,32.25,32,32,2368,0
2016-12-08,32.22,32.25,31.6,32,20781,0
2016-12-09,31.6,31.8,31.6,31.61,367,0
2016-12-12,31.3,31.61,30.5,31.45,4266,0
2016-12-13,31.3,31.3,30.11,31,2237,0
2016-12-14,31.5,31.5,30.3,31,756,0
2016-12-15,31.39,31.39,30,30,96567,0
2016-12-16,29.8,30.5,29.8,30.5,50682,0
2016-12-19,30.1,31,30,30.99,4518,0
2016-12-20,30.07,31.5,30.07,31.45,15801,0
2016-12-21,31.48,31.48,30.11,31.02,6008,0
2016-12-22,30.33,30.98,30.3,30.3,170,0
2016-12-23,31,31,31,31,3,0
2016-12-27,30.9,31.4,30.5,31,9685,0
2016-12-28,30.9,31,30.5,30.9,5305,0
2016-12-29,30.7,30.7,30.7,30.7,47,0
2016-12-30,30.7,30.98,30.5,30.7,6010,0
2017-01-02,30.5,31.48,30.31,30.5,3070,0
2017-01-03,30.5,31.25,30.3,31.25,293241,0
2017-01-04,30.5,31.25,30.21,30.22,4369,0
2017-01-05,30.28,30.7,30.28,30.7,4287,0
2017-01-09,30.75,31.1,30.75,30.75,103,0
2017-01-10,30.6,30.9,30.3,30.9,2686,0
2017-01-11,30.4,31,30.32,31,302223,0
2017-01-12,30.33,30.9,30.33,30.9,1980,0
2017-01-13,30.37,30.85,30.37,30.7,140,0
2017-01-16,30.36,30.7,30.36,30.6,1080,0
2017-01-17,30.7,31,30.6,30.9,96557,0
2017-01-18,31,31.25,30.7,31.24,1813,0
2017-01-19,31.24,31.35,30.91,31.25,291755,0
2017-01-20,31.25,31.26,31,31.26,51454,0
2017-01-23,31.25,31.5,31,31.5,30623,0
2017-01-24,31.7,32.5,31.7,32.5,9804,0
2017-01-25,32.45,32.45,31.9,32,10700,0
2017-01-26,32.3,32.3,31.5,32.3,4641,0
2017-01-27,32.3,32.3,31.4,32,650,0
2017-01-30,32.2,32.2,30.68,30.78,2620,0
2017-01-31,30.8,31.19,30.8,31,33,0
2017-02-01,31,31,30.63,31,808,0
2017-02-02,30.64,31,30.64,30.85,19,0
2017-02-03,30.7,30.7,30.2,30.3,4664,0
2017-02-06,30.25,30.7,30.25,30.7,210,0
2017-02-07,30.7,30.7,30.52,30.6,26261,0
2017-02-08,30.6,30.6,30.3,30.3,3364,0
2017-02-09,30.21,30.72,30.21,30.4,1892,0
2017-02-10,30.6,30.78,30.4,30.78,1872,0
2017-02-13,30.75,30.75,30.75,30.75,33,0
2017-02-14,30.5,30.5,30.5,30.5,60,0
2017-02-15,30.5,30.5,30.2,30.3,3427,0
2017-02-16,30.3,30.5,30.3,30.5,7128,0
2017-02-17,30.4,30.42,30.25,30.29,1644,0
2017-02-20,30.25,30.5,29.99,30,9931,0
2017-02-21,30.3,30.5,30.06,30.11,2473,0
2017-02-22,30.1,30.5,30.1,30.32,3471,0
2017-02-23,30.1,30.42,30.1,30.42,299,0
2017-02-24,30.1,30.41,30,30.41,749,0
