Date,Open,High,Low,Close,Volume,OpenInt
2000-11-20,19.548,19.609,17.585,17.825,100918,0
2000-11-21,17.825,17.825,17.405,17.765,12120,0
2000-11-22,17.526,17.526,17.23,17.465,5940,0
2000-11-23,17.35,17.35,16.991,16.991,8141,0
2000-11-24,17.23,17.465,17.112,17.465,7045,0
2000-11-27,17.526,17.526,17.23,17.405,8432,0
2000-11-28,17.112,17.112,16.817,17.051,4994,0
2000-11-29,16.817,16.817,16.456,16.456,1850,0
2000-11-30,16.042,16.042,14.439,15.327,13547,0
2000-12-01,15.034,15.861,15.034,15.327,3230,0
2000-12-04,15.449,15.449,14.854,14.973,20609,0
2000-12-05,15.148,15.388,15.094,15.388,14102,0
2000-12-06,15.802,16.637,15.802,16.517,8665,0
2000-12-07,16.223,16.637,16.042,16.637,3251,0
2000-12-08,16.395,16.757,16.042,16.456,2425,0
2000-12-11,16.277,16.757,16.277,16.577,2440,0
2000-12-12,16.337,16.577,16.042,16.577,909,0
2000-12-13,16.042,16.337,16.042,16.102,3303,0
2000-12-14,16.042,16.337,16.042,16.337,1978,0
2000-12-15,16.395,16.395,16.042,16.042,1077,0
2000-12-18,15.802,15.802,15.148,15.148,538,0
2000-12-19,15.327,15.982,14.854,15.982,1680,0
2000-12-20,15.922,15.922,15.449,15.449,2576,0
2000-12-21,15.682,15.682,15.628,15.628,841,0
2000-12-22,15.268,16.042,15.268,15.802,8700,0
2000-12-27,16.042,16.042,16.042,16.042,489,0
2000-12-28,16.042,16.042,15.507,16.042,2383,0
2000-12-29,15.742,15.922,15.742,15.922,2020,0
2001-01-03,14.854,15.449,14.854,14.973,1163,0
2001-01-04,15.449,15.449,15.148,15.148,2065,0
2001-01-05,15.148,15.148,14.914,15.148,2268,0
2001-01-08,14.259,14.794,14.259,14.733,2264,0
2001-01-09,14.318,14.733,14.318,14.733,1362,0
2001-01-10,14.854,14.854,14.259,14.259,2205,0
2001-01-11,14.318,14.318,13.845,14.259,2368,0
2001-01-12,14.259,14.259,13.905,13.905,2523,0
2001-01-15,13.664,13.664,12.122,12.836,2889,0
2001-01-16,12.476,12.596,11.942,12.596,16474,0
2001-01-17,12.476,14.38,12.476,14.259,5454,0
2001-01-18,14.38,15.094,14.019,14.794,7764,0
2001-01-19,14.854,14.854,14.673,14.854,2503,0
2001-01-22,14.794,14.794,14.38,14.673,1740,0
2001-01-23,14.259,14.439,14.019,14.019,2232,0
2001-01-24,14.079,14.673,14.079,14.614,140,0
2001-01-25,14.259,14.5,14.259,14.259,1862,0
2001-01-26,14.019,14.259,13.784,14.259,1754,0
2001-01-29,13.905,13.905,13.131,13.484,201,0
2001-01-30,13.664,14.138,13.426,13.426,2233,0
2001-01-31,13.605,14.019,13.605,14.019,2,0
2001-02-01,13.905,13.964,13.664,13.664,543,0
2001-02-02,13.664,13.964,13.664,13.784,494,0
2001-02-05,13.664,13.725,13.664,13.664,4579,0
2001-02-06,13.664,13.664,13.426,13.426,1230,0
2001-02-07,13.371,13.371,13.25,13.25,2285,0
2001-02-08,13.131,13.371,12.776,12.776,9719,0
2001-02-09,13.664,14.673,12.891,13.191,29150,0
2001-02-12,13.605,13.605,13.311,13.311,1533,0
2001-02-13,13.371,13.664,13.371,13.664,969,0
2001-02-14,13.725,13.725,13.664,13.664,1179,0
2001-02-15,14.259,14.794,13.964,14.733,4011,0
2001-02-16,14.673,14.673,13.784,13.784,2456,0
2001-02-19,13.545,14.794,13.545,14.794,672,0
2001-02-20,14.259,14.439,14.259,14.318,936,0
2001-02-21,14.5,14.5,13.25,13.371,2274,0
2001-02-22,13.371,13.426,13.371,13.426,565,0
2001-02-23,13.964,13.964,13.664,13.664,5484,0
2001-02-26,13.725,13.725,13.725,13.725,337,0
2001-02-27,13.964,13.964,13.664,13.725,3364,0
2001-02-28,13.664,13.964,13.664,13.725,1317,0
2001-03-01,13.845,13.845,13.845,13.845,303,0
2001-03-02,13.784,13.784,13.311,13.371,3226,0
2001-03-05,13.426,13.664,13.426,13.664,464,0
2001-03-06,13.664,13.905,13.664,13.664,1852,0
2001-03-07,13.071,13.664,12.95,13.664,449,0
2001-03-08,13.25,13.664,13.25,13.664,2774,0
2001-03-09,13.371,13.664,12.776,13.664,1504,0
2001-03-12,12.95,13.545,12.95,13.131,3156,0
2001-03-13,13.071,13.371,13.071,13.25,4988,0
2001-03-14,13.191,13.371,13.071,13.131,4749,0
2001-03-15,13.311,13.964,13.311,13.964,2546,0
2001-03-16,13.484,13.664,13.484,13.664,2272,0
