Date,Open,High,Low,Close,Volume,OpenInt
2009-03-23,6.0197,8.4277,6.0197,7.2236,29396,0
2009-03-24,6.7144,7.2236,6.0938,7.2236,2051,0
2009-03-25,6.6681,7.8719,6.6681,6.8716,3458,0
2009-03-26,6.8532,7.4089,6.2976,7.4089,1687,0
2009-03-27,6.9458,6.9458,6.9458,6.9458,539,0
2009-03-30,6.6681,7.4089,6.6681,6.9458,1502,0
2009-03-31,7.3904,7.8534,7.3904,7.5478,3559,0
2009-04-01,7.2236,7.5478,7.2236,7.5016,617,0
2009-04-02,7.5016,7.5942,7.5016,7.5942,2741,0
2009-04-03,7.8441,7.8441,7.27,7.27,3960,0
2009-04-06,7.7701,7.7794,7.2885,7.2885,1521,0
2009-04-07,7.2885,7.8719,7.2885,7.8626,3196,0
2009-04-08,7.8719,8.335,7.3164,7.4089,4244,0
2009-04-09,7.4089,7.8256,6.9458,6.9921,2782,0
2009-04-14,7.0384,7.2236,6.9458,6.9458,10162,0
2009-04-15,7.8626,7.8626,6.9736,7.2144,8318,0
2009-04-16,7.0477,7.0477,6.2236,6.4642,10889,0
2009-04-17,6.6681,6.7329,6.4365,6.4365,3900,0
2009-04-20,6.4829,6.4829,5.9733,5.9733,2557,0
2009-04-21,5.9271,5.9271,5.6956,5.6956,1081,0
2009-04-22,5.7881,5.9271,5.7881,5.8808,2039,0
2009-04-23,6.1957,6.1957,6.0845,6.0845,2667,0
2009-04-24,6.3438,6.3438,6.0938,6.0938,158,0
2009-04-27,6.2976,6.6681,6.2976,6.6681,294,0
2009-04-28,6.594,6.594,6.3901,6.3901,232,0
2009-04-29,6.3901,6.6681,6.3809,6.3809,2648,0
2009-04-30,6.8532,6.8532,5.7049,5.7049,5018,0
2009-05-04,6.8439,6.8532,6.2513,6.2513,8471,0
2009-05-05,6.8347,6.8347,6.3438,6.3438,813,0
2009-05-06,6.2605,6.3901,6.0197,6.3901,2861,0
2009-05-07,6.6681,6.6681,6.2049,6.2049,3444,0
2009-05-08,6.594,6.594,6.0475,6.3532,2123,0
2009-05-11,6.3809,6.3809,5.9364,6.0197,7478,0
2009-05-12,6.0104,6.0104,5.8159,5.8345,5884,0
2009-05-13,5.9364,5.9364,5.5567,5.5567,7431,0
2009-05-14,5.8345,5.8345,5.6123,5.6123,2001,0
2009-05-15,5.6494,5.6494,5.603,5.603,482,0
2009-05-18,5.9271,5.9271,5.603,5.603,2588,0
2009-05-19,5.8345,5.8345,5.4826,5.4826,4212,0
2009-05-20,5.7511,5.7511,5.4826,5.5104,102,0
2009-05-21,5.5104,5.6494,5.5104,5.6494,1804,0
2009-05-22,5.7511,5.7511,5.7511,5.7511,2,0
2009-05-25,5.603,5.603,5.464,5.464,747,0
2009-05-26,5.603,5.603,5.603,5.603,11,0
2009-05-27,5.5567,5.5567,5.5567,5.5567,340,0
2009-05-28,5.5567,5.5567,5.5567,5.5567,917,0
2009-05-29,5.5567,5.5567,5.5104,5.5104,458,0
2009-06-01,5.5567,5.5567,5.5474,5.5474,456,0
2009-06-02,5.5474,5.5474,5.464,5.464,81,0
2009-06-03,5.5197,5.5567,5.4733,5.4733,1132,0
2009-06-04,5.5937,5.5937,5.4733,5.4733,630,0
2009-06-05,5.5567,5.5567,5.2881,5.2881,515,0
2009-06-08,5.4178,5.4178,5.001,5.001,3856,0
2009-06-09,5.3622,5.3622,5.1399,5.1399,1464,0
2009-06-10,5.3714,5.3714,5.3714,5.3714,53,0
2009-06-12,5.5567,5.5567,5.427,5.427,503,0
2009-06-15,5.5104,5.5104,5.2604,5.2604,450,0
2009-06-16,5.3808,5.4456,5.3808,5.4456,287,0
2009-06-17,5.3714,5.3714,5.2047,5.3714,332,0
2009-06-18,5.3622,5.3622,4.8343,4.8343,20,0
2009-06-19,5.214,5.464,5.214,5.4178,847,0
2009-06-22,5.4733,5.4733,4.9454,5.0472,1998,0
2009-06-23,4.9454,5.2788,4.8158,5.0103,1186,0
2009-06-24,5.2788,5.2788,5.1492,5.1492,111,0
2009-06-25,5.2788,5.2788,5.1492,5.1492,248,0
2009-06-26,5.2788,5.2788,5.2788,5.2788,27,0
2009-06-29,5.0565,5.1769,5.0565,5.1769,119,0
2009-06-30,5.1769,5.1769,5.0565,5.0565,95,0
2009-07-01,5.1399,5.1399,5.1399,5.1399,87,0
2009-07-02,5.1492,5.1492,5.1492,5.1492,97,0
2009-07-03,5.2326,5.2326,5.2326,5.2326,13,0
2009-07-06,5.1029,5.2326,5.1029,5.2326,111,0
2009-07-07,5.2326,5.2326,5.2326,5.2326,12,0
2009-07-08,5.251,5.251,5.0381,5.0381,262,0
2009-07-09,5.2326,5.2326,5.2326,5.2326,85,0
2009-07-10,5.2233,5.2233,5.2233,5.2233,5,0
2009-07-13,5.1862,5.1862,5.1862,5.1862,5,0
2009-07-14,5.2233,5.2233,5.2233,5.2233,5,0
2009-07-15,5.2233,5.2233,5.2233,5.2233,10,0
2009-07-16,5.2788,5.2788,5.1862,5.1862,227,0
2009-07-17,5.1862,5.1862,5.001,5.001,572,0
2009-07-20,4.964,4.964,4.964,4.964,20,0
2009-07-21,5.1399,5.1399,5.1399,5.1399,20,0
2009-07-22,5.1769,5.1769,5.0936,5.0936,83,0
2009-07-23,5.1769,5.1769,5.1677,5.1677,358,0
2009-07-24,5.1862,5.1862,4.964,4.9732,3385,0
2009-07-27,4.9732,4.9732,4.9732,4.9732,20,0
2009-07-28,4.9732,4.9732,4.9361,4.9454,2089,0
2009-07-29,5.0472,5.0936,4.6305,4.9084,13659,0
2009-07-30,4.9176,4.9176,4.6305,4.6305,9648,0
2009-07-31,4.8806,4.9269,4.6305,4.6305,9689,0
2009-08-03,4.7787,4.8343,4.6861,4.6861,1040,0
2009-08-04,4.6953,4.8991,4.6861,4.8991,4032,0
2009-08-05,4.9084,5.001,4.9084,4.9547,1986,0
2009-08-06,5.001,5.001,5.001,5.001,52,0
2009-08-07,5.0936,5.0936,4.9084,5.001,845,0
2009-08-10,5.1399,5.1399,4.9547,4.9547,1697,0
2009-08-11,5.1399,5.2881,5.0936,5.2881,3795,0
2009-08-12,5.4178,5.5382,5.3066,5.464,1702,0
2009-08-13,5.5567,6.7606,5.5567,6.7606,20136,0
2009-08-14,6.7699,7.4459,6.029,6.029,71103,0
2009-08-17,6.3624,6.3624,5.7419,5.9271,9949,0
2009-08-18,6.0938,6.2049,5.566,5.8159,2269,0
2009-08-19,5.8345,5.8345,5.2417,5.6494,18577,0
2009-08-20,5.5937,5.603,5.4085,5.5753,1753,0
2009-08-21,5.566,5.8345,5.4363,5.8345,4366,0
2009-08-24,6.1957,6.3253,5.8993,6.1123,11424,0
2009-08-25,6.0661,6.0661,5.566,5.89,10458,0
2009-08-26,5.8716,5.9085,5.5567,5.9085,5745,0
2009-08-27,5.8345,5.9364,5.6956,5.8808,2078,0
2009-08-28,5.9271,5.9271,5.5567,5.6772,5570,0
2009-08-31,5.7511,5.7511,5.5567,5.6956,1762,0
2009-09-01,5.6401,5.6401,5.2881,5.2881,3248,0
2009-09-02,5.2881,5.2881,4.964,4.9824,3530,0
2009-09-03,5.4363,5.4363,4.964,4.9732,3671,0
2009-09-04,5.1121,5.1677,5.001,5.0103,3502,0
2009-09-07,5.1862,5.2417,4.9917,5.2417,3644,0
2009-09-08,5.4085,5.5567,5.3714,5.427,4470,0
2009-09-09,5.9085,5.9085,5.3992,5.3992,2073,0
2009-09-10,5.427,5.5567,5.2604,5.5567,2043,0
