Date,Open,High,Low,Close,Volume,OpenInt
2015-03-04,16.14,16.14,16.14,16.14,2116,0
2015-03-05,16.12,16.12,16.12,16.12,197,0
2015-03-06,16.09,16.09,16,16,4594,0
2015-03-09,15.94,15.97,15.86,15.87,6240,0
2015-03-10,15.77,15.77,15.77,15.77,1648,0
2015-03-11,15.72,15.72,15.61,15.69,5998,0
2015-03-12,15.81,15.81,15.81,15.81,1159,0
2015-03-13,15.7,15.7,15.6,15.6,7548,0
2015-03-16,15.55,15.55,15.55,15.55,1767,0
2015-03-17,15.41,15.41,15.41,15.41,1999,0
2015-03-18,15.38,15.38,15.29,15.35,10467,0
2015-03-19,15.635,15.635,15.635,15.635,3144,0
2015-03-20,15.545,15.55,15.545,15.55,2104,0
2015-03-23,15.74,15.74,15.74,15.74,2219,0
2015-03-24,15.93,15.93,15.83,15.83,2995,0
2015-03-25,15.8,15.83,15.74,15.83,7873,0
2015-03-26,16.09,16.09,15.88,15.88,8072,0
2015-03-27,15.83,15.83,15.79,15.79,1459,0
2015-03-30,15.661,15.72,15.661,15.68,158833,0
2015-03-31,15.612,15.71,15.612,15.71,92201,0
2015-04-01,15.65,15.72,15.65,15.72,2340,0
2015-04-02,15.76,15.78,15.75,15.75,1654,0
2015-04-07,15.91,15.97,15.91,15.97,8348,0
2015-04-08,15.84,15.976,15.84,15.976,184971,0
2015-04-09,15.74,15.75,15.7,15.7,4159,0
2015-04-10,15.66,15.78,15.66,15.78,5487,0
2015-04-13,15.77,15.77,15.73,15.73,3912,0
2015-04-14,15.68,15.68,15.68,15.68,773,0
2015-04-15,15.8,15.88,15.8,15.88,2971,0
2015-04-16,16.03,16.03,15.95,16.02,3415,0
2015-04-17,16.13,16.13,16.04,16.09,6923,0
2015-04-20,16.09,16.09,16,16,1468,0
2015-04-21,15.92,15.95,15.915,15.95,18337,0
2015-04-22,15.885,15.93,15.885,15.93,2809,0
2015-04-23,15.88,15.99,15.88,15.99,28653,0
2015-04-24,16.11,16.11,16.04,16.04,7421,0
2015-04-27,16.01,16.06,16.01,16.06,5078,0
2015-04-28,16.035,16.13,16.03,16.097,103876,0
2015-04-29,16,16.17,15.975,16.17,5048,0
2015-04-30,16.28,16.3,16.2,16.26,8287,0
2015-05-05,16.3,16.475,16.285,16.47,200311,0
2015-05-06,16.52,16.52,16.52,16.52,2443,0
2015-05-07,16.415,16.44,16.3,16.32,12117,0
2015-05-08,16.24,16.27,16.24,16.27,3754,0
2015-05-11,16.305,16.305,16.2,16.2,2549,0
2015-05-12,16.29,16.344,16.29,16.344,15030,0
2015-05-13,16.47,16.47,16.45,16.45,2530,0
2015-05-14,16.42,16.49,16.42,16.49,424,0
2015-05-15,16.55,16.55,16.55,16.55,1134,0
2015-05-18,16.555,16.555,16.49,16.49,4967,0
2015-05-19,16.39,16.39,16.39,16.39,1700,0
2015-05-20,16.18,16.18,16.18,16.18,1698,0
2015-05-21,16.245,16.25,16.225,16.25,4263,0
2015-05-22,16.31,16.31,16.165,16.165,26831,0
2015-05-26,15.98,15.98,15.97,15.97,2178,0
2015-05-27,15.855,15.855,15.71,15.71,2747,0
2015-05-28,15.79,15.79,15.66,15.66,6799,0
2015-05-29,15.76,15.79,15.76,15.79,5302,0
2015-06-01,15.75,15.97,15.735,15.97,1094,0
2015-06-03,16.015,16.015,15.935,15.935,1901,0
2015-06-04,15.83,15.835,15.67,15.795,3128,0
2015-06-05,15.59,15.59,15.59,15.59,1440,0
2015-06-08,15.755,15.875,15.755,15.875,1672,0
2015-06-09,15.85,16.03,15.85,16.03,72053,0
2015-06-10,16.15,16.15,16.09,16.09,5113,0
2015-06-11,16.035,16.035,15.92,15.95,2982,0
2015-06-12,15.7,15.845,15.7,15.845,20623,0
2015-06-15,15.69,15.765,15.59,15.765,1633,0
2015-06-16,15.685,15.705,15.685,15.705,16220,0
2015-06-17,15.885,15.885,15.86,15.86,15559,0
2015-06-18,15.89,15.895,15.845,15.845,2405,0
2015-06-19,15.735,15.735,15.735,15.735,75,0
2015-06-22,15.635,15.7,15.61,15.61,1532,0
2015-06-23,15.76,15.76,15.76,15.76,929,0
2015-06-24,15.88,15.88,15.88,15.88,197,0
2015-06-25,15.775,15.78,15.74,15.74,3186,0
2015-06-26,15.84,15.84,15.82,15.82,2951,0
2015-06-29,15.82,15.835,15.82,15.835,454,0
2015-06-30,15.8,15.8,15.77,15.77,1515,0
2015-07-01,16,16,15.96,15.96,983,0
2015-07-02,15.9,16.06,15.9,16.06,686,0
2015-07-03,15.905,15.905,15.905,15.905,194,0
2015-07-06,15.555,16.005,15.505,16.005,1367498,0
2015-07-07,15.445,15.445,15.445,15.445,378,0
2015-07-08,15.29,15.4,15.29,15.4,4410,0
2015-07-09,15.41,15.52,15.41,15.52,1543,0
2015-07-10,15.48,15.48,15.475,15.475,200,0
2015-07-13,15.42,15.595,15.42,15.595,1213,0
2015-07-14,15.51,15.515,15.51,15.515,251,0
2015-07-15,15.555,15.555,15.46,15.46,3897,0
2015-07-16,15.4,15.44,15.4,15.44,2451,0
2015-07-17,15.32,15.33,15.32,15.33,847,0
2015-07-20,15.12,15.145,15.045,15.115,5920,0
2015-07-21,15.105,15.105,15.105,15.105,158,0
2015-07-22,14.985,15.025,14.97,14.975,367556,0
2015-07-23,14.95,14.95,14.86,14.86,60371,0
2015-07-24,14.76,14.77,14.76,14.77,5402,0
2015-07-27,14.57,14.57,14.485,14.485,51022,0
2015-07-28,14.45,14.55,14.45,14.55,45942,0
2015-07-29,14.525,14.525,14.525,14.525,96,0
2015-07-30,14.6,14.6,14.495,14.495,4815,0
2015-07-31,14.43,14.43,14.43,14.43,828,0
2015-08-03,14.27,14.27,14.24,14.24,2324,0
2015-08-04,14.31,14.31,14.265,14.265,328,0
2015-08-05,14.245,14.245,14.245,14.245,277,0
2015-08-06,14.19,14.26,14.145,14.26,4841,0
2015-08-07,14.215,14.215,14.215,14.215,217,0
2015-08-10,14.185,14.29,14.185,14.29,4358,0
2015-08-11,14.415,14.415,14.4,14.4,389,0
2015-08-12,14.285,14.285,14.285,14.285,296,0
2015-08-13,14.275,14.275,14.175,14.195,4184,0
2015-08-14,14.17,14.17,14.17,14.17,1583,0
2015-08-17,14.1,14.135,14.095,14.135,2226,0
2015-08-18,13.94,13.947,13.925,13.925,1944,0
2015-08-19,14.005,14.035,14.005,14.035,3048,0
2015-08-20,13.85,13.94,13.85,13.915,46814,0
2015-08-21,13.91,13.91,13.77,13.77,2326,0
2015-08-24,13.495,13.51,13.32,13.51,1398,0
2015-08-25,13.595,13.64,13.595,13.64,91270,0
2015-08-26,13.485,13.485,13.485,13.485,13,0
2015-08-27,13.5,13.615,13.5,13.531,5794422,0
2015-08-28,13.755,14.005,13.705,13.753,6868202,0
2015-09-01,14.135,14.16,13.975,14.16,4521,0
2015-09-02,13.815,13.885,13.81,13.81,24401,0
2015-09-03,13.92,14.075,13.92,14.075,5122,0
2015-09-04,13.965,13.97,13.88,13.9,16116,0
2015-09-07,13.93,13.93,13.825,13.825,535,0
2015-09-08,13.845,13.925,13.845,13.905,7733,0
