Date,Open,High,Low,Close,Volume,OpenInt
2015-03-04,130.35,130.35,130.16,130.17,9842,0
2015-03-05,130.22,130.22,130.17,130.17,5122,0
2015-03-06,130.23,130.26,130.04,130.08,5932,0
2015-03-09,130.08,130.14,130.08,130.1,1719,0
2015-03-10,130.12,130.19,130.12,130.16,1062,0
2015-03-11,130.12,130.16,130.12,130.12,25840,0
2015-03-12,130.16,130.25,130.16,130.19,17286,0
2015-03-13,130.17,130.25,130.17,130.25,7263,0
2015-03-16,130.23,130.28,130.19,130.21,5899,0
2015-03-17,130.25,130.25,130.22,130.22,3383,0
2015-03-18,130.21,130.24,130.16,130.21,16094,0
2015-03-19,130.39,130.39,130.34,130.34,2044,0
2015-03-20,130.32,130.41,130.31,130.41,6457,0
2015-03-23,130.43,130.44,130.37,130.37,2994,0
2015-03-24,130.44,130.45,130.37,130.41,10213,0
2015-03-25,130.43,130.47,130.4,130.41,1421,0
2015-03-26,130.4,130.44,130.33,130.34,34873,0
2015-03-27,130.39,130.45,130.39,130.41,2300,0
2015-03-30,129.6,130.49,129.6,130.47,6373,0
2015-03-31,130.45,130.51,130.45,130.51,5348,0
2015-04-01,130.49,130.58,130.44,130.57,17553,0
2015-04-02,130.56,130.59,130.56,130.58,35119,0
2015-04-07,130.61,130.64,130.58,130.62,3890,0
2015-04-08,130.62,130.63,130.57,130.6,49173,0
2015-04-09,130.56,130.62,130.52,130.57,21240,0
2015-04-10,130.52,130.57,130.51,130.52,31426,0
2015-04-13,130.55,130.56,130.52,130.52,2714,0
2015-04-14,130.54,130.65,130.54,130.62,4009,0
2015-04-15,130.6,130.66,130.6,130.66,13327,0
2015-04-16,131.04,131.04,130.61,130.61,82805,0
2015-04-17,130.7,130.73,129.84,130.64,6906,0
2015-04-20,130.65,130.66,130.6,130.65,23253,0
2015-04-21,130.25,130.63,130.25,130.61,1136,0
2015-04-22,130.24,130.67,130.24,130.59,3344,0
2015-04-23,130.71,130.71,130.55,130.59,53495,0
2015-04-24,130.38,130.66,130.37,130.66,32829,0
2015-04-27,130.65,130.65,130.6,130.61,24328,0
2015-04-28,130.65,130.65,130.57,130.57,8349,0
2015-04-29,130.57,130.59,130.51,130.53,70606,0
2015-04-30,130.59,130.59,130.48,130.48,7356,0
2015-05-01,130.57,130.57,130.49,130.49,1779,0
2015-05-05,129.66,130.55,129.66,130.49,9176,0
2015-05-06,130.43,130.48,130.41,130.46,8971,0
2015-05-07,130.43,130.47,130.38,130.46,51579,0
2015-05-11,130.53,130.55,130.5,130.52,4860,0
2015-05-12,130.42,130.52,130.41,130.48,2112,0
2015-05-13,130.69,130.69,130.51,130.54,8348,0
2015-05-14,130.62,130.63,130.55,130.59,939,0
2015-05-15,130.66,130.67,130.64,130.64,12347,0
2015-05-18,130.67,130.67,130.61,130.64,15431,0
2015-05-19,130.6,130.63,130.5,130.5,56540,0
2015-05-20,130.51,130.58,130.51,130.53,121013,0
2015-05-21,130.59,130.61,130.54,130.61,92172,0
2015-05-22,130.6,130.64,130.51,130.51,1164,0
2015-05-26,130.53,130.53,130.46,130.49,41368,0
2015-05-27,130.55,130.55,130.48,130.54,12592,0
2015-05-28,130.53,130.58,130.53,130.58,3145,0
2015-05-29,130.57,130.65,130.53,130.65,61095,0
2015-06-01,130.64,130.66,130.59,130.59,44914,0
2015-06-02,130.53,130.58,130.51,130.58,42478,0
2015-06-03,130.51,130.57,130.47,130.47,26416,0
2015-06-04,130.5,130.56,130.46,130.46,1177,0
2015-06-05,130.51,130.51,130.37,130.37,13433,0
2015-06-08,130.39,130.48,130.39,130.47,91413,0
2015-06-09,130.45,130.49,130.38,130.41,6607,0
2015-06-10,130.4,130.41,130.35,130.35,607,0
2015-06-11,130.39,130.39,130.33,130.33,1024,0
2015-06-12,130.37,130.43,130.35,130.42,15093,0
2015-06-15,130.43,130.45,130.41,130.43,2616,0
2015-06-16,130.42,130.48,130.4,130.44,6979,0
2015-06-17,130.45,130.46,130.35,130.35,4576,0
2015-06-18,130.61,130.61,130.54,130.54,1531,0
2015-06-19,130.58,130.68,130.58,130.67,21324,0
2015-06-22,130.61,130.61,130.54,130.56,3070,0
2015-06-23,130.5,130.55,130.5,130.55,10092,0
