Date,Open,High,Low,Close,Volume,OpenInt
2015-03-04,98.337,98.794,98.337,98.464,22343,0
2015-03-05,98.58,98.619,98.366,98.415,22054,0
2015-03-06,98.318,98.648,98.055,98.084,43611,0
2015-03-09,98.133,98.181,97.85,97.85,24057,0
2015-03-10,98.045,98.045,97.033,97.247,50702,0
2015-03-11,97.529,97.607,97.189,97.558,20316,0
2015-03-12,97.714,97.928,97.471,97.919,93176,0
2015-03-13,97.919,97.919,97.276,97.403,53348,0
2015-03-16,97.335,97.558,97.169,97.169,30791,0
2015-03-17,97.529,97.529,96.713,96.887,39189,0
2015-03-18,96.533,96.975,96.533,96.826,56798,0
2015-03-19,97.335,97.549,97.247,97.305,34953,0
2015-03-20,97.315,97.588,97.033,97.305,35587,0
2015-03-23,97.88,97.88,97.422,97.763,46526,0
2015-03-24,97.461,97.88,97.461,97.88,49090,0
2015-03-25,97.928,98.065,97.675,97.899,135512,0
2015-03-26,97.656,97.773,97.539,97.695,54322,0
2015-03-27,97.841,97.841,97.597,97.753,32860,0
2015-03-30,97.753,97.977,97.666,97.977,32214,0
2015-03-31,97.695,98.142,97.695,97.967,184398,0
2015-04-01,97.88,98.191,97.88,97.88,298672,0
2015-04-02,98.24,98.259,98.055,98.055,90929,0
2015-04-07,98.493,98.648,98.23,98.23,144206,0
2015-04-08,98.678,98.911,98.648,98.911,396676,0
2015-04-09,98.999,99.018,98.571,98.571,194266,0
2015-04-10,98.405,98.999,98.405,98.814,183840,0
2015-04-13,98.697,99.067,98.697,98.921,398038,0
2015-04-14,98.979,98.979,98.668,98.95,635824,0
2015-04-15,98.979,99.213,98.785,98.853,118820,0
2015-04-16,99.193,99.291,98.95,99.038,241110,0
2015-04-17,99.038,99.261,98.843,98.892,609154,0
2015-04-20,99.339,99.339,99.077,99.174,100887,0
2015-04-21,99.223,99.252,99.086,99.164,141383,0
2015-04-22,98.999,99.369,98.999,99.164,960271,0
2015-04-23,99.33,99.33,99.008,99.038,225139,0
2015-04-24,98.785,99.261,98.785,99.174,17060,0
2015-04-27,99.446,99.446,99.125,99.32,24324,0
2015-04-28,99.32,99.32,99.008,99.193,208454,0
2015-04-29,99.31,99.31,98.794,98.862,1408383,0
2015-04-30,96.381,98.794,96.192,96.409,718425,0
2015-05-01,96.543,96.609,96.201,96.571,2151,0
2015-05-05,96.703,96.703,96.277,96.287,721915,0
2015-05-06,96.305,96.505,96.097,96.164,311645,0
2015-05-07,96.409,96.409,95.397,96.002,698944,0
2015-05-08,95.956,96.58,95.908,96.58,15064,0
2015-05-11,96.543,96.617,96.23,96.353,26938,0
2015-05-12,96.305,96.305,95.567,96.116,307883,0
2015-05-13,95.956,96.476,95.956,96.06,95073,0
2015-05-14,96.078,96.239,95.974,96.135,18405,0
2015-05-15,96.353,96.599,96.23,96.362,158164,0
2015-05-18,96.164,96.551,96.164,96.201,247832,0
2015-05-19,96.457,96.551,96.258,96.334,85761,0
2015-05-20,96.457,96.467,96.088,96.088,90226,0
2015-05-21,96.277,96.277,96.078,96.268,225152,0
2015-05-22,96.277,96.4,96.211,96.211,26750,0
2015-05-26,95.993,96.409,95.974,96.239,175014,0
2015-05-27,96.429,96.523,96.296,96.457,124207,0
2015-05-28,96.485,96.561,96.239,96.239,73943,0
2015-05-29,96.543,96.543,96.258,96.447,90964,0
