Date,Open,High,Low,Close,Volume,OpenInt
2015-03-18,1710,1710,1710,1710,192,0
2015-03-20,1747.5,1747.5,1747.5,1747.5,320,0
2015-03-26,1734,1734,1734,1734,103,0
2015-04-07,1850,1852.5,1850,1852.5,372,0
2015-04-13,1886,1886,1886,1886,74,0
2015-04-17,1873.5,1873.5,1873.5,1873.5,2066,0
2015-04-20,1869.5,1869.5,1859.5,1859.5,126,0
2015-04-22,1825,1825,1825,1825,2066,0
2015-04-29,1870.5,1870.5,1868.5,1868.5,4132,0
2015-05-19,1853.5,1853.5,1823,1823,70,0
2015-05-27,1736,1743,1736,1739,974,0
2015-06-15,1715,1716,1715,1716,4132,0
2015-06-18,1716.5,1716.5,1716.5,1716.5,160,0
2015-06-22,1725,1728,1718,1718,24200,0
2015-06-25,1710.5,1710.5,1710.5,1710.5,165,0
2015-06-26,1711.5,1711.5,1711.5,1711.5,165,0
2015-06-30,1692,1692,1692,1692,3638,0
2015-07-08,1668,1668,1668,1668,2000,0
2015-07-10,1676.5,1676.5,1676.5,1676.5,1638,0
2015-07-20,1676.5,1676.5,1652.25,1652.25,1638,0
2015-07-22,1620,1620,1617.5,1617.5,118,0
2015-07-24,1549,1549,1549,1549,59,0
2015-08-03,1548.5,1548.5,1545,1546.5,6198,0
2015-08-11,1511,1511,1511,1511,2066,0
2015-08-12,1494,1494,1494,1494,7006,0
2015-08-20,1413,1413,1413,1413,5250,0
2015-08-25,1343.5,1352.5,1343.5,1352.5,1992,0
2015-09-01,1397,1397,1397,1397,6066,0
2015-09-09,1394.5,1394.5,1388,1389,4154,0
2015-09-10,1319.5,1319.5,1319.5,1319.5,2067,0
2015-09-15,1398,1398,1398,1398,7798,0
2015-09-22,1324.5,1324.5,1324.5,1324.5,1292,0
2015-09-23,1344,1344,1329,1329,4132,0
2015-09-28,1304,1304,1304,1304,2066,0
2015-10-09,1468,1472.5,1466.5,1466.5,8264,0
2015-11-02,1377,1392,1377,1392,198,0
2015-11-04,1463.5,1463.5,1445.5,1445.5,174,0
2015-11-16,1445.5,1463.5,1379.25,1379.25,174,0
2015-11-17,1396.5,1396.5,1396.5,1396.5,2066,0
2015-11-27,1422,1422,1422,1422,2066,0
2015-11-30,1379,1379,1379,1379,2066,0
2015-12-07,1369,1369,1369,1369,582,0
2015-12-08,1359,1359,1359,1359,4000,0
2015-12-11,1332,1333.5,1324.5,1326,12000,0
2015-12-29,1332,1354.5,1332,1354.5,12000,0
2015-12-30,1319.25,1319.25,1319.25,1319.25,0,0
2016-01-04,1296,1296,1285,1285,1618,0
2016-01-05,1293.25,1293.25,1293.25,1293.25,0,0
2016-01-06,1288,1288,1288,1288,0,0
2016-01-07,1258.5,1259,1258.5,1259,158,0
2016-01-08,1234.5,1234.5,1234.5,1234.5,0,0
2016-01-11,1226.25,1226.25,1226.25,1226.25,0,0
2016-01-12,1245.5,1245.5,1227.75,1227.75,4000,0
2016-01-13,1248,1248,1241.5,1241.5,2000,0
2016-01-14,1233,1233,1233,1233,0,0
2016-01-15,1239.5,1239.5,1208.75,1208.75,10000,0
2016-01-18,1208,1219.5,1203,1209,2372,0
