Date,Open,High,Low,Close,Volume,OpenInt
2015-03-05,105.68,105.68,105.68,105.68,2525,0
2015-03-24,108.79,108.79,108.79,108.79,2525,0
2015-05-05,107.18,107.18,107.18,107.18,2525,0
2015-05-06,106.7,106.7,106.68,106.68,32255,0
2015-05-07,106.13,106.13,106.13,106.13,2525,0
2015-05-11,104.49,104.49,103.16,103.16,5049,0
2015-06-16,101.18,101.18,101.18,101.18,2525,0
2015-07-20,98.241,98.787,98.241,98.689,9075,0
2015-08-21,102.44,102.44,102.44,102.44,2525,0
2015-09-22,103,103.06,102.93,103.06,32255,0
2015-11-16,103,103.06,101.51,101.51,32255,0
2015-12-24,104.48,104.48,104.48,104.48,0,0
2015-12-29,105.33,105.33,105.33,105.33,0,0
2015-12-30,105.01,105.01,105.01,105.01,0,0
2015-12-31,105.07,105.07,105.07,105.07,0,0
2016-01-04,105.42,105.42,105.42,105.42,0,0
2016-01-05,105.01,105.01,105.01,105.01,0,0
2016-01-06,105.76,105.76,105.76,105.76,0,0
2016-01-07,106.86,106.86,106.86,106.86,0,0
2016-01-08,107.96,107.96,107.96,107.96,0,0
2016-01-11,107.51,107.51,107.51,107.51,0,0
2016-01-12,103.58,108.08,103.51,108.08,32076,0
2016-01-13,108.01,108.01,108.01,108.01,0,0
2016-01-14,108.37,108.37,108.37,108.37,0,0
2016-01-15,110.27,110.27,110.27,110.27,0,0
2016-01-18,109.79,109.79,109.79,109.79,0,0
2016-01-19,110.85,110.85,110.85,110.85,0,0
2016-01-20,111.15,111.15,111.15,111.15,0,0
2016-01-21,103.58,110.66,103.51,110.66,32076,0
2016-01-22,109.11,109.11,109.11,109.11,0,0
2016-01-25,110,110,110,110,0,0
2016-01-26,109.8,109.8,109.8,109.8,0,0
2016-01-27,110.57,110.57,110.57,110.57,0,0
2016-01-28,110.66,110.66,110.66,110.66,0,0
2016-01-29,111.69,111.69,111.69,111.69,0,0
2016-02-01,110.57,110.57,110.57,110.57,0,0
2016-02-02,110.71,110.71,110.71,110.71,0,0
2016-02-03,111.12,111.12,111.12,111.12,0,0
2016-02-04,112.32,112.32,112.32,112.32,0,0
2016-02-05,112.65,112.65,112.65,112.65,0,0
2016-02-08,113.86,113.86,113.86,113.86,0,0
2016-02-09,114.44,114.44,114.44,114.44,0,0
2016-02-10,113.53,113.53,113.53,113.53,0,0
2016-02-11,115.24,115.54,115.24,115.54,2511,0
2016-02-12,113.59,113.59,113.59,113.59,0,0
2016-02-15,113.19,113.19,113.19,113.19,0,0
2016-02-16,114.03,114.03,114.03,114.03,0,0
2016-02-17,113.73,113.73,113.73,113.73,0,0
2016-02-18,113.73,113.73,113.73,113.73,0,0
2016-02-19,114.25,114.25,114.25,114.25,0,0
2016-02-22,115.13,115.13,115.13,115.13,0,0
2016-02-23,115.4,115.4,115.4,115.4,0,0
2016-02-24,117.02,117.02,117.02,117.02,0,0
2016-02-25,117,117,117,117,0,0
2016-02-26,116.51,116.51,116.51,116.51,0,0
2016-02-29,116.39,116.39,115.49,115.49,7,0
2016-03-01,114.9,114.9,114.9,114.9,0,0
2016-03-02,113.14,113.14,113.14,113.14,0,0
2016-03-03,113.71,113.71,113.71,113.71,0,0
2016-03-04,113.63,113.63,113.63,113.63,0,0
2016-03-07,113.59,113.59,113.59,113.59,0,0
2016-03-08,114.61,114.61,114.61,114.61,0,0
2016-03-09,113.95,113.95,113.95,113.95,0,0
2016-03-10,114.46,114.46,114.46,114.46,0,0
2016-03-11,114.12,114.12,114.12,114.12,0,0
2016-03-14,114.17,114.17,114.17,114.17,0,0
2016-03-15,115.02,115.02,115.02,115.02,0,0
2016-03-16,115.44,115.44,115.44,115.44,0,0
2016-03-17,115.45,115.45,115.45,115.45,0,0
2016-03-18,115.17,115.17,115.17,115.17,0,0
2016-03-21,115.56,115.56,115.56,115.56,0,0
2016-03-22,116.77,116.77,116.77,116.77,0,0
2016-03-23,117.28,117.28,117.28,117.28,0,0
2016-03-24,116.99,116.99,116.99,116.99,0,0
2016-03-29,116.62,116.62,116.62,116.62,0,0
2016-03-30,116.98,116.98,116.98,116.98,0,0
2016-03-31,117.6,117.6,117.6,117.6,0,0
2016-04-01,119.33,119.33,119.33,119.33,0,0
2016-04-04,118.83,118.83,118.83,118.83,0,0
2016-04-05,120.03,120.03,120.03,120.03,0,0
2016-04-06,120.36,120.36,120.36,120.36,0,0
2016-04-07,120.7,120.7,120.7,120.7,0,0
2016-04-08,120.5,120.5,120.5,120.5,0,0
2016-04-11,119.13,119.13,119.13,119.13,0,0
2016-04-12,118.42,118.42,118.42,118.42,0,0
2016-04-13,117.89,117.89,117.89,117.89,0,0
2016-04-14,118.06,118.06,118.06,118.06,0,0
2016-04-15,118.22,118.22,118.22,118.22,0,0
2016-04-18,117.69,117.69,117.69,117.69,0,0
2016-04-19,117.12,117.12,117.12,117.12,0,0
2016-04-20,116.91,116.91,116.91,116.91,0,0
2016-04-21,116.46,116.46,116.46,116.46,0,0
2016-04-22,115.72,115.72,115.43,115.43,2,0
2016-04-25,114.47,114.47,114.47,114.47,0,0
2016-04-26,113.88,113.88,113.88,113.88,0,0
2016-04-27,114.21,114.21,114.21,114.21,0,0
2016-04-28,114.2,114.2,114.2,114.2,0,0
2016-04-29,114.91,114.91,114.91,114.91,0,0
2016-05-03,117.09,117.09,117.09,117.09,0,0
2016-05-04,117.45,117.45,117.45,117.45,0,0
2016-05-05,116.64,116.64,116.64,116.64,0,0
2016-05-06,117.22,117.22,117.22,117.22,0,0
2016-05-09,117.56,117.56,117.56,117.56,0,0
2016-05-10,117.06,117.06,117.06,117.06,0,0
2016-05-11,117.44,117.44,117.44,117.44,0,0
2016-05-12,116.47,116.68,116.47,116.68,1,0
2016-05-13,116.85,116.85,116.85,116.85,0,0
2016-05-16,116.87,116.87,116.87,116.87,0,0
2016-05-17,116.41,116.41,116.41,116.41,0,0
2016-05-18,114.42,114.42,114.42,114.42,0,0
2016-05-19,113.98,113.98,113.98,113.98,0,0
2016-05-20,114.55,114.55,114.55,114.55,0,0
2016-05-23,114.78,114.78,114.78,114.78,0,0
2016-05-24,113.21,113.21,113.21,113.21,0,0
2016-05-25,112.9,112.9,112.9,112.9,0,0
2016-05-26,113.29,113.29,113.29,113.29,0,0
2016-05-27,113.22,113.22,113.22,113.22,0,0
2016-05-31,113.67,113.67,113.67,113.67,0,0
2016-06-01,115.41,115.41,115.41,115.41,0,0
2016-06-02,115.16,115.16,115.16,115.16,0,0
2016-06-03,116.7,116.7,116.7,116.7,0,0
2016-06-06,117.18,117.18,117.18,117.18,0,0
2016-06-07,116.47,116.59,116.47,116.59,1,0
2016-06-08,117.34,117.34,117.34,117.34,0,0
2016-06-09,117.55,117.55,117.55,117.55,0,0
2016-06-10,118.35,118.35,118.35,118.35,0,0
2016-06-13,118.79,118.79,118.79,118.79,0,0
2016-06-14,119.25,119.25,119.25,119.25,0,0
2016-06-15,118.75,118.75,118.75,118.75,93,0
2016-06-16,119.18,119.18,118.98,119.09,186,0
2016-06-17,118.44,118.44,118.44,118.44,0,0
2016-06-20,118.98,118.98,115.71,115.71,93,0
2016-06-21,115.45,115.45,115.45,115.45,0,0
2016-06-22,115.18,115.18,115.18,115.18,0,0
2016-06-23,114.98,114.98,114.98,114.98,0,0
2016-06-24,123.01,123.01,123.01,123.01,0,0
2016-06-27,126.66,126.66,126.66,126.66,0,0
2016-06-28,126.51,126.51,126.51,126.51,0,0
2016-06-29,125.55,125.55,125.55,125.55,0,0
2016-06-30,127.69,127.69,127.69,127.69,0,0
2016-07-01,128.79,128.79,128.79,128.79,0,0
2016-07-04,128.03,128.03,128.03,128.03,0,0
2016-07-05,130.67,130.67,130.67,130.67,0,0
2016-07-06,131.77,131.77,131.77,131.77,0,0
2016-07-07,131.18,131.3,131.18,131.3,3,0
2016-07-08,131.11,131.11,131.11,131.11,0,0
2016-07-11,130.72,130.72,130.72,130.72,0,0
2016-07-12,127.91,127.91,127.91,127.91,0,0
2016-07-13,129.18,129.18,129.18,129.18,0,0
2016-07-14,127.35,127.35,127.35,127.35,0,0
2016-07-15,127.44,127.44,127.44,127.44,0,0
2016-07-18,127.06,127.06,127.06,127.06,0,0
2016-07-19,127.77,127.77,127.77,127.77,0,0
2016-07-20,127.35,127.35,127.35,127.35,0,0
2016-07-21,127.37,127.37,126.89,126.89,4007,0
2016-07-22,128.06,128.06,128.06,128.06,0,0
2016-07-25,127.88,127.88,127.88,127.88,0,0
2016-07-26,127.91,127.91,127.91,127.91,0,0
2016-07-27,128.59,128.59,128.59,128.59,0,0
2016-07-28,129.58,129.58,129.58,129.58,0,0
2016-07-29,129.59,129.59,129.59,129.59,0,0
2016-08-01,130.08,130.08,130.08,130.08,0,0
2016-08-02,128.93,128.93,128.93,128.93,0,0
2016-08-03,128.24,128.24,128.24,128.24,0,0
2016-08-04,130.12,130.12,130.12,130.12,0,0
2016-08-05,129.82,129.82,129.82,129.82,0,0
2016-08-08,130.03,130.03,130.03,130.03,0,0
2016-08-09,131.06,131.06,131.06,131.06,0,0
2016-08-10,132.01,132.01,132.01,132.01,0,0
2016-08-11,132.32,132.32,132.32,132.32,0,0
2016-08-12,132.68,132.68,132.68,132.68,0,0
2016-08-15,133.25,133.25,133.25,133.25,0,0
2016-08-16,132.52,132.52,132.52,132.52,0,0
2016-08-17,132.58,132.58,132.58,132.58,0,0
2016-08-18,132.25,132.25,132.25,132.25,0,0
2016-08-19,132.48,132.48,132.48,132.48,0,0
2016-08-22,132.23,132.23,132.23,132.23,0,0
2016-08-23,131.68,131.68,131.68,131.68,0,0
2016-08-24,130.34,130.34,130.34,130.34,0,0
2016-08-25,130.91,130.91,130.91,130.91,0,0
2016-08-26,130.76,130.76,130.76,130.76,0,0
2016-08-30,130.41,130.41,130.41,130.41,0,0
2016-08-31,129.81,129.81,129.81,129.81,0,0
2016-09-01,128.59,128.59,128.59,128.59,0,0
2016-09-02,127.93,127.93,127.93,127.93,0,0
2016-09-05,127.86,127.86,127.86,127.86,0,0
2016-09-06,128.31,128.31,128.31,128.31,0,0
2016-09-07,129.48,129.48,129.48,129.48,0,0
2016-09-08,129.47,129.47,129.47,129.47,0,0
2016-09-09,128.5,128.5,128.5,128.5,0,0
2016-09-12,127.94,127.94,127.94,127.94,0,0
2016-09-13,129.28,129.28,129.28,129.28,0,0
2016-09-14,129.54,129.54,129.54,129.54,0,0
2016-09-15,129.02,129.02,129.02,129.02,0,0
2016-09-16,129.56,129.56,129.56,129.56,0,0
2016-09-19,129.84,129.84,129.84,129.84,0,0
2016-09-20,131.12,131.12,131.12,131.12,0,0
2016-09-21,130.71,130.71,130.71,130.71,0,0
2016-09-22,131.37,131.37,131.37,131.37,0,0
2016-09-23,132.54,132.54,132.54,132.54,0,0
2016-09-26,133.17,133.17,133.17,133.17,0,0
2016-09-27,132.36,132.36,132.36,132.36,0,0
2016-09-28,132.35,132.35,132.35,132.35,0,0
2016-09-29,132.71,132.71,132.71,132.71,0,0
2016-09-30,132.35,132.35,132.35,132.35,0,0
2016-10-03,133.71,133.71,133.71,133.71,0,0
2016-10-04,133.9,133.9,133.9,133.9,0,0
2016-10-05,133.39,133.39,133.39,133.39,0,0
2016-10-06,134.22,134.22,134.22,134.22,0,0
2016-10-07,136.45,136.45,136.45,136.45,0,0
2016-10-10,136.35,136.35,136.35,136.35,0,0
2016-10-11,137.47,137.47,137.47,137.47,0,0
2016-10-12,136.65,136.65,136.65,136.65,0,0
2016-10-13,137.27,137.27,137.27,137.27,0,0
2016-10-14,136.77,136.77,136.77,136.77,0,0
2016-10-17,136.73,136.73,136.73,136.73,0,0
2016-10-18,135.41,135.41,135.41,135.41,0,0
2016-10-19,135.53,135.53,135.53,135.53,0,0
2016-10-20,135.92,135.92,135.92,135.92,0,0
2016-10-21,135.57,135.57,135.57,135.57,0,0
2016-10-24,127.37,135.55,127.37,135.55,4007,0
2016-10-25,136.07,136.07,136.07,136.07,0,0
