Date,Open,High,Low,Close,Volume,OpenInt
2015-03-04,65.655,65.982,65.655,65.982,4535,0
2015-03-05,66.021,66.33,65.886,66.099,1973,0
2015-03-06,66.225,66.225,66.215,66.215,247,0
2015-03-09,66.118,66.118,65.982,65.982,4217,0
2015-03-10,66.011,66.108,66.011,66.108,4467,0
2015-03-11,66.156,66.583,66.011,66.583,3077,0
2015-03-12,66.563,66.949,66.553,66.949,696,0
2015-03-13,66.758,67.444,66.758,67.444,289,0
2015-03-16,67.307,67.327,67.269,67.269,4159,0
2015-03-17,67.541,67.626,67.541,67.616,817,0
2015-03-18,67.907,68.391,67.907,68.226,5856,0
2015-03-19,67.782,68.197,67.686,68.15,1546,0
2015-03-20,68.179,68.236,67.724,67.724,8401,0
2015-03-23,68.033,68.091,67.907,67.947,3050,0
2015-03-24,68.082,68.315,68.082,68.256,4202,0
2015-03-25,68.371,68.371,68.305,68.351,3858,0
2015-03-26,68.305,68.421,68.295,68.401,2849,0
2015-03-27,68.295,68.295,67.908,68.052,488,0
2015-03-30,68.286,68.39,68.063,68.246,1912,0
2015-03-31,67.811,68.266,67.811,67.907,6101,0
2015-04-01,68.11,68.468,68.083,68.305,1546,0
2015-04-02,68.799,68.799,68.391,68.401,2622,0
2015-04-07,68.331,68.331,67.995,68.111,9142,0
2015-04-08,67.974,68.015,67.821,67.821,7659,0
2015-04-09,68.304,68.325,68.197,68.305,4716,0
2015-04-10,68.585,68.789,68.527,68.625,14623,0
2015-04-13,68.536,68.604,68.431,68.496,4593,0
2015-04-14,68.943,68.943,68.422,68.46,3328,0
2015-04-15,68.266,68.545,68.236,68.406,15090,0
2015-04-16,68.196,68.275,67.937,67.947,1503,0
2015-04-17,68.216,68.216,67.706,67.907,15469,0
2015-04-20,67.927,68.15,67.927,68.033,11808,0
2015-04-21,68.061,68.061,67.801,67.801,17017,0
2015-04-22,67.83,67.83,67.183,67.183,1741,0
2015-04-23,67.724,67.724,67.222,67.222,822,0
2015-04-24,67.162,67.162,67.038,67.143,5115,0
2015-04-27,67.142,67.181,66.853,66.853,6562,0
2015-04-28,66.873,67.79,66.553,66.602,1973,0
2015-04-29,66.32,66.32,65.945,65.945,5833,0
2015-04-30,65.945,66.204,65.876,66.099,727319,0
2015-05-01,66.437,66.938,66.081,66.883,18086,0
2015-05-05,67.095,67.095,66.206,66.215,63972,0
2015-05-06,66.524,66.524,66.147,66.263,2351,0
2015-05-07,66.165,66.295,65.945,66.195,12629,0
2015-05-08,65.2,65.72,65.2,65.499,6378,0
2015-05-11,65.441,65.46,64.594,64.594,990,0
2015-05-12,64.559,64.559,63.99,64.213,2874,0
2015-05-13,63.477,64.434,63.477,64.318,1844,0
2015-05-14,64.176,64.183,64.01,64.095,4114,0
2015-05-15,64.39,64.39,64.3,64.388,143,0
2015-05-18,64.775,64.775,64.454,64.454,1236,0
2015-05-19,64.715,65.673,63.351,64.726,3172,0
2015-05-20,64.523,64.618,64.262,64.341,56779,0
2015-05-21,64.406,64.433,63.881,63.974,12509,0
2015-05-22,64.18,64.552,64.022,64.552,24099,0
2015-05-26,64.516,64.609,64.464,64.542,43513,0
2015-05-27,64.579,64.67,64.503,64.667,11608,0
2015-05-28,64.687,64.986,64.657,64.908,27555,0
2015-05-29,65.102,65.286,64.978,65.223,3900,0
2015-06-01,65.547,65.547,65.013,65.189,56252,0
2015-06-02,65.092,65.092,64.811,64.822,322,0
2015-06-03,64.621,64.92,64.56,64.609,2138,0
2015-06-04,64.832,64.832,64.107,64.513,7100,0
2015-06-05,64.396,64.551,64.271,64.338,3522,0
2015-06-08,64.388,64.502,64.358,64.444,3922,0
2015-06-09,64.513,64.696,64.203,64.203,1860,0
2015-06-10,64.193,64.193,63.691,63.738,2115,0
2015-06-11,63.4,64.222,63.4,63.806,5786,0
2015-06-12,63.745,63.844,63.612,63.612,1460,0
2015-06-15,63.583,63.864,63.583,63.661,3324,0
2015-06-16,63.41,63.786,63.343,63.516,17926,0
2015-06-17,63.439,63.439,62.937,62.984,1393,0
2015-06-18,63.05,63.05,62.733,62.808,53302,0
2015-06-19,62.935,62.965,62.829,62.936,6552,0
2015-06-22,62.885,63.07,62.84,63.061,562,0
2015-06-23,63.177,63.177,62.808,62.876,313,0
2015-06-24,62.674,63.013,62.598,63.013,66763,0
2015-06-25,62.636,62.876,62.433,62.462,26660,0
2015-06-26,62.577,62.577,62.273,62.292,14499,0
2015-06-29,62.278,62.899,62.278,62.443,1201,0
2015-06-30,63.313,63.313,62.666,62.768,8849,0
2015-07-01,62.355,62.916,62.355,62.781,3561,0
2015-07-02,62.258,62.857,62.258,62.857,116,0
2015-07-03,62.761,63.133,62.753,63.071,5095,0
2015-07-06,63.573,63.573,63.062,63.129,2463,0
2015-07-07,63.439,64,63.439,63.96,4517,0
2015-07-08,64.203,64.66,64.203,64.66,2467,0
2015-07-09,64.782,64.782,64.28,64.29,1084,0
2015-07-10,63.863,63.912,63.555,63.593,11114,0
2015-07-13,63.525,63.525,62.867,63.071,2114,0
2015-07-14,63.051,63.757,62.901,62.906,15652,0
2015-07-15,63.041,63.041,62.628,62.761,8029,0
2015-07-16,62.684,62.849,62.578,62.839,1995,0
2015-07-17,62.19,62.886,62.19,62.684,11321,0
2015-07-20,62.876,62.876,62.771,62.771,20097,0
2015-07-21,62.84,63.138,62.839,63.079,6856,0
2015-07-22,63.013,63.022,62.829,62.832,41310,0
2015-07-23,62.528,63.39,62.528,63.39,1685,0
2015-07-24,63.575,63.712,63.574,63.712,12705,0
2015-07-27,63.845,63.856,63.661,63.701,22071,0
2015-07-28,63.718,63.718,63.361,63.506,1693,0
2015-07-29,63.381,63.389,63.013,63.216,1681,0
2015-07-30,63.293,63.293,63.082,63.177,815,0
2015-07-31,63.343,63.564,63.342,63.486,12315,0
2015-08-03,63.148,63.516,63.148,63.516,21758,0
2015-08-04,63.602,63.796,63.467,63.488,11017,0
2015-08-05,63.316,63.316,62.936,62.936,10780,0
2015-08-06,62.907,63.564,62.896,63.564,5349,0
2015-08-07,63.573,63.96,63.332,63.96,24876,0
2015-08-10,63.863,63.882,63.546,63.564,6867,0
2015-08-11,63.554,63.893,63.41,63.583,941,0
2015-08-12,64.358,64.368,63.893,63.965,5176,0
2015-08-13,64.009,64.009,63.603,63.855,836,0
2015-08-14,63.874,63.903,63.565,63.651,28895,0
2015-08-17,63.429,63.728,63.429,63.691,16773,0
2015-08-18,63.467,63.474,63.197,63.335,8201,0
2015-08-19,63.371,63.496,63.265,63.458,2240,0
2015-08-20,63.632,63.95,63.632,63.845,34754,0
2015-08-21,63.574,64.251,63.574,64.251,292,0
2015-08-24,64.916,65.305,64.56,65.068,3810,0
2015-08-25,64.378,64.443,64.097,64.299,35684,0
2015-08-26,64.638,65.256,64.618,65.006,23555,0
2015-08-27,64.513,64.946,64.503,64.881,6187,0
2015-08-28,64.697,65.326,64.697,65.122,2917,0
2015-09-01,64.628,65.536,64.628,65.355,2253342,0
2015-09-02,65.605,65.672,65.141,65.392,1714,0
2015-09-03,65.48,65.615,65.363,65.51,25498,0
2015-09-04,65.899,66,65.899,65.935,300,0
2015-09-07,66.088,66.088,65.673,65.692,2077,0
2015-09-08,65.092,65.355,65.092,65.321,127901,0
2015-09-09,65.16,65.16,64.899,64.967,682,0
2015-09-10,65.354,65.354,64.917,64.917,13410,0
2015-09-11,65.137,65.316,65.137,65.276,76542,0
2015-09-14,64.772,65.336,64.772,65.326,2310,0
2015-09-15,64.927,65.344,64.927,65.205,12603,0
2015-09-16,65.238,65.238,64.566,64.566,13342,0
2015-09-17,64.532,64.532,64.359,64.532,793,0
2015-09-18,64.782,64.977,64.763,64.977,36256,0
2015-09-21,64.947,64.966,64.707,64.707,2727,0
2015-09-22,64.898,65.528,64.871,65.527,97335,0
2015-09-23,65.082,66.041,65.082,66.041,99264,0
2015-09-24,65.953,66.474,65.953,66.2,40381,0
2015-09-25,65.991,66.145,65.885,66.051,224,0
2015-09-28,66.136,66.36,66.04,66.36,4170,0
2015-09-29,66.833,66.833,66.361,66.582,12443,0
2015-09-30,66.505,66.602,66.273,66.602,256,0
2015-10-01,66.698,66.698,66.446,66.602,4750,0
2015-10-02,66.882,66.968,66.351,66.913,2693,0
2015-10-05,66.108,66.707,66.108,66.51,61536,0
2015-10-06,66.553,66.553,66.311,66.37,18999,0
2015-10-07,66.119,66.119,65.866,65.937,18942,0
2015-10-08,66.051,66.235,65.991,66.001,162784,0
2015-10-09,65.77,66.146,65.731,66.08,32252,0
2015-10-12,66.245,66.245,65.75,66.053,46963,0
2015-10-13,66.544,66.803,66.485,66.525,62094,0
2015-10-14,66.476,66.476,66.099,66.099,2313,0
2015-10-15,66.485,66.485,65.972,65.972,48209,0
2015-10-16,65.885,65.962,65.877,65.925,35645,0
2015-10-19,65.835,65.835,65.625,65.625,361,0
2015-10-20,65.605,65.682,65.481,65.682,26775,0
2015-10-21,65.818,65.818,65.605,65.635,6478,0
2015-10-22,65.79,65.79,65.462,65.607,7635,0
2015-10-23,66.011,66.011,65.345,65.431,324,0
2015-10-26,65.624,65.624,65.441,65.527,10304,0
2015-10-27,65.276,66.127,64.899,65.991,4699,0
2015-10-28,66.061,66.061,65.896,65.972,12437,0
2015-10-29,66.107,66.107,65.508,65.527,812,0
2015-10-30,65.45,65.596,65.122,65.122,11285,0
2015-11-02,65.103,65.17,64.793,65.151,24482,0
2015-11-03,65.062,65.082,64.957,65.035,20768,0
2015-11-04,64.771,64.936,64.657,64.716,4515,0
2015-11-05,64.628,65.285,64.628,65.161,23057,0
2015-11-06,65.402,65.517,65.17,65.181,10127,0
2015-11-09,65.16,65.17,64.966,65.026,37294,0
2015-11-10,64.638,65.237,64.628,64.949,78565,0
2015-11-11,65.295,65.295,64.832,64.832,4385,0
2015-11-12,64.802,64.937,64.368,64.937,4113,0
2015-11-13,64.618,65.054,64.618,65.054,37868,0
2015-11-16,65.112,65.15,64.927,65.049,2298,0
2015-11-17,64.763,65.034,64.677,64.677,1123,0
2015-11-18,64.434,64.861,64.434,64.861,250,0
2015-11-19,64.696,64.861,64.696,64.716,3362,0
2015-11-20,64.771,65.054,64.677,65.054,5691,0
2015-11-23,65.111,65.171,64.882,65.171,8801,0
2015-11-24,64.852,65.731,64.852,65.625,15240,0
2015-11-25,65.286,65.645,65.286,65.534,5340,0
2015-11-26,65.672,65.672,65.442,65.442,23,0
2015-11-27,65.75,65.885,65.657,65.697,9882,0
2015-11-30,65.808,65.896,65.646,65.731,11788,0
2015-12-01,65.43,65.906,65.382,65.906,12345,0
2015-12-02,65.781,66.165,65.781,66.137,662,0
2015-12-03,66.185,66.185,65.692,65.692,5001,0
2015-12-04,65.517,65.567,65.411,65.499,729,0
