Date,Open,High,Low,Close,Volume,OpenInt
2015-03-19,5895.37,5895.37,5895.37,5895.37,700,0
2015-03-30,6041.27,6041.27,6041.27,6041.27,65,0
2015-03-31,6065.27,6070.27,6065.27,6070.27,3677,0
2015-04-01,6061.27,6061.27,6061.27,6061.27,1250,0
2015-04-02,6080.26,6125.23,6073.26,6125.23,920,0
2015-04-10,6185.19,6221.16,6185.19,6218.16,564,0
2015-04-13,6240.16,6253.14,6240.16,6253.14,128,0
2015-04-16,6210.17,6210.17,6204.17,6204.17,101,0
2015-04-22,6121.23,6121.23,6027.28,6027.28,837,0
2015-04-23,6047.27,6053.27,6047.27,6053.27,362,0
2015-04-29,6060.27,6060.27,6001.3,6001.3,64,0
2015-05-08,6115.23,6132.23,6115.23,6132.23,520,0
2015-05-13,5992.3,6028.28,5992.3,6028.28,16,0
2015-05-18,6211.17,6211.17,6129.23,6129.23,300,0
2015-06-12,6000.3,6000.3,5949.33,5949.33,166,0
2015-06-15,5839.41,5839.41,5827.41,5827.41,128,0
2015-06-23,5975.3,5975.3,5975.3,5975.3,900,0
2015-06-24,5942.33,5942.33,5942.33,5942.33,85,0
2015-07-01,5896.37,5896.37,5886.37,5886.37,168,0
2015-07-23,6069.27,6069.27,6069.27,6069.27,3002,0
2015-07-24,6072.27,6072.27,6072.27,6072.27,810,0
2015-08-03,5952.33,5974.3,5952.33,5974.3,42,0
2015-08-10,5952.33,5971.32,5952.33,5971.32,2,0
2015-09-04,5754.45,5754.45,5743.46,5743.46,172,0
2015-09-21,5689.49,5689.49,5689.49,5689.49,1000,0
2015-10-08,5834.41,5834.41,5834.41,5834.41,250,0
2015-10-20,5846.41,5846.41,5840.41,5840.41,136,0
2015-10-22,5798.42,5798.42,5798.42,5798.42,1750,0
2015-11-10,5906.37,5906.37,5861.4,5861.4,2,0
2015-12-24,6068.77,6068.77,6068.77,6068.77,0,0
2015-12-29,6171.2,6171.2,6171.2,6171.2,0,0
2015-12-30,6148.22,6148.22,6148.22,6148.22,0,0
2015-12-31,6117.23,6117.23,6117.23,6117.23,0,0
2016-01-04,6013.3,6013.3,6013.3,6013.3,0,0
2016-01-05,5994.8,5994.8,5994.8,5994.8,0,0
2016-01-06,5941.34,5941.34,5941.34,5941.34,0,0
2016-01-07,5899.87,5899.87,5899.87,5899.87,0,0
2016-01-08,5901.87,5901.87,5901.87,5901.87,0,0
2016-01-11,5871.37,5896.37,5850.91,5850.91,14,0
2016-01-12,5944.33,5944.33,5944.33,5944.33,0,0
2016-01-13,5924.34,5924.34,5924.34,5924.34,0,0
2016-01-14,5840.41,5848.41,5840.41,5847.41,200,0
2016-01-15,5779.44,5779.44,5779.44,5779.44,0,0
2016-01-18,5658.01,5658.01,5658.01,5658.01,0,0
2016-01-19,5805.42,5805.42,5805.42,5805.42,0,0
2016-01-20,5606.05,5606.05,5606.05,5606.05,0,0
2016-01-21,5840.41,5848.41,5636.54,5636.54,200,0
2016-01-22,5741.46,5741.46,5741.46,5741.46,0,0
2016-01-25,5786.44,5794.93,5786.44,5794.93,344,0
2016-01-26,5810.91,5810.91,5810.91,5810.91,0,0
2016-01-27,5837.91,5837.91,5837.91,5837.91,0,0
2016-01-28,5746.96,5746.96,5746.96,5746.96,0,0
2016-01-29,5814.18,5814.18,5814.18,5814.18,0,0
2016-02-01,5795.2,5817.18,5795.2,5796.69,600,0
2016-02-02,5699.73,5699.73,5699.73,5699.73,0,0
2016-02-03,5607.29,5607.29,5607.29,5607.29,0,0
2016-02-04,5671.25,5671.25,5671.25,5671.25,0,0
2016-02-05,5629.28,5629.28,5629.28,5629.28,0,0
2016-02-08,5409.38,5409.38,5409.38,5409.38,0,0
2016-02-09,5362.91,5362.91,5362.91,5362.91,0,0
2016-02-10,5456.36,5476.35,5439.86,5439.86,300,0
2016-02-11,5364.9,5364.9,5364.9,5364.9,0,0
2016-02-12,5365.9,5365.9,5365.9,5365.9,0,0
2016-02-15,5513.33,5513.33,5513.33,5513.33,0,0
2016-02-16,5527.83,5527.83,5527.83,5527.83,0,0
2016-02-17,5667.25,5667.25,5667.25,5667.25,0,0
2016-02-18,5691.24,5691.24,5691.24,5691.24,0,0
2016-02-19,5673.75,5673.75,5673.75,5673.75,0,0
2016-02-22,5801.19,5801.19,5801.19,5801.19,0,0
2016-02-23,5779.7,5779.7,5779.7,5779.7,0,0
2016-02-24,5726.23,5726.23,5726.23,5726.23,0,0
2016-02-25,5814.18,5814.18,5814.18,5814.18,0,0
2016-02-26,5871.65,5871.65,5871.65,5871.65,0,0
2016-02-29,5848.18,5848.18,5848.18,5848.18,0,0
2016-03-01,5957.12,5957.12,5957.12,5957.12,0,0
2016-03-02,5890.15,5890.15,5890.15,5890.15,0,0
2016-03-03,5902.15,5902.15,5902.15,5902.15,0,0
2016-03-04,5968.62,5968.62,5968.62,5968.62,0,0
2016-03-07,5935.12,5935.12,5935.12,5935.12,0,0
2016-03-08,5888.15,5888.15,5888.15,5888.15,0,0
2016-03-09,5883.65,5883.65,5883.65,5883.65,0,0
2016-03-10,5871.56,5892.15,5871.56,5892.15,8,0
2016-03-11,5979.59,5979.59,5979.59,5979.59,0,0
2016-03-14,6056.57,6056.57,6056.57,6056.57,0,0
2016-03-15,6087.05,6087.05,6087.05,6087.05,0,0
2016-03-16,6119.04,6119.04,6119.04,6119.04,0,0
2016-03-17,6064.57,6064.57,6064.57,6064.57,0,0
2016-03-18,6090.55,6090.55,6090.55,6090.55,0,0
2016-03-21,6090.55,6090.55,6090.55,6090.55,0,0
2016-03-22,6148.03,6148.03,6148.03,6148.03,0,0
2016-03-23,6187.51,6187.51,6187.51,6187.51,0,0
2016-03-24,6092.55,6092.55,6092.55,6092.55,0,0
2016-03-29,6057.07,6057.07,6057.07,6057.07,0,0
2016-03-30,6179.51,6179.51,6179.51,6179.51,0,0
2016-03-31,6181.01,6181.01,6181.01,6181.01,0,0
2016-04-01,6245.48,6245.48,6245.48,6245.48,0,0
2016-04-04,6208.99,6208.99,6208.99,6208.99,0,0
2016-04-05,6167.52,6167.52,6167.52,6167.52,0,0
2016-04-06,6217.48,6217.48,6217.48,6217.48,0,0
2016-04-07,6240.98,6240.98,6179.01,6179.01,517,0
2016-04-08,6263.47,6263.47,6263.47,6263.47,0,0
2016-04-11,6278.32,6278.32,6243.98,6243.98,8,0
2016-04-12,6227.48,6227.48,6227.48,6227.48,0,0
2016-04-13,6273.46,6273.46,6273.46,6273.46,0,0
2016-04-14,6308.94,6308.94,6308.94,6308.94,0,0
2016-04-15,6268.97,6268.97,6268.97,6268.97,0,0
2016-04-18,6277.45,6277.45,6277.45,6277.45,0,0
2016-04-19,6291.95,6291.95,6291.95,6291.95,0,0
2016-04-20,6274.33,6278.95,6274.33,6278.95,108,0
2016-04-21,6247.97,6247.97,6247.97,6247.97,0,0
2016-04-22,6193.99,6193.99,6193.99,6193.99,0,0
2016-04-25,6145.53,6145.53,6145.53,6145.53,0,0
2016-04-26,6140.03,6140.03,6140.03,6140.03,0,0
2016-04-27,6190,6190,6190,6190,0,0
2016-04-28,6183.51,6183.51,6183.51,6183.51,0,0
2016-04-29,6190,6190,6190,6190,0,0
2016-05-03,6190,6190,6190,6190,0,0
2016-05-04,6185.01,6185.01,6185.01,6185.01,0,0
2016-05-05,6143.53,6143.53,6143.53,6143.53,0,0
2016-05-06,6176.01,6176.01,6176.01,6176.01,0,0
2016-05-09,6185.01,6185.01,6185.01,6185.01,0,0
2016-05-10,6219.36,6219.36,6187.51,6187.51,7,0
2016-05-11,6195.99,6195.99,6195.99,6195.99,0,0
2016-05-12,6148.53,6148.53,6148.53,6148.53,0,0
2016-05-13,6163.02,6163.02,6163.02,6163.02,0,0
2016-05-16,6183.51,6183.51,6183.51,6183.51,0,0
2016-05-17,6144.03,6144.03,6144.03,6144.03,0,0
2016-05-18,6084.05,6084.05,6084.05,6084.05,0,0
