Date,Open,High,Low,Close,Volume,OpenInt
2017-09-18,81.1564,81.1564,81.1564,81.1564,0,0
2017-09-19,80.9481,80.9481,80.9481,80.9481,0,0
2017-09-20,80.07,80.07,80.07,80.07,0,0
2017-09-21,80.07,80.07,80.07,80.07,0,0
2017-09-22,79.26,79.26,79.26,79.26,0,0
2017-09-25,79.5073,79.5073,79.5073,79.5073,0,0
2017-09-26,79.1952,79.1952,79.1952,79.1952,0,0
2017-09-27,78.5527,78.5527,78.5527,78.5527,0,0
2017-09-28,78.6512,78.6512,78.6512,78.6512,0,0
2017-09-29,79.6041,79.6041,79.6041,79.6041,0,0
2017-10-02,80.3586,80.3586,80.3586,80.3586,0,0
2017-10-03,80.26,80.3404,80.233,80.26,1825,0
2017-10-04,79.6757,79.6757,79.6757,79.6757,0,0
2017-10-05,80.0065,80.0065,80.0065,80.0065,0,0
2017-10-06,79.3827,79.3827,79.3827,79.3827,0,0
2017-10-09,79.5549,79.5549,79.5549,79.5549,0,0
2017-10-10,81.2173,81.2173,81.2173,81.2173,0,0
2017-10-11,81.8152,81.8152,81.8152,81.8152,0,0
2017-10-12,82.26,82.26,82.26,82.26,0,0
2017-10-13,82.9155,82.9155,82.9155,82.9155,0,0
2017-10-16,83.4928,83.4928,83.4928,83.4928,0,0
2017-10-17,83.8189,83.8189,83.8189,83.8189,0,0
2017-10-18,83.9483,83.9483,83.9483,83.9483,0,0
2017-10-19,82.3059,82.3059,82.3059,82.3059,0,0
2017-10-20,81.9929,81.9929,81.9929,81.9929,0,0
2017-10-23,81.9,81.9,81.9,81.9,0,0
2017-10-24,81.9,81.9,81.9,81.9,0,0
2017-10-25,81.0119,81.0119,81.0119,81.0119,0,0
2017-10-26,81.3575,81.3575,81.3575,81.3575,0,0
2017-10-27,81.65,81.65,81.65,81.65,0,0
2017-10-30,81.5,81.5,81.5,81.5,0,0
2017-10-31,81.6558,81.6558,81.6558,81.6558,0,0
2017-11-01,81.642,81.642,81.642,81.642,0,0
2017-11-02,80.2544,80.2544,80.2544,80.2544,0,0
2017-11-03,80.76,80.76,80.76,80.76,0,0
2017-11-06,81.053,81.053,81.053,81.053,0,0
2017-11-07,81.1859,81.1859,81.1859,81.1859,0,0
2017-11-08,81.0642,81.0642,81.0642,81.0642,0,0
2017-11-09,80.6547,80.6547,80.6547,80.6547,0,0
2017-11-10,79.52,79.52,79.52,79.52,0,0
2017-11-13,79.3543,79.3543,79.3543,79.3543,0,0
2017-11-14,80.28,80.28,80.28,80.28,0,0
2017-11-15,79.6107,79.6107,79.6107,79.6107,0,0
2017-11-16,81.3697,81.3697,81.3697,81.3697,0,0
2017-11-17,80.9256,80.9256,80.9256,80.9256,0,0
2017-11-20,80.9256,80.9256,80.9256,80.9256,0,0
2017-11-21,80.9256,80.9256,80.9256,80.9256,0,0
2017-11-22,80.9256,80.9256,80.9256,80.9256,0,0
2017-11-23,80.9256,80.9256,80.9256,80.9256,0,0
2017-11-24,80.9256,80.9256,80.9256,80.9256,0,0
2017-11-27,80.97,80.97,80.9432,80.9432,1449,0
2017-11-28,80.798,80.9,80.798,80.9,1124,0
2017-11-29,80.9256,80.9256,80.9256,80.9256,0,0
2017-12-04,79.02,79.02,79.02,79.02,370,0
2017-12-05,79.67,79.67,79.49,79.49,107,0
2017-12-06,78.69,78.69,78.69,78.69,200,0
2017-12-07,79.5,79.5,79.5,79.5,25339,0
2017-12-08,80.8,80.8,80.8,80.8,1703,0
2017-12-11,79.92,79.92,79.7026,79.7026,906,0
2017-12-12,79.8,79.8,79.504,79.504,3672,0
2017-12-13,79.28,80.33,79.28,80.33,16075,0
2017-12-14,79.4407,79.4407,79.4407,79.4407,296,0
2017-12-15,79.0031,81.08,79.0031,79.12,1715,0
2017-12-18,79.77,79.96,79.77,79.96,535,0
2017-12-19,79.734,79.734,79.734,79.734,0,0
2017-12-20,78.89,78.89,78.89,78.89,4,0
2017-12-21,78.38,78.41,78.38,78.41,2787,0
2017-12-22,78.5035,78.5035,78.5035,78.5035,0,0
2017-12-27,77.84,77.84,77.84,77.84,0,0
2017-12-28,78.46,78.46,78.44,78.44,560,0
2018-01-02,78.3,78.3,78.3,78.3,45,0
2018-01-03,78.9,78.9,78.6,78.6,242,0
2018-01-04,78.85,78.85,78.6,78.6,315,0
2018-01-05,78.65,78.95,78.65,78.95,30,0
2018-01-08,79.15,79.15,79.15,79.15,37,0
2018-01-09,79.1,79.1,79.1,79.1,0,0
2018-01-10,78.15,78.15,78.15,78.15,0,0
2018-01-11,77.1,77.1,77.1,77.1,0,0
2018-01-12,77.2,77.2,77.2,77.2,0,0
2018-01-15,77.15,77.15,76.2,76.2,2,0
2018-01-16,75.8,77.3,75.8,77.3,22,0
2018-01-17,76.75,76.75,76.5,76.5,41,0
2018-01-18,76.55,76.55,76.55,76.55,0,0
2018-01-19,76.5,77.15,76.5,77.15,39,0
2018-01-22,77.45,77.45,77.15,77.15,143,0
2018-01-23,77.6,77.9,77.6,77.9,165,0
2018-01-24,77.9,77.9,77.4,77.4,36,0
2018-01-25,77.55,77.55,77.5,77.5,762,0
2018-01-26,77.65,77.9,77.65,77.9,141,0
2018-01-29,77.8,77.8,76.9,76.9,232,0
2018-01-30,76.7,76.7,76.1,76.1,30,0
2018-01-31,77,77,77,77,0,0
2018-02-01,76.85,76.85,76.6,76.6,15,0
2018-02-02,76.6,76.6,75.65,75.65,27,0
2018-02-05,75.6,75.6,74.8,74.8,197,0
2018-02-06,73.35,73.35,72.6,72.6,1460,0
2018-02-07,72.85,74.65,72.85,74.65,594,0
2018-02-08,74.95,74.95,74.1,74.1,375,0
2018-02-09,73.25,73.25,72.05,72.05,360,0
2018-02-12,72.45,73.6,72.45,73.6,607,0
2018-02-15,72.6,72.6,72.4,72.4,5,0
2018-02-16,72.9,74.3,72.9,74.3,6,0
2018-02-19,74.75,74.75,74.75,74.75,63,0
2018-02-20,74.75,74.75,74.5,74.5,30,0
2018-02-21,74.6,74.6,74.05,74.05,166,0
2018-02-22,74.1,74.95,74.1,74.95,114,0
2018-02-23,74.7,75.95,74.7,75.95,107,0
2018-02-26,76.65,77,76.65,77,79,0
2018-02-27,77.2,77.2,75.65,75.65,62,0
2018-03-01,75.2,75.4,75.2,75.4,177,0
2018-03-02,75.3,75.6,75.3,75.6,376,0
2018-03-05,75.3,75.3,75.3,75.3,0,0
2018-03-06,75.6,75.6,75,75,179,0
2018-03-07,75.7,75.7,75.7,75.7,10,0
2018-03-08,75.85,77.7,75.85,77.7,524,0
2018-03-09,77.45,77.7,77.45,77.7,360,0
2018-03-12,77.6,77.8,77.6,77.8,627,0
