Date,Open,High,Low,Close,Volume,OpenInt
2017-09-15,22.06,22.06,21.915,21.915,402,0
2017-09-18,21.888,21.888,21.888,21.888,0,0
2017-09-19,21.965,21.965,21.965,21.965,0,0
2017-09-20,21.995,21.995,21.995,21.995,0,0
2017-09-21,21.9028,21.9028,21.9028,21.9028,0,0
2017-09-22,22.0405,22.0405,22.0405,22.0405,0,0
2017-09-25,21.8432,21.8432,21.8432,21.8432,0,0
2017-09-26,21.8432,21.8432,21.8432,21.8432,0,0
2017-09-27,22.1076,22.1076,22.1076,22.1076,0,0
2017-09-28,22.1076,22.1076,22.1076,22.1076,0,0
2017-09-29,22.42,22.915,22.42,22.915,855,0
2017-10-02,23.0867,23.0867,23.0867,23.0867,0,0
2017-10-03,23.0867,23.0867,23.0867,23.0867,0,0
2017-10-04,22.7228,22.7228,22.7228,22.7228,0,0
2017-10-05,22.6561,22.6561,22.6561,22.6561,0,0
2017-10-06,22.6592,22.6592,22.6592,22.6592,0,0
2017-10-09,22.6592,22.6592,22.6592,22.6592,0,0
2017-10-10,22.9247,22.9247,22.9247,22.9247,0,0
2017-10-11,23.0284,23.0284,23.0284,23.0284,0,0
2017-10-12,23.2502,23.2502,23.2502,23.2502,0,0
2017-10-13,23.1774,23.1774,23.1774,23.1774,0,0
2017-10-16,23.15,23.15,23.15,23.15,0,0
2017-10-17,23.15,23.15,23.15,23.15,0,0
2017-10-18,23.1617,23.1617,23.1617,23.1617,0,0
2017-10-19,23.0763,23.0763,23.0763,23.0763,0,0
2017-10-20,23.156,23.156,23.156,23.156,0,0
2017-10-23,22.8867,22.8867,22.8867,22.8867,0,0
2017-10-24,22.9531,22.9531,22.9531,22.9531,0,0
2017-10-25,22.79,22.79,22.79,22.79,0,0
2017-10-26,23.2798,23.2798,23.2798,23.2798,0,0
2017-10-27,23.27,23.27,23.27,23.27,0,0
2017-10-30,23.243,23.243,23.243,23.243,0,0
2017-10-31,23.243,23.243,23.243,23.243,0,0
2017-11-01,23.3633,23.3633,23.3633,23.3633,0,0
2017-11-02,23.3356,23.3356,23.3356,23.3356,0,0
2017-11-03,23.3785,23.3785,23.3785,23.3785,0,0
2017-11-06,23.3785,23.3785,23.3785,23.3785,0,0
2017-11-07,23.1787,23.1787,23.1787,23.1787,0,0
2017-11-08,23.3298,23.3298,23.3298,23.3298,0,0
2017-11-09,23.3628,23.3628,23.3628,23.3628,0,0
2017-11-10,23.3628,23.3628,23.3628,23.3628,0,0
2017-11-13,22.5917,22.5917,22.5917,22.5917,0,0
2017-11-14,22.5917,22.5917,22.5917,22.5917,0,0
2017-11-15,22.6009,22.6009,22.6009,22.6009,0,0
2017-11-16,22.6409,22.6409,22.6409,22.6409,0,0
2017-11-17,22.6409,22.6409,22.6409,22.6409,0,0
2017-11-20,22.6409,22.6409,22.6409,22.6409,0,0
2017-11-21,22.6409,22.6409,22.6409,22.6409,0,0
2017-11-22,22.6409,22.6409,22.6409,22.6409,0,0
2017-11-23,22.6409,22.6409,22.6409,22.6409,0,0
2017-11-24,22.6409,22.6409,22.6409,22.6409,0,0
2017-11-27,22.745,22.745,22.7229,22.7229,8321,0
2017-11-28,22.645,22.6713,22.645,22.6713,1668,0
2017-11-29,22.695,22.7666,22.695,22.7666,669,0
2017-11-30,22.9,22.9,22.6604,22.6604,118,0
2017-12-01,22.605,22.605,22.4452,22.4452,23569,0
2017-12-05,22.59,22.7311,22.59,22.7311,945,0
2017-12-06,22.655,22.655,22.6075,22.6075,2052,0
2017-12-11,22.765,22.7806,22.765,22.7806,711,0
2017-12-12,22.7517,22.7517,22.7517,22.7517,0,0
2017-12-13,22.94,23.0377,22.94,23.0377,787,0
2017-12-14,23.025,23.025,23.025,23.025,0,0
2017-12-15,22.96,22.96,22.6409,22.865,200,0
2017-12-18,22.9,23.0494,22.9,23.0494,1753,0
2017-12-19,23.015,23.015,23.015,23.015,0,0
2017-12-20,23.0259,23.0259,23.0259,23.0259,0,0
2017-12-21,23.0302,23.0302,23.0302,23.0302,0,0
2017-12-22,23.0569,23.0569,23.0569,23.0569,0,0
2017-12-27,23.0548,23.0548,23.0548,23.0548,0,0
2018-01-02,23.175,23.175,22.85,22.85,521,0
2018-01-03,22.85,22.85,22.85,22.85,341,0
2018-01-04,23.425,23.425,23.425,23.425,4565,0
2018-01-05,23.375,23.375,23.375,23.375,0,0
2018-01-08,23.525,23.525,23.175,23.175,1150,0
2018-01-09,23.525,23.675,23.525,23.675,4715,0
2018-01-10,23.825,24.15,23.825,24.15,8977,0
2018-01-11,23.775,23.775,23.775,23.775,0,0
2018-01-12,23.775,24.6,23.775,24.6,147,0
2018-01-15,24.7,24.9,24.7,24.9,181,0
2018-01-16,24.95,24.95,24.9,24.9,1406,0
2018-01-17,25.075,25.075,25.075,25.075,99,0
2018-01-18,24.8,24.8,24.7,24.7,390,0
2018-01-19,24.75,24.75,24.65,24.65,413,0
2018-01-22,24.75,24.75,24.7,24.7,7028,0
2018-01-23,24.7,24.75,24.7,24.75,771,0
2018-01-24,24.7,24.7,24.35,24.35,1547,0
2018-01-25,24.3,24.3,24.2,24.2,2252,0
2018-01-26,24.15,24.35,24.15,24.35,290,0
2018-01-29,24.25,24.25,24.25,24.25,7927,0
2018-01-30,24.35,24.4,24.35,24.4,1901,0
2018-01-31,24.15,24.3,24.15,24.3,496,0
2018-02-01,23.925,23.925,23.825,23.825,4,0
2018-02-02,24.05,24.05,23.875,23.875,7962,0
2018-02-05,24.1,24.25,24.1,24.25,17596,0
2018-02-06,23.325,23.375,23.325,23.375,4037,0
2018-02-07,23.375,23.375,23.025,23.025,1493,0
2018-02-09,22.85,22.85,22.45,22.45,2604,0
2018-02-12,22.9,22.9,22.85,22.85,3014,0
2018-02-15,23.075,23.125,23.075,23.125,6837,0
2018-02-16,23.325,23.325,23.025,23.025,3033,0
2018-02-19,23.125,23.475,23.125,23.475,4396,0
2018-02-20,23.425,23.425,23.25,23.25,1864,0
2018-02-21,23.225,23.225,22.9,22.9,1496,0
2018-02-22,22.85,22.85,22.85,22.85,2646,0
2018-02-23,22.95,22.95,22.75,22.75,1032,0
2018-02-26,22.9,22.9,22.7,22.7,2513,0
2018-02-27,22.85,22.85,22.75,22.75,2652,0
2018-02-28,22.9,23,22.9,23,3398,0
2018-03-01,22.85,22.875,22.85,22.875,362,0
2018-03-02,22.4,22.4,21.9,21.9,4875,0
2018-03-05,22.1,22.1,22.1,22.1,0,0
2018-03-06,22.1,22.2,22.1,22.2,4,0
2018-03-07,22.1,22.1,22.05,22.05,600,0
2018-03-08,22.1,22.1,22.1,22.1,352,0
2018-03-09,22.075,22.2,22.075,22.2,3330,0
2018-03-12,22.25,22.25,22.25,22.25,299,0
2018-03-13,22.35,22.35,22.1,22.1,1725,0
2018-03-14,21.875,21.875,21.825,21.825,3134,0
2018-03-15,21.825,21.825,21.375,21.375,13780,0
2018-03-16,21.45,21.45,21.125,21.125,13550,0
2018-03-19,21.325,21.325,21.325,21.325,530,0
2018-03-20,21.2,21.375,21.2,21.375,704,0
2018-03-21,21.225,21.225,21.225,21.225,511,0
2018-03-22,21.325,21.325,21.1,21.1,516,0
2018-03-23,20.65,20.65,20.65,20.65,4598,0
2018-03-26,20.825,20.9,20.825,20.9,731,0
2018-03-27,20.635,21.075,20.635,21.075,2992,0
2018-03-28,20.935,20.935,19.28,19.28,43717,0
2018-03-29,18.93,19.15,18.93,19.15,725,0
