Date,Open,High,Low,Close,Volume,OpenInt
2017-04-03,51.205,51.205,49.56,49.6912,20138,0
2017-04-04,49.655,50.0945,49.655,49.9992,8352,0
2017-04-11,51.45,52.1,51.45,51.8447,48577,0
2017-04-12,51.85,52.4,51.8,52.345,18524,0
2017-04-26,51.075,51.075,49.8963,50.109,18325,0
2017-04-28,50.18,50.18,49.5,49.6,30182,0
2017-05-02,49.885,50.3,49.72,50.05,12862,0
2017-05-16,52.075,52.6534,52.075,52.606,16598,0
2017-05-30,52.205,52.9,52.205,52.8,14091,0
2017-06-01,52.65,53.2965,52.65,53.1566,19374,0
2017-06-13,55.0589,55.45,54.85,55.0589,21707,0
2017-06-14,55.18,55.8964,55.18,55.791,28971,0
2017-06-16,55.63,55.65,55.3,55.35,47731,0
2017-07-03,51.88,51.88,51.4,51.5445,12917,0
2017-07-14,54.23,54.45,54.1,54.3485,8346,0
2017-07-18,53.73,54.05,53.73,54.05,14507,0
2017-07-24,53.45,53.45,53.2,53.2206,16150,0
2017-07-26,53.83,53.9064,53.7965,53.9064,14589,0
2017-07-28,54.075,54.075,53.3,53.5161,17892,0
2017-07-31,53.23,53.6,53,53.2083,135941,0
2017-08-01,53.05,54.8,53.05,53.59,24747,0
2017-08-03,55.5,55.8495,55.4911,55.848,13712,0
2017-08-10,55.355,55.355,54.7464,54.896,948,0
2017-08-14,53.15,54.1965,53.15,54.1636,52211,0
2017-08-16,53.78,53.998,53.6,53.9965,15876,0
2017-08-29,52.705,53.0063,52.705,52.8312,7361,0
2017-08-31,53.425,53.5,53.3,53.355,80868,0
2017-09-01,53.45,54,53.4035,53.493,16089,0
2017-09-04,53.205,53.2495,52.95,53.2495,9050,0
2017-09-07,52.73,53.5,52.73,53.249,20491,0
2017-09-14,54.1,54.2438,54.0903,54.2438,6954,0
2017-09-15,54.9817,54.9817,54.9817,54.9817,0,0
2017-09-18,54.549,54.549,54.549,54.549,0,0
2017-09-19,54.6522,54.6522,54.6522,54.6522,0,0
2017-09-20,54.8259,54.8259,54.8259,54.8259,0,0
2017-09-21,54.7287,54.7287,54.7287,54.7287,0,0
2017-09-22,54.83,54.9951,54.5208,54.9951,18532,0
2017-09-25,55.2769,55.2769,55.2769,55.2769,0,0
2017-09-26,55.9638,55.9638,55.9638,55.9638,0,0
2017-09-27,56.18,56.18,55.45,55.5752,34357,0
2017-09-28,55.1302,55.1302,55.1302,55.1302,0,0
2017-09-29,55.56,56.2,55.4,56.05,38268,0
2017-10-02,55.975,56.35,55.85,56.3,27064,0
2017-10-03,56.155,56.9,56.155,56.9,3504,0
2017-10-04,56.9,56.9,55.901,56.3129,7518,0
2017-10-05,56.06,57.05,56.06,56.846,63528,0
2017-10-06,57.025,57.5,57,57.1445,93502,0
2017-10-09,57.4984,57.4984,57.4984,57.4984,0,0
2017-10-10,57.4,58.2543,57.3,57.45,29979,0
2017-10-11,58.075,58.3,57.95,58.143,19466,0
2017-10-12,58.6171,58.6171,58.6171,58.6171,0,0
2017-10-13,58.21,58.3,57.8211,57.893,363006,0
2017-10-16,57.68,57.9962,57.68,57.95,67368,0
2017-10-17,57.755,57.85,57.7,57.704,45342,0
2017-10-18,58.7297,58.7297,58.7297,58.7297,0,0
2017-10-19,58.855,58.95,58.7991,58.9,14560,0
2017-10-20,59.15,59.15,58.55,58.8,9612,0
2017-10-23,58.83,59,58.55,59,719,0
2017-10-24,58.805,58.805,57.5,57.75,54731,0
2017-10-25,58.3526,58.3526,58.3526,58.3526,0,0
2017-10-26,58.5571,58.5571,58.5571,58.5571,0,0
2017-10-27,58.9,59,58.5249,58.955,7869,0
2017-10-30,59.97,59.97,59.97,59.97,0,0
2017-10-31,59.925,59.925,59.5804,59.75,13402,0
2017-11-01,59.875,60.3,59.875,60.3,12457,0
2017-11-02,59.9587,59.9587,59.9587,59.9587,0,0
2017-11-03,59.88,60,59.88,59.95,5849,0
2017-11-06,60.1288,60.1288,60.1288,60.1288,0,0
2017-11-07,60.0087,60.0087,60.0087,60.0087,0,0
2017-11-08,59.9141,59.9141,59.9141,59.9141,0,0
2017-11-09,58.75,58.75,58.75,58.75,0,0
2017-11-10,58.95,59.048,58.75,59.048,15193,0
2017-11-13,58.7064,58.7064,58.7064,58.7064,0,0
2017-11-14,58.705,59.3513,58.705,58.9495,12416,0
2017-11-15,58.8982,58.8982,58.8982,58.8982,0,0
2017-11-16,59.6019,59.6019,59.6019,59.6019,0,0
2017-11-17,58.6418,58.6418,58.6418,58.6418,0,0
2017-11-20,58.6418,58.6418,58.6418,58.6418,0,0
2017-11-21,58.6418,58.6418,58.6418,58.6418,0,0
2017-11-22,58.6418,58.6418,58.6418,58.6418,0,0
2017-11-23,58.6418,58.6418,58.6418,58.6418,0,0
2017-11-24,58.6418,58.6418,58.6418,58.6418,0,0
2017-11-27,58.78,58.9462,58.78,58.9462,43841,0
2017-11-28,58.925,58.925,58.5962,58.5962,19857,0
2017-11-29,58.83,59.0962,58.83,59.0962,42386,0
2017-11-30,59.255,59.4834,59.255,59.4834,11423,0
2017-12-01,59.405,59.405,59.1075,59.1075,23259,0
2017-12-04,59.28,59.3541,59.28,59.3541,10846,0
2017-12-05,58.975,59.3518,58.975,59.3518,7998,0
2017-12-06,59.205,59.205,58.8962,58.8962,35450,0
2017-12-07,58.78,58.885,58.78,58.885,7016,0
2017-12-08,59.025,59.775,59.025,59.775,34011,0
2017-12-11,59.33,59.4299,59.33,59.4299,19506,0
2017-12-12,59.385,59.5083,59.385,59.5083,36731,0
2017-12-13,59.355,59.4587,59.355,59.4587,86263,0
2017-12-14,59.305,59.305,58.8316,58.8316,10199,0
2017-12-15,58.55,58.65,58.4489,58.4489,78268,0
2017-12-18,58.755,59.904,58.755,59.904,12729,0
2017-12-19,59.755,59.755,59.5491,59.5491,8459,0
2017-12-20,59.63,59.63,59.375,59.375,1808,0
2017-12-21,59.205,59.205,59.05,59.05,6862,0
2017-12-22,58.855,58.855,58.8,58.8,187,0
2017-12-27,58.38,59.15,58.38,59.15,12139,0
2017-12-28,58.83,59.5,58.83,59.5,13122,0
2018-01-02,58.975,59,58.975,59,7563,0
2018-01-03,58.725,59.25,58.725,59.25,106,0
2018-01-04,59.525,59.725,59.525,59.725,3251,0
2018-01-05,59.675,60.05,59.675,60.05,14609,0
2018-01-08,60.125,61.025,60.125,61.025,9959,0
2018-01-09,61.275,61.275,61.175,61.175,10259,0
2018-01-10,61.325,61.325,61.075,61.075,11257,0
2018-01-11,60.9,60.9,60.25,60.25,15878,0
2018-01-12,60.025,60.025,58.8,58.8,6347,0
2018-01-15,57.6,57.6,57.6,57.6,0,0
2018-01-16,57.625,58.2,57.625,58.2,10187,0
2018-01-17,58.2,58.2,58.175,58.175,5478,0
2018-01-18,58.4,58.4,57.7,57.7,14449,0
2018-01-19,57.8,57.8,57.8,57.8,11166,0
2018-01-22,57.775,58.3,57.775,58.3,10946,0
2018-01-23,58.375,58.375,58.35,58.35,13138,0
2018-01-24,58.175,58.175,57,57,8562,0
2018-01-25,56.575,56.575,55.65,55.65,40729,0
2018-01-26,55.425,55.85,55.425,55.85,31440,0
2018-01-29,55.925,55.925,55.1,55.1,32745,0
2018-01-30,54.5,54.6,54.5,54.6,32404,0
2018-01-31,54.6,55.825,54.6,55.825,23952,0
2018-02-01,55.675,55.675,55.1,55.1,819,0
2018-02-02,55.6,55.6,54.175,54.175,26052,0
2018-02-05,52.95,52.95,52.8,52.8,17786,0
2018-02-06,50.495,51.95,50.495,51.95,29354,0
2018-02-07,52.525,53.2,52.525,53.2,2359,0
2018-02-08,53.35,53.35,52.4,52.4,32998,0
2018-02-09,51.85,52.45,51.85,52.45,74701,0
2018-02-12,53.125,53.125,52.775,52.775,18162,0
2018-02-13,53.15,53.15,52.95,52.95,49519,0
2018-02-14,53.35,53.9,53.35,53.9,38403,0
2018-02-15,55.15,55.15,54.375,54.375,77926,0
2018-02-16,54.525,54.775,54.525,54.775,30231,0
2018-02-19,55.25,55.25,54.85,54.85,44571,0
2018-02-20,54.85,55.45,54.85,55.45,22038,0
2018-02-21,55.525,55.525,55.1,55.1,19922,0
2018-02-22,54.6,54.6,54.325,54.325,574494,0
2018-02-23,54.9,55.375,54.9,55.375,33470,0
2018-02-26,55.35,55.525,55.35,55.525,4,0
2018-02-27,55.575,55.575,55.525,55.525,4830,0
2018-02-28,55.175,55.175,55,55,32217,0
2018-03-01,54.8,54.8,54.2,54.2,3491,0
2018-03-02,53.8,53.85,53.8,53.85,22050,0
2018-03-05,53.65,53.825,53.65,53.825,6919,0
2018-03-06,54.5,54.5,53.975,53.975,117788,0
2018-03-07,54.325,55.7,54.325,55.7,29642,0
2018-03-08,55.575,56.1,55.575,56.1,214521,0
2018-03-09,56.45,56.45,56.45,56.45,12510,0
2018-03-12,56.525,56.575,56.525,56.575,177458,0
2018-03-13,56.425,57.125,56.425,57.125,316696,0
2018-03-14,56.8,56.825,56.8,56.825,634688,0
2018-03-15,57,57,56.55,56.55,4497,0
2018-03-16,56.625,56.625,56.15,56.15,17742,0
2018-03-19,55.875,56,55.875,56,18015,0
2018-03-20,56.275,56.275,56.1,56.1,9658,0
2018-03-21,56.175,56.175,55.3,55.3,6470,0
2018-03-22,55.25,55.25,55.125,55.125,1816,0
2018-03-23,54.85,54.9,54.85,54.9,23327,0
2018-03-27,54.9,54.9,54.825,54.825,1199,0
2018-03-28,54.7,55.1,54.7,55.1,31578,0
2018-03-29,55.15,55.15,55.1,55.1,2899,0
