Date,Open,High,Low,Close,Volume,OpenInt
2017-11-29,9.7256,9.7256,9.7256,9.7256,141,0
2017-12-01,9.7006,9.7006,9.7006,9.7006,122,0
2017-12-04,9.7458,9.7458,9.7458,9.7458,1657,0
2017-12-05,9.6795,9.6795,9.6795,9.6795,718,0
2017-12-07,9.6565,9.6565,9.6565,9.6565,424,0
2017-12-11,9.48252,9.48252,9.48252,9.48252,327,0
2017-12-13,9.5015,9.5015,9.5015,9.5015,668,0
2017-12-14,9.7005,9.7005,9.482,9.482,1354,0
2017-12-15,9.5918,9.5918,9.482,9.482,1235,0
2017-12-18,9.482,9.482,9.482,9.482,76,0
2017-12-19,9.9149,9.9149,9.482,9.482,1371,0
2017-12-20,9.482,9.482,9.482,9.482,65,0
2017-12-21,9.91,9.91,9.91,9.91,132,0
2017-12-22,9.8,9.8,9.8,9.8,0,0
2017-12-27,9.738,9.738,9.738,9.738,209,0
2017-12-28,9.738,9.738,9.738,9.738,89,0
2017-12-29,9.705,9.705,9.705,9.705,0,0
2018-01-02,9.708,9.708,9.708,9.708,2500,0
2018-01-03,9.708,9.708,9.708,9.708,0,0
2018-01-04,9.97,9.97,9.97,9.97,0,0
2018-01-05,9.89,9.89,9.89,9.89,0,0
2018-01-08,9.89,9.89,9.89,9.89,140,0
2018-01-09,9.915,9.915,9.915,9.915,0,0
2018-01-10,9.795,9.795,9.795,9.795,0,0
2018-01-11,9.78,9.82,9.78,9.82,1759,0
2018-01-12,9.835,9.86,9.835,9.86,3145,0
2018-01-15,9.955,9.955,9.955,9.955,0,0
2018-01-16,9.895,9.895,9.895,9.895,0,0
2018-01-17,9.78,9.78,9.78,9.78,0,0
2018-01-18,9.74,9.74,9.74,9.74,0,0
2018-01-19,9.76,9.76,9.76,9.76,0,0
2018-01-22,9.72,9.98,9.72,9.98,2267,0
2018-01-23,9.995,9.995,9.98,9.98,371,0
2018-01-24,9.92,9.92,9.92,9.92,0,0
2018-01-25,9.815,9.815,9.815,9.815,0,0
2018-01-26,9.8,9.895,9.8,9.895,138,0
2018-01-29,10.115,10.115,10.115,10.115,0,0
2018-01-30,10.155,10.155,9.74,9.74,84,0
2018-01-31,9.8,9.8,9.76,9.76,3797,0
2018-02-01,9.75,9.75,9.71,9.71,123,0
2018-02-02,9.66,9.66,9.63,9.63,10,0
2018-02-05,9.6,9.6,9.36,9.36,3266,0
2018-02-06,9.015,9.125,9.015,9.125,183,0
2018-02-07,9.38,9.435,9.38,9.435,3751,0
2018-02-09,9.145,9.155,9.145,9.155,2820,0
2018-02-12,9.25,9.25,9.215,9.215,3746,0
2018-02-14,9.095,9.4,9.095,9.4,1113,0
2018-02-15,9.445,9.69,9.445,9.69,2326,0
2018-02-16,9.895,9.895,9.895,9.895,0,0
2018-02-19,10.035,10.42,10.035,10.42,2405,0
2018-02-20,10.5,10.5,10.48,10.48,2024,0
2018-02-21,10.5,10.85,10.5,10.85,2365,0
2018-02-22,10.91,10.91,10.52,10.52,501,0
2018-02-23,10.99,10.99,9.96,9.96,13004,0
2018-02-26,10.205,10.205,9.63,9.63,1742,0
2018-02-27,9.785,9.785,9.64,9.64,222,0
2018-02-28,9.74,9.74,9.66,9.66,1653,0
2018-03-05,9.37,9.405,9.37,9.405,87,0
2018-03-06,9.445,9.485,9.445,9.485,1,0
2018-03-07,9.405,9.475,9.405,9.475,2,0
2018-03-08,9.6,9.6,9.585,9.585,608,0
2018-03-09,9.71,10.07,9.71,10.07,1482,0
2018-03-12,9.815,9.815,9.815,9.815,0,0
2018-03-13,9.69,9.69,9.69,9.69,0,0
2018-03-14,9.62,9.62,9.62,9.62,0,0
2018-03-15,9.68,9.73,9.68,9.73,26,0
2018-03-16,9.71,9.71,9.68,9.68,398,0
2018-03-19,9.495,9.63,9.495,9.63,2346,0
2018-03-20,9.505,9.61,9.505,9.61,100,0
2018-03-21,9.62,9.785,9.62,9.785,196307,0
2018-03-22,9.84,9.84,9.67,9.67,506,0
2018-03-23,9.6,9.6,9.6,9.6,1198,0
2018-03-26,9.28,9.28,9.28,9.28,0,0
2018-03-27,9.35,9.455,9.35,9.455,3166,0
2018-03-28,9.33,9.465,9.33,9.465,5153,0
2018-03-29,9.495,9.495,9.455,9.455,5784,0
