Date,Open,High,Low,Close,Volume,OpenInt
2017-09-18,9.115,9.115,9.115,9.115,0,0
2017-09-19,9.115,9.115,9.115,9.115,0,0
2017-09-20,9.143,9.143,9.143,9.143,0,0
2017-09-21,9.0402,9.0402,9.0402,9.0402,0,0
2017-09-22,9.0942,9.0942,9.0942,9.0942,0,0
2017-09-25,9.0942,9.0942,9.0942,9.0942,0,0
2017-09-26,9.0942,9.0942,9.0942,9.0942,0,0
2017-09-27,9.0136,9.0136,9.0136,9.0136,0,0
2017-09-28,9.0215,9.0215,9.0215,9.0215,0,0
2017-09-29,9.037,9.15,9.037,9.15,3709,0
2017-10-02,9.2,9.2,9.2,9.2,0,0
2017-10-03,9.2,9.2,9.2,9.2,0,0
2017-10-04,9.1559,9.1559,9.1559,9.1559,0,0
2017-10-05,9.1981,9.1981,9.1981,9.1981,0,0
2017-10-06,9.1556,9.1556,9.1556,9.1556,0,0
2017-10-09,9.1556,9.1556,9.1556,9.1556,0,0
2017-10-10,9.1575,9.1575,9.1575,9.1575,0,0
2017-10-11,9.1575,9.1575,9.1575,9.1575,0,0
2017-10-12,9.292,9.292,9.292,9.292,0,0
2017-10-13,9.2588,9.2588,9.2588,9.2588,0,0
2017-10-16,9.241,9.241,9.241,9.241,0,0
2017-10-17,9.222,9.222,9.222,9.222,0,0
2017-10-18,9.222,9.222,9.222,9.222,0,0
2017-10-19,9.1783,9.1783,9.1783,9.1783,0,0
2017-10-20,9.1274,9.1274,9.1274,9.1274,0,0
2017-10-23,9.1274,9.1274,9.1274,9.1274,0,0
2017-10-24,9.0389,9.0389,9.0389,9.0389,0,0
2017-10-25,9.0389,9.0389,9.0389,9.0389,0,0
2017-10-26,9.0271,9.0271,9.0271,9.0271,0,0
2017-10-27,9.0843,9.0843,9.0843,9.0843,0,0
2017-10-30,9.086,9.086,9.086,9.086,0,0
2017-10-31,9.086,9.086,9.086,9.086,0,0
2017-11-01,9.086,9.086,9.086,9.086,0,0
2017-11-02,9.086,9.086,9.086,9.086,0,0
2017-11-03,9.1164,9.1164,9.1164,9.1164,0,0
2017-11-06,9.1164,9.1164,9.1164,9.1164,0,0
2017-11-07,9.1955,9.1955,9.1955,9.1955,0,0
2017-11-08,9.1824,9.1824,9.1824,9.1824,0,0
2017-11-09,9.1899,9.1899,9.1899,9.1899,0,0
2017-11-10,9.168,9.168,9.168,9.168,0,0
2017-11-13,9.168,9.168,9.168,9.168,0,0
2017-11-14,9.168,9.168,9.168,9.168,0,0
2017-11-15,9.405,9.405,9.405,9.405,0,0
2017-11-16,9.589,9.589,9.589,9.589,0,0
2017-11-17,9.54,9.54,9.54,9.54,0,0
2017-11-20,9.54,9.54,9.54,9.54,0,0
2017-11-21,9.54,9.54,9.54,9.54,0,0
2017-11-22,9.54,9.54,9.54,9.54,0,0
2017-11-23,9.54,9.54,9.54,9.54,0,0
2017-11-24,9.54,9.54,9.54,9.54,0,0
2017-11-27,9.5405,9.5438,9.5405,9.5438,6062,0
2017-11-28,9.535,9.6289,9.535,9.6289,6117,0
2017-11-29,9.54,9.54,9.54,9.54,0,0
2017-12-01,9.6701,9.6701,9.6204,9.6204,6280,0
2017-12-04,9.6745,9.7236,9.6745,9.7236,3136,0
2017-12-07,9.7778,9.8002,9.7778,9.8002,1878,0
2017-12-08,9.7802,9.8401,9.7802,9.8401,9832,0
2017-12-11,9.8637,9.8637,9.8226,9.8226,11808,0
2017-12-12,9.7958,9.842,9.7958,9.842,5044,0
2017-12-13,9.8558,9.8558,9.83,9.83,32018,0
2017-12-14,9.8679,9.8679,9.8536,9.8536,3152,0
2017-12-15,9.7877,9.857,9.7877,9.857,24550,0
2017-12-18,9.8382,9.8818,9.8382,9.8818,6037,0
2017-12-19,9.8568,9.859,9.8568,9.859,1027,0
2017-12-20,9.8433,9.8433,9.8433,9.8433,0,0
2017-12-21,9.89,9.89,9.89,9.89,0,0
2017-12-22,9.89,9.89,9.89,9.89,0,0
2017-12-27,9.7467,9.7467,9.7467,9.7467,0,0
2017-12-28,9.8663,9.8663,9.8663,9.8663,0,0
2018-01-02,9.84,9.895,9.84,9.895,903,0
2018-01-03,9.875,9.895,9.875,9.895,12,0
2018-01-04,9.955,9.955,9.955,9.955,292,0
2018-01-05,9.935,9.995,9.935,9.995,642,0
2018-01-08,9.955,9.955,9.955,9.955,1967,0
2018-01-09,10.015,10.05,10.015,10.05,70,0
2018-01-10,10.01,10.01,10.01,10.01,1489,0
2018-01-11,9.94,9.94,9.935,9.935,127,0
2018-01-12,9.86,9.86,9.86,9.86,192,0
2018-01-15,9.86,9.86,9.86,9.86,9,0
2018-01-16,9.895,9.895,9.895,9.895,276,0
2018-01-17,9.94,9.94,9.935,9.935,1917,0
2018-01-18,9.955,9.96,9.955,9.96,1041,0
2018-01-19,9.98,9.98,9.975,9.975,1528,0
2018-01-22,10.015,10.05,10.015,10.05,50,0
2018-01-23,10.035,10.035,10.03,10.03,968,0
2018-01-24,10.03,10.05,10.03,10.05,172,0
2018-01-25,10.01,10.015,10.01,10.015,3049,0
2018-01-26,9.92,10.035,9.92,10.035,25,0
2018-01-29,10.035,10.035,9.895,9.895,3475,0
2018-01-30,9.935,9.935,9.765,9.765,2022,0
2018-01-31,9.82,9.94,9.82,9.94,1476,0
2018-02-01,9.94,9.94,9.8,9.8,1129,0
2018-02-02,9.82,9.82,9.68,9.68,1658,0
2018-02-05,9.38,9.405,9.38,9.405,631,0
2018-02-06,8.9,9.24,8.9,9.24,3465,0
2018-02-07,9.27,9.405,9.27,9.405,19349,0
2018-02-08,9.64,9.64,9.34826,9.34826,21935,0
2018-02-09,9.32,9.32,9.28,9.28,2569,0
2018-02-12,9.425,9.425,9.31,9.31,3620,0
2018-02-13,9.34,9.34,9.28,9.28,781,0
2018-02-15,9.31,9.31,9.29,9.29,2128,0
2018-02-16,9.31,9.31,9.31,9.31,1506,0
2018-02-19,9.32,9.37,9.32,9.37,1974,0
2018-02-21,9.32,9.32,9.3,9.3,1011,0
2018-02-22,9.24,9.3,9.24,9.3,1383,0
2018-02-23,9.31,9.31,9.3,9.3,2153,0
2018-02-26,9.425,9.435,9.425,9.435,1843,0
2018-02-27,9.455,9.455,9.29,9.29,4622,0
2018-02-28,9.29,9.29,9.185,9.185,1436,0
2018-03-01,9.22,9.22,9.12,9.12,8211,0
2018-03-05,9.065,9.145,9.065,9.145,9379,0
2018-03-06,9.27,9.27,9.145,9.145,4303,0
2018-03-07,9.23,9.24,9.23,9.24,11580,0
2018-03-08,9.3,9.445,9.3,9.445,7210,0
2018-03-09,9.465,9.465,9.465,9.465,9220,0
2018-03-12,9.455,9.455,9.455,9.455,6922,0
2018-03-13,9.405,9.405,9.405,9.405,3319,0
2018-03-14,9.33,9.33,9.33,9.33,3285,0
2018-03-15,9.31,9.31,9.31,9.31,3526,0
2018-03-16,9.36,9.36,9.24,9.24,28478,0
2018-03-19,9.34,9.35,9.34,9.35,6966,0
2018-03-20,9.38,9.38,9.38,9.38,4690,0
2018-03-21,9.545,9.545,9.545,9.545,4430,0
2018-03-22,9.545,9.545,9.5,9.5,1467,0
2018-03-23,9.435,9.435,9.435,9.435,4058,0
2018-03-26,9.22,9.22,9.22,9.22,0,0
2018-03-27,9.405,9.405,9.25,9.25,90778,0
2018-03-28,9.3,9.3,9.29,9.29,42960,0
2018-03-29,9.26,9.33,9.26,9.33,26563,0
