Date,Open,High,Low,Close,Volume,OpenInt
2017-09-18,85.99,85.99,85.99,85.99,0,0
2017-09-19,85.99,85.99,85.99,85.99,0,0
2017-09-20,85.99,85.99,85.99,85.99,0,0
2017-09-21,85.99,85.99,85.99,85.99,0,0
2017-09-22,85.99,85.99,85.99,85.99,0,0
2017-09-25,85.99,85.99,85.99,85.99,0,0
2017-09-26,85.99,85.99,85.99,85.99,0,0
2017-09-27,85.99,85.99,85.99,85.99,0,0
2017-09-28,85.99,85.99,85.99,85.99,0,0
2017-09-29,85.99,85.99,85.99,85.99,0,0
2017-10-02,85.99,85.99,85.99,85.99,0,0
2017-10-03,85.99,85.99,85.99,85.99,0,0
2017-10-04,85.99,85.99,85.99,85.99,0,0
2017-10-05,85.99,85.99,85.99,85.99,0,0
2017-10-06,85.99,85.99,85.99,85.99,0,0
2017-10-09,85.99,85.99,85.99,85.99,0,0
2017-10-10,85.99,85.99,85.99,85.99,0,0
2017-10-11,85.99,85.99,85.99,85.99,0,0
2017-10-12,85.99,85.99,85.99,85.99,0,0
2017-10-13,85.99,85.99,85.99,85.99,0,0
2017-10-16,85.99,85.99,85.99,85.99,0,0
2017-10-17,85.99,85.99,85.99,85.99,0,0
2017-10-18,85.99,85.99,85.99,85.99,0,0
2017-10-19,85.99,85.99,85.99,85.99,0,0
2017-10-20,85.99,85.99,85.99,85.99,0,0
2017-10-23,85.99,85.99,85.99,85.99,0,0
2017-10-24,85.99,85.99,85.99,85.99,0,0
2017-10-25,85.99,85.99,85.99,85.99,0,0
2017-10-26,85.99,85.99,85.99,85.99,0,0
2017-10-27,85.99,85.99,85.99,85.99,0,0
2017-10-30,85.99,85.99,85.99,85.99,0,0
2017-10-31,85.99,85.99,85.99,85.99,0,0
2017-11-01,85.99,85.99,85.99,85.99,0,0
2017-11-02,85.99,85.99,85.99,85.99,0,0
2017-11-03,85.99,85.99,85.99,85.99,0,0
2017-11-06,85.99,85.99,85.99,85.99,0,0
2017-11-07,85.99,85.99,85.99,85.99,0,0
2017-11-08,85.99,85.99,85.99,85.99,0,0
2017-11-09,85.99,85.99,85.99,85.99,0,0
2017-11-10,85.99,85.99,85.99,85.99,0,0
2017-11-13,85.99,85.99,85.99,85.99,0,0
2017-11-14,85.99,85.99,85.99,85.99,0,0
2017-11-15,85.99,85.99,85.99,85.99,0,0
2017-11-16,85.99,85.99,85.99,85.99,0,0
2017-11-17,85.99,85.99,85.99,85.99,0,0
2017-11-20,85.99,85.99,85.99,85.99,0,0
2017-11-21,85.99,85.99,85.99,85.99,0,0
2017-11-22,85.99,85.99,85.99,85.99,0,0
2017-11-23,85.99,85.99,85.99,85.99,0,0
2017-11-24,85.99,85.99,85.99,85.99,0,0
2017-11-27,85.99,85.99,85.99,85.99,0,0
2017-11-28,85.99,85.99,85.99,85.99,0,0
2017-11-29,85.99,85.99,85.99,85.99,0,0
2018-01-02,91.25,91.25,91.25,91.25,0,0
2018-01-03,91.25,91.25,91.25,91.25,0,0
2018-01-04,91.25,91.25,91.25,91.25,0,0
2018-01-05,91.25,91.25,91.25,91.25,0,0
2018-01-08,91.25,91.25,91.25,91.25,0,0
2018-01-09,91.25,91.25,91.25,91.25,0,0
2018-01-10,91.25,91.25,91.25,91.25,0,0
2018-01-11,91.25,91.25,91.25,91.25,0,0
2018-01-12,91.25,91.25,91.25,91.25,0,0
2018-01-15,91.25,91.25,91.25,91.25,0,0
2018-01-16,91.25,91.25,91.25,91.25,0,0
2018-01-17,91.25,91.25,91.25,91.25,0,0
2018-01-18,91.25,91.25,91.25,91.25,0,0
2018-01-19,91.25,91.25,91.25,91.25,0,0
2018-01-22,91.25,91.25,91.25,91.25,0,0
2018-01-23,91.25,91.25,91.25,91.25,0,0
2018-01-24,91.25,91.25,91.25,91.25,0,0
2018-01-25,91.25,91.25,91.25,91.25,0,0
2018-01-26,91.25,91.25,91.25,91.25,0,0
2018-01-29,91.25,91.25,91.25,91.25,0,0
2018-01-30,91.25,91.25,91.25,91.25,0,0
2018-01-31,91.25,91.25,91.25,91.25,0,0
2018-02-01,91.25,91.25,91.25,91.25,0,0
2018-02-02,91.25,91.25,91.25,91.25,0,0
2018-02-05,91.25,91.25,91.25,91.25,0,0
2018-02-06,91.25,91.25,91.25,91.25,0,0
2018-02-07,91.25,91.25,91.25,91.25,0,0
2018-02-09,91.25,91.25,91.25,91.25,0,0
2018-02-15,91.25,91.25,91.25,91.25,0,0
2018-02-16,91.25,91.25,91.25,91.25,0,0
2018-02-19,91.25,91.25,91.25,91.25,0,0
2018-02-21,91.25,91.25,91.25,91.25,0,0
2018-02-22,91.25,91.25,91.25,91.25,0,0
2018-02-23,91.25,91.25,91.25,91.25,0,0
2018-02-26,91.25,91.25,91.25,91.25,0,0
2018-02-27,91.25,91.25,91.25,91.25,0,0
2018-03-05,91.25,91.25,91.25,91.25,0,0
2018-03-06,91.25,91.25,91.25,91.25,0,0
2018-03-07,91.25,91.25,91.25,91.25,0,0
2018-03-08,91.25,91.25,91.25,91.25,0,0
2018-03-09,91.25,91.25,91.25,91.25,0,0
2018-03-12,91.25,91.25,91.25,91.25,0,0
2018-03-13,91.25,91.25,91.25,91.25,0,0
2018-03-14,91.25,91.25,91.25,91.25,0,0
2018-03-15,91.25,91.25,91.25,91.25,0,0
2018-03-16,91.25,91.25,91.25,91.25,0,0
2018-03-19,91.25,91.25,91.25,91.25,0,0
2018-03-20,91.25,91.25,91.25,91.25,0,0
2018-03-21,91.25,91.25,91.25,91.25,0,0
2018-03-23,91.25,91.25,91.25,91.25,0,0
2018-03-26,91.25,91.25,91.25,91.25,0,0
2018-03-27,91.25,91.25,91.25,91.25,0,0
2018-03-28,91.25,91.25,91.25,91.25,0,0
2018-03-29,91.25,91.25,91.25,91.25,0,0
