Date,Open,High,Low,Close,Volume,OpenInt
2018-01-02,5.82,5.82,5.82,5.82,0,0
2018-01-03,5.86,5.86,5.86,5.86,0,0
2018-01-04,5.9,5.9,5.9,5.9,0,0
2018-01-05,5.86,5.86,5.86,5.86,0,0
2018-01-08,5.98,5.98,5.98,5.98,0,0
2018-01-09,5.96,5.96,5.96,5.96,0,0
2018-01-10,5.88,5.88,5.88,5.88,0,0
2018-01-11,6.01,6.01,6.01,6.01,0,0
2018-01-12,6.01,6.01,6.01,6.01,0,0
2018-01-15,5.98,5.98,5.98,5.98,0,0
2018-01-16,6.01,6.01,6.01,6.01,0,0
2018-01-17,6.05,6.05,6.05,6.05,0,0
2018-01-18,6.23,6.23,6.23,6.23,0,0
2018-01-19,6.48,6.48,6.48,6.48,0,0
2018-01-22,6.56,6.56,6.56,6.56,0,0
2018-01-23,6.5,6.5,6.5,6.5,0,0
2018-01-24,6.58,6.58,6.58,6.58,0,0
2018-01-25,6.4,6.4,6.4,6.4,0,0
2018-01-26,6.5,6.5,6.5,6.5,0,0
2018-01-29,6.72,6.72,6.72,6.72,0,0
2018-01-30,6.15,6.15,6.15,6.15,0,0
2018-01-31,6.03,6.03,6.03,6.03,0,0
2018-02-01,5.94,5.94,5.94,5.94,0,0
2018-02-02,5.96,5.96,5.96,5.96,0,0
2018-02-05,6.01,6.01,6.01,6.01,0,0
2018-02-06,5.84,5.84,5.84,5.84,0,0
2018-02-07,5.9,5.9,5.9,5.9,0,0
2018-02-09,5.7,5.78,5.7,5.78,36927,0
2018-02-15,5.7,5.7,5.7,5.7,0,0
2018-02-16,5.9,5.9,5.9,5.9,0,0
2018-02-19,5.78,5.78,5.78,5.78,0,0
2018-02-21,5.76,5.76,5.76,5.76,0,0
2018-02-22,5.76,5.76,5.76,5.76,0,0
2018-02-23,5.74,5.74,5.74,5.74,0,0
2018-02-26,5.74,5.74,5.74,5.74,0,0
2018-02-27,5.74,5.74,5.74,5.74,0,0
2018-03-05,5.62,5.62,5.62,5.62,0,0
2018-03-06,5.64,5.64,5.64,5.64,0,0
2018-03-07,5.39,5.39,5.39,5.39,0,0
2018-03-08,5.51,5.51,5.51,5.51,0,0
2018-03-09,5.51,5.51,5.51,5.51,0,0
2018-03-12,5.7,5.7,5.7,5.7,0,0
2018-03-13,5.74,5.74,5.74,5.74,0,0
2018-03-14,5.8,5.8,5.8,5.8,0,0
2018-03-15,5.74,5.74,5.74,5.74,0,0
2018-03-16,5.78,5.78,5.78,5.78,0,0
2018-03-19,5.64,5.64,5.64,5.64,0,0
2018-03-20,5.68,5.68,5.68,5.68,0,0
2018-03-21,5.53,5.53,5.53,5.53,0,0
2018-03-23,5.21,5.21,5.21,5.21,0,0
2018-03-26,5.095,5.095,5.095,5.095,0,0
2018-03-27,5.12,5.12,5.12,5.12,0,0
2018-03-28,5.06,5.06,5.06,5.06,0,0
2018-03-29,5.1,5.1,5.1,5.1,0,0
