Date,Open,High,Low,Close,Volume,OpenInt
2017-03-16,269.75,271.4,269.75,271.232,22597,0
2017-03-20,270.75,271.6,265.925,265.925,25019,0
2017-03-22,267.625,267.625,262.086,262.086,45859,0
2017-03-27,267.125,275.67,267.125,275.67,20243,0
2017-03-31,274.625,279.141,271.845,276.4,52830,0
2017-04-03,277,277,271.615,273.277,28322,0
2017-04-11,280.125,280.8,279.238,279.238,31139,0
2017-04-24,290.875,293.2,289.8,292.7,55357,0
2017-04-25,291.625,291.7,286.6,288.26,70767,0
2017-04-28,296.75,296.75,289.7,289.7,25326,0
2017-05-03,292.5,293.25,290.75,292.604,6682,0
2017-05-05,293.625,293.625,289.6,289.811,37146,0
2017-05-08,291.875,291.875,285.514,285.514,20415,0
2017-05-10,288.25,293.2,287.1,293.197,32563,0
2017-05-11,293.5,295.613,291.5,293.187,6314,0
2017-05-16,294.25,297.2,293.9,296.294,20962,0
2017-05-17,295.75,296.8,293,293.992,8653,0
2017-05-18,293,293,287.7,288.19,16827,0
2017-05-19,289.625,293.081,289.625,292.578,35570,0
2017-05-22,292.875,294.2,292.05,293.097,14504,0
2017-05-23,293.125,294.416,292.05,293.398,10627,0
2017-05-24,294.375,297.698,294.375,297.698,65639,0
2017-05-30,297,297.1,293.4,297.005,52965,0
2017-05-31,296.625,299.868,294.525,299.8,53397,0
2017-06-01,299.375,305.2,299.375,301.995,25472,0
2017-06-06,305.625,312.021,305.625,312.021,50628,0
2017-06-07,307.25,307.25,302.322,302.322,10729,0
2017-06-08,306.75,307.208,296.3,297.6,15512,0
2017-06-12,299.25,299.25,297.853,297.853,8877,0
2017-06-13,300.75,303.1,300.75,301.695,28181,0
2017-06-14,303,304.8,298.849,302.386,75773,0
2017-06-15,302.75,302.75,293.5,293.893,142256,0
2017-06-16,296.375,298.3,295.4,298,30170,0
2017-06-21,294.5,295.813,293.8,295.6,23598,0
2017-06-26,293.5,293.5,288.151,291.701,16930,0
2017-06-27,291.25,291.8,289.9,291.6,11394,0
2017-06-28,291,291,287.043,287.2,21915,0
2017-06-29,288.875,289.4,281.572,281.572,17478,0
2017-06-30,281.75,285.672,281.75,285.672,20838,0
2017-07-03,285.25,286.696,282.2,284.289,17876,0
2017-07-06,284.375,284.375,279.538,279.611,88725,0
2017-07-07,279.625,279.625,276.45,277.534,62919,0
2017-07-10,280,281.272,278.6,280.016,33161,0
2017-07-12,278,281.916,277.85,277.958,60828,0
2017-07-14,289.125,290.5,287.95,289.489,107153,0
2017-07-18,295.875,296.3,294.35,295.261,67973,0
2017-07-19,295.625,296.988,288.7,290.082,91869,0
2017-07-24,293.375,293.7,282,282.65,53535,0
2017-07-25,285.375,289.8,285.375,289.116,22398,0
2017-07-26,289.75,293.5,286.479,291.01,35487,0
2017-07-27,291.375,297,291.375,296.325,24426,0
2017-07-31,292.125,292.9,287.914,290.2,22901,0
2017-08-03,290.25,292.116,290.011,291.049,39446,0
2017-08-04,290.875,292.827,290.2,290.906,33441,0
2017-08-07,292.25,295.979,292.25,295.56,8115,0
2017-08-08,295.75,295.8,287,295.396,27802,0
2017-08-09,287,288.9,283.8,288.768,29681,0
2017-08-10,288.5,288.5,282.878,282.972,24883,0
