Date,Open,High,Low,Close,Volume,OpenInt
2017-11-15,5.2,5.2,5.2,5.2,0,0
2017-11-16,5.2,5.2,5.2,5.2,0,0
2017-11-17,5.2,5.2,5.2,5.2,0,0
2017-11-20,5.2,5.2,5.2,5.2,0,0
2017-11-21,5.2,5.2,5.2,5.2,0,0
2017-11-22,5.2,5.2,5.2,5.2,0,0
2017-11-23,5.2,5.2,5.2,5.2,0,0
2017-11-24,5.2,5.2,5.2,5.2,0,0
2017-11-27,5.2,5.2,5.2,5.2,0,0
2017-11-28,5.2,5.2,5.2,5.2,0,0
2017-11-29,5.2,5.2,5.2,5.2,0,0
2018-01-02,1.92,1.92,1.92,1.92,0,0
2018-01-03,1.92,1.92,1.92,1.92,0,0
2018-01-04,1.92,1.92,1.92,1.92,0,0
2018-01-05,1.92,1.92,1.92,1.92,0,0
2018-01-08,1.92,1.92,1.92,1.92,0,0
2018-01-09,1.92,1.92,1.92,1.92,0,0
2018-01-10,1.92,1.92,1.92,1.92,0,0
2018-01-11,1.92,1.92,1.92,1.92,0,0
2018-01-12,1.92,1.92,1.92,1.92,0,0
2018-01-15,1.92,1.92,1.92,1.92,0,0
2018-01-16,1.92,1.92,1.92,1.92,0,0
2018-01-17,1.92,1.92,1.92,1.92,0,0
2018-01-18,1.92,1.92,1.92,1.92,0,0
2018-01-19,1.92,1.92,1.92,1.92,0,0
2018-01-22,1.92,1.92,1.92,1.92,0,0
2018-01-23,1.92,1.92,1.92,1.92,0,0
2018-01-24,1.92,1.92,1.92,1.92,0,0
2018-01-25,1.92,1.92,1.92,1.92,0,0
2018-01-26,1.92,1.92,1.92,1.92,0,0
2018-01-29,1.92,1.92,1.92,1.92,0,0
2018-01-30,1.92,1.92,1.92,1.92,0,0
2018-01-31,1.92,1.92,1.92,1.92,0,0
2018-02-01,1.92,1.92,1.92,1.92,0,0
2018-02-02,1.92,1.92,1.92,1.92,0,0
2018-02-05,1.92,1.92,1.92,1.92,0,0
2018-02-06,1.92,1.92,1.92,1.92,0,0
2018-02-07,1.92,1.92,1.92,1.92,0,0
2018-02-09,1.92,1.92,1.92,1.92,0,0
2018-02-15,1.92,1.92,1.92,1.92,0,0
2018-02-16,1.92,1.92,1.92,1.92,0,0
2018-02-19,1.92,1.92,1.92,1.92,0,0
2018-02-20,1.92,1.92,1.92,1.92,0,0
2018-02-21,1.92,1.92,1.92,1.92,0,0
2018-02-22,1.92,1.92,1.92,1.92,0,0
2018-02-23,1.92,1.92,1.92,1.92,0,0
2018-02-26,1.92,1.92,1.92,1.92,0,0
2018-02-27,1.92,1.92,1.92,1.92,0,0
2018-03-05,1.92,1.92,1.92,1.92,0,0
2018-03-06,1.92,1.92,1.92,1.92,0,0
2018-03-07,1.92,1.92,1.92,1.92,0,0
2018-03-08,1.92,1.92,1.92,1.92,0,0
2018-03-09,1.92,1.92,1.92,1.92,0,0
2018-03-12,1.92,1.92,1.92,1.92,0,0
2018-03-13,1.92,1.92,1.92,1.92,0,0
2018-03-14,1.92,1.92,1.92,1.92,0,0
2018-03-15,1.92,1.92,1.92,1.92,0,0
2018-03-16,1.92,1.92,1.92,1.92,0,0
2018-03-19,1.92,1.92,1.92,1.92,0,0
2018-03-20,1.92,1.92,1.92,1.92,0,0
2018-03-21,1.92,1.92,1.92,1.92,0,0
2018-03-23,1.92,1.92,1.92,1.92,0,0
2018-03-26,1.92,1.92,1.92,1.92,0,0
2018-03-27,1.92,1.92,1.92,1.92,0,0
2018-03-28,1.92,1.92,1.92,1.92,0,0
2018-03-29,1.92,1.92,1.92,1.92,0,0
