Date,Open,High,Low,Close,Volume,OpenInt
2017-08-29,77.1016,77.45,76.45,77.332,13992,0
2017-08-31,77.7,78.35,77.6923,77.7,20581,0
2017-09-04,77.3508,77.85,77.2415,77.3508,1712,0
2017-09-05,77.4473,77.45,76.95,77.3877,16069,0
2017-09-12,79.55,79.775,78.95,79.55,2493,0
2017-09-15,79.2976,79.85,78.9422,78.95,14662,0
2017-09-22,80.575,80.675,80.4459,80.554,3394,0
2017-09-25,80.5013,80.8375,80.3,80.5008,7658,0
2017-09-27,79.6034,80,79.45,79.6574,4066,0
2017-09-28,79.9983,80.45,79.55,79.9627,4599,0
2017-10-02,80.7543,81.0089,80.1046,80.777,3444,0
2017-10-05,81.8046,82.209,81.7964,81.8204,8543,0
2017-10-06,82.1096,82.5,81.75,82.1096,3001,0
2017-10-09,82.2597,82.3,82.032,82.0966,794,0
2017-10-24,81.85,82.075,81.7563,82.0657,6454,0
2017-10-27,83.6508,84,83.45,83.8046,2790,0
2017-11-02,83.95,84.15,83.7481,83.95,32902,0
2017-11-03,84.714,85.1063,84.6542,84.8569,4083,0
2017-11-07,84.5686,84.9573,84.05,84.4247,11365,0
2017-11-10,82.699,83,82.5,82.7443,4541,0
2017-11-13,81.7475,82.5,81.4408,81.8346,5265,0
2017-11-14,82.25,82.2667,81.791,82.25,3218,0
2017-11-16,82.523,82.7,81.6,82.523,56062,0
2017-11-27,83.5,83.5,82.9206,82.9206,4806,0
2017-11-28,83.2,83.2,83.1899,83.1899,6708,0
2017-11-29,83.5,83.9736,83.5,83.9736,4172,0
2017-11-30,83.5,83.7025,83.5,83.7025,5996,0
2017-12-01,83.95,83.95,83.6891,83.6891,6313,0
2017-12-04,83.5,84.2007,83.5,84.2007,1935,0
2017-12-05,84.05,84.05,83.85,83.85,1923,0
2017-12-06,82.35,84.3848,82.35,84.3848,3884,0
2017-12-07,84.6,84.6,84.2474,84.2474,2544,0
2017-12-08,84.95,84.95,84.7,84.7,1682,0
2017-12-11,84.8,84.85,84.8,84.85,10503,0
2017-12-12,84.55,84.75,84.55,84.75,5540,0
2017-12-13,84.45,84.5421,84.45,84.5421,15952,0
2017-12-14,84.25,84.4325,84.25,84.4325,13263,0
2017-12-15,84.1,84.3468,82.2519,84.3468,7913,0
2017-12-18,85.05,85.25,85.05,85.25,2783,0
2017-12-19,84.8,85.0213,84.8,85.0213,1516,0
2017-12-20,84.9,85.2,84.9,85.2,5997,0
2017-12-21,84.45,84.5,84.45,84.5,980,0
2017-12-22,84.35,84.35,84.35,84.35,18,0
2017-12-27,84.2,84.45,84.2,84.45,386,0
2017-12-28,84.3,84.3,84.2,84.2,776,0
2017-12-29,84.2,84.275,84.2,84.275,24,0
2018-01-04,86,86,85.5,85.5,1689,0
2018-01-05,87.05,87.3,87.05,87.3,316,0
2018-01-09,88.9,88.9,88.1,88.1,154,0
2018-01-10,88.8,88.8,88.8,88.8,0,0
2018-01-11,87.85,88.3,87.85,88.3,1568,0
2018-01-12,88.2,88.6,88.2,88.6,2178,0
2018-01-15,88.4,88.4,88.1,88.1,1195,0
2018-01-16,87.55,87.75,87.55,87.75,293,0
