Date,Open,High,Low,Close,Volume,OpenInt
2017-11-14,14.8506,15.47,14.8506,14.9669,12684,0
2017-11-27,14.5229,14.5229,14.5207,14.5207,5539,0
2017-12-01,14.2847,14.3981,14.2847,14.3981,5449,0
2017-12-04,14.4706,14.4706,14.4706,14.4706,2580,0
2017-12-05,14.5109,14.5109,14.5109,14.5109,911,0
2017-12-11,14.5644,14.7587,14.5644,14.7587,2028,0
2017-12-12,14.7366,14.7366,14.72,14.72,1563,0
2017-12-13,14.845,14.845,14.6204,14.6204,6049,0
2017-12-14,14.7676,14.77,14.7676,14.77,496,0
2017-12-15,15.03,15.03,14.77,14.77,2774,0
2017-12-18,15.475,15.475,14.77,14.77,4763,0
2017-12-19,15.655,15.655,14.77,14.77,3966,0
2017-12-20,15.53,15.53,14.77,14.77,4048,0
2017-12-21,15.08,15.265,15.08,15.265,2697,0
2017-12-22,15.31,15.31,15.08,15.08,312,0
2017-12-27,15.255,15.255,15.255,15.255,189,0
2017-12-28,15.255,15.255,15.255,15.255,0,0
2017-12-29,15.745,15.745,15.745,15.745,0,0
2018-01-02,16.15,16.15,16.15,16.15,0,0
2018-01-03,16.15,16.15,16.15,16.15,0,0
2018-01-04,16.06,16.06,16.06,16.06,0,0
2018-01-05,16.12,16.12,16.12,16.12,548,0
2018-01-08,16.12,16.12,16.12,16.12,413,0
2018-01-09,16.16,16.16,16.16,16.16,4953,0
2018-01-10,16.22,16.22,16.22,16.22,2081,0
2018-01-11,16.16,16.16,16.16,16.16,905,0
2018-01-12,15.96,15.96,15.96,15.96,461,0
2018-01-15,15.7,15.7,15.7,15.7,0,0
2018-01-16,15.7,15.7,15.7,15.7,0,0
2018-01-17,16,16,16,16,0,0
2018-01-18,16.14,16.14,16.14,16.14,940,0
2018-01-19,15.9,15.92,15.9,15.92,97,0
2018-01-22,16.08,16.08,16.08,16.08,6,0
2018-01-23,16.2,16.2,16.2,16.2,0,0
2018-01-24,16.04,16.04,16.04,16.04,614,0
2018-01-25,15.56,15.56,15.56,15.56,1060,0
2018-01-26,15.48,15.48,15.48,15.48,419,0
2018-01-29,15.42,15.42,15.42,15.42,32907,0
2018-01-30,15.24,15.24,15.24,15.24,1278,0
2018-01-31,15.1,15.1,15.1,15.1,422,0
2018-02-01,15.1,15.1,15.1,15.1,0,0
2018-02-02,15.08,15.08,15.08,15.08,2527,0
2018-02-05,14.74,14.74,14.74,14.74,0,0
2018-02-06,14.6,14.6,14.6,14.6,1690,0
2018-02-07,14.52,14.52,14.52,14.52,181,0
2018-02-08,14.72,14.72,14.72,14.72,4950,0
2018-02-09,14.42,14.42,14.42,14.42,1490,0
2018-02-12,14.38,14.38,14.38,14.38,1988,0
2018-02-13,14.3,14.3,14.3,14.3,3432,0
2018-02-14,14.26,14.26,14.26,14.26,154,0
2018-02-15,14.06,14.06,14.06,14.06,26385,0
2018-02-16,14,14,14,14,800,0
2018-02-19,14.26,14.26,14.26,14.26,0,0
2018-02-20,14.3,14.3,14.3,14.3,279,0
2018-02-21,14.5,14.5,14.5,14.5,0,0
2018-02-22,14.36,14.36,14.36,14.36,1558,0
2018-02-23,14.3,14.3,14.3,14.3,407,0
2018-02-26,14.68,14.68,14.68,14.68,2,0
2018-02-27,15.12,15.12,15.12,15.12,76,0
2018-02-28,15.06,15.06,15.06,15.06,12,0
2018-03-01,14.64,14.64,14.64,14.64,0,0
2018-03-02,15.4,15.4,15.4,15.4,1524,0
2018-03-05,15,15,15,15,472,0
2018-03-06,14.82,14.82,14.82,14.82,679,0
2018-03-07,15.02,15.02,15.02,15.02,446,0
2018-03-08,15.2,15.2,15.2,15.2,2,0
2018-03-09,15.36,15.36,15.36,15.36,736,0
2018-03-12,15.56,15.56,15.56,15.56,3264,0
2018-03-13,15.66,15.66,15.66,15.66,32317,0
2018-03-14,15.64,15.64,15.64,15.64,1066,0
2018-03-15,15.58,15.58,15.58,15.58,785,0
2018-03-16,15.78,15.78,15.78,15.78,2345,0
2018-03-19,15.46,15.46,15.46,15.46,228,0
2018-03-20,15.46,15.46,15.46,15.46,0,0
2018-03-21,15.54,15.54,15.54,15.54,483,0
2018-03-22,15.62,15.62,15.62,15.62,1777,0
2018-03-23,15.86,15.86,15.86,15.86,0,0
2018-03-26,16.1,16.1,16.1,16.1,1100,0
2018-03-27,15.86,15.86,15.86,15.86,0,0
2018-03-28,16.12,16.12,16.12,16.12,1126,0
2018-03-29,16.16,16.16,16.16,16.16,738,0
