Date,Open,High,Low,Close,Volume,OpenInt
2017-12-15,23.145,23.17,23.145,23.17,12580,0
2017-12-18,23.17,23.17,23.17,23.17,0,0
2017-12-19,23.17,23.17,23.17,23.17,0,0
2017-12-20,23.17,23.17,23.17,23.17,0,0
2017-12-21,23.15,23.15,23.15,23.15,0,0
2017-12-22,23.25,23.25,23.25,23.25,0,0
2017-12-27,23.5,23.5,23.5,23.5,0,0
2017-12-28,23.5,23.5,23.5,23.5,0,0
2017-12-29,23.49,23.49,23.49,23.49,0,0
2018-01-02,23.5,23.5,23.5,23.5,0,0
2018-01-03,23.5,23.5,23.5,23.5,0,0
2018-01-04,24.3,24.3,24.3,24.3,0,0
2018-01-05,24.3,24.3,24.3,24.3,0,0
2018-01-08,24.3,24.3,24.3,24.3,0,0
2018-01-09,24.1,24.1,24.1,24.1,0,0
2018-01-10,24.2,24.2,24.2,24.2,0,0
2018-01-11,24,24,24,24,0,0
2018-01-12,24.1,24.1,24.1,24.1,0,0
2018-01-15,24.2,24.2,24.2,24.2,0,0
2018-01-16,24.3,24.3,24.3,24.3,0,0
2018-01-17,24.5,24.5,24.5,24.5,0,0
2018-01-18,24.5,24.5,24.5,24.5,0,0
2018-01-19,24.9,24.9,24.9,24.9,0,0
2018-01-22,24.6,24.6,24.6,24.6,0,0
2018-01-23,24.7,24.7,24.7,24.7,0,0
2018-01-24,24.9,24.9,24.9,24.9,0,0
2018-01-25,24.7,24.7,24.7,24.7,0,0
2018-01-26,24.4,24.4,24.4,24.4,0,0
2018-01-29,24.1,24.1,24.1,24.1,0,0
2018-01-30,24.5,24.5,24.5,24.5,0,0
2018-01-31,24.7,24.7,24.7,24.7,0,0
2018-02-01,24.7,24.7,24.7,24.7,0,0
2018-02-02,25,25,25,25,0,0
2018-02-05,24.9,24.9,24.9,24.9,0,0
2018-02-06,24.2,24.2,24.2,24.2,0,0
2018-02-07,23.3,23.3,23.3,23.3,0,0
2018-02-08,23.6,23.6,23.6,23.6,0,0
2018-02-09,23,23,23,23,0,0
2018-02-12,22.7,22.7,22.7,22.7,0,0
2018-02-13,23.4,23.4,23.4,23.4,0,0
2018-02-14,23.2,23.2,23.2,23.2,0,0
2018-02-15,24.8,24.8,24.8,24.8,0,0
2018-02-16,25.1,25.1,25.1,25.1,0,0
2018-02-19,25.1,25.1,25.1,25.1,0,0
2018-02-20,25.3,25.3,25.3,25.3,0,0
2018-02-21,25.1,25.1,25.1,25.1,0,0
2018-02-22,25.1,25.1,25.1,25.1,0,0
2018-02-23,25,25,25,25,0,0
2018-02-26,25.4,25.4,25.4,25.4,0,0
2018-02-27,25.4,25.4,25.4,25.4,0,0
2018-02-28,26.1,26.1,26.1,26.1,0,0
2018-03-01,26,26,26,26,0,0
2018-03-02,26,26,26,26,0,0
2018-03-05,25,25,25,25,0,0
2018-03-06,24.5,24.5,24.5,24.5,0,0
2018-03-07,24.4,24.4,24.4,24.4,0,0
2018-03-08,24.5,24.5,24.5,24.5,0,0
2018-03-09,24.7,24.7,24.7,24.7,0,0
2018-03-12,25.2,25.2,25.2,25.2,0,0
2018-03-13,25.4,25.4,25.4,25.4,0,0
2018-03-14,25.4,25.4,25.4,25.4,0,0
2018-03-15,25.3,25.3,25.3,25.3,0,0
2018-03-16,25.3,25.3,25.3,25.3,0,0
2018-03-19,25,25,25,25,0,0
2018-03-20,24.9,24.9,24.9,24.9,0,0
2018-03-21,25.1,25.1,25.1,25.1,0,0
2018-03-22,24.9,24.9,24.9,24.9,0,0
2018-03-23,24.9,24.9,24.9,24.9,0,0
2018-03-26,25.1,25.1,25.1,25.1,0,0
2018-03-27,24.9,24.9,24.9,24.9,0,0
2018-03-28,25.4,25.4,25.4,25.4,0,0
2018-03-29,25,25,25,25,0,0
