Date,Open,High,Low,Close,Volume,OpenInt
2017-11-09,1.64,1.64,1.62,1.64,34863,0
2017-11-27,1.74,1.7846,1.74,1.7846,113516,0
2017-11-28,1.78,1.78,1.77018,1.77018,35987,0
2017-11-29,1.77,1.77,1.76493,1.76493,355335,0
2017-11-30,1.76,1.76,1.75,1.75,871,0
2017-12-01,1.71,1.72527,1.71,1.72527,33850,0
2017-12-04,1.72,1.72,1.71793,1.71793,73953,0
2017-12-05,1.6602,1.6602,1.65682,1.65682,23824,0
2017-12-06,1.68,1.68,1.67505,1.67505,92160,0
2017-12-07,1.65,1.65,1.61859,1.61859,450558,0
2017-12-08,1.63,1.63,1.62328,1.62328,123918,0
2017-12-11,1.59,1.59995,1.59,1.59995,21202,0
2017-12-12,1.6,1.6,1.58277,1.58277,84530,0
2017-12-13,1.59,1.59,1.58984,1.58984,39534,0
2017-12-14,1.62,1.66,1.62,1.66,146634,0
2017-12-15,1.655,1.655,1.58828,1.58828,127800,0
2017-12-18,1.61,1.61,1.59925,1.59925,229233,0
2017-12-19,1.63,1.64534,1.63,1.64534,70601,0
2017-12-20,1.63,1.64,1.63,1.64,162678,0
2017-12-21,1.66,1.66,1.65,1.65,129570,0
2017-12-22,1.66,1.66,1.65,1.65,4546,0
2017-12-27,1.64,1.66,1.64,1.66,22224,0
2017-12-28,1.66,1.66,1.65,1.65,16026,0
2018-01-03,1.746,1.798,1.746,1.798,26228,0
2018-01-04,1.846,1.846,1.818,1.818,84883,0
2018-01-05,1.799,1.799,1.799,1.799,4495,0
2018-01-08,1.742,1.742,1.736,1.736,210,0
2018-01-09,1.743,1.796,1.743,1.796,30391,0
2018-01-10,1.78,1.78,1.727,1.727,68,0
2018-01-11,1.739,1.739,1.706,1.706,2550,0
2018-01-12,1.725,1.854,1.725,1.854,6485,0
2018-01-15,1.86,1.924,1.86,1.924,12175,0
2018-01-16,1.93,2.0345,1.93,2.0345,39225,0
2018-01-17,2.03,2.06,2.03,2.06,6000,0
2018-01-18,2.1025,2.1275,2.1025,2.1275,11557,0
2018-01-19,2.1275,2.1775,2.1275,2.1775,44623,0
2018-01-22,2.2,2.2,2.1425,2.1425,84673,0
2018-01-23,2.1525,2.1525,2.0345,2.0345,154625,0
2018-01-24,2.07,2.07,2.0355,2.0355,246053,0
2018-01-25,2.01,2.01,1.9665,1.9665,17982,0
2018-01-26,1.942,1.9965,1.942,1.9965,20235,0
2018-01-29,2.012,2.012,1.953,1.953,2638,0
2018-01-30,1.93,1.93,1.854,1.854,28933,0
2018-01-31,1.829,1.885,1.829,1.885,67319,0
2018-02-01,1.829,1.829,1.829,1.829,0,0
2018-02-02,1.827,1.827,1.807,1.807,105197,0
2018-02-05,1.762,1.762,1.708,1.708,178422,0
2018-02-06,1.62,1.733,1.62,1.733,129786,0
2018-02-07,1.829,1.829,1.721,1.721,156280,0
2018-02-08,1.749,1.749,1.657,1.657,138299,0
2018-02-09,1.649,1.649,1.606,1.606,119188,0
2018-02-12,1.735,1.735,1.636,1.636,213168,0
2018-02-13,1.667,1.667,1.655,1.655,130830,0
2018-02-14,1.671,1.677,1.671,1.677,151724,0
2018-02-15,1.71,1.71,1.684,1.684,45270,0
2018-02-16,1.721,1.721,1.702,1.702,145572,0
2018-02-19,1.721,1.721,1.657,1.657,24920,0
2018-02-20,1.657,1.698,1.657,1.698,48030,0
2018-02-21,1.706,1.706,1.702,1.702,162481,0
2018-02-22,1.684,1.684,1.665,1.665,148228,0
2018-02-23,1.649,1.673,1.649,1.673,28180,0
2018-02-26,1.663,1.694,1.663,1.694,66776,0
2018-02-27,1.721,1.721,1.688,1.688,5808,0
2018-02-28,1.7,1.7,1.663,1.663,28751,0
2018-03-01,1.641,1.641,1.626,1.626,39907,0
2018-03-02,1.604,1.604,1.499,1.499,43462,0
2018-03-05,1.499,1.548,1.499,1.548,35615,0
2018-03-06,1.641,1.641,1.577,1.577,54377,0
2018-03-07,1.569,1.577,1.569,1.577,8117,0
2018-03-08,1.595,1.682,1.595,1.682,87248,0
2018-03-09,1.7,1.723,1.7,1.723,186106,0
2018-03-12,1.739,1.739,1.716,1.716,8558,0
2018-03-13,1.708,1.708,1.657,1.657,181266,0
2018-03-14,1.641,1.641,1.641,1.641,330453,0
2018-03-15,1.641,1.663,1.641,1.663,111578,0
2018-03-16,1.669,1.708,1.669,1.708,941620,0
2018-03-19,1.71,1.727,1.71,1.727,606565,0
2018-03-20,1.723,1.723,1.718,1.718,396339,0
2018-03-21,1.721,1.731,1.721,1.731,45323,0
2018-03-22,1.569,1.569,1.282,1.282,2830780,0
2018-03-23,1.28,1.28,1.277,1.277,308263,0
2018-03-26,1.339,1.339,1.3,1.3,646937,0
2018-03-27,1.349,1.349,1.224,1.224,66899,0
2018-03-28,1.2,1.2,1.113,1.113,730593,0
2018-03-29,1.105,1.105,1.103,1.103,573565,0
