Date,Open,High,Low,Close,Volume,OpenInt
2016-03-03,52,52,52,52,9795,0
2016-03-04,52,52,52,52,174063,0
2016-03-07,52,52,50,51,112217,0
2016-03-08,51,51,49,49.5,145617,0
2016-03-09,51.5,51.5,51.5,51.5,54897,0
2016-03-10,51.5,51.5,50,50.5,35743,0
2016-03-11,50.5,52,49,51,53928,0
2016-03-14,51,51,51,51,116994,0
2016-03-15,51,51,49,51,24754,0
2016-03-16,51,51,51,51,54680,0
2016-03-17,51.5,51.5,51.5,51.5,269117,0
2016-03-18,51.5,51.5,50,51.5,157656,0
2016-03-21,51.5,53,50.2,51.5,34668,0
2016-03-22,51.5,51.5,48.3,49.5,60455,0
2016-03-23,49.5,50,47.5,49,176525,0
2016-03-24,49,49,48,49,227285,0
2016-03-29,49,50,48.75,49.5,186880,0
2016-03-30,49.5,49.985,49,49.5,119716,0
2016-03-31,49.5,49.885,48,49,748750,0
2016-04-01,49,49.6,48,49,292442,0
2016-04-04,49,49,44.5,44.5,518807,0
2016-04-05,46,49,45,47,325559,0
2016-04-06,49,56,47,56,15992359,0
2016-04-07,56,57,52,54,1894969,0
2016-04-08,54,54.75,53,54.5,796648,0
2016-04-11,54.5,54.9,54,54,397481,0
2016-04-12,54,57.9,53,54.5,186577,0
2016-04-13,54.5,55,53.75,54.5,98332,0
2016-04-14,54.5,58,53.75,55.5,277528,0
2016-04-15,55.5,59,55,57.5,103833,0
2016-04-18,58,60.5,56,57,436436,0
2016-04-19,57,58,56,57,754750,0
2016-04-20,57,60.64,57,60,1600671,0
2016-04-21,60,60.2,58,59,131694,0
2016-04-22,59,59.75,58,59.5,5193785,0
2016-04-25,59.5,61,58,59.5,6594779,0
2016-04-26,59.5,59.9,58.5,59,27886,0
2016-04-27,59,63,58.25,63,2067451,0
2016-04-28,59.5,60.5,58.5,59.5,139127,0
2016-04-29,59.5,61,58.5,60,207797,0
2016-05-03,59.5,60.5,59,60,246478,0
2016-05-04,60,60,59,60,31372,0
2016-05-05,60,60,59,60,1205717,0
2016-05-06,59.5,59.5,59,59.5,821106,0
2016-05-09,59.5,59.5,59,59.5,68985,0
2016-05-10,59.5,60,59,59,307909,0
2016-05-11,60,60.25,59,60.25,310500,0
2016-05-12,60,61,59,60,353598,0
2016-05-13,60,60,59,59.5,262635,0
2016-05-16,59.5,60,59,60,385594,0
2016-05-17,60,60.4,59,59.75,56810,0
2016-05-18,59.75,60.4,59,59.75,419354,0
2016-05-19,59.75,60.5,59.3,60,1082999,0
2016-05-20,60,64,60,62.5,56108,0
2016-05-23,62.5,63,59.75,61,145911,0
2016-05-24,60.5,62,60,60.5,23784,0
2016-05-25,60.5,62,59,61,229491,0
2016-05-26,61.5,61.5,60,61,218173,0
2016-05-27,61,61.5,60,60.5,159546,0
2016-05-31,60.5,63.4,60.5,63,60372,0
2016-06-01,65.5,67.8171,64.3,66,624663,0
2016-06-02,66,66.6,66,66,122031,0
2016-06-03,66,70,66,68.5,449205,0
2016-06-06,68.5,74,67,68.5,330689,0
