Date,Open,High,Low,Close,Volume,OpenInt
2015-06-09,944.48,944.48,944.48,944.48,7,0
2015-06-29,927.2,927.2,927.2,927.2,9604,0
2015-07-20,927.2,927.2,882.12,882.12,9604,0
2015-07-22,875.75,875.75,875.75,875.75,1202,0
2015-11-16,861.74,861.74,750.38,750.38,101354,0
2015-12-24,725.16,725.16,725.16,725.16,0,0
2015-12-29,726.44,726.44,726.44,726.44,0,0
2015-12-30,721.05,721.05,721.05,721.05,0,0
2015-12-31,720.765,720.765,720.765,720.765,0,0
2016-01-04,714.98,714.98,714.98,714.98,0,0
2016-01-05,714.21,714.21,714.21,714.21,0,0
2016-01-06,703.37,703.37,703.37,703.37,0,0
2016-01-07,703.73,703.73,703.73,703.73,0,0
2016-01-08,694.105,694.105,694.105,694.105,0,0
2016-01-11,680.84,680.84,680.84,680.84,0,0
2016-01-12,875.75,875.75,671.795,671.795,101354,0
2016-01-13,673.255,673.255,673.255,673.255,0,0
2016-01-14,672.805,672.805,672.805,672.805,0,0
2016-01-15,664.125,664.125,664.125,664.125,0,0
2016-01-18,661.235,661.235,661.235,661.235,0,0
2016-01-19,665.63,665.63,665.63,665.63,0,0
2016-01-20,649.18,649.18,649.18,649.18,0,0
2016-01-21,875.75,875.75,661.24,661.24,101354,0
2016-01-22,676.08,676.08,676.08,676.08,0,0
2016-01-25,671.785,671.785,671.785,671.785,0,0
2016-01-26,681.02,681.02,681.02,681.02,0,0
2016-01-27,685.925,685.925,685.925,685.925,0,0
2016-01-28,690.92,690.92,690.92,690.92,0,0
2016-01-29,695.02,695.02,695.02,695.02,0,0
2016-02-01,690.955,690.955,690.955,690.955,0,0
2016-02-02,681.305,681.305,681.305,681.305,0,0
2016-02-03,690.07,690.07,690.07,690.07,0,0
2016-02-04,694.755,694.755,694.755,694.755,0,0
2016-02-05,690.34,690.34,690.34,690.34,0,0
2016-02-08,687.46,687.46,687.46,687.46,0,0
2016-02-09,672.485,672.485,672.485,672.485,0,0
2016-02-10,664.495,664.495,664.495,664.495,0,0
2016-02-11,662.98,662.98,662.33,662.33,7,0
2016-02-12,679.865,679.865,679.865,679.865,0,0
2016-02-15,683.67,683.67,683.67,683.67,0,0
2016-02-16,675.55,675.55,675.55,675.55,0,0
2016-02-17,689.19,689.19,689.19,689.19,0,0
2016-02-18,688.58,688.58,688.58,688.58,0,0
2016-02-19,680.23,680.23,680.23,680.23,0,0
2016-02-22,694.235,694.235,694.235,694.235,0,0
2016-02-23,682.37,682.37,682.37,682.37,0,0
2016-02-24,681.995,681.995,681.995,681.995,0,0
2016-02-25,683.82,683.82,683.82,683.82,0,0
2016-02-26,695.245,695.245,695.245,695.245,0,0
2016-02-29,697.05,697.05,697.05,697.05,0,0
2016-03-01,696.92,696.92,696.92,696.92,0,0
2016-03-02,704.79,704.79,704.79,704.79,0,0
2016-03-03,705.835,705.835,705.835,705.835,0,0
2016-03-04,719.535,719.535,719.535,719.535,0,0
2016-03-07,731.38,731.38,731.38,731.38,0,0
2016-03-08,726.805,726.805,726.805,726.805,0,0
2016-03-09,733.625,733.625,733.625,733.625,0,0
2016-03-10,726.465,726.465,726.465,726.465,0,0
2016-03-11,738.595,738.595,738.595,738.595,0,0
2016-03-14,729.49,729.49,729.49,729.49,0,0
2016-03-15,724.125,724.125,724.125,724.125,0,0
2016-03-16,733.045,733.045,733.045,733.045,0,0
2016-03-17,747.325,747.325,747.325,747.325,0,0
2016-03-18,745.7,745.7,745.7,745.7,0,0
2016-03-21,747.155,747.155,747.155,747.155,0,0
2016-03-22,749.18,749.18,749.18,749.18,0,0
2016-03-23,738.695,738.695,738.695,738.695,0,0
2016-03-24,735.09,735.09,735.09,735.09,0,0
2016-03-29,726.455,726.455,726.455,726.455,0,0
2016-03-30,732.115,732.115,732.115,732.115,0,0
2016-03-31,731.38,731.38,731.38,731.38,0,0
2016-04-01,717.72,717.72,717.72,717.72,0,0
2016-04-04,712.395,712.395,712.395,712.395,0,0
2016-04-05,706.285,706.285,706.285,706.285,0,0
2016-04-06,713.015,713.015,713.015,713.015,0,0
2016-04-07,706.555,706.555,706.555,706.555,0,0
2016-04-08,726.125,726.125,726.125,726.125,0,0
2016-04-11,729.03,729.03,729.03,729.03,0,0
2016-04-12,742.03,742.03,742.03,742.03,0,0
2016-04-13,745.4,745.4,745.4,745.4,0,0
2016-04-14,745.845,745.845,745.845,745.845,0,0
2016-04-15,737.525,737.525,737.525,737.525,0,0
2016-04-18,742.57,742.57,742.57,742.57,0,0
2016-04-19,757.24,757.24,757.24,757.24,0,0
2016-04-20,764.12,764.12,764.12,764.12,0,0
2016-04-21,771.26,771.26,771.26,771.26,0,0
2016-04-22,771.93,771.93,771.93,771.93,0,0
2016-04-25,770.7,770.7,770.7,770.7,0,0
2016-04-26,772.665,772.665,772.665,772.665,0,0
2016-04-27,772.775,772.775,772.775,772.775,0,0
2016-04-28,784.04,784.04,784.04,784.04,0,0
2016-04-29,787.525,787.525,787.525,787.525,0,0
2016-05-03,770.45,770.45,770.45,770.45,0,0
2016-05-04,771.405,771.405,771.405,771.405,0,0
2016-05-05,768.845,768.845,768.845,768.845,0,0
2016-05-06,772.445,772.445,772.445,772.445,0,0
2016-05-09,754.555,754.555,754.555,754.555,0,0
2016-05-10,762.79,762.79,762.79,762.79,0,0
2016-05-11,781.515,781.515,781.515,781.515,0,0
2016-05-12,776.61,776.61,776.61,776.61,0,0
2016-05-13,781.015,781.015,781.015,781.015,0,0
2016-05-16,786.005,786.005,786.005,786.005,0,0
2016-05-17,791.515,791.515,791.515,791.515,0,0
2016-05-18,792.05,792.05,792.05,792.05,0,0
2016-05-19,778.105,778.105,778.105,778.105,0,0
2016-05-20,785.935,785.935,785.935,785.935,0,0
2016-05-23,780.355,780.355,780.355,780.355,0,0
2016-05-24,785.425,785.425,785.425,785.425,0,0
2016-05-25,786.075,786.075,786.075,786.075,0,0
2016-05-26,792.705,792.705,792.705,792.705,0,0
2016-05-27,794.87,794.87,794.87,794.87,0,0
2016-05-31,797.735,797.735,797.735,797.735,0,0
2016-06-01,793.095,793.095,793.095,793.095,0,0
2016-06-02,799.475,799.475,799.475,799.475,0,0
2016-06-03,803.84,803.84,803.84,803.84,0,0
2016-06-06,814.66,814.66,814.66,814.66,0,0
2016-06-07,662.98,814.26,662.98,814.26,7,0
2016-06-08,830.1,830.1,830.1,830.1,0,0
2016-06-09,827.315,827.315,827.315,827.315,0,0
2016-06-10,822.97,822.97,822.97,822.97,0,0
2016-06-13,824.62,824.62,824.62,824.62,0,0
2016-06-14,812.89,812.89,812.89,812.89,0,0
2016-06-15,817.765,817.765,817.765,817.765,0,0
2016-06-16,662.98,804.25,662.98,804.25,7,0
2016-06-17,810.86,810.86,810.86,810.86,0,0
2016-06-20,662.98,824.785,662.98,824.785,7,0
2016-06-21,817.06,817.06,817.06,817.06,0,0
2016-06-22,818.855,818.855,818.855,818.855,0,0
2016-06-23,819.455,819.455,819.455,819.455,0,0
2016-06-24,805.285,805.285,805.285,805.285,0,0
2016-06-27,799.445,799.445,799.445,799.445,0,0
2016-06-28,812.925,812.925,812.925,812.925,0,0
2016-06-29,828.355,828.355,828.355,828.355,0,0
2016-06-30,822.215,822.215,822.215,822.215,0,0
2016-07-01,821,827.435,821,827.435,66,0
2016-07-04,829.82,829.82,829.82,829.82,0,0
2016-07-05,807.89,807.89,807.89,807.89,0,0
2016-07-06,803.42,803.42,803.42,803.42,0,0
2016-07-07,800.855,800.855,800.855,800.855,0,0
2016-07-08,798.1,798.1,798.1,798.1,0,0
2016-07-11,803.24,803.24,803.24,803.24,0,0
2016-07-12,809.56,809.56,809.56,809.56,0,0
2016-07-13,809.14,809.14,809.14,809.14,0,0
2016-07-14,815.715,815.715,815.715,815.715,0,0
2016-07-15,809.34,809.34,809.34,809.34,0,0
2016-07-18,802.205,802.205,802.205,802.205,0,0
2016-07-19,802.88,802.88,802.88,802.88,0,0
2016-07-20,799.445,799.445,799.445,799.445,0,0
2016-07-21,797.015,797.015,797.015,797.015,0,0
2016-07-22,784.62,784.62,784.62,784.62,0,0
2016-07-25,783.21,783.21,783.21,783.21,0,0
2016-07-26,780.955,780.955,780.955,780.955,0,0
2016-07-27,775.675,775.675,775.675,775.675,0,0
2016-07-28,772.015,772.015,772.015,772.015,0,0
2016-07-29,775.395,775.395,775.395,775.395,0,0
2016-08-01,768.52,768.52,768.52,768.52,0,0
2016-08-02,764.79,764.79,764.79,764.79,0,0
2016-08-03,768.63,768.63,768.63,768.63,0,0
2016-08-04,770.54,770.54,770.54,770.54,0,0
2016-08-05,772.49,772.49,772.49,772.49,0,0
2016-08-08,782.75,782.75,782.75,782.75,0,0
2016-08-09,783.22,783.22,783.22,783.22,0,0
2016-08-10,777.215,777.215,777.215,777.215,0,0
2016-08-11,784.91,784.91,784.91,784.91,0,0
2016-08-12,784.97,784.97,784.97,784.97,0,0
2016-08-15,795.865,795.865,795.865,795.865,0,0
2016-08-16,801.645,801.645,801.645,801.645,0,0
2016-08-17,802.02,802.02,802.02,802.02,0,0
2016-08-18,810.3,810.3,810.3,810.3,0,0
2016-08-19,808.6,808.6,808.6,808.6,0,0
2016-08-22,803.665,803.665,803.665,803.665,0,0
2016-08-23,806.245,806.245,806.245,806.245,0,0
2016-08-24,794.86,794.86,794.86,794.86,0,0
2016-08-25,794.9,794.9,794.9,794.9,0,0
2016-08-26,797.22,797.22,797.22,797.22,0,0
2016-08-30,782.24,782.24,782.24,782.24,0,0
2016-08-31,773.98,773.98,773.98,773.98,0,0
2016-09-01,766.945,766.945,766.945,766.945,0,0
2016-09-02,775.16,775.16,775.16,775.16,0,0
2016-09-05,776.86,776.86,776.86,776.86,0,0
2016-09-06,775.015,775.015,775.015,775.015,0,0
2016-09-07,780.95,780.95,780.95,780.95,0,0
2016-09-08,794.215,794.215,794.215,794.215,0,0
2016-09-09,790.19,790.19,790.19,790.19,0,0
2016-09-12,787.805,787.805,787.805,787.805,0,0
2016-09-13,776.24,776.24,776.24,776.24,0,0
2016-09-14,775.235,775.235,775.235,775.235,0,0
2016-09-15,776.92,776.92,776.92,776.92,0,0
2016-09-16,779.305,779.305,779.305,779.305,0,0
2016-09-19,785.665,785.665,785.665,785.665,0,0
2016-09-20,786.855,786.855,786.855,786.855,0,0
2016-09-21,789.63,789.63,789.63,789.63,0,0
2016-09-22,800.575,800.575,800.575,800.575,0,0
2016-09-23,794.34,794.34,794.34,794.34,0,0
2016-09-26,794.765,794.765,794.765,794.765,0,0
2016-09-27,783.765,783.765,783.765,783.765,0,0
2016-09-28,790.05,790.05,790.05,790.05,0,0
2016-09-29,803.85,803.85,803.85,803.85,0,0
2016-09-30,803.76,803.76,803.76,803.76,0,0
2016-10-03,804.02,804.02,804.02,804.02,0,0
2016-10-04,809.27,809.27,809.27,809.27,0,0
2016-10-05,812.285,812.285,812.285,812.285,0,0
2016-10-06,810.07,810.07,810.07,810.07,0,0
2016-10-07,813.505,813.505,813.505,813.505,0,0
2016-10-10,819.725,819.725,819.725,819.725,0,0
2016-10-11,813.335,813.335,813.335,813.335,0,0
2016-10-12,812.42,812.42,812.42,812.42,0,0
2016-10-13,808.65,808.65,808.65,808.65,0,0
2016-10-14,808.65,808.65,808.65,808.65,0,0
2016-10-17,808.65,808.65,808.65,808.65,0,0
2016-10-18,813.735,813.735,813.735,813.735,0,0
2016-10-19,813.735,813.735,813.735,813.735,0,0
2016-10-20,809.5,809.5,809.5,809.5,0,0
2016-10-21,811.12,811.12,811.12,811.12,0,0
2016-10-24,814.34,814.34,812.83,812.83,75,0
2016-10-25,816.23,816.23,816.23,816.23,0,0
2016-10-26,815.85,815.85,815.85,815.85,0,0
2016-10-27,820.085,820.085,820.085,820.085,0,0
2016-10-28,819.935,819.935,819.935,819.935,0,0
2016-10-31,810.42,810.42,810.42,810.42,0,0
2016-11-01,803.34,803.34,803.34,803.34,0,0
2016-11-02,796.69,796.69,796.69,796.69,0,0
2016-11-03,797.405,797.405,797.405,797.405,0,0
2016-11-04,795.715,795.715,795.715,795.715,0,0
2016-11-07,800.335,800.335,800.335,800.335,0,0
2016-11-08,809.47,809.47,809.47,809.47,0,0
2016-11-09,812.67,812.67,812.67,812.67,0,0
2016-11-10,814.915,814.915,814.915,814.915,0,0
2016-11-11,800.445,800.445,800.445,800.445,0,0
2016-11-14,796.65,796.65,796.65,796.65,0,0
2016-11-15,805.38,805.38,805.38,805.38,0,0
2016-11-16,803.53,803.53,803.53,803.53,0,0
2016-11-17,804.05,804.05,804.05,804.05,0,0
2016-11-18,802.35,802.35,802.35,802.35,0,0
2016-11-21,822.52,822.52,822.52,822.52,0,0
2016-11-22,824.49,824.49,824.49,824.49,0,0
2016-11-23,829.67,829.67,829.67,829.67,0,0
2016-11-24,835.06,835.06,835.06,835.06,0,0
2016-11-25,829.65,829.65,829.65,829.65,0,0
2016-11-28,839.665,839.665,839.665,839.665,0,0
2016-11-29,817.98,817.98,817.98,817.98,0,0
2016-11-30,832.28,832.28,832.28,832.28,0,0
2016-12-01,843.805,843.805,843.805,843.805,0,0
2016-12-02,842.73,842.73,842.73,842.73,0,0
2016-12-05,853.555,853.555,853.555,853.555,0,0
2016-12-06,852.635,852.635,852.635,852.635,0,0
2016-12-07,848.03,848.03,848.03,848.03,0,0
2016-12-08,841.98,841.98,841.98,841.98,0,0
2016-12-09,848.155,848.155,848.155,848.155,0,0
2016-12-12,853.575,853.575,853.575,853.575,0,0
2016-12-13,850.78,850.78,850.78,850.78,0,0
2016-12-14,849.46,849.46,849.46,849.46,0,0
2016-12-15,842.76,842.76,842.76,842.76,0,0
2016-12-16,844.97,844.97,844.97,844.97,0,0
2016-12-19,837.92,837.92,837.92,837.92,0,0
2016-12-20,839.995,839.995,839.995,839.995,0,0
2016-12-21,839.595,839.595,839.595,839.595,0,0
2016-12-22,838.22,838.22,838.22,838.22,0,0
2016-12-23,833.18,833.18,833.18,833.18,0,0
2016-12-28,843.855,843.855,843.855,843.855,0,0
2016-12-29,845.14,845.14,845.14,845.14,0,0
2016-12-30,845.41,845.41,845.41,845.41,0,0
2017-01-03,842.13,842.13,842.13,842.13,0,0
2017-01-04,848.41,848.41,848.41,848.41,0,0
2017-01-05,850.54,850.54,850.54,850.54,0,0
2017-01-06,852.875,852.875,852.875,852.875,0,0
2017-01-09,848.185,848.185,848.185,848.185,0,0
2017-01-10,853.255,853.255,853.255,853.255,0,0
2017-01-11,854.635,854.635,854.635,854.635,0,0
2017-01-12,863.11,863.11,863.11,863.11,0,0
2017-01-13,867.9,867.9,867.9,867.9,0,0
2017-01-16,867.22,867.22,867.22,867.22,0,0
2017-01-17,869.56,869.56,869.56,869.56,0,0
2017-01-18,868.315,868.315,868.315,868.315,0,0
2017-01-19,865.145,865.145,865.145,865.145,0,0
2017-01-20,868.07,868.07,868.07,868.07,0,0
2017-01-23,870.08,870.08,870.08,870.08,0,0
2017-01-24,875.345,875.345,875.345,875.345,0,0
2017-01-25,871.52,871.52,871.52,871.52,0,0
2017-01-26,868.545,868.545,868.545,868.545,0,0
2017-01-27,863.6,863.6,863.6,863.6,0,0
2017-01-30,857.945,857.945,857.945,857.945,0,0
2017-01-31,867.36,867.36,867.36,867.36,0,0
2017-02-01,870.56,870.56,870.56,870.56,0,0
2017-02-02,872.685,872.685,872.685,872.685,0,0
2017-02-03,869.81,869.81,869.81,869.81,0,0
2017-02-06,870.57,870.57,870.57,870.57,0,0
2017-02-07,814.34,864.445,814.34,864.445,75,0
2017-02-08,870.6,870.6,870.6,870.6,0,0
2017-02-09,871.21,871.21,871.21,871.21,0,0
2017-02-10,883.13,883.13,883.13,883.13,0,0
2017-02-13,877.87,877.87,877.87,877.87,0,0
2017-02-14,877.37,877.37,877.37,877.37,0,0
2017-02-15,879.855,879.855,879.855,879.855,0,0
2017-02-16,875.115,875.115,875.115,875.115,0,0
2017-02-17,868.98,868.98,868.98,868.98,0,0
2017-02-20,875.375,875.375,875.375,875.375,0,0
2017-02-21,875.28,875.28,875.28,875.28,0,0
2017-02-22,869.39,869.39,869.39,869.39,0,0
2017-02-23,865.735,865.735,865.735,865.735,0,0
2017-02-24,865.04,865.04,865.04,865.04,0,0
2017-02-27,864.59,864.59,864.59,864.59,0,0
2017-02-28,865.165,865.165,865.165,865.165,0,0
2017-03-01,872.18,872.18,872.18,872.18,0,0
2017-03-02,865.375,865.375,865.375,865.375,0,0
2017-03-03,861.455,861.455,861.455,861.455,0,0
2017-03-06,863.6,863.6,863.6,863.6,0,0
2017-03-07,854.665,854.665,854.665,854.665,0,0
2017-03-08,850.7,850.7,850.7,850.7,0,0
2017-03-09,833.915,833.915,833.915,833.915,0,0
2017-03-10,830.15,830.15,830.15,830.15,0,0
2017-03-13,832.475,832.475,832.475,832.475,0,0
2017-03-14,826.155,826.155,826.155,826.155,0,0
2017-03-15,832.42,832.42,832.42,832.42,0,0
2017-03-16,834.655,834.655,834.655,834.655,0,0
2017-03-17,835.33,835.33,835.33,835.33,0,0
2017-03-20,836.92,836.92,836.92,836.92,0,0
2017-03-21,831.495,831.495,831.495,831.495,0,0
2017-03-22,828.305,828.305,828.305,828.305,0,0
2017-03-23,828.595,828.595,828.595,828.595,0,0
2017-03-24,828.315,828.315,828.315,828.315,0,0
2017-03-27,824.035,824.035,824.035,824.035,0,0
2017-03-28,814.34,833.045,814.34,833.045,75,0
2017-03-29,837.01,837.01,837.01,837.01,0,0
2017-03-30,840.965,840.965,840.965,840.965,0,0
2017-03-31,835.58,835.58,835.58,835.58,0,0
2017-04-03,834.215,834.215,834.215,834.215,0,0
2017-04-04,836.83,836.83,836.83,836.83,0,0
2017-04-05,841.79,841.79,841.79,841.79,0,0
2017-04-06,841.865,841.865,841.865,841.865,0,0
