Date,Open,High,Low,Close,Volume,OpenInt
2016-05-27,81.5,107,81.5,105.5,269264,0
2016-05-31,105.5,123,105.5,121.5,754502,0
2016-06-01,121.5,152,121.5,150,805263,0
2016-06-02,152.5,156,152.5,156,231400,0
2016-06-03,156,165,155.25,162.5,119152,0
2016-06-06,163.5,187,163.5,185,310799,0
2016-06-07,185,215.25,180,205,425248,0
2016-06-08,198.5,214,174,180,257163,0
2016-06-09,178,182,165,176,260858,0
2016-06-10,176,180,172,176,13447,0
2016-06-13,176,180,170,178,14849,0
2016-06-14,178,178,160,162.5,43703,0
2016-06-15,162.5,163,161,163,7170,0
2016-06-16,162,162,146.5,146.5,30477,0
2016-06-17,146.5,146.5,135,135,30618,0
2016-06-20,135,146,135,146,98832,0
2016-06-21,142,144,138,141,6827,0
2016-06-22,143.5,143.5,143.5,143.5,0,0
2016-06-23,143.5,153,143.5,153,50225,0
2016-06-24,139.5,147,130,145,50317,0
2016-06-27,141,145,128,138,58694,0
2016-06-28,138.5,139,138.5,139,10620,0
2016-06-29,139,155,139,153,14454,0
2016-06-30,156,175,152,169,56759,0
2016-07-01,169,170,165,166.5,25048,0
2016-07-04,166.5,167,156,158.5,16765,0
2016-07-05,158.5,162,158.5,160,530,0
2016-07-06,158.5,161,158.5,159,12960,0
2016-07-07,158.5,160,156.5,156.5,87185,0
2016-07-08,156.5,156.5,155,156.5,1755,0
2016-07-11,156.5,156.5,145,148.5,8647,0
2016-07-12,148.5,148.5,145,148.5,25964,0
2016-07-13,150.5,164,150,158.5,39542,0
2016-07-14,158.5,160,153,155,12652,0
2016-07-15,159,159.5,155,159,14891,0
2016-07-18,158,158,156,158,1600,0
2016-07-19,158,163,155,159,16570,0
2016-07-20,159,160,159,159,4333,0
2016-07-21,159,162,154,159,15720,0
2016-07-22,159,159,155,159,24844,0
2016-07-25,159,162,159,159,6000,0
2016-07-26,159,166,158,159,27272,0
2016-07-27,159,159,159,159,1430,0
2016-07-28,159,164,159,161,17000,0
2016-07-29,161,164,161,162,72236,0
2016-08-01,162,162,160.4,161,1500,0
2016-08-02,161,162,160,161,7662,0
2016-08-03,161,162,151,151,19008,0
2016-08-04,151,151,151,151,0,0
2016-08-05,151,151,151,151,0,0
2016-08-08,151,151,151,151,0,0
2016-08-09,151,153,148,149.5,14000,0
2016-08-10,149.5,149.5,148,148.5,1000,0
2016-08-11,148.5,150,148.5,148.5,28250,0
2016-08-12,148.5,150.5,148.5,150.5,1000,0
2016-08-15,150.5,152,150.5,152,627,0
2016-08-16,152,152,150,150,11800,0
2016-08-17,150,152,150,151,10000,0
2016-08-18,150.5,154,150,150,2000,0
2016-08-19,150.5,152,147,148.5,5300,0
2016-08-22,148.5,150,148,150,52750,0
2016-08-23,148.5,150,143,143,18986,0
2016-08-24,149.5,154,148,148.5,40200,0
2016-08-25,148.5,151,147,147.5,1142,0
2016-08-26,148.5,148.5,148.5,148.5,0,0
2016-08-30,148.5,150,148.5,148.5,2000,0
2016-08-31,148.5,150,147,148.5,5106,0
2016-09-01,148.5,148.5,147,148,7030,0
2016-09-02,147,147.5,147,147.5,1616,0
2016-09-05,147.5,148,140,142.5,4434,0
2016-09-06,142.5,142.5,140,141.5,3000,0
2016-09-07,141.5,145,141.5,141.5,299,0
2016-09-08,141.5,141.5,141.5,141.5,0,0
2016-09-09,141.5,143,140.5,140.5,31500,0
2016-09-12,140.5,145,140.5,142.5,6004,0
2016-09-13,142.5,143.5,142.5,143.5,11444,0
2016-09-14,143.5,145,143.5,143.5,7600,0
2016-09-15,143.5,143.5,139.5,139.5,5704,0
2016-09-16,139.5,139.5,139.5,139.5,0,0
2016-09-19,139.5,139.5,135,137.5,5189,0
2016-09-20,136.5,136.5,136.5,136.5,0,0
2016-09-21,135.5,136,133,133,22663,0
2016-09-22,132.5,132.5,132.5,132.5,0,0
2016-09-23,132.5,132.5,131,132.5,3000,0
2016-09-26,132.5,134.5,130,132.5,2185,0
2016-09-27,132.5,136,130,130,110500,0
2016-09-28,131,132,130,131,74521,0
2016-09-29,131,131.5,131,131,200,0
2016-09-30,131,132,130.5,130.5,800,0
2016-10-03,130.5,131,120,120,1723,0
2016-10-04,128,131,120,120,1453,0
2016-10-05,127.5,130,127.5,130,6549,0
2016-10-06,127.5,129,125,125,7300,0
2016-10-07,125,125,123,123,5000,0
2016-10-10,123,123.75,122,122.5,13700,0
2016-10-11,122.5,123,121,121,29750,0
2016-10-12,121,122,120,121,3750,0
2016-10-13,121,121,121,121,0,0
2016-10-14,121,122,120.5,121,2991,0
2016-10-17,121,121,121,121,0,0
2016-10-18,115,119.7,115,118.5,13175,0
2016-10-19,118.5,118.5,117.5,118.5,13177,0
2016-10-20,118.5,118.5,117,118.5,45000,0
2016-10-21,118.5,120,115,115,8800,0
2016-10-24,115,120,110,115,796,0
2016-10-25,115,119,115,118,100,0
2016-10-26,118,118,114,114,31000,0
2016-10-27,114,115,112.5,112.5,58000,0
2016-10-28,112.5,115,112.5,115,2608,0
2016-10-31,117,117,117,117,0,0
2016-11-01,117,117,117,117,0,0
2016-11-02,117,121,117,121,3122,0
2016-11-03,121.5,123,121.5,122.5,7550,0
2016-11-04,122.5,122.5,122.5,122.5,0,0
2016-11-07,122.5,122.5,122.5,122.5,0,0
2016-11-08,122.5,122.75,122.5,122.5,16000,0
2016-11-09,124.5,124.5,124.5,124.5,0,0
2016-11-10,124.5,125,124.5,124.5,1600,0
2016-11-11,124.5,126,124.5,124.75,8780,0
2016-11-14,124.75,124.75,124.75,124.75,0,0
2016-11-15,124.75,124.75,124.75,124.75,0,0
2016-11-16,124.75,130,124.75,129,7300,0
2016-11-17,129,130,129,129,37400,0
2016-11-18,132.5,132.5,132.5,132.5,0,0
2016-11-21,132.5,132.5,125.5,125.5,20000,0
2016-11-22,132.5,132.5,121,122,21500,0
2016-11-23,121,121,110,112.5,3325,0
2016-11-24,112.5,116.4,110,115,836,0
2016-11-25,115,115,115,115,0,0
2016-11-28,115,119,115,116.5,3562,0
2016-11-29,116.5,116.5,110,112,27866,0
2016-11-30,112,113.5,112,112,29000,0
2016-12-01,112,112,109.5,109.5,800,0
2016-12-02,106,109,106,108.5,998,0
2016-12-05,110,110,110,110,0,0
2016-12-06,110,111,110,110,42549,0
2016-12-07,110,110,110,110,0,0
2016-12-08,110,110,109,110,100,0
2016-12-09,110,115,110,114,10985,0
2016-12-12,114,119,114,119,1740,0
2016-12-13,122.5,125,120,123.5,26062,0
2016-12-14,123.5,127,123.5,124,11000,0
2016-12-15,124,126,123,123,7150,0
2016-12-16,123,123,123,123,0,0
2016-12-19,123,126,123,126,3000,0
2016-12-20,123,124,121,123,4356,0
2016-12-21,124,126.75,121,122,16500,0
2016-12-22,122,124,122,124,1000,0
2016-12-23,122,122,122,122,13333,0
2016-12-28,122,125,122,122,7850,0
2016-12-29,122,122,122,122,100,0
2016-12-30,122,122,122,122,0,0
2017-01-03,122,124,120,121.5,17700,0
2017-01-04,121.5,123,120,121.5,37094,0
2017-01-05,121.5,121.5,120,121.5,8235,0
2017-01-06,121.5,121.5,121.5,121.5,0,0
2017-01-09,121.5,124,121.5,124,17150,0
2017-01-10,121.5,122.95,120,121.5,44873,0
2017-01-11,122.5,124.5,121,122.5,4437,0
2017-01-12,122.5,125,118,122.5,22200,0
2017-01-13,122.5,122.5,122.5,122.5,0,0
2017-01-16,122.5,126,122.5,123,4240,0
2017-01-17,123,126,123,123,357,0
2017-01-18,123,123,120.5,120.5,3500,0
2017-01-19,120.5,120.5,120.5,120.5,393,0
2017-01-20,120.5,120.5,120.5,120.5,0,0
2017-01-23,119,124,119,124,2900,0
