Date,Open,High,Low,Close,Volume,OpenInt
2015-03-30,0.8292,0.8292,0.8292,0.8292,40216,0
2015-04-07,0.8292,0.8316,0.8292,0.8308,91807,0
2015-04-09,0.8292,0.8316,0.8292,0.8316,18995,0
2015-04-23,0.837,0.837,0.837,0.837,1900,0
2015-04-29,0.841,0.841,0.841,0.841,759775,0
2015-05-06,0.8572,0.8572,0.8572,0.8572,12396,0
2015-05-07,0.8511,0.8511,0.8511,0.8511,8256,0
2015-05-08,0.8511,0.8511,0.8511,0.8511,5393,0
2015-05-11,0.8492,0.8576,0.8492,0.8492,47352,0
2015-05-14,0.8591,0.8591,0.8591,0.8591,6525,0
2015-05-18,0.8674,0.8674,0.8674,0.8674,9014,0
2015-05-19,0.8623,0.8623,0.8623,0.8623,5393,0
2015-05-27,0.8652,0.8652,0.8652,0.8652,14106,0
2015-06-10,0.8479,0.8479,0.8479,0.8479,3594,0
2015-06-12,0.8552,0.8552,0.8552,0.8552,571674,0
2015-06-17,0.863,0.863,0.863,0.863,11022,0
2015-06-22,0.8572,0.8572,0.8572,0.8572,4958,0
2015-06-26,0.8633,0.8633,0.8633,0.8633,495815,0
2015-07-06,0.8552,0.8633,0.8552,0.8633,462190,0
2015-07-07,0.8874,0.8874,0.8874,0.8874,15188,0
2015-07-13,0.8572,0.8572,0.8572,0.8572,223116,0
2015-07-14,0.8692,0.8692,0.8692,0.8692,15495,0
2015-07-15,0.8652,0.8652,0.8652,0.8652,302447,0
2015-07-20,0.8692,0.8692,0.8583,0.8583,13432,0
2015-07-21,0.8663,0.8663,0.8652,0.8652,99162,0
2015-07-29,0.8591,0.8591,0.8591,0.8591,302447,0
2015-07-30,0.841,0.841,0.841,0.841,295009,0
2015-07-31,0.847,0.8608,0.847,0.8608,166839,0
2015-08-05,0.835,0.835,0.835,0.835,8734,0
2015-08-06,0.8572,0.8572,0.8572,0.8572,4958,0
2015-08-11,0.8511,0.8511,0.8511,0.8511,7312,0
2015-08-12,0.8552,0.8552,0.8552,0.8552,2479,0
2015-08-25,0.8591,0.8591,0.8591,0.8591,698331,0
2015-09-07,0.8567,0.8567,0.8567,0.8567,9298,0
2015-09-16,0.8633,0.8633,0.8633,0.8633,5336,0
2015-09-17,0.8421,0.8421,0.8421,0.8421,6509,0
2015-09-25,0.8591,0.8591,0.8591,0.8591,3719,0
2015-09-28,0.8392,0.8552,0.8392,0.8552,9930,0
2015-09-30,0.8591,0.8591,0.8591,0.8591,6035,0
2015-10-01,0.8351,0.8351,0.8351,0.8351,2815,0
2015-10-05,0.8506,0.8506,0.8506,0.8506,6197,0
2015-10-14,0.847,0.847,0.847,0.847,268087,0
2015-10-16,0.847,0.847,0.847,0.847,10982,0
2015-10-23,0.8552,0.8552,0.8552,0.8552,322280,0
2015-10-27,0.8552,0.8552,0.8552,0.8552,1246972,0
