Date,Open,High,Low,Close,Volume,OpenInt
1995-11-07,37.5,37.5,37.25,37.375,1732388,0
1995-11-08,37.5,38,37.5,37.75,3864756,0
1995-11-09,38,38,37.5,37.5,597008,0
1995-11-10,37.5,38,37,37.25,104800,0
1995-11-13,37,37.125,37,37,24428,0
1995-11-14,36.75,37.125,36.25,36.25,1835448,0
1995-11-15,36.25,36.625,35.5,35.875,1483324,0
1995-11-16,36.625,37,36.375,36.75,378180,0
1995-11-17,37,37.25,36.75,36.75,221280,0
1995-11-20,36.75,37,36.75,37,71964,0
1995-11-21,36.75,37.25,36.75,37.25,60900,0
1995-11-22,36.75,37.25,36.75,37.125,68348,0
1995-11-23,37.25,37.25,36.75,37,21688,0
1995-11-24,36.75,37.25,36.75,36.75,72792,0
1995-11-27,37.25,37.25,36.75,36.875,38772,0
1995-11-28,36.875,37.25,36.25,36.25,758452,0
1995-11-29,36,36.5,36,36.25,312352,0
1995-11-30,36,36,36,36,30540,0
1995-12-01,36,36,36,36,40496,0
1995-12-04,36,36.25,36,36.25,138904,0
1995-12-05,36,36.25,36,36.25,140720,0
1995-12-06,36.25,36.75,36.125,36.125,182336,0
1995-12-07,36.25,36.75,36,36,379204,0
1995-12-08,36.5,36.5,36,36,75192,0
1995-12-11,36,36.25,36,36,59260,0
1995-12-12,36,36.5,36,36.5,24076,0
1995-12-13,36.25,36.25,36,36.125,173740,0
1995-12-14,36.5,36.5,36.25,36.25,20052,0
1995-12-15,36.5,36.5,36.5,36.5,568,0
1995-12-18,36.5,36.5,36.125,36.375,939376,0
1995-12-19,36.5,36.5,36.25,36.25,4568,0
1995-12-20,36.25,36.5,36.25,36.25,7008,0
1995-12-21,36.25,36.5,36.25,36.5,49052,0
1995-12-22,35.75,36.5,35.75,36.5,115200,0
1995-12-27,36.375,36.375,36.375,36.375,60632,0
1995-12-29,36.25,36.5,36.25,36.5,19572,0
1996-01-02,36.25,36.75,36.25,36.25,158512,0
1996-01-03,36,36,36,36,4956,0
1996-01-04,36,36.625,36,36,110760,0
1996-01-05,36,36.75,36,36.75,15968,0
1996-01-08,36.125,36.125,36,36,68432,0
1996-01-09,36,36.5,36,36.5,11564,0
1996-01-10,35.5,35.75,35.5,35.75,4740,0
1996-01-11,35.5,35.75,35.5,35.5,18084,0
1996-01-12,36.25,36.25,35.25,35.25,2616,0
1996-01-15,35.25,35.5,35.25,35.5,14820,0
1996-01-16,35.5,35.5,35.25,35.25,309360,0
1996-01-17,35,35.25,35,35,549768,0
1996-01-18,35.75,35.75,35,35.25,133180,0
1996-01-19,35,35.875,35,35.875,372988,0
1996-01-22,35.5,36.25,35.5,36,157904,0
1996-01-23,36.25,36.75,36,36.75,458468,0
1996-01-24,36.5,36.5,36.5,36.5,8264,0
1996-01-25,36.5,36.5,36.25,36.5,31508,0
1996-01-26,36.815,37,36.25,36.5,119920,0
1996-01-29,36.375,36.625,36.375,36.625,20216,0
1996-01-30,36.5,36.625,36.5,36.625,3393968,0
1996-01-31,36.75,37.25,36.75,37.25,262412,0
1996-02-01,36.5,36.5,36.5,36.5,14268,0
1996-02-02,36.5,36.625,36.5,36.5,1360596,0
1996-02-05,37.5,37.5,37.5,37.5,2068,0
1996-02-06,36.5,37.25,36.5,36.625,631288,0
1996-02-07,36.5,36.5,36.5,36.5,7612,0
1996-02-08,37.25,37.25,37.25,37.25,2504,0
1996-02-09,36.5,36.5,36.5,36.5,4560,0
1996-02-12,36.5,36.75,36.5,36.5,179348,0
1996-02-13,36.5,37,36.5,36.75,90356,0
1996-02-14,36.5,36.5,36.5,36.5,16528,0
1996-02-15,36.5,37,36.5,37,8452,0
1996-02-16,36.5,36.625,36.5,36.625,4776,0
1996-02-19,36.5,37,36.5,37,6004,0
1996-02-20,36.5,36.5,36.5,36.5,8420,0
1996-02-21,37,37,36.5,36.5,4412,0
1996-02-22,37,37,37,37,1212,0
1996-02-23,37,37,36.5,36.5,8244,0
1996-02-26,36.75,36.75,36.5,36.5,304872,0
1996-02-27,36.5,37,36.5,36.5,7532,0
1996-02-28,36.5,36.75,36.5,36.75,13336,0
1996-02-29,37,37.25,37,37.25,481828,0
1996-03-01,38,39,37.5,38.75,368000,0
1996-03-04,39,39.5,38.25,39.5,118776,0
1996-03-05,39.25,39.5,39,39,4448,0
1996-03-06,39.5,39.5,39,39.5,11628,0
