Date,Open,High,Low,Close,Volume,OpenInt
2015-03-04,1184.11,1231.47,1172.74,1217.25,31453,0
2015-03-05,1234.31,1241.88,1213.47,1240.95,13247,0
2015-03-06,1228.62,1242.83,1225.78,1228.62,15919,0
2015-03-09,1207.79,1249.46,1207.79,1240.95,32913,0
2015-03-10,1250.42,1301.57,1234.31,1301.57,41372,0
2015-03-11,1271.24,1297.77,1270.3,1295.88,19637,0
2015-03-12,1305.35,1321.46,1286.41,1316.72,13116,0
2015-03-13,1326.18,1331.87,1304.4,1326.18,26176,0
2015-03-16,1332.82,1338.51,1306.31,1312.93,31489,0
2015-03-17,1338.51,1338.51,1317.67,1326.18,26655,0
2015-03-18,1330.92,1362.19,1326.18,1360.29,26168,0
2015-03-19,1364.08,1364.08,1347.98,1347.98,24347,0
2015-03-20,1364.08,1365.99,1326.18,1327.15,59830,0
2015-03-23,1349.88,1349.88,1298.71,1298.71,22326,0
2015-03-24,1311.04,1320.51,1303.44,1303.44,12795,0
2015-03-25,1311.04,1311.04,1288.29,1297.77,12792,0
2015-03-26,1307.25,1307.25,1269.35,1272.21,8781,0
2015-03-27,1297.77,1297.77,1274.08,1280.91,13272,0
2015-03-30,1276.93,1279.78,1260.83,1275.98,11866,0
2015-03-31,1297.77,1297.77,1239.99,1258.93,40162,0
2015-04-01,1244.73,1246.62,1214.41,1214.41,40178,0
2015-04-02,1250.42,1250.42,1205.27,1210.63,32001,0
2015-04-07,1211.58,1249.46,1209.47,1247.57,89159,0
2015-04-08,1250.42,1276.93,1245.67,1247.57,30933,0
2015-04-09,1245.55,1262.8,1236.93,1254.17,48570,0
2015-04-10,1269.5,1283.88,1242.96,1271.42,23893,0
2015-04-13,1248.42,1271.42,1231.18,1250.35,14359,0
2015-04-14,1237.9,1269.5,1237.9,1265.55,28227,0
2015-04-15,1233.11,1268.55,1231.18,1255.13,24903,0
2015-04-16,1231.18,1269.5,1231.18,1259.92,17936,0
2015-04-17,1235.97,1280.06,1235.97,1264.72,24316,0
2015-04-20,1255.13,1279.09,1255.13,1267.58,13078,0
2015-04-21,1255.13,1268.55,1247.47,1248.42,22352,0
2015-04-22,1240.77,1291.55,1240.77,1289.63,29659,0
2015-04-23,1264.72,1290.09,1264.72,1268.55,31653,0
2015-04-24,1298.26,1299.21,1262.8,1287.71,16029,0
2015-04-27,1265.68,1303.05,1265.68,1301.52,27200,0
2015-04-28,1297.3,1298.26,1269.5,1279.09,18721,0
2015-04-29,1264.72,1284.84,1248.42,1248.42,30304,0
2015-04-30,1226.39,1226.39,1107.58,1107.58,142147,0
2015-05-01,1117.17,1137.3,1101.85,1119.09,60190,0
2015-05-05,1125.8,1135.38,1113.33,1129.62,41768,0
2015-05-06,1125.8,1154.15,1121,1136.32,19698,0
2015-05-07,1135.38,1154.53,1135.38,1154.53,12511,0
2015-05-08,1159.32,1220.64,1157.91,1208.19,160541,0
2015-05-11,1188.06,1241.72,1157.91,1240.77,38216,0
2015-05-12,1209.14,1239.81,1209.14,1233.11,22796,0
2015-05-13,1215.35,1270.47,1215.35,1269.5,34058,0
2015-05-14,1268.55,1303.05,1253.69,1300.16,42530,0
2015-05-15,1303.05,1303.05,1272.52,1291.55,29915,0
2015-05-18,1264.72,1290.58,1264.72,1287.71,8460,0
2015-05-19,1264.72,1291.55,1264.72,1281.01,21624,0
2015-05-20,1255.13,1290.58,1255.13,1267.58,98906,0
2015-05-21,1274.86,1275.26,1257.63,1258,13059,0
