Date,Open,High,Low,Close,Volume,OpenInt
2015-03-04,171.52,171.52,171.12,171.32,55016,0
2015-03-05,171.98,173.44,171.98,173.44,60387,0
2015-03-06,172.86,173.44,172.86,173.44,93136,0
2015-03-09,172.28,172.96,171.89,172.96,56652,0
2015-03-10,171.52,171.52,170.54,170.54,13855,0
2015-03-11,169.78,171.52,169.58,171.42,99623,0
2015-03-12,171.61,173.24,171.32,173.24,109980,0
2015-03-13,173.06,173.34,171.52,172.86,97568,0
2015-03-16,172.86,174.01,172.08,174.01,131470,0
2015-03-17,174.01,174.41,173.44,174.01,164567,0
2015-03-18,174.01,175.37,173.82,175.37,43974,0
2015-03-19,175.75,176.52,174.78,174.78,55365,0
2015-03-20,174.98,176.91,174.98,176.91,70532,0
2015-03-23,176.91,176.91,174.68,175.65,118974,0
2015-03-24,175.46,176.32,175.46,176.32,99094,0
2015-03-25,176.14,176.52,175.18,175.37,259125,0
2015-03-26,174.21,174.21,171.89,173.63,114962,0
2015-03-27,173.91,173.91,172.47,173.91,173605,0
2015-03-30,173.61,175.1,173.61,174.98,313430,0
2015-03-31,174.48,175.37,172.52,174.21,541631,0
2015-04-01,172.79,174.31,172.53,173.91,397162,0
2015-04-02,173.82,175.46,173.82,175.46,230225,0
2015-04-07,174.65,176.91,174.65,176.91,340314,0
2015-04-08,176.67,177.29,176.14,176.91,289896,0
2015-04-09,177.29,178.45,177.11,178.45,169859,0
2015-04-10,178.5,180.18,177.29,180.18,345550,0
2015-04-13,179.31,180.08,178.83,180.08,181876,0
2015-04-14,179.7,179.98,178.83,179.98,150305,0
2015-04-15,179.78,180.28,179.21,180.28,202448,0
2015-04-16,179.98,180.18,178.83,179.89,162723,0
2015-04-17,180.03,180.08,177.67,178.45,255641,0
2015-04-20,178.08,179.41,178.08,178.64,118755,0
2015-04-21,179.59,180.28,179.21,179.6,131641,0
2015-04-22,179.34,179.55,178.06,178.26,97345,0
2015-04-23,179.09,179.41,177.96,178.64,284380,0
2015-04-24,180.16,180.47,178.83,180.38,128085,0
2015-04-27,180.57,180.96,179.6,180.96,174550,0
2015-04-28,180.67,180.69,178.45,178.54,152916,0
2015-04-29,178.71,179.41,177.67,177.67,228094,0
2015-04-30,177.41,177.96,176.51,177.96,212763,0
2015-05-01,177.99,179.21,177.9,179.21,126035,0
2015-05-05,178.93,180.56,178.45,179.13,1228066,0
2015-05-06,179.17,179.7,178.27,179.41,147203,0
2015-05-07,178.68,179.21,177.86,178.83,113982,0
2015-05-08,181.11,184.01,180.73,183.26,370490,0
2015-05-11,183.26,184.03,183.06,183.83,233312,0
2015-05-12,184.03,184.13,181.72,184.13,266306,0
2015-05-13,184.33,186.16,184.23,185,309019,0
2015-05-14,185.97,187.31,184.7,187.12,158863,0
2015-05-15,187.3,188.08,186.73,186.92,161312,0
2015-05-18,187.48,187.89,187.01,187.12,107189,0
2015-05-19,187.82,189.16,187.51,188.27,241449,0
2015-05-20,189.14,191.75,188.61,191.55,592770,0
2015-05-21,191.75,192.29,190.77,192.13,124034,0
2015-05-22,192.22,194.63,192.13,194.63,178115,0
2015-05-26,194.63,194.63,192.71,193.1,171566,0
2015-05-27,192.94,195.6,192.91,195.6,219664,0
2015-05-28,195.6,196.37,194.83,196.37,217891,0
2015-05-29,195.43,197.52,195.41,196.17,167161,0
2015-06-01,197.24,198.3,195.22,195.41,1536888,0
2015-06-02,196.76,196.76,193.68,194.05,308318,0
2015-06-03,195.96,196.16,194.63,195.94,76770,0
2015-06-04,196.52,196.52,193.48,193.68,172610,0
2015-06-05,193.86,193.86,191.93,192.91,173688,0
2015-06-08,193.64,194,191.93,192.13,115963,0
2015-06-09,191.84,192.22,190.4,190.77,164067,0
2015-06-10,192.13,192.61,190.2,191.93,230895,0
2015-06-11,191.84,192.61,191.27,191.93,201440,0
2015-06-12,192.29,193.1,191.55,192.22,372322,0
2015-06-15,191.37,192.71,191.37,192.13,183901,0
2015-06-16,192.22,192.42,189.82,191.17,135081,0
2015-06-17,192.13,193.28,191.39,192.22,134173,0
2015-06-18,192.02,192.02,190.97,191.37,340864,0
2015-06-19,191.93,194.25,191.88,194.25,1809723,0
2015-06-22,193.96,196.37,193.96,196.37,345997,0
2015-06-23,196.95,197.71,196.53,196.76,137878,0
2015-06-24,197.52,198.49,196.75,198.49,169376,0
2015-06-25,198.68,198.88,198.11,198.49,94460,0
2015-06-26,198.88,199.45,198.3,198.88,366546,0
2015-06-29,197.48,201.18,195.6,198.98,168432,0
2015-06-30,198.71,198.71,192.96,194.63,96747,0
2015-07-01,196.56,202.82,196.56,198.98,142144,0
2015-07-02,198.73,204.51,198.73,204.27,67871,0
2015-07-03,203.31,203.31,199.45,199.45,215391,0
2015-07-06,195.12,197.82,194.3,196.07,142185,0
2015-07-07,196.07,199.9,192.71,193.18,163865,0
2015-07-08,192.77,195.36,191.98,193.18,139569,0
2015-07-09,193.42,197.05,193.42,194.87,84762,0
2015-07-10,196.56,202.02,196.56,198.73,129699,0
2015-07-13,199.45,204.27,199.45,200.9,233791,0
2015-07-14,202.29,204.24,200.42,200.42,114229,0
2015-07-15,200.84,202.2,199.45,200.17,123680,0
2015-07-16,203.01,204.51,201.37,202.82,140801,0
2015-07-17,205.22,205.22,202.31,202.35,74493,0
2015-07-20,206.2,209.09,205.22,205.22,235306,0
2015-07-21,207.73,208.13,205.47,205.47,94448,0
2015-07-22,205.35,205.35,198.01,198.01,201650,0
2015-07-23,199.92,200.42,197.52,197.76,335616,0
2015-07-24,198.59,198.62,195.6,197.05,118989,0
2015-07-27,197.38,197.64,194.73,196.07,131132,0
2015-07-28,195.64,199.33,194.63,194.63,176884,0
2015-07-29,196.08,198.01,195.12,198.01,77549,0
2015-07-30,197.37,201.37,196.56,199.2,203481,0
2015-07-31,199.92,199.92,196.82,198.49,138358,0
2015-08-03,198.84,199.85,195.6,197.76,144961,0
2015-08-04,198.21,198.21,195.6,197.7,107969,0
2015-08-05,198.01,201.37,198.01,201.14,68003,0
2015-08-06,199.7,201.36,198.16,199.45,105978,0
2015-08-07,199.7,203.31,199.45,202.35,68834,0
2015-08-10,202.83,205.22,199.45,204.27,127201,0
2015-08-11,205.22,205.22,200.42,200.42,129440,0
2015-08-12,199.45,199.45,195.12,196.56,157831,0
2015-08-13,196.55,200.09,196.55,197.29,185932,0
2015-08-14,199.26,199.7,197.05,198.73,109070,0
2015-08-17,200.2,200.94,197.05,199.51,79188,0
