Date,Open,High,Low,Close,Volume,OpenInt
2015-03-30,285.01,285.01,285.01,285.01,615,0
2015-03-31,285,285,285,285,2500,0
2015-04-01,283.01,283.01,283.01,283.01,9,0
2015-04-07,283.02,283.02,283.01,283.01,882,0
2015-04-09,283,283,283,283,1062,0
2015-04-10,284,284,284,284,352,0
2015-04-15,283,283,283,283,3000,0
2015-04-20,283.01,283.01,283.01,283.01,1000,0
2015-04-21,283,283,283,283,1000,0
2015-04-23,279,279,279,279,177,0
2015-04-28,272.01,278,272.01,278,3645,0
2015-04-30,277.5,277.5,277.5,277.5,2000,0
2015-05-01,272.01,272.01,272.01,272.01,256,0
2015-05-11,276.5,280,276.5,276.5,53,0
2015-05-15,270,274,270,274,1484,0
2015-05-18,276.24,276.24,276.24,276.24,498,0
2015-05-20,270.01,270.01,270.01,270.01,1800,0
2015-05-22,275,275,272.5,272.5,3600,0
2015-05-26,272.04,272.04,272.04,272.04,281,0
2015-05-29,273.02,273.02,273.02,273.02,100,0
2015-06-02,274.01,274.01,274.01,274.01,500,0
2015-06-04,275,275,275,275,1800,0
2015-06-08,278,278,278,278,267,0
2015-06-16,271.01,271.01,271.01,271.01,227,0
2015-06-17,271.01,271.01,271.01,271.01,200,0
2015-06-30,276.95,276.95,276.95,276.95,353,0
2015-07-07,276.95,276.95,270,270,2668,0
2015-07-08,263,263,260,260,3319,0
2015-07-09,266,266,266,266,1000,0
2015-07-10,260,260,260,260,3,0
2015-07-13,260.01,260.01,260.01,260.01,282,0
2015-07-14,260.01,260.01,260.01,260.01,85,0
2015-07-20,267.5,267.5,262,267.5,7138,0
2015-07-21,266,266,265.5,265.5,1800,0
2015-07-23,270,270,270,270,20000,0
2015-07-29,276.25,276.25,276.25,276.25,187,0
2015-07-30,276,276,276,276,20000,0
2015-07-31,280,281,280,281,3500,0
2015-08-03,288,288,288,288,1750,0
2015-08-10,294,294,294,294,80,0
2015-08-14,290.6,290.7,290.6,290.7,1441,0
2015-08-18,290.85,290.9,290.85,290.9,1048,0
2015-08-19,291,291,291,291,2000,0
2015-08-21,291.22,294,291.22,294,2875,0
