Date,Open,High,Low,Close,Volume,OpenInt
2015-03-04,819.44,829.07,810.28,829.07,2884,0
2015-03-06,810.76,810.76,810.76,810.76,102,0
2015-03-10,809.8,809.8,809.8,809.8,28,0
2015-03-11,810.28,810.28,809.8,809.8,508,0
2015-03-13,829.07,829.07,829.07,829.07,3,0
2015-03-16,814.63,815.59,810.28,810.28,1059,0
2015-03-17,819.44,831.96,819.44,823.29,774,0
2015-03-18,823.78,823.78,806.42,809.8,1521,0
2015-03-20,833.9,833.9,833.9,833.9,102,0
2015-03-23,833.9,833.9,814.63,831.96,635,0
2015-03-25,832.46,838.72,832.46,833.42,3001,0
2015-03-27,833.42,838.72,833.42,838.72,1063,0
2015-03-30,828.73,840.64,824.19,829.07,2845,0
2015-03-31,822.33,838.72,819.93,838.72,4763,0
2015-04-01,820.89,833.42,819.44,833.42,4855,0
2015-04-02,828.11,828.11,815.27,815.27,2690,0
2015-04-07,828.84,838.72,812.76,823.29,6576,0
2015-04-08,829.07,835.71,819.93,833.9,8908,0
2015-04-09,822,833.9,819.44,819.44,4885,0
2015-04-10,821.72,832.41,820.08,832.04,2189,0
2015-04-13,820.09,831.9,809.8,809.8,4079,0
2015-04-14,823.63,823.63,820.4,820.4,722,0
2015-04-15,810.28,829.07,810.28,829.07,2284,0
2015-04-16,815.34,815.34,815.34,815.34,454,0
2015-04-17,816.71,816.71,809.8,809.8,2408,0
2015-04-20,823.43,823.43,809.8,809.8,998,0
2015-04-21,821.95,821.95,809.8,809.8,1010,0
2015-04-22,822.1,824.25,811.72,811.72,2072,0
2015-04-23,822.01,822.1,812.14,812.14,1546,0
2015-04-24,823.29,824.69,823.29,824.25,762,0
2015-04-27,823.29,840.64,820.06,836.31,5484,0
2015-04-28,820.06,836.31,820.06,824.25,3000,0
2015-04-29,822.17,829.18,820.89,822.32,6965,0
2015-04-30,829.18,829.18,820.89,820.89,763,0
2015-05-01,829.18,829.18,819.44,819.44,327,0
2015-05-05,829.18,829.18,820.89,820.89,1343,0
2015-05-06,820.89,828.88,820.89,820.89,3907,0
2015-05-07,819.56,829.32,816.55,816.55,1618,0
2015-05-08,828.09,828.09,817.99,817.99,543,0
2015-05-11,830.51,834.76,820.1,829.07,16153,0
2015-05-12,819.93,819.93,819.93,819.93,441,0
2015-05-13,830.72,830.72,819.44,819.44,1113,0
2015-05-14,830.45,830.45,819.44,819.44,1137,0
2015-05-15,838.72,838.72,817.36,819.44,2334,0
2015-05-18,830.52,830.52,829.07,829.07,979,0
2015-05-19,829.66,831,829.07,829.07,1199,0
2015-05-20,834.17,838.72,829.07,829.07,2720,0
2015-05-21,829.22,839.56,829.07,829.07,2203,0
2015-05-22,829.56,840.92,829.07,829.07,1617,0
2015-05-26,833.85,843.54,831.96,833.9,2050,0
2015-05-27,852.45,852.45,838.72,843.54,906,0
2015-05-28,853.18,860.88,843.54,843.54,2499,0
2015-05-29,862.82,874.86,862.82,874.71,2180,0
2015-06-01,874.71,875.09,859.92,861.86,1982,0
2015-06-02,866.84,877.19,858.48,867.64,2818,0
2015-06-03,867.64,870.53,867.64,867.64,545,0
2015-06-04,869.57,882.1,869.57,882.1,1038,0
2015-06-05,869.08,884.02,867.64,884.02,1921,0
2015-06-08,878.47,881.67,869.72,881.67,1959,0
2015-06-09,882.04,882.43,872.46,872.46,1575,0
2015-06-10,872.94,872.94,867.64,867.64,589,0
2015-06-11,879.77,879.77,858,858,3029,0
2015-06-12,859.45,862.34,853.18,853.18,3847,0
2015-06-15,848.84,867.16,848.36,848.36,2190,0
2015-06-16,848.84,848.84,842.89,842.89,592,0
2015-06-17,844.02,850.77,838.72,839.68,1963,0
2015-06-18,842.99,858.96,842.99,858.96,845,0
2015-06-19,843.07,867.64,840.97,867.64,5394,0
2015-06-22,842.99,858.96,841.01,858.96,1338,0
2015-06-23,862.82,862.82,845.97,845.97,823,0
2015-06-24,846.12,846.12,846.12,846.12,58,0
2015-06-25,840.87,840.87,839.44,839.44,601,0
2015-06-26,840.8,857.03,840.8,857.03,658,0
2015-06-29,830.53,830.53,821.18,822.91,1435,0
2015-06-30,818.13,818.13,814.13,814.13,2958,0
2015-07-01,828.6,828.6,814.63,814.63,1257,0
2015-07-02,828.36,832.93,814.13,832.93,2109,0
2015-07-03,833.22,833.9,824.25,833.9,2674,0
2015-07-06,823.48,832.93,823.48,832.93,810,0
2015-07-07,826.27,828.11,819.44,819.44,1506,0
2015-07-08,832.93,838.72,823.29,823.29,215,0
2015-07-09,832.93,842.58,832.93,842.58,1340,0
2015-07-13,828.7,840.45,824.25,824.25,6742,0
2015-07-14,838.17,838.17,838.17,838.17,900,0
2015-07-16,833.17,841.55,833.17,841.55,2032,0
2015-07-17,832.75,832.75,832.51,832.51,320,0
2015-07-20,840.01,848.09,840.01,841.85,9784,0
2015-07-21,840.01,848.36,835.83,842.36,1583,0
2015-07-22,850.84,850.84,836.79,844.98,247,0
2015-07-23,850.84,853.18,835.83,853.18,332,0
2015-07-24,851.26,851.26,851.26,851.26,11,0
2015-07-27,848.36,848.36,837.76,837.76,1078,0
2015-07-29,852.7,852.7,840.18,840.18,1047,0
2015-07-31,841.11,842.04,841.11,842.04,338,0
2015-08-03,841.11,848.36,841.11,848.36,337,0
2015-08-04,848.36,848.36,848.36,848.36,342,0
2015-08-05,852.7,853.18,841.59,853.18,493,0
2015-08-06,848.36,848.36,848.36,848.36,434,0
2015-08-10,845.5,858,845.5,858,1450,0
2015-08-11,838.72,857.52,838.72,857.52,1839,0
2015-08-12,838.72,838.72,838.72,838.72,2,0
2015-08-13,838.72,857.52,838.72,845.96,1026,0
2015-08-14,845.15,845.15,844.71,844.71,908,0
2015-08-17,843.05,845.08,843.05,845.08,663,0
2015-08-18,844.98,844.98,843.38,843.38,411,0
2015-08-19,842.09,854.62,842.09,854.62,335,0
2015-08-20,848.74,848.74,840.64,840.64,1511,0
2015-08-21,837.51,837.51,835.43,837.39,1767,0
2015-08-24,811.92,814.35,785.68,785.7,4659,0
2015-08-25,790.52,797.15,789.08,789.08,1447,0
2015-08-26,796.67,796.67,790.04,794.85,2473,0
2015-08-27,788.15,802.71,785.36,801.66,2364,0
