Date,Open,High,Low,Close,Volume,OpenInt
2015-09-07,9.68,9.68,9.45,9.45,31226,0
2015-09-08,9.6,13.89,9.6,11.6,872263,0
2015-09-09,10.1,11.5,9.2,10.68,484029,0
2015-09-10,10.4,10.4,9.929,9.929,206693,0
2015-09-11,9.21,10,9.051,9.5,252616,0
2015-09-14,9.3,9.45,9.1,9.32,371675,0
2015-09-15,9.1,9.15,8.575,9.1,191303,0
2015-09-16,8.9,8.9,8.65,8.89,44885,0
2015-09-17,8.8,8.8,8.78,8.8,45016,0
2015-09-18,8.575,8.6,8.575,8.6,179356,0
2015-09-21,8.5,8.77,8.5,8.58,53371,0
2015-09-22,8.73,8.73,8.5,8.5,28286,0
2015-09-23,8.5,8.575,8.025,8.5,59297,0
2015-09-24,8.28,8.28,8,8,68905,0
2015-09-25,8,8,8,8,32887,0
2015-09-28,8.175,8.175,8,8.05,67456,0
2015-09-29,8,8.005,8,8,18610,0
2015-09-30,7.65,8,7.5,8,11950,0
2015-10-05,7.5,8,7.5,7.5,15726,0
2015-10-06,7.5,7.95,7.5,7.9,17241,0
2015-10-07,7.9,7.9,7.5,7.88,18123,0
2015-10-08,7.5,7.7,7.5,7.7,31750,0
2015-10-09,7.575,7.575,7.575,7.575,3000,0
2015-10-12,7.7,7.7,7.575,7.575,15023,0
2015-10-13,7.7,7.7,7.69,7.69,22006,0
2015-10-14,7.6,8.075,7.6,7.7,55210,0
2015-10-15,8.005,8.005,8.005,8.005,10000,0
2015-10-16,7.975,9.4,7.75,8,517142,0
2015-10-19,8.7,9.25,8.65,8.65,168275,0
2015-10-20,8.8,8.8,8.1,8.4,108880,0
2015-10-21,8.105,8.4,8.055,8.37,69656,0
2015-10-22,8,8,8,8,25000,0
2015-10-26,8.1,8.1,8.1,8.1,4559,0
2015-10-28,8.975,10.6,8.525,9.55,908903,0
2015-10-29,9.7,9.7,9.5,9.5,76344,0
2015-10-30,9.55,9.788,9.53,9.69,179359,0
2015-11-02,9.1,9.475,8.997,9.335,148161,0
2015-11-03,9.3,9.3,8.55,8.55,100931,0
2015-11-04,8.9,8.9,8.16,8.16,44099,0
2015-11-05,8.78,8.78,8.78,8.78,1117,0
2015-11-06,8.75,8.75,8.72,8.72,22286,0
2015-11-09,8.7,8.95,8.7,8.95,77877,0
2015-11-10,8.3,8.3,8.185,8.185,19620,0
2015-11-11,8.6,8.6,8.05,8.4,15681,0
2015-11-12,7.65,8,7.5,8,62937,0
2015-11-13,8.15,8.15,7.55,7.55,36038,0
2015-11-16,7.55,8,7.55,8,3172,0
2015-11-17,7.9,7.9,7.5,7.895,137793,0
2015-11-18,7.525,7.85,7.525,7.845,39524,0
2015-11-19,7.835,7.835,7.525,7.525,1591,0
2015-11-20,7.7,7.7,7.7,7.7,4000,0
2015-11-23,7.525,7.835,7.525,7.835,3574,0
2015-11-24,7.55,8.05,7.55,7.55,14509,0
2015-11-26,8.03,8.03,8.03,8.03,5530,0
2015-11-27,7.5,7.5,7.5,7.5,26500,0
2015-11-30,7.1,7.1,7.1,7.1,68534,0
2015-12-01,7.1,7.1,7.1,7.1,75000,0
2015-12-02,7,7,6.5,6.525,110518,0
2015-12-03,6.555,6.555,6.555,6.555,8000,0
2015-12-04,6.53,6.92,6.5,6.53,82515,0
2015-12-07,6.92,6.92,6.92,6.92,1894,0
2015-12-08,6.9,6.9,6.53,6.9,24426,0
2015-12-10,6.5,6.5,6.5,6.5,46100,0
2015-12-11,6.475,6.475,6.475,6.475,10000,0
2015-12-14,6.5,6.5,6.5,6.5,41500,0
2015-12-15,6.3,6.3,6.3,6.3,23900,0
2015-12-16,6.25,6.625,6.25,6.25,190000,0
2015-12-17,6.3,6.3,6.3,6.3,202,0
2015-12-18,6.1,6.1,5.025,5.9,87011,0
2015-12-21,5.475,5.9,5.475,5.9,54263,0
2015-12-22,5.875,5.875,5.875,5.875,3192,0
2015-12-23,5.55,5.55,5.55,5.55,2000,0
2015-12-24,6,6,6,6,0,0
2015-12-29,6,6,6,6,0,0
2015-12-30,6,6,6,6,0,0
2015-12-31,6,6,6,6,0,0
2016-01-04,6,6,6,6,0,0
2016-01-05,6.25,6.25,6.25,6.25,7,0
2016-01-06,6.25,6.25,6.25,6.25,5,0
2016-01-07,6.25,6.25,6.25,6.25,1835,0
2016-01-08,5.25,5.25,5.25,5.25,0,0
2016-01-11,5.25,5.25,5.25,5.25,11,0
2016-01-12,5.25,5.25,5.25,5.25,0,0
2016-01-13,5.25,5.25,5.25,5.25,3977,0
2016-01-14,5.25,5.25,5.25,5.25,2545,0
2016-01-15,5.25,5.25,5.25,5.25,0,0
2016-01-18,5.25,5.25,5.25,5.25,10000,0
2016-01-19,5.25,5.25,5.25,5.25,0,0
2016-01-20,5.25,5.25,5.25,5.25,0,0
2016-01-21,5.25,5.25,5.25,5.25,19550,0
2016-01-22,5.25,5.25,4.875,4.875,249360,0
2016-01-25,4.875,4.875,4.875,4.875,0,0
2016-01-26,4.875,4.875,4.875,4.875,0,0
2016-01-27,4.875,4.875,4.875,4.875,5030,0
2016-01-28,4.875,4.875,4.875,4.875,9521,0
2016-01-29,4.875,4.875,4.875,4.875,15000,0
2016-02-01,4.875,4.875,4.875,4.875,0,0
2016-02-02,4.875,4.875,4.875,4.875,0,0
2016-02-03,4.875,4.875,4.875,4.875,0,0
2016-02-04,4.875,4.875,4.875,4.875,6500,0
2016-02-05,4.875,4.875,4.875,4.875,2500,0
2016-02-08,4.875,4.875,4.875,4.875,0,0
2016-02-09,4.875,4.875,4.875,4.875,6461,0
2016-02-10,4.875,4.875,4.875,4.875,0,0
2016-02-11,4.875,4.875,3.625,3.625,12530,0
2016-02-12,3.625,3.625,3.625,3.625,14000,0
2016-02-15,3.625,3.695,3.625,3.625,50000,0
2016-02-16,3.625,3.75,3.625,3.75,32786,0
2016-02-17,3.75,3.88678,3.5573,3.75,182331,0
2016-02-18,3.75,3.75,3.75,3.75,0,0
2016-02-19,3.75,3.75,3.75,3.75,55000,0
2016-02-22,4.125,4.125,4.125,4.125,0,0
2016-02-23,4.125,4.175,4.125,4.125,73952,0
2016-02-24,4.125,4.125,4.125,4.125,4,0
2016-02-25,4.125,4.175,4.125,4.125,23652,0
2016-02-26,4.125,4.175,4.125,4.125,59580,0
2016-02-29,4.125,4.175,4.125,4.125,671,0
2016-03-01,4.125,4.125,4.125,4.125,704,0
2016-03-02,4.125,4.125,3.875,3.875,105011,0
2016-03-03,3.875,3.875,3.875,3.875,7,0
2016-03-04,3.875,3.875,3.875,3.875,0,0
2016-03-07,3.875,3.875,3.875,3.875,16781,0
2016-03-08,3.875,3.875,3.875,3.875,0,0
2016-03-09,3.875,3.875,3.875,3.875,0,0
2016-03-10,3.875,3.875,3.875,3.875,1710,0
2016-03-11,3.875,4,3.875,4,151193,0
2016-03-14,4,4,4,4,0,0
2016-03-15,4,4.15,3.85,4,36221,0
2016-03-16,4,4,4,4,0,0
2016-03-17,4,4,4,4,0,0
2016-03-18,4,4,4,4,44311,0
2016-03-21,4,4,4,4,6500,0
2016-03-22,4,4,4,4,5000,0
2016-03-23,4,4,4,4,0,0
2016-03-24,4,4,4,4,0,0
2016-03-29,4,4,4,4,0,0
2016-03-30,4,4,4,4,0,0
2016-03-31,4,4,4,4,0,0
2016-04-01,4,4,4,4,0,0
2016-04-04,4,4,4,4,0,0
2016-04-05,4,4,4,4,0,0
2016-04-06,4,4.125,3.8,4,26247,0
2016-04-07,4,4,4,4,0,0
2016-04-08,4,4,4,4,0,0
2016-04-11,4,4,4,4,33000,0
2016-04-12,4,4,4,4,39286,0
2016-04-13,4,4,4,4,0,0
2016-04-14,4,4,4,4,0,0
2016-04-15,4,4,4,4,0,0
2016-04-18,4,4,4,4,41072,0
2016-04-19,4,6,3.75,5.625,1351818,0
2016-04-20,5.75,7.5,5.75,7.5,2480015,0
2016-04-21,7.125,7.5,6.725,7.125,1175259,0
2016-04-22,6.75,6.75,6.225,6.5,1766947,0
2016-04-25,6.5,6.75,6.0969,6.375,356554,0
2016-04-26,6.375,6.375,6,6,599640,0
2016-04-27,6,6,5.775,5.875,125856,0
2016-04-28,5.875,7.25,5.75,6.75,1667663,0
2016-04-29,6.75,7.1,6.25,6.25,594458,0
2016-05-03,6.25,6.75,6.25,6.75,1716349,0
2016-05-04,6.75,6.8,6.25,6.625,217812,0
2016-05-05,6.625,6.625,6.125,6.125,549933,0
2016-05-06,6,6.625,6,6.625,1443490,0
2016-05-09,6.5,6.7675,6.1,6.625,675640,0
2016-05-10,7,7,5,5,2806672,0
2016-05-11,5,5.2,4.75,5.125,807269,0
2016-05-12,5.125,5.15,4.275,4.875,2304727,0
2016-05-13,4.875,5,4.75,4.875,573552,0
2016-05-16,4.875,4.9438,4.6,4.875,217933,0
2016-05-17,4.875,4.99,4.35,4.875,1393567,0
2016-05-18,4.875,5.8,4.775,5.25,2199828,0
2016-05-19,5.25,5.25,4.775,4.875,592699,0
2016-05-20,4.875,4.99,4.5,4.75,252635,0
2016-05-23,4.75,4.8,4.25,4.5,178603,0
2016-05-24,4.5,4.9008,4.28333,4.75,918804,0
2016-05-25,4.75,4.99,4.61,4.75,305434,0
2016-05-26,4.75,4.75,4.625,4.625,218406,0
2016-05-27,4.375,4.65,4.25,4.375,345614,0
2016-05-31,4.375,4.45,4,4.25,456520,0
2016-06-01,4.25,4.75,4.25,4.75,590033,0
2016-06-02,4.75,4.8,4.5,4.75,210190,0
2016-06-03,4.75,4.75,4.55,4.75,23789,0
2016-06-06,4.75,4.75,4.75,4.75,1061,0
2016-06-07,4.75,4.75,4.375,4.375,56592,0
2016-06-08,4.375,5.35,4.375,5.25,1024982,0
2016-06-09,5.25,5.25,4.62,4.625,116576,0
2016-06-10,4.625,4.625,4.525,4.625,17155,0
2016-06-13,4.625,4.625,4.625,4.625,70716,0
2016-06-14,4.625,4.65,4.275,4.375,357421,0
2016-06-15,4.375,4.5,4.35,4.35,77404,0
2016-06-16,4.375,4.75,4.25,4.375,574179,0
2016-06-17,4.375,4.375,4.375,4.375,0,0
2016-06-20,4.375,4.45,3.75,4.125,731521,0
2016-06-21,4.125,4.125,4.125,4.125,41032,0
2016-06-22,4.125,4.2,4,4.125,254333,0
2016-06-23,4.125,4.15,4.125,4.125,52905,0
2016-06-24,3.75,3.875,3.75,3.875,747629,0
2016-06-27,3.875,3.95,3.875,3.875,51596,0
2016-06-28,3.875,3.875,3.875,3.875,14118,0
2016-06-29,3.875,3.875,3.7625,3.875,53842,0
2016-06-30,3.875,3.975,3.75,3.875,153499,0
2016-07-01,3.875,3.875,3.875,3.875,74584,0
2016-07-04,3.875,3.875,3.875,3.875,803328,0
2016-07-05,3.875,4,3.775,3.875,200500,0
2016-07-06,3.875,3.875,3.875,3.875,0,0
2016-07-07,3.875,4.25,3.75,4.125,1269542,0
2016-07-08,4.125,4.4002,4,4.25,671745,0
2016-07-11,4.25,4.25,4.25,4.25,32807,0
2016-07-12,4.25,4.375,4.25,4.375,358630,0
2016-07-13,4.375,4.4,3.8,4.25,809305,0
2016-07-14,4.25,4.25,4.25,4.25,0,0
2016-07-15,4.25,4.25,4.25,4.25,0,0
2016-07-18,4.25,4.25,4.25,4.25,48001,0
2016-07-19,4.25,4.25,4.25,4.25,8822,0
2016-07-20,4.25,4.285,4,4.25,65686,0
2016-07-21,4.25,4.625,4.25,4.625,705368,0
2016-07-22,4.625,4.875,4.625,4.875,730819,0
2016-07-25,4.875,5.375,4.875,5.375,332432,0
2016-07-26,5.375,5.5361,4.65,4.875,1587068,0
2016-07-27,4.875,4.875,4.75,4.75,293157,0
2016-07-28,4.75,4.85,4.55,4.75,251922,0
2016-07-29,4.75,4.75,4.75,4.75,50000,0
2016-08-01,4.75,4.75,4.75,4.75,0,0
2016-08-02,4.75,4.75,4.75,4.75,0,0
2016-08-03,4.75,4.75,4.75,4.75,0,0
2016-08-04,4.75,4.75,4.75,4.75,0,0
2016-08-05,4.75,5.125,4.75,5.125,630816,0
2016-08-08,5.125,5.75,5.125,5.75,827947,0
2016-08-09,5.75,6.5,5.2625,6.25,1691086,0
2016-08-10,7.25,9.2,7.1,8.125,6732559,0
2016-08-11,8.5,8.9,7.765,8.375,2189924,0
2016-08-12,8.25,9.75,8.25,9.75,4089190,0
2016-08-15,9.75,9.9,8.3933,9.125,2118341,0
2016-08-16,9.125,11.65,8.7625,10.375,3272143,0
2016-08-17,10.625,12.125,10.625,12.125,2459573,0
2016-08-18,12.625,16,12.1,14.875,6974734,0
2016-08-19,14.875,23.5,14.875,23.25,11296949,0
2016-08-22,23.75,24.15,16.45,17.75,9516612,0
2016-08-23,20,20.5,14.8878,15.5,6765181,0
2016-08-24,16,18.7,14.55,17.5,5543840,0
2016-08-25,17.375,18.4,16.1,16.625,2096007,0
2016-08-26,16.625,18.45,15.75,18,1916409,0
2016-08-30,18,20.625,18,20.625,4058121,0
2016-08-31,20.375,22.4,19.5075,20.5,3800929,0
2016-09-01,20.5,20.75,20.5,20.75,2560248,0
2016-09-02,20.75,22.25,20.5,20.75,1640483,0
2016-09-05,20.5,22,19.88,20.125,2231220,0
2016-09-06,19.875,19.9,18.51,18.75,1473658,0
2016-09-07,18.375,18.85,17.7,18.25,1280197,0
2016-09-08,20.25,21,19.1,19.5,2236901,0
2016-09-09,19.5,19.5,19,19,1507705,0
2016-09-12,19,19.2,18.225,19,1321812,0
2016-09-13,19,22,18.925,19.625,2674912,0
2016-09-14,19.625,20.24,19.25,19.625,1587968,0
2016-09-15,19.625,20.8,19.35,20.5,1252945,0
2016-09-16,21,21.4925,19.55,19.625,1551246,0
2016-09-19,19.625,19.9875,19.375,19.875,468681,0
2016-09-20,19.875,19.875,18.6,18.75,1026224,0
2016-09-21,18.75,19,18,18.5,370735,0
2016-09-22,18.5,18.55,17.5,17.875,468975,0
2016-09-23,17.875,18.1,16,16.5,1254302,0
2016-09-26,16.5,18.25,16.2,17.75,859409,0
2016-09-27,17.75,17.85,16.7575,17.125,374735,0
2016-09-28,17.125,18.3667,17.125,18,548800,0
2016-09-29,18,18.975,18,18.625,1053445,0
2016-09-30,18.625,18.95,18.25,18.625,422629,0
2016-10-03,18.625,18.85,18.25,18.625,197476,0
