Date,Open,High,Low,Close,Volume,OpenInt
2015-03-05,73.511,73.511,72.645,72.645,9576,0
2015-03-06,71.997,71.997,71.997,71.997,1045,0
2015-03-16,70.051,70.051,70.051,70.051,4625,0
2015-03-17,69.186,70.7,69.186,70.7,20134,0
2015-03-20,68.538,68.538,68.322,68.322,6939,0
2015-03-23,67.24,67.24,66.592,67.025,8672,0
2015-03-26,66.159,66.592,65.727,66.592,11562,0
2015-03-30,64.863,66.159,63.998,64.863,77618,0
2015-03-31,64.863,64.863,63.998,63.998,35158,0
2015-04-01,64.56,64.647,63.998,63.998,7955,0
2015-04-02,66.268,66.268,63.998,63.998,13298,0
2015-04-07,65.595,65.595,63.998,63.998,1175618,0
2015-04-08,65.598,65.796,65.543,65.796,13134,0
2015-04-09,66.106,67.457,63.998,67.457,62153,0
2015-04-10,67.785,67.785,66.722,66.722,8580,0
2015-04-13,67.24,69.143,67.24,69.143,27458,0
2015-04-14,68.953,68.953,68.364,68.364,19657,0
2015-04-15,68.487,69.403,68.322,68.322,119972,0
2015-04-16,69.403,70.051,68.529,70.051,23909,0
2015-04-17,70.475,72.645,70.475,72.645,35858,0
2015-04-20,71.366,71.461,71.15,71.461,28079,0
2015-04-21,71.762,73.511,71.762,71.997,11962,0
2015-04-22,72.084,75.673,71.781,75.673,12858,0
2015-04-23,73.839,74.591,73.839,73.888,118933,0
2015-04-24,74.202,74.375,74.036,74.036,11382,0
2015-04-28,75.025,75.025,73.046,73.95,18426,0
2015-04-29,72.862,74.375,71.781,72.645,1803634,0
2015-04-30,75.459,75.459,72.877,73.511,310094,0
2015-05-01,73.511,76.105,73.511,74.807,126386,0
2015-05-05,74.608,74.608,73.511,73.511,45667,0
2015-05-06,74.037,74.037,69.619,69.619,79610,0
2015-05-07,71.894,74.375,71.894,73.511,53231,0
2015-05-08,73.511,79.563,73.295,76.105,154760,0
2015-05-11,79.349,83.889,73.295,80.646,100379,0
2015-05-12,83.12,83.24,81.123,83.033,77398,0
2015-05-13,81.726,83.456,81.726,83.456,32174,0
2015-05-14,81.596,81.667,81.562,81.667,13038,0
2015-05-15,81.632,81.632,80.646,80.646,8524,0
2015-05-18,81.364,83.069,80.753,83.069,11929,0
2015-05-19,83.498,83.637,82.15,83.637,11176,0
2015-05-20,82.988,82.988,82.988,82.988,628,0
2015-05-21,84.969,86.742,84.969,86.267,38615,0
2015-05-22,87.167,87.167,87.011,87.011,3583,0
2015-05-26,87.85,87.85,84.753,84.753,1899,0
2015-05-27,85.619,88.211,85.619,88.211,28021,0
2015-05-28,87.565,87.781,84.969,87.781,84873,0
2015-05-29,86.138,88.211,86.138,88.211,13718,0
2015-06-01,88.698,89.561,88.211,88.211,27805,0
2015-06-02,90.808,90.808,87.607,89.506,23808,0
2015-06-03,85.619,87.781,84.322,87.781,24164,0
2015-06-04,89.078,90.808,88.698,90.808,29764,0
2015-06-05,88.476,90.808,88.211,90.808,27553,0
2015-06-08,89.345,91.077,88.211,90.673,22121,0
2015-06-09,88.645,88.645,88.645,88.645,63596,0
2015-06-10,88.556,89.812,88.556,89.812,2312,0
2015-06-11,88.211,89.193,88.211,89.078,16879,0
2015-06-12,89.228,90.108,89.228,89.561,6994,0
2015-06-15,88.812,89.317,88.211,88.211,20963,0
2015-06-16,89.228,90.808,88.468,90.808,22099,0
2015-06-17,90.538,90.808,88.645,89.506,20963,0
2015-06-18,90.126,90.126,90.126,90.126,3574,0
2015-06-19,89.776,91.041,87.929,91.015,14850,0
2015-06-22,87.31,87.31,86.921,86.921,9167,0
2015-06-23,88.362,90.79,86.695,90.79,21628,0
2015-06-24,91.822,91.822,91.284,91.418,35671,0
2015-06-25,90.341,90.636,90.341,90.636,14606,0
2015-06-26,90.762,91.015,90.762,91.015,11889,0
2015-06-29,88.459,90.126,88.362,90.126,58008,0
2015-06-30,87.763,90.691,87.763,90.691,17886,0
2015-07-01,90.126,90.359,90.126,90.359,5862,0
2015-07-02,87.929,87.929,85.482,87.362,18423,0
2015-07-03,88.362,90.817,87.425,90.126,67881,0
2015-07-06,90.126,91.894,89.542,91.894,62019,0
2015-07-07,91.167,91.579,91.015,91.571,35173,0
2015-07-08,91.894,92.334,91.015,92.334,38232,0
2015-07-09,92.334,92.334,91.571,92.334,9218,0
2015-07-10,92.496,92.496,91.669,91.669,2186,0
2015-07-13,91.131,94.047,91.131,94.047,61897,0
2015-07-14,94.464,94.464,92.784,93.666,69801,0
2015-07-15,92.997,93.22,91.733,93.22,30626,0
2015-07-16,92.784,94.549,92.784,94.549,74088,0
2015-07-17,93.973,94.549,93.1,93.284,18274,0
2015-07-20,91.75,93.294,91.75,92.784,17116,0
2015-07-21,91.912,92.904,91.813,91.813,5252,0
2015-07-22,94.326,94.549,92.561,92.561,8726,0
2015-07-23,92.118,92.118,89.051,89.364,6296,0
2015-07-24,88.582,88.795,86.595,87.266,21936,0
2015-07-27,87.609,87.609,86.285,86.285,16749,0
2015-07-28,88.362,89.686,87.768,89.246,17070,0
2015-07-29,88.362,89.059,88.362,88.362,8934,0
2015-07-30,88.556,89.911,88.556,89.911,6953,0
2015-07-31,88.362,91.679,88.362,91.679,2659,0
