Date,Open,High,Low,Close,Volume,OpenInt
2015-03-27,37.5,37.5,37.5,37.5,4,0
2015-04-02,32.5,34,32.5,34,30370,0
2015-04-15,30,31,29.7,31,29988,0
2015-04-16,24.319,25.276,21.974,24.5,15243,0
2015-04-17,24.5,28.924,20,28.924,106317,0
2015-04-22,30,30,30,30,10000,0
2015-04-23,28.251,29.999,28.251,28.3,7262,0
2015-04-30,28.3,28.3,28.3,28.3,4500,0
2015-05-07,28.6,28.6,28.6,28.6,1400,0
2015-05-12,30,30,30,30,236,0
2015-05-20,28.251,28.251,28.251,28.251,2702,0
2015-05-21,25.501,25.501,25.501,25.501,4250,0
2015-05-26,29.919,63.688,29.919,46.95,310152,0
2015-05-27,47.086,56.95,41.1,43.05,87887,0
2015-05-28,42.55,42.55,36.35,38.5,28215,0
2015-05-29,37.398,42.5,36.6,42.5,22570,0
2015-06-01,41.1,44.5,40.6,44.399,16942,0
2015-06-02,42.5,49.45,41.5,46.5,25377,0
2015-06-03,46.999,47.5,42.251,42.251,9107,0
2015-06-04,42.3,42.3,42.3,42.3,5000,0
2015-06-05,46.999,47.499,46.999,47.499,4000,0
2015-06-08,43.501,43.501,43.501,43.501,1000,0
2015-06-09,43.51,43.51,43.51,43.51,8292,0
2015-06-10,47,47,43.75,43.75,6864,0
2015-06-12,46.874,49.099,43.6,43.6,2985,0
2015-06-15,43.6,43.6,43.6,43.6,11280,0
2015-06-16,42.153,42.153,42.153,42.153,2500,0
2015-06-19,47,48,47,48,8351,0
2015-06-22,46,51.5,46,47.026,7431,0
2015-06-23,43.22,48.999,43.22,44.001,16500,0
2015-06-24,48.5,50,48.5,50,41,0
2015-06-25,50,50,48,48,5501,0
2015-06-26,44,44,44,44,2,0
2015-06-29,44,44,44,44,6,0
2015-06-30,44.04,44.04,44.04,44.04,9,0
2015-07-02,44,44,44,44,338,0
2015-07-03,44.04,44.04,44.04,44.04,909,0
2015-07-06,43.28,43.28,43,43,3935,0
2015-07-07,42.25,42.25,42.25,42.25,100,0
2015-07-09,42,45.5,42,42.25,12996,0
2015-07-13,42.275,42.275,42.275,42.275,359,0
2015-07-15,41.26,41.26,41.26,41.26,429,0
2015-07-17,40.275,40.275,40.275,40.275,1700,0
2015-07-20,41.5,41.5,40.275,41.5,1700,0
2015-07-21,40.3,40.3,40.275,40.275,5829,0
2015-07-23,43,43,43,43,345,0
2015-07-24,43,43,43,43,4623,0
2015-07-27,40.5,43,40.5,43,2552,0
2015-07-28,40.305,40.305,40.305,40.305,2000,0
2015-07-30,42.73,42.73,42.73,42.73,2500,0
2015-07-31,40,42.695,40,42.695,500,0
2015-08-03,40,42.9,40,42.9,5537,0
2015-08-04,41.1,41.1,41.1,41.1,900,0
2015-08-05,45,45,45,45,750,0
2015-08-07,47,47,47,47,10612,0
2015-08-10,43.68,43.68,43.68,43.68,300,0
2015-08-17,43,43,43,43,869,0
2015-08-19,43,43,43,43,172,0
2015-08-21,42.5,42.5,42.5,42.5,6876,0
2015-08-25,42.5,42.5,42.5,42.5,200,0
2015-08-26,42.6,42.6,42.6,42.6,776,0
