Date,Open,High,Low,Close,Volume,OpenInt
2015-03-10,66.888,66.888,66.888,66.888,69518,0
2015-03-27,67.525,67.525,67.51,67.51,28960,0
2015-03-30,67.373,67.6,67.373,67.553,126419,0
2015-03-31,67.363,67.534,67.321,67.519,198751,0
2015-04-01,67.658,67.774,67.415,67.673,122322,0
2015-04-02,67.673,67.675,67.415,67.675,123272,0
2015-04-07,67.675,67.968,67.321,67.441,355748,0
2015-04-08,67.868,68.183,67.47,67.862,225522,0
2015-04-09,66.456,67.052,66.456,66.53,136282,0
2015-04-10,66.757,66.757,66.456,66.478,214020,0
2015-04-13,66.623,66.623,66.241,66.344,175015,0
2015-04-14,66.326,66.326,66.026,66.283,226121,0
2015-04-15,66.026,66.534,66.026,66.516,167830,0
2015-04-16,66.516,66.747,66.262,66.733,192793,0
2015-04-17,67.177,67.232,66.888,66.888,253124,0
2015-04-20,67.165,67.232,66.888,66.888,567726,0
2015-04-21,66.888,67.148,66.888,67.104,139055,0
2015-04-22,67.096,67.096,66.888,67.052,59528,0
2015-04-23,66.683,67.04,66.478,66.478,69643,0
2015-04-24,66.954,67.009,66.478,66.888,94185,0
2015-04-27,66.483,66.888,66.241,66.534,191086,0
2015-04-28,66.492,66.534,66.275,66.275,131436,0
2015-04-29,66.516,66.534,66.275,66.516,116013,0
2015-04-30,66.516,66.674,66.171,66.323,118664,0
2015-05-01,66.323,66.512,66.171,66.323,168699,0
2015-05-05,66.283,66.888,66.026,66.888,301506,0
2015-05-06,65.811,66.104,65.811,66.095,31127,0
2015-05-07,65.819,66.125,65.592,65.681,100524,0
2015-05-08,65.43,65.795,65.43,65.779,215181,0
2015-05-11,65.811,65.919,65.378,65.811,231832,0
2015-05-12,65.779,65.779,65.387,65.705,56527,0
2015-05-13,65.39,65.681,65.387,65.387,105672,0
2015-05-14,65.163,65.163,64.732,64.732,166957,0
2015-05-15,64.518,64.981,64.515,64.981,250325,0
2015-05-18,64.967,64.967,63.868,64.083,299188,0
2015-05-19,63.868,64.126,63.22,63.437,373290,0
2015-05-20,63.66,63.66,63.113,63.228,226759,0
2015-05-21,63.599,63.868,63.228,63.868,105141,0
2015-05-22,64.083,64.308,64.076,64.308,128865,0
2015-05-26,64.308,64.947,64.083,64.947,124689,0
2015-05-27,64.937,65.163,64.643,65.163,143314,0
2015-05-28,65.584,65.783,65.163,65.258,203731,0
2015-05-29,65.592,65.592,65.258,65.591,89894,0
2015-06-01,65.171,65.592,65.171,65.561,120969,0
2015-06-02,65.569,65.783,65.473,65.7,95774,0
2015-06-03,65.7,65.944,65.573,65.876,109679,0
2015-06-04,65.875,65.875,65.689,65.868,59063,0
2015-06-05,65.868,65.868,65.658,65.658,114249,0
2015-06-08,65.939,65.939,65.592,65.811,117951,0
2015-06-09,65.592,67.321,65.394,65.592,361450,0
2015-06-10,65.685,65.732,65.685,65.685,40822,0
2015-06-11,65.685,65.724,65.378,65.378,64590,0
2015-06-12,65.459,65.459,64.895,64.895,125131,0
2015-06-15,64.895,65.163,64.803,65.163,142827,0
2015-06-16,64.904,64.904,64.732,64.759,23752,0
2015-06-17,64.743,64.743,64.298,64.549,40223,0
2015-06-18,64.549,64.549,64.083,64.083,92292,0
2015-06-19,64.088,64.515,64.083,64.385,108284,0
2015-06-22,64.437,64.437,64.083,64.083,101614,0
2015-06-23,64.083,64.407,64.083,64.135,55533,0
2015-06-24,64.135,64.135,64.083,64.083,57044,0
2015-06-25,64.732,64.732,63.651,63.826,96977,0
2015-06-26,63.651,63.738,63.437,63.437,25867,0
2015-06-29,63.005,63.696,63.005,63.696,97499,0
2015-06-30,63.868,63.868,62.575,62.994,160191,0
2015-07-01,62.97,63.341,62.831,62.843,129279,0
2015-07-02,63.341,63.582,62.851,63.437,83441,0
2015-07-03,63.437,63.773,63.102,63.696,50721,0
2015-07-06,63.523,63.696,63.523,63.696,45302,0
2015-07-07,63.696,63.833,63.534,63.816,61349,0
2015-07-08,63.534,63.937,63.534,63.937,90831,0
2015-07-09,63.316,63.316,62.788,63.048,79682,0
2015-07-10,63.256,63.256,62.788,62.798,56925,0
2015-07-13,63.226,63.237,62.874,62.878,54702,0
2015-07-14,63.341,63.341,62.878,62.878,58747,0
2015-07-15,63.298,63.324,62.897,63.299,27430,0
2015-07-16,63.299,63.479,63.09,63.461,46504,0
2015-07-17,63.409,63.409,62.788,62.788,91934,0
2015-07-20,62.788,63.22,62.357,62.68,205673,0
2015-07-21,62.668,62.668,61.278,61.598,147349,0
2015-07-22,61.58,61.58,60.846,60.851,152388,0
2015-07-23,61.407,61.495,60.89,61.495,189983,0
2015-07-24,60.977,61.818,60.977,61.818,141017,0
2015-07-27,61.818,62.141,61.149,62.013,210013,0
2015-07-28,62.013,62.272,61.696,61.838,184870,0
2015-07-29,61.838,62.4,61.838,62.357,88867,0
2015-07-30,61.894,62.357,61.894,62.357,25945,0
2015-07-31,62.357,62.919,61.991,62.745,98482,0
2015-08-03,62.017,62.919,62.017,62.699,91570,0
2015-08-04,62.699,62.91,62.254,62.756,157144,0
2015-08-05,63.005,63.68,63.005,63.68,95884,0
2015-08-06,63.68,63.68,63.272,63.677,45188,0
2015-08-07,63.592,63.592,63.436,63.436,76213,0
2015-08-10,63.587,63.773,63.057,63.566,121711,0
2015-08-11,63.566,63.566,63.076,63.083,86464,0
2015-08-12,63.09,63.341,62.84,63.126,43543,0
2015-08-13,63.124,63.124,62.668,62.668,234721,0
2015-08-14,63.124,63.124,62.71,63.124,31411,0
2015-08-17,62.71,63.124,62.71,63.104,55210,0
2015-08-18,63.099,63.099,62.756,62.756,19914,0
2015-08-19,62.756,63.08,62.756,62.756,97440,0
2015-08-20,63.048,63.048,62.668,63.005,77406,0
2015-08-21,62.668,62.668,62.149,62.149,151592,0
2015-08-24,62.395,62.395,61.063,61.063,107665,0
2015-08-25,61.685,61.823,61.063,61.797,148621,0
2015-08-26,61.071,61.96,61.071,61.071,54690,0
2015-08-27,61.787,61.911,61.073,61.911,163442,0
2015-08-28,61.365,62.228,61.288,61.882,87428,0
2015-09-01,61.365,61.699,60.846,61.394,155700,0
2015-09-02,61.394,61.394,60.846,60.846,161735,0
2015-09-03,61.069,61.069,60.415,60.699,103421,0
2015-09-04,60.803,61.407,60.423,60.738,83312,0
2015-09-07,60.728,60.728,60.423,60.427,79909,0
2015-09-08,60.427,60.674,60.427,60.565,99788,0
2015-09-09,60.666,60.837,60.149,60.287,115865,0
2015-09-10,60.794,61.02,60.287,60.674,201063,0
2015-09-11,60.674,60.674,60.649,60.649,70116,0
2015-09-14,59.984,60.63,59.984,60.177,96739,0
2015-09-15,60.525,60.525,59.984,59.984,62432,0
2015-09-16,60.481,60.481,59.984,60.027,120435,0
2015-09-17,60.449,60.449,59.984,60.372,78013,0
2015-09-18,60.201,60.372,59.338,59.896,126136,0
2015-09-21,59.342,59.877,59.035,59.338,246459,0
2015-09-22,59.338,59.639,59.338,59.37,73171,0
2015-09-23,59.639,60.321,59.379,60.321,93602,0
2015-09-24,60.403,60.631,59.338,59.338,113155,0
2015-09-25,59.859,60.501,59.859,60.501,59602,0
2015-09-28,59.941,60.631,59.941,60.525,92493,0
